quotes,authors,categories
Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,A. P. J. Abdul Kalam,Alone
I restore myself when I'm alone.,Marilyn Monroe,Alone
Alone we can do so little; together we can do so much.,Helen Keller,Alone
"It is far better to be alone, than to be in bad company.",George Washington,Alone
To live alone is the fate of all great souls.,Arthur Schopenhauer,Alone
The strongest man in the world is he who stands most alone.,Henrik Ibsen,Alone
"If you are lonely when you're alone, you are in bad company.",Jean-Paul Sartre,Alone
Solitude vivifies; isolation kills.,Joseph Roux,Alone
Solitude is independence.,Hermann Hesse,Alone
Loneliness adds beauty to life. It puts a special burn on sunsets and makes night air smell better.,Henry Rollins,Alone
"When the people you love are gone, you're alone.",Keanu Reeves,Alone
You only grow when you are alone.,Paul Newman,Alone
Loneliness is the poverty of self; solitude is the richness of self.,May Sarton,Alone
"Let your mind alone, and see what happens.",Virgil Thomson,Alone
All men's miseries derive from not being able to sit in a quiet room alone.,Blaise Pascal,Alone
I would rather be a beggar and single than a queen and married.,Elizabeth I,Alone
"I never said, 'I want to be alone.' I only said, 'I want to be left alone.' There is all the difference.",Greta Garbo,Alone
The eternal quest of the individual human being is to shatter his loneliness.,Norman Cousins,Alone
You come into the world alone and you go out of the world alone yet it seems to me you are more alone while living than even going and coming.,Emily Carr,Alone
Every man is born as many men and dies as a single one.,Martin Heidegger,Alone
You cannot be lonely if you like the person you're alone with.,Wayne Dyer,Alone
In solitude the mind gains strength and learns to lean upon itself.,Laurence Sterne,Alone
The time you feel lonely is the time you most need to be by yourself.,Douglas Coupland,Alone
To be adult is to be alone.,Jean Rostand,Alone
As I get older I'm more and more comfortable being alone.,Sienna Miller,Alone
Loneliness is my least favorite thing about life. The thing that I'm most worried about is just being alone without anybody to care for or someone who will care for me.,Anne Hathaway,Alone
If you make friends with yourself you will never be alone.,Maxwell Maltz,Alone
It is strange to be known so universally and yet to be so lonely.,Albert Einstein,Alone
"We are all sentenced to solitary confinement inside our own skins, for life.",Tennessee Williams,Alone
The best part about being alone is that you really don't have to answer to anybody. You do what you want.,Justin Timberlake,Alone
Nothing makes us so lonely as our secrets.,Paul Tournier,Alone
A man is born alone and dies alone; and he experiences the good and bad consequences of his karma alone; and he goes alone to hell or the Supreme abode.,Chanakya,Alone
"Pray that your loneliness may spur you into finding something to live for, great enough to die for.",Dag Hammarskjold,Alone
Only the lonely know the way I feel tonight.,Roy Orbison,Alone
It is very easy to love alone.,Gertrude Stein,Alone
Remember we're all in this alone.,Lily Tomlin,Alone
Life could be wonderful if people would leave you alone.,Charlie Chaplin,Alone
"Then stirs the feeling infinite, so felt In solitude, where we are least alone.",Lord Byron,Alone
You're only lonely if you're not there for you.,Phil McGraw,Alone
All of our unhappiness comes from our inability to be alone.,Jean de la Bruyere,Alone
What a lovely surprise to finally discover how unlonely being alone can be.,Ellen Burstyn,Alone
I was never less alone than when by myself.,Edward Gibbon,Alone
Inside myself is a place where I live all alone and that is where I renew my springs that never dry up.,Pearl S. Buck,Alone
"He that can live alone resembles the brute beast in nothing, the sage in much, and God in everything.",Baltasar Gracian,Alone
"If it's true that our species is alone in the universe, then I'd have to say the universe aimed rather low and settled for very little.",George Carlin,Alone
"Still and all, why bother? Here's my answer. Many people need desperately to receive this message: I feel and think much as you do, care about many of the things you care about, although most people do not care about them. You are not alone.",Kurt Vonnegut,Alone
When everything is lonely I can be my best friend.,Conor Oberst,Alone
"Your actions, and your action alone, determines your worth.",Evelyn Waugh,Alone
Living alone makes it harder to find someone to blame.,Mason Cooley,Alone
I'm very happy alone.,Octavia E. Butler,Alone
"The longer one is alone, the easier it is to hear the song of the earth.",Robert Anton Wilson,Alone
By all means use some time to be alone.,Edward Young,Alone
I think the greatest amount of pressure is the pressure I place on myself. So in a way I chose to be alone.,Cathy Freeman,Alone
The only real progress lies in learning to be wrong all alone.,Albert Camus,Alone
Solitude is the profoundest fact of the human condition. Man is the only being who knows he is alone.,Octavio Paz,Alone
I want to be with those who know secret things or else alone.,Rainer Maria Rilke,Alone
I finally faced the fact that it isn't a crime not having friends. Being alone means you have fewer problems.,Whitney Houston,Alone
"There's a tremendous difference between alone and lonely. You could be lonely in a group of people. I like being alone. I like eating by myself. I go home at night and just watch a movie or hang out with my dog. I have to exert myself and really say, oh God, I've got to see my friends 'cause I'm too content being by myself.",Drew Barrymore,Alone
To go out with the setting sun on an empty beach is to truly embrace your solitude.,Jeanne Moreau,Alone
"Be able to be alone. Lose not the advantage of solitude, and the society of thyself.",Thomas Browne,Alone
"If I am a legend, then why am I so lonely?",Judy Garland,Alone
Is he alone who has courage on his right hand and faith on his left hand?,Charles Lindbergh,Alone
"I may climb perhaps to no great heights, but I will climb alone.",Cyrano de Bergerac,Alone
I have so many different personalities in me and I still feel lonely.,Tori Amos,Alone
"Alone let him constantly meditate in solitude on that which is salutary for his soul, for he who meditates in solitude attains supreme bliss.",Guru Nanak,Alone
A man content to go to heaven alone will never go to heaven.,Boethius,Alone
It's better to be unhappy alone than unhappy with someone - so far.,Marilyn Monroe,Alone
"It's an interesting combination: Having a great fear of being alone, and having a desperate need for solitude and the solitary experience. That's always been a tug of war for me.",Jodie Foster,Alone
A human being is a single being. Unique and unrepeatable.,Eileen Caddy,Alone
"Moon! Moon! I am prone before you. Pity me, and drench me in loneliness.",Amy Lowell,Alone
"I've also seen that great men are often lonely. This is understandable, because they have built such high standards for themselves that they often feel alone. But that same loneliness is part of their ability to create.",Yousuf Karsh,Alone
"When I'm alone, I can sleep crossways in bed without an argument.",Zsa Zsa Gabor,Alone
Every man must do two things alone; he must do his own believing and his own dying.,Martin Luther,Alone
Don't go away. I don't want to be alone. I can't stand being alone.,Arnold Rothstein,Alone
"I'm single, footloose and fancy free, I have no responsibilities, no anchors. Work, friendship and self-improvement, that's me.",Joel Edgerton,Alone
"To dare to live alone is the rarest courage; since there are many who had rather meet their bitterest enemy in the field, than their own hearts in their closet.",Charles Caleb Colton,Alone
He never is alone that is accompanied with noble thoughts.,John Fletcher,Alone
