quotes,authors,categories
Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.,Buddha,Anger
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,Mark Twain,Anger
"Anybody can become angry - that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way - that is not within everybody's power and is not easy.",Aristotle,Anger
"While seeking revenge, dig two graves - one for yourself.",Douglas Horton,Anger
"When anger rises, think of the consequences.",Confucius,Anger
You reclaim your power by loving what you were once taught to hate.,Bryant H. McGill,Anger
"For every minute you remain angry, you give up sixty seconds of peace of mind.",Ralph Waldo Emerson,Anger
"When angry count to ten before you speak. If very angry, count to one hundred.",Thomas Jefferson,Anger
"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you.",Joel Osteen,Anger
Violence is the last refuge of the incompetent.,Isaac Asimov,Anger
Whatever is begun in anger ends in shame.,Benjamin Franklin,Anger
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.,Maya Angelou,Anger
I shall allow no man to belittle my soul by making me hate him.,Booker T. Washington,Anger
A man who has not passed through the inferno of his passions has never overcome them.,Carl Jung,Anger
"Heaven has no rage like love to hatred turned, nor hell a fury like a woman scorned.",William Congreve,Anger
"In times of great stress or adversity, it's always best to keep busy, to plow your anger and your energy into something positive.",Lee Iacocca,Anger
A man that studieth revenge keeps his own wounds green.,Francis Bacon,Anger
"Let us not look back in anger, nor forward in fear, but around in awareness.",James Thurber,Anger
How much more grievous are the consequences of anger than the causes of it.,Marcus Aurelius,Anger
"When you are offended at any man's fault, turn to yourself and study your own failings. Then you will forget your anger.",Epictetus,Anger
Anger and intolerance are the enemies of correct understanding.,Mahatma Gandhi,Anger
A man who has never made a woman angry is a failure in life.,Christopher Morley,Anger
"Be not angry that you cannot make others as you wish them to be, since you cannot make yourself as you wish to be.",Thomas a Kempis,Anger
"There are two things a person should never be angry at, what they can help, and what they cannot.",Plato,Anger
To be angry is to revenge the faults of others on ourselves.,Alexander Pope,Anger
He who angers you conquers you.,Elizabeth Kenny,Anger
Sometimes it's worse to win a fight than to lose.,Billie Holiday,Anger
"If you get down and quarell everyday, you're saying prayers to the devil, I say.",Bob Marley,Anger
"There's a natural law of karma that vindictive people, who go out of their way to hurt others, will end up broke and alone.",Sylvester Stallone,Anger
Speak when you are angry - and you'll make the best speech you'll ever regret.,Laurence J. Peter,Anger
Anger is a wind which blows out the lamp of the mind.,Robert Green Ingersoll,Anger
Anger dwells only in the bosom of fools.,Albert Einstein,Anger
Discussion is an exchange of knowledge; an argument an exchange of ignorance.,Robert Quillen,Anger
"Get mad, then get over it.",Colin Powell,Anger
"Anger begins with folly, and ends with repentance.",Pythagoras,Anger
"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects.",Richard M. Nixon,Anger
Grab the broom of anger and drive off the beast of fear.,Zora Neale Hurston,Anger
"Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.",Lucius Annaeus Seneca,Anger
It is impossible for you to be angry and laugh at the same time. Anger and laughter are mutually exclusive and you have the power to choose either.,Wayne Dyer,Anger
People won't have time for you if you are always angry or complaining.,Stephen Hawking,Anger
"Beware of him that is slow to anger; for when it is long coming, it is the stronger when it comes, and the longer kept. Abused patience turns to fury.",Francis Quarles,Anger
Never contend with a man who has nothing to lose.,Baltasar Gracian,Anger
Keep your temper. A decision made in anger is never sound.,Ford Frick,Anger
"When a man points a finger at someone else, he should remember that four of his fingers are pointing at himself.",Louis Nizer,Anger
"When one burns one's bridges, what a very nice fire it makes.",Dylan Thomas,Anger
Silence is one of the hardest arguments to refute.,Josh Billings,Anger
"Anger is a killing thing: it kills the man who angers, for each rage leaves him less than he had been before - it takes something from him.",Louis L'Amour,Anger
Never go to bed mad. Stay up and fight.,Phyllis Diller,Anger
Getting angry doesn't solve anything.,Grace Kelly,Anger
"Fear is the only true enemy, born of ignorance and the parent of anger and hate.",Edward Albert,Anger
"Sometimes, you have to get angry to get things done.",Ang Lee,Anger
"Every time you get angry, you poison your own system.",Alfred A. Montapert,Anger
"Be calm in arguing; for fierceness makes error a fault, and truth discourtesy.",George Herbert,Anger
"The opposite of anger is not calmness, its empathy.",Mehmet Oz,Anger
Ridicule is the first and last argument of a fool.,Charles Simmons,Anger
Love implies anger. The man who is angered by nothing cares about nothing.,Edward Abbey,Anger
Hatred is an affair of the heart; contempt that of the head.,Arthur Schopenhauer,Anger
"I don't usually lose my temper, but if I get angry, it's true - I'm scary.",Eva Mendes,Anger
Anger ventilated often hurries towards forgiveness; anger concealed often hardens into revenge.,Edward G. Bulwer-Lytton,Anger
There was never an angry man that thought his anger unjust.,Saint Francis de Sales,Anger
Revenge is often like biting a dog because the dog bit you.,Austin O'Malley,Anger
Keep cool; anger is not an argument.,Daniel Webster,Anger
"A broken bone can heal, but the wound a word opens can fester forever.",Jessamyn West,Anger
"I get angry about things, then go on and work.",Toni Morrison,Anger
We boil at different degrees.,Clint Eastwood,Anger
Anger is a short madness.,Horace,Anger
"It doesn't pay to say too much when you are mad enough to choke. For the word that stings the deepest is the word that is never spoke, Let the other fellow wrangle till the storm has blown away, then he'll do a heap of thinking about the things you didn't say.",Jules Renard,Anger
How often it is that the angry man rages denial of what his inner self is telling him.,Frank Herbert,Anger
"If a small thing has the power to make you angry, does that not indicate something about your size?",Sydney J. Harris,Anger
No man can think clearly when his fists are clenched.,George Jean Nathan,Anger
"Anger is a momentary madness, so control your passion or it will control you.",G. M. Trevelyan,Anger
Everybody in America is angry about something.,Anthony Braxton,Anger
"Somebody hits me, I'm going to hit him back. Even if it does look like he hasn't eaten in a while.",Charles Barkley,Anger
Anger is an expensive luxury in which only men of certain income can indulge.,George William Curtis,Anger
"Make sure you never, never argue at night. You just lose a good night's sleep, and you can't settle anything until morning anyway.",Rose Kennedy,Anger
"When you learn that a truth is a lie, anger follows.",Grace Slick,Anger
An angry man is again angry with himself when he returns to reason.,Publilius Syrus,Anger
Anger is as a stone cast into a wasp's nest.,Pope Paul VI,Anger
"I get angry at a principle, not a person.",Norman Schwarzkopf,Anger
A hungry man is an angry one.,Buchi Emecheta,Anger
The best remedy for a short temper is a long walk.,Joseph Joubert,Anger
Behind every argument is someone's ignorance.,Louis D. Brandeis,Anger
"Everybody kind of perceives me as being angry. It's not anger, it's motivation.",Roger Clemens,Anger
You want to see an angry person? Let me hear a cell phone go off.,Jim Lehrer,Anger
There's nothing wrong with anger provided you use it constructively.,Wayne Dyer,Anger
Anger and jealousy can no more bear to lose sight of their objects than love.,George Eliot,Anger
The world needs anger. The world often continues to allow evil because it isn't angry enough.,Bede Jarrett,Anger
The greatest remedy for anger is delay.,Lucius Annaeus Seneca,Anger
I don't like anybody to be angry with me. I'd rather have friends.,B. B. King,Anger
Always write angry letters to your enemies. Never mail them.,James Fallows,Anger
"You will not be punished for your anger, you will be punished by your anger.",Buddha,Anger
"When a man is wrong and won't admit it, he always gets angry.",Thomas Chandler Haliburton,Anger
Man should forget his anger before he lies down to sleep.,Thomas de Quincey,Anger
You cannot get ahead while you are getting even.,Dick Armey,Anger
"Usually when people are sad, they don't do anything. They just cry over their condition. But when they get angry, they bring about a change.",James Russell Lowell,Anger
When I am angry I can pray well and preach well.,Martin Luther,Anger
"My whole life, people have been saying, Why are you so angry?",Fiona Apple,Anger
"Indulge not thyself in the passion of anger; it is whetting a sword to wound thine own breast, or murder thy friend.",Akhenaton,Anger
"When angry, count to four; when very angry, swear.",Mark Twain,Anger
"A wonderful emotion to get things moving when one is stuck is anger. It was anger more than anything else that had set me off, roused me into productivity and creativity.",Mary Garden,Anger
Anger cannot be dishonest.,Marcus Aurelius,Anger
"Never go to bed angry, stay up and fight.",William Congreve,Anger
I am a danger to myself if I get angry.,Oriana Fallaci,Anger
He best keeps from anger who remembers that God is always looking upon him.,B. C. Forbes,Anger
"Anger is never without a reason, but seldom with a good one.",Benjamin Franklin,Anger
"Never do anything when you are in a temper, for you will do everything wrong.",Baltasar Gracian,Anger
There never was a social change in America without angry people at the heart.,Keith Miller,Anger
My father was often angry when I was most like him.,Lillian Hellman,Anger
"Anger makes dull men witty, but it keeps them poor.",Francis Bacon,Anger
Hatred is inveterate anger.,Marcus Tullius Cicero,Anger
"In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.",Buddha,Anger
A man that does not know how to be angry does not know how to be good.,Henry Ward Beecher,Anger
There is nothing that so much gratifies an ill tongue as when it finds an angry heart.,Thomas Fuller,Anger
"The flame of anger, bright and brief, sharpens the barb of love.",Walter Savage Landor,Anger
"A large part of mankind is angry not with the sins, but with the sinners.",Lucius Annaeus Seneca,Anger
Arguments only confirm people in their own opinions.,Booth Tarkington,Anger
"Be modest, humble, simple. Control your anger.",Abraham Cahan,Anger
One should not lose one's temper unless one is certain of getting more and more angry to the end.,William Butler Yeats,Anger
"He that would be angry and sin not, must not be angry with anything but sin.",John Ruskin,Anger
He that will be angry for anything will be angry for nothing.,Sallust,Anger
Expressing anger is a form of public littering.,Willard Gaylin,Anger
I'm too mature to be angry.,Jesse Jackson,Anger
Anger is a transient hatred; or at least very like it.,Robert South,Anger
Experts say you should never hit your children in anger. When is a good time? When you're feeling festive?,Roseanne Barr,Anger
Fair peace becomes men; ferocious anger belongs to beasts.,Ovid,Anger
People are unjust to anger - it can be enlivening and a lot of fun.,Philip Roth,Anger
"Anger is never without an argument, but seldom with a good one.",George Savile,Anger
I've purged myself of bitterness and anger and remained open to love.,Tatum O'Neal,Anger
To rule one's anger is well; to prevent it is better.,Tryon Edwards,Anger
An angry player can't argue with the back of an umpire who is walking away.,Bill Klem,Anger
"I am too weary to listen, too angry to hear.",Daniel Bell,Anger
"The anger of a person who is strong, can always bide its time.",James Whitcomb Riley,Anger
I know of no more disagreeable situation than to be left feeling generally angry without anybody in particular to be angry at.,Frank Moore Colby,Anger
"My tastes lean toward the more negative, angry and eclectic.",Josh Silver,Anger
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen,Anger
"Anger begets more anger, and forgiveness and love lead to more forgiveness and love.",Mahavira,Anger
I have not lost faith in God. I have moments of anger and protest. Sometimes I've been closer to him for that reason.,Elie Wiesel,Anger
"Revenge and retaliation always perpetuate the cycle of anger, fear and violence.",Coretta Scott King,Anger
"For me, comedy starts as a spew, a kind of explosion, and then you sculpt it from there, if at all. It comes out of a deeper, darker side. Maybe it comes from anger, because I'm outraged by cruel absurdities, the hypocrisy that exists everywhere, even within yourself, where it's hardest to see.",Robin Williams,Anger
"My friends, love is better than anger. Hope is better than fear. Optimism is better than despair. So let us be loving, hopeful and optimistic. And we'll change the world.",Jack Layton,Anger
"Holding on to anger, resentment and hurt only gives you tense muscles, a headache and a sore jaw from clenching your teeth. Forgiveness gives you back the laughter and the lightness in your life.",Joan Lunden,Anger
"Too much self-centered attitude, you see, brings, you see, isolation. Result: loneliness, fear, anger. The extreme self-centered attitude is the source of suffering.",Dalai Lama,Anger
"When you create Hope in people, you create expectations. When you do not fulfill those expectations, when the change becomes more of the same old, same old, the Hope that was created can only turn to anger, frustration and bitter disappointment.",Vermin Supreme,Anger
"What is forgiveness? An emotion? A coping mechanism? An element of deepest faith? A way for the heart and soul to combat the type of hate, anger, rage and a thirst for revenge that could ultimately consume a person? All of those and more?",Mike Barnicle,Anger
"In our daily life, we encounter people who are angry, deceitful, intent only on satisfying their own needs. There is so much anger, distrust, greed, and pettiness that we are losing our capacity to work well together.",Margaret J. Wheatley,Anger
