quotes,authors,categories
The best way to keep your friends is not to give them away.,Wilson Mizner,Best
"In any moment of decision, the best thing you can do is the right thing, the next best thing is the wrong thing, and the worst thing you can do is nothing.",Theodore Roosevelt,Best
The best way to find yourself is to lose yourself in the service of others.,Mahatma Gandhi,Best
Living well is the best revenge.,George Herbert,Best
The best revenge is massive success.,Frank Sinatra,Best
"To give anything less than your best, is to sacrifice the gift.",Steve Prefontaine,Best
Knowing your own darkness is the best method for dealing with the darknesses of other people.,Carl Jung,Best
The best way to predict the future is to create it.,Peter Drucker,Best
"To be nobody but yourself in a world which is doing its best, night and day, to make you everybody else - means to fight the hardest battle which any human being can fight; and never stop fighting.",e. e. cummings,Best
"At his best, man is the noblest of all animals; separated from law and justice he is the worst.",Aristotle,Best
The best revenge is to be unlike him who performed the injury.,Marcus Aurelius,Best
I have the simplest tastes. I am always satisfied with the best.,Oscar Wilde,Best
"I'm selfish, impatient, and a little insecure. I make mistakes, I'm out of control, and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,Best
I do the very best I know how - the very best I can; and I mean to keep on doing so until the end.,Abraham Lincoln,Best
"There are some things you learn best in calm, and some in storm.",Willa Cather,Best
The best cure for the body is a quiet mind.,Napoleon Bonaparte,Best
"I am as bad as the worst, but, thank God, I am as good as the best.",Walt Whitman,Best
Expect the best. Prepare for the worst. Capitalize on what comes.,Zig Ziglar,Best
A problem is a chance for you to do your best.,Duke Ellington,Best
The best way to find out if you can trust somebody is to trust them.,Ernest Hemingway,Best
Learn to say 'no' to the good so you can say 'yes' to the best.,John C. Maxwell,Best
The best revenge is to live on and prove yourself.,Eddie Vedder,Best
"Do what you love to do and give it your very best. Whether it's business or baseball, or the theater, or any field. If you don't love what you're doing and you can't give it your best, get out of it. Life is too short. You'll be an old man before you know it.",Al Lopez,Best
You have to accept whatever comes and the only important thing is that you meet it with courage and with the best that you have to give.,Eleanor Roosevelt,Best
The worst thing that happens to you may be the best thing for you if you don't let it get the best of you.,Will Rogers,Best
"It was the best of times, it was the worst of times.",Charles Dickens,Best
The best luck of all is the luck you make for yourself.,Douglas MacArthur,Best
Nobody who ever gave his best regretted it.,George Halas,Best
"At its best, life is completely unpredictable.",Christopher Walken,Best
Just do what you do best.,Red Auerbach,Best
"If a man does his best, what else is there?",George S. Patton,Best
"It's a funny thing about life; if you refuse to accept anything but the best, you very often get it.",W. Somerset Maugham,Best
"I did my best, and God did the rest.",Hattie McDaniel,Best
The best preparation for tomorrow is to do today's work superbly well.,William Osler,Best
Grow old with me! The best is yet to be.,Robert Browning,Best
"I always prefer to believe the best of everybody, it saves so much trouble.",Rudyard Kipling,Best
"I believe that a simple and unassuming manner of life is best for everyone, best both for the body and the mind.",Albert Einstein,Best
The best thing about the future is that it comes only one day at a time.,Dean Acheson,Best
This is the precept by which I have lived: Prepare for the worst; expect the best; and take what comes.,Hannah Arendt,Best
I will do my best. That is all I can do. I ask for your help - and God's.,Lyndon B. Johnson,Best
The best vision is insight.,Malcolm Forbes,Best
The best work is not what is most difficult for you; it is what you do best.,Jean-Paul Sartre,Best
The best way of removing negativity is to laugh and be joyous.,David Icke,Best
"The best doctors in the world are Doctor Diet, Doctor Quiet, and Doctor Merryman.",Jonathan Swift,Best
"The most basic question is not what is best, but who shall decide what is best.",Thomas Sowell,Best
It is best for the wise man not to seem wise.,Aeschylus,Best
The best road to progress is freedom's road.,John F. Kennedy,Best
I have found the best way to give advice to your children is to find out what they want and then advise them to do it.,Harry S Truman,Best
"Whether it's the best of times or the worst of times, it's the only time we've got.",Art Buchwald,Best
The days you work are the best days.,Georgia O'Keeffe,Best
The best things in life are silly.,Scott Adams,Best
First gain the victory and then make the best use of it you can.,Horatio Nelson,Best
But men are men; the best sometimes forget.,William Shakespeare,Best
"Best to live lightly, unthinkingly.",Sophocles,Best
"I have made the choices that work best for me. I know I cannot please everyone, and that's fine.",Marlee Matlin,Best
Find out what you like doing best and get someone to pay you for it.,Katharine Whitehorn,Best
The best way to hold a man is in your arms.,Mae West,Best
"When things are bad, it's the best time to reinvent yourself.",George Lopez,Best
That's your best friend and your worst enemy - your own brain.,Fred Durst,Best
You'll live. Only the best get killed.,Charles de Gaulle,Best
The best way to cheer yourself up is to try to cheer somebody else up.,Mark Twain,Best
Things turn out best for the people who make the best of the way things turn out.,John Wooden,Best
Old friends are best.,John Selden,Best
You get the best out of others when you get the best out of yourself.,Harvey S. Firestone,Best
There is only one real sin and that is to persuade oneself that the second best is anything but second best.,Doris Lessing,Best
The best way to navigate through life is to give up all of our controls.,Gerald Jampolsky,Best
The best thing about animals is that they don't talk much.,Thornton Wilder,Best
One of the best things to do sometimes is simply to be.,Eric Butterworth,Best
He who has done his best for his own time has lived for all times.,Friedrich Schiller,Best
The best ideas come as jokes. Make your thinking as funny as possible.,David Ogilvy,Best
"Life doesn't require that we be the best, only that we try our best.","H. Jackson Brown, Jr.",Best
To give and then not feel that one has given is the very best of all ways of giving.,Max Beerbohm,Best
He who knows best knows how little he knows.,Thomas Jefferson,Best
"Most of the things we decide are not what we know to be the best. We say yes, merely because we are driven into a corner and must say something.",Frank Crane,Best
The best books... are those that tell you what you know already.,George Orwell,Best
"Usually, the stuff that's your best idea or work is going to be attacked the most.",Francis Ford Coppola,Best
The things we know best are the things we haven't been taught.,Luc de Clapiers,Best
"To love and win is the best thing. To love and lose, the next best.",William Makepeace Thackeray,Best
Just do the best you can. No one can do more than that.,John Wooden,Best
"In the practice of tolerance, one's enemy is the best teacher.",Dalai Lama,Best
The best mirror is an old friend.,Peter Nivio Zarlenga,Best
The best person to get something done is a busy person.,Mark Burnett,Best
"Enthusiasm is the best protection in any situation. Wholeheartedness is contagious. Give yourself, if you wish to get others.",David Seabury,Best
The best thing to do with the best things in life is to give them up.,Ambrose Bierce,Best
"Clever men are good, but they are not the best.",Thomas Carlyle,Best
Do right. Do your best. Treat others as you want to be treated.,Lou Holtz,Best
"That best portion of a man's life, his little, nameless, unremembered acts of kindness and love.",William Wordsworth,Best
The only real failure in life is not to be true to the best one knows.,Buddha,Best
"When we do the best that we can, we never know what miracle is wrought in our life, or in the life of another.",Helen Keller,Best
The best way to keep one's word is not to give it.,Napoleon Bonaparte,Best
The best intelligence test is what we do with our leisure.,Laurence J. Peter,Best
I am easily satisfied with the very best.,Winston Churchill,Best
But I always think that the best way to know God is to love many things.,Vincent Van Gogh,Best
"A person always doing his or her best becomes a natural leader, just by example.",Joe DiMaggio,Best
"We are at our very best, and we are happiest, when we are fully engaged in work we enjoy on the journey toward the goal we've established for ourselves. It gives meaning to our time off and comfort to our sleep. It makes everything else in life so wonderful, so worthwhile.",Earl Nightingale,Best
When you do not know what you are doing and what you are doing is the best - that is inspiration.,Robert Bresson,Best
"Look for your choices, pick the best one, then go with it.",Pat Riley,Best
I never had a policy; I have just tried to do my very best each and every day.,Abraham Lincoln,Best
Look your best - who said love is blind?,Mae West,Best
"Why don't you start believing that no matter what you have or haven't done, that your best days are still out in front of you.",Joel Osteen,Best
The man who has done his best has done everything.,Charles M. Schwab,Best
The best time for you to hold your tongue is the time you feel you must say something or bust.,Josh Billings,Best
The best way to resolve any problem in the human world is for all sides to sit down and talk.,Dalai Lama,Best
The best is the enemy of the good.,Voltaire,Best
"Do the best you can, and don't take life too serious.",Will Rogers,Best
"A woman knows by intuition, or instinct, what is best for herself.",Marilyn Monroe,Best
"If you want to go somewhere, it is best to find someone who has already been there.",Robert Kiyosaki,Best
Culture is the habit of being pleased with the best and knowing why.,Henry Van Dyke,Best
The worst men often give the best advice.,Francis Bacon,Best
"The creed of a true saint is to make the best of life, and to make the most of it.",Edwin Hubbel Chapin,Best
Our best thoughts come from others.,Ralph Waldo Emerson,Best
"Next to acquiring good friends, the best acquisition is that of good books.",Charles Caleb Colton,Best
"Everybody's got a job to do, and I do mine as best I can.",Marlee Matlin,Best
I am the best in baseball.,Reggie Jackson,Best
Life is best when you are in love.,Michael Moriarty,Best
"Since we live in this world, we have to do our best for this world.",Aung San Suu Kyi,Best
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,Helen Keller,Best
"Good, better, best. Never let it rest. 'Til your good is better and your better is best.",St. Jerome,Best
The best preparation for tomorrow is doing your best today.,"H. Jackson Brown, Jr.",Best
Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.,A. P. J. Abdul Kalam,Best
An investment in knowledge pays the best interest.,Benjamin Franklin,Best
"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.",Lao Tzu,Best
The best argument against democracy is a five-minute conversation with the average voter.,Winston Churchill,Best
"If it's your job to eat a frog, it's best to do it first thing in the morning. And If it's your job to eat two frogs, it's best to eat the biggest one first.",Mark Twain,Best
"I have great respect for the past. If you don't know where you've come from, you don't know where you're going. I have respect for the past, but I'm a person of the moment. I'm here, and I do my best to be completely centered at the place I'm at, then I go forward to the next place.",Maya Angelou,Best
"The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand.",Vince Lombardi,Best
