quotes,authors,categories
"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell,Business
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",Mark Twain,Business
"If you owe the bank $100 that's your problem. If you owe the bank $100 million, that's the bank's problem.",J. Paul Getty,Business
"If one does not know to which port one is sailing, no wind is favorable.",Lucius Annaeus Seneca,Business
"If you're trying to create a company, it's like baking a cake. You have to have all the ingredients in the right proportion.",Elon Musk,Business
Making money is art and working is art and good business is the best art.,Andy Warhol,Business
"There is only one boss. The customer. And he can fire everybody in the company from the chairman on down, simply by spending his money somewhere else.",Sam Walton,Business
A brand for a company is like a reputation for a person. You earn reputation by trying to do hard things well.,Jeff Bezos,Business
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all.,Dale Carnegie,Business
Just because something doesn't do what you planned it to do doesn't mean it's useless.,Thomas A. Edison,Business
"In the business world, everyone is paid in two coins: cash and experience. Take the experience first; the cash will come later.",Harold S. Geneen,Business
"The first responsibility of a leader is to define reality. The last is to say thank you. In between, the leader is a servant.",Max de Pree,Business
A business that makes nothing but money is a poor business.,Henry Ford,Business
Details create the big picture.,Sanford I. Weill,Business
"The entrepreneur always searches for change, responds to it, and exploits it as an opportunity.",Peter Drucker,Business
A company is only as good as the people it keeps.,Mary Kay Ash,Business
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,Theodore Isaac Rubin,Business
"Don't worry about people stealing your ideas. If your ideas are any good, you'll have to ram them down people's throats.",Howard Aiken,Business
"Almost all quality improvement comes via simplification of design, manufacturing... layout, processes, and procedures.",Tom Peters,Business
"An organization's ability to learn, and translate that learning into action rapidly, is the ultimate competitive advantage.",Jack Welch,Business
Ask five economists and you'll get five different answers - six if one went to Harvard.,Edgar Fiedler,Business
Do more than is required. What is the distance between someone who achieves their goals consistently and those who spend their lives and careers merely following? The extra mile.,Gary Ryan Blair,Business
"Ideas pull the trigger, but instinct loads the gun.",Don Marquis,Business
"I hope we shall crush in its birth the aristocracy of our monied corporations which dare already to challenge our government to a trial by strength, and bid defiance to the laws of our country.",Thomas Jefferson,Business
No enterprise is more likely to succeed than one concealed from the enemy until it is ripe for execution.,Niccolo Machiavelli,Business
Our work is the presentation of our capabilities.,Edward Gibbon,Business
Effort only fully releases its reward after a person refuses to quit.,Napoleon Hill,Business
Failure doesn't mean you are a failure it just means you haven't succeeded yet.,Robert H. Schuller,Business
One of the tests of leadership is the ability to recognize a problem before it becomes an emergency.,Arnold H. Glasow,Business
"So little done, so much to do.",Cecil Rhodes,Business
"It is not from the benevolence of the butcher, the brewer, or the baker that we expect our dinner, but from their regard to their own interest.",Adam Smith,Business
An economist is an expert who will know tomorrow why the things he predicted yesterday didn't happen today.,Laurence J. Peter,Business
"And while the law of competition may be sometimes hard for the individual, it is best for the race, because it ensures the survival of the fittest in every department.",Andrew Carnegie,Business
"Sooner or later, those who win are those who think they can.",Paul Tournier,Business
Economic depression cannot be cured by legislative action or executive pronouncement. Economic wounds must be healed by the action of the cells of the economic body - the producers and consumers themselves.,Herbert Hoover,Business
Sales are contingent upon the attitude of the salesman - not the attitude of the prospect.,W. Clement Stone,Business
It's easy to make a buck. It's a lot tougher to make a difference.,Tom Brokaw,Business
"Profit in business comes from repeat customers, customers that boast about your project or service, and that bring friends with them.",W. Edwards Deming,Business
First-rate people hire first-rate people; second-rate people hire third-rate people.,Leo Rosten,Business
"An organization, no matter how well designed, is only as good as the people who live and work in it.",Dee Hock,Business
Meetings are indispensable when you don't want to do anything.,John Kenneth Galbraith,Business
Business is a combination of war and sport.,Andre Maurois,Business
The business of America is business.,Calvin Coolidge,Business
"In modern business it is not the crook who is to be feared most, it is the honest man who doesn't know what he is doing.",William Wordsworth,Business
"If you want to kill any idea in the world, get a committee working on it.",Charles Kettering,Business
Reason and judgment are the qualities of a leader.,Tacitus,Business
Corporation: An ingenious device for obtaining profit without individual responsibility.,Ambrose Bierce,Business
"It's not what you pay a man, but what he costs you that counts.",Will Rogers,Business
