quotes,authors,categories
"I spent a lot of money on booze, birds and fast cars. The rest I just squandered.",George Best,Car
"Everything in life is somewhere else, and you get there in a car.",E. B. White,Car
The cars we drive say a lot about us.,Alexandra Paul,Car
"I know a lot about cars, man. I can look at any car's headlights and tell you exactly which way it's coming.",Mitch Hedberg,Car
It's a never ending battle of making your cars better and also trying to be better yourself.,Dale Earnhardt,Car
"It's like driving a car at night. You never see further than your headlights, but you can make the whole trip that way.",E. L. Doctorow,Car
Fast cars are my only vice.,Michael Bay,Car
"The automobile engine will come, and then I will consider my life's work complete.",Rudolf Diesel,Car
"If you own a home with wheels on it and several cars without, you just might be a redneck.",Jeff Foxworthy,Car
"In the history of the world, no one has ever washed a rented car.",Lawrence Summers,Car
Here comes 40. I'm feeling my age and I've ordered the Ferrari. I'm going to get the whole mid-life crisis package.,Keanu Reeves,Car
A car for every purse and purpose.,Alfred P. Sloan,Car
Self-driving cars are the natural extension of active safety and obviously something we should do.,Elon Musk,Car
Germans make nice cars.,Jason Behr,Car
The best car safety device is a rear-view mirror with a cop in it.,Dudley Moore,Car
"We aren't addicted to oil, but our cars are.",James Woolsey,Car
"When it comes to cars, only two varieties of people are possible - cowards and fools.",Russell Baker,Car
"I was quiet, a loner. I was one of those children where, if you put me in a room and gave me some crayons and a pencils, you wouldn't hear from me for nine straight hours. And I was always drawing racing cars and rockets and spaceships and planes, things that were very fast that would take me away.",Gary Oldman,Car
Cars and cameras are the two things I let myself be materialistic about. I don't care about other stuff.,Louis C. K.,Car
"I don't run a car, have never run a car. I could say that this is because I have this extremely tender environmentalist conscience, but the fact is I hate driving.",David Attenborough,Car
Tesla is here to stay and keep fighting for the electric car revolution.,Elon Musk,Car
Drive-in banks were established so most of the cars today could see their real owners.,E. Joseph Cossman,Car
"If GM had kept up with technology like the computer industry has, we would all be driving $25 cars that got 1,000 MPG.",Bill Gates,Car
I admit to wasting my life messing around with fast cars and motorcycles.,Brock Yates,Car
I don't buy fur coats or jewelry. I have old cars.,Peta Wilson,Car
"To attract men, I wear a perfume called 'New Car Interior.'",Rita Rudner,Car
Consider what kind of car you get. Buy cars and other products that have the least impact environmentally.,Al Gore,Car
"If all the cars in the United States were placed end to end, it would probably be Labor Day Weekend.",Doug Larson,Car
The greatest pleasure when I started making money was not buying cars or yachts but finding myself able to have as many freshly typed drafts as possible.,Gore Vidal,Car
I love vintage cars because you can do so much more to them.,T-Pain,Car
"We often attribute 'understanding' and other cognitive predicates by metaphor and analogy to cars, adding machines, and other artifacts, but nothing is proved by such attributions.",John Searle,Car
"I hooked up my accelerator pedal in my car to my brake lights. I hit the gas, people behind me stop, and I'm gone.",Steven Wright,Car
"The car has become the carapace, the protective and aggressive shell, of urban and suburban man.",Marshall McLuhan,Car
You have to wait six months to purchase a fuel efficient automobile made from overseas.,Ed Markey,Car
Americans are the only people in the world known to me whose status anxiety prompts them to advertise their college and university affiliations in the rear window of their automobiles.,Paul Fussell,Car
Auto racing is boring except when a car is going at least 172 miles per hour upside down.,Dave Barry,Car
My opinion is it's a bridge too far to go to fully autonomous cars.,Elon Musk,Car
"My dad was very successful running midgets in Texas. Then, his two drivers ran into some bad luck. People started saying that Daddy had lost his touch. That it was the cars and not the drivers. I wanted to race just to prove all those people wrong.",A. J. Foyt,Car
I would have probably stolen cars - it would have given me the same adrenaline rush as racing.,Valentino Rossi,Car
Environmentalists have a very conflicted relationship with their cars.,Tom Arnold,Car
"I liken myself to Henry Ford and the auto industry, I give you 90 percent of what most people need.",Adam Osborne,Car
"I love driving cars, looking at them, cleaning and washing and shining them. I clean 'em inside and outside. I'm very touchy about cars. I don't want anybody leaning on them or closing the door too hard, know what I mean?",Scott Baio,Car
"I'm an anorak. I've always been an obsessive collector of things. Richard Briers collects stamps. I collect cars and guns, which are much more expensive, and much more difficult to store.",Michael Gambon,Car
Car designers are just going to have to come up with an automobile that outlasts the payments.,Erma Bombeck,Car
"There's three things men always talk about - women, sports, and cars.",Mario Lopez,Car
I always do like seeing other people dance in their cars. It's one of the things that makes me happy.,Ariel Gore,Car
"I drive Fords, and I've driven American cars all my life, and I want to have a strong American manufacturing sector, especially in automobiles.",Jim DeMint,Car
"Why did they keep changing guitars and amplifiers when they were perfect? They did the same things with cars, if you ask me. They forgot how to make them right, because they focused on style and bells and whistles.",Buddy Guy,Car
