quotes,authors,categories
"Success is never final, failure is never fatal. It's courage that counts.",John Wooden,Courage
Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen.,Winston Churchill,Courage
Only those who will risk going too far can possibly find out how far one can go.,T. S. Eliot,Courage
"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain,Courage
Never bend your head. Always hold it high. Look the world straight in the eye.,Helen Keller,Courage
"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking. Don't let the noise of others' opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition.",Steve Jobs,Courage
"Courage is the most important of all the virtues, because without courage you can't practice any other virtue consistently. You can practice any virtue erratically, but nothing consistently without courage.",Maya Angelou,Courage
He who is not courageous enough to take risks will accomplish nothing in life.,Muhammad Ali,Courage
"Courage is fire, and bullying is smoke.",Benjamin Disraeli,Courage
The secret to happiness is freedom... And the secret to freedom is courage.,Thucydides,Courage
"If you have no confidence in self, you are twice defeated in the race of life.",Marcus Garvey,Courage
You will never do anything in this world without courage. It is the greatest quality of the mind next to honor.,Aristotle,Courage
Man cannot discover new oceans unless he has the courage to lose sight of the shore.,Andre Gide,Courage
"Inaction breeds doubt and fear. Action breeds confidence and courage. If you want to conquer fear, do not sit home and think about it. Go out and get busy.",Dale Carnegie,Courage
What would life be if we had no courage to attempt anything?,Vincent Van Gogh,Courage
Efforts and courage are not enough without purpose and direction.,John F. Kennedy,Courage
"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",Nelson Mandela,Courage
"Courage is not simply one of the virtues, but the form of every virtue at the testing point.",C. S. Lewis,Courage
Courage is grace under pressure.,Ernest Hemingway,Courage
"Never be discouraged. If I were sunk in the lowest pits of Nova Scotia, with the Rocky Mountains piled on me, I would hang on, exercise faith, and keep up good courage, and I would come out on top.","Joseph Smith, Jr.",Courage
Life shrinks or expands in proportion to one's courage.,Anais Nin,Courage
Courage is the price that life exacts for granting peace.,Amelia Earhart,Courage
"Jump, and you will find out how to unfold your wings as you fall.",Ray Bradbury,Courage
Courage is the ladder on which all the other virtues mount.,Clare Boothe Luce,Courage
"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I lived through this horror. I can take the next thing that comes along.'",Eleanor Roosevelt,Courage
Those who lack the courage will always find a philosophy to justify it.,Albert Camus,Courage
"Courage is contagious. When a brave man takes a stand, the spines of others are often stiffened.",Billy Graham,Courage
"He is a man of courage who does not run away, but remains at his post and fights against the enemy.",Socrates,Courage
Bravery is being the only one who knows you're afraid.,Franklin P. Jones,Courage
The best protection any woman can have... is courage.,Elizabeth Cady Stanton,Courage
To see the right and not to do it is cowardice.,Confucius,Courage
Creativity takes courage.,Henri Matisse,Courage
People with courage and character always seem sinister to the rest.,Hermann Hesse,Courage
Courage is fear holding on a minute longer.,George S. Patton,Courage
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J. K. Rowling,Courage
"There are no easy answers, but there are simple answers. We must have the courage to do what we know is morally right.",Ronald Reagan,Courage
Any intelligent fool can make things bigger and more complex... It takes a touch of genius - and a lot of courage to move in the opposite direction.,E. F. Schumacher,Courage
"It takes a lot of courage to release the familiar and seemingly secure, to embrace the new. But there is no real security in what is no longer meaningful. There is more security in the adventurous and exciting, for in movement there is life, and in change there is power.",Alan Cohen,Courage
He who is brave is free.,Lucius Annaeus Seneca,Courage
Boldness be my friend.,William Shakespeare,Courage
"Courage, above all things, is the first quality of a warrior.",Carl von Clausewitz,Courage
Courage is knowing what not to fear.,Plato,Courage
Have the courage to say no. Have the courage to face the truth. Do the right thing because it is right. These are the magic keys to living your life with integrity.,W. Clement Stone,Courage
One man with courage is a majority.,Thomas Jefferson,Courage
Loyalty and devotion lead to bravery. Bravery leads to the spirit of self-sacrifice. The spirit of self-sacrifice creates trust in the power of love.,Morihei Ueshiba,Courage
"My message, especially to young people is to have courage to think differently, courage to invent, to travel the unexplored path, courage to discover the impossible and to conquer the problems and succeed. These are great qualities that they must work towards. This is my message to the young people.",A. P. J. Abdul Kalam,Courage
We must build dikes of courage to hold back the flood of fear.,"Martin Luther King, Jr.",Courage
The greatest test of courage on earth is to bear defeat without losing heart.,Robert Green Ingersoll,Courage
Courage is being scared to death... and saddling up anyway.,John Wayne,Courage
"We must become bigger than we have been: more courageous, greater in spirit, larger in outlook. We must become members of a new race, overcoming petty prejudice, owing our ultimate allegiance not to nations but to our fellow men within the human community.",Haile Selassie,Courage
Creativity requires the courage to let go of certainties.,Erich Fromm,Courage
"Don't Make Assumptions. Find the courage to ask questions and to express what you really want. Communicate with others as clearly as you can to avoid misunderstandings, sadness and drama. With just this one agreement, you can completely transform your life.",Don Miguel Ruiz,Courage
"Have no fear of moving into the unknown. Simply step out fearlessly knowing that I am with you, therefore no harm can befall you; all is very, very well. Do this in complete faith and confidence.",Pope John Paul II,Courage
Clear thinking requires courage rather than intelligence.,Thomas Szasz,Courage
Let us not pray to be sheltered from dangers but to be fearless when facing them.,Rabindranath Tagore,Courage
To have courage for whatever comes in life - everything lies in that.,Saint Teresa of Avila,Courage
The most courageous act is still to think for yourself. Aloud.,Coco Chanel,Courage
Courage is found in unlikely places.,J. R. R. Tolkien,Courage
"The opposite for courage is not cowardice, it is conformity. Even a dead fish can go with the flow.",Jim Hightower,Courage
"How few there are who have courage enough to own their faults, or resolution enough to mend them.",Benjamin Franklin,Courage
"We have a powerful potential in out youth, and we must have the courage to change old ideas and practices so that we may direct their power toward good ends.",Mary McLeod Bethune,Courage
"True courage is being afraid, and going ahead and doing your job anyhow, that's what courage is.",Norman Schwarzkopf,Courage
Courage is doing what you are afraid to do. There can be no courage unless you are scared.,Eddie Rickenbacker,Courage
Bravery is the capacity to perform properly even when scared half to death.,Omar N. Bradley,Courage
It requires more courage to suffer than to die.,Napoleon Bonaparte,Courage
"Courage is the greatest of all virtues, because if you haven't courage, you may not have an opportunity to use any of the others.",Samuel Johnson,Courage
"Have courage for the great sorrows of life and patience for the small ones; and when you have laboriously accomplished your daily task, go to sleep in peace.",Victor Hugo,Courage
The eagle has no fear of adversity. We need to be like the eagle and have a fearless spirit of a conqueror!,Joyce Meyer,Courage
"The opposite of courage in our society is not cowardice, it is conformity.",Rollo May,Courage
Fate loves the fearless.,James Russell Lowell,Courage
A great deal of talent is lost to the world for want of a little courage. Every day sends to their graves obscure men whose timidity prevented them from making a first effort.,Sydney Smith,Courage
Failure is unimportant. It takes courage to make a fool of yourself.,Charlie Chaplin,Courage
"If you are lucky enough to find a way of life you love, you have to find the courage to live it.",John Irving,Courage
To create one's world in any of the arts takes courage.,Georgia O'Keeffe,Courage
"Always be courageous and strong, and don't fear.",Gabby Douglas,Courage
Either you decide to stay in the shallow end of the pool or you go out in the ocean.,Christopher Reeve,Courage
"Fearlessness is not only possible, it is the ultimate joy. When you touch nonfear, you are free.",Thich Nhat Hanh,Courage
Happy are those who dare courageously to defend what they love.,Ovid,Courage
"People say to me all the time, 'You have no fear.' I tell them, 'No, that's not true. I'm scared all the time. You have to have fear in order to have courage. I'm a courageous person because I'm a scared person.'",Ronda Rousey,Courage
"The greatest obstacle to being heroic is the doubt whether one may not be going to prove one's self a fool; the truest heroism is to resist the doubt; and the profoundest wisdom, to know when it ought to be resisted, and when it be obeyed.",Nathaniel Hawthorne,Courage
Do not lose courage in considering your own imperfections.,Saint Francis de Sales,Courage
"It is only necessary to have courage, for strength without self-confidence is useless.",Giacomo Casanova,Courage
"If you could get up the courage to begin, you have the courage to succeed.",David Viscott,Courage
"The courage to be is the courage to accept oneself, in spite of being unacceptable.",Paul Tillich,Courage
Be courageous. I have seen many depressions in business. Always America has emerged from these stronger and more prosperous. Be brave as your fathers before you. Have faith! Go forward!,Thomas A. Edison,Courage
I know of no higher fortitude than stubborness in the face of overwhelming odds.,Louis Nizer,Courage
I'm grateful to God for His bountiful gifts... He gave me courage and faith in myself.,Loretta Young,Courage
Everyone has talent. What is rare is the courage to follow the talent to the dark place where it leads.,Erica Jong,Courage
"Real courage is when you know you're licked before you begin, but you begin anyway and see it through no matter what.",Harper Lee,Courage
"Courage - a perfect sensibility of the measure of danger, and a mental willingness to endure it.",William Tecumseh Sherman,Courage
Who asks whether the enemy was defeated by strategy or valor?,Virgil,Courage
"Courage is often lack of insight, whereas cowardice in many cases is based on good information.",Peter Ustinov,Courage
"Hope, like faith, is nothing if it is not courageous; it is nothing if it is not ridiculous.",Thornton Wilder,Courage
"I tend to think you're fearless when you recognize why you should be scared of things, but do them anyway.",Christian Bale,Courage
Courage is being afraid but going on anyhow.,Dan Rather,Courage
Courage is never to let your actions be influenced by your fears.,Arthur Koestler,Courage
I have a lot of things to prove to myself. One is that I can live my life fearlessly.,Oprah Winfrey,Courage
"One isn't necessarily born with courage, but one is born with potential. Without courage, we cannot practice any other virtue with consistency. We can't be kind, true, merciful, generous, or honest.",Maya Angelou,Courage
The trials on the road to world harmony are no greater than the courage of those who accept the challenge.,Carl Lewis,Courage
"You have to really be courageous about your instincts and your ideas. Otherwise you'll just knuckle under, and things that might have been memorable will be lost.",Francis Ford Coppola,Courage
Life is to be entered upon with courage.,Alexis de Tocqueville,Courage
It's a courageous thing to do something that doesn't have rules or limits.,Vanessa Paradis,Courage
"True courage is not the brutal force of vulgar heroes, but the firm resolve of virtue and reason.",Alfred North Whitehead,Courage
"Love bravely, live bravely, be courageous, there's really nothing to lose. There's no wrong you can't make right again, so be kinder to yourself, you know, have fun, take chances. There's no bounds.",Jewel,Courage
Courage is the capacity to confront what can be imagined.,Leo Rosten,Courage
A lot of people do not muster the courage to live their dreams because they are afraid to die.,Les Brown,Courage
Courage is a special kind of knowledge: the knowledge of how to fear what ought to be feared and how not to fear what ought not to be feared.,David Ben-Gurion,Courage
Courage and conviction are powerful weapons against an enemy who depends only on fists or guns. Animals know when you are afraid; a coward knows when you are not.,David Seabury,Courage
You can't test courage cautiously.,Annie Dillard,Courage
From caring comes courage.,Lao Tzu,Courage
I think my mother... made it clear that you have to live life by your own terms and you have to not worry about what other people think and you have to have the courage to do the unexpected.,Caroline Kennedy,Courage
