quotes,authors,categories
"Never let a fool kiss you, or a kiss fool you.",Joey Adams,Dating
I don't have a girlfriend. But I do know a woman who'd be mad at me for saying that.,Mitch Hedberg,Dating
"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.",Nicole Scherzinger,Dating
"Good night, good night! Parting is such sweet sorrow, that I shall say good night till it be morrow.",William Shakespeare,Dating
Love is like a virus. It can happen to anybody at any time.,Maya Angelou,Dating
"Kissing someone is pretty intimate, actually very intimate, and your heart always kind of skips a beat before you do that.",Keanu Reeves,Dating
Real magic in relationships means an absence of judgment of others.,Wayne Dyer,Dating
"If there hadn't been women we'd still be squatting in a cave eating raw meat, because we made civilization in order to impress our girlfriends.",Orson Welles,Dating
"Save a boyfriend for a rainy day - and another, in case it doesn't rain.",Mae West,Dating
"A kiss that is never tasted, is forever and ever wasted.",Billie Holiday,Dating
There's only two people in your life you should lie to... the police and your girlfriend.,Jack Nicholson,Dating
The sea hath fish for every man.,William Camden,Dating
"Rumors about me? Calista Flockhart, Pam Anderson, and Matt Damon. That's who I'm dating.",Ben Affleck,Dating
"It seems essential, in relationships and all tasks, that we concentrate only on what is most significant and important.",Soren Kierkegaard,Dating
Smart women love smart men more than smart men love smart women.,Natalie Portman,Dating
"Women are like cars: we all want a Ferrari, sometimes want a pickup truck, and end up with a station wagon.",Tim Allen,Dating
Choose a wife rather by your ear than your eye.,Thomas Fuller,Dating
"Nothing defines humans better than their willingness to do irrational things in the pursuit of phenomenally unlikely payoffs. This is the principle behind lotteries, dating, and religion.",Scott Adams,Dating
"I'm a fabulous date, I make sure I look good, I like hearing what a guy has to say and I make sure the evening is a real laugh. I like to laugh.",Eva Longoria,Dating
"In literature as in love, we are astonished at what is chosen by others.",Andre Maurois,Dating
Wine comes in at the mouth And love comes in at the eye; That's all we shall know for truth Before we grow old and die.,William Butler Yeats,Dating
I've never been Romeo who meets a girl and falls for her immediately. It's been a much slower process for me each time I've gone into a relationship.,Leonardo DiCaprio,Dating
A bachelor's life is no life for a single man.,Samuel Goldwyn,Dating
Kindness is really important to me in finding my own prince - so are patience and a sense of humor. Without those qualities he's no Prince Charming!,Anne Hathaway,Dating
No man should marry until he has studied anatomy and dissected at least one woman.,Honore de Balzac,Dating
"My perfect guy wears converse, is totally laid back, and doesn't worry about being cool.",Selena Gomez,Dating
It is an extra dividend when you like the girl you've fallen in love with.,Clark Gable,Dating
"I dated a lot, but I never really had anyone who was worthy of an anniversary. And most girlfriends never made it to a year, anyway.",Wale,Dating
"A simple compliment goes a really long way - for a guy to just come over and say, 'You have great hair' or 'I really like your dress,' and then just smile and walk away. That's a great move, because he's sort of putting himself out there by doing that, but it won't lead to any embarrassment if the girl isn't interested.",Stacy Keibler,Dating
"I'm dating a woman now who, evidently, is unaware of it.",Garry Shandling,Dating
"To find a prince, you gotta kiss some toads.",Foxy Brown,Dating
"However successful you are, there is no substitute for a close relationship. We all need them.",Francesca Annis,Dating
I'm not the girl who always has a boyfriend. I'm the girl who rarely has a boyfriend.,Taylor Swift,Dating
"I've been on so many blind dates, I should get a free dog.",Wendy Liebman,Dating
My boyfriend and I broke up. He wanted to get married and I didn't want him to.,Rita Rudner,Dating
I change my mind so much I need two boyfriends and a girlfriend.,Pink,Dating
"If you kiss on the first date and it's not right, then there will be no second date. Sometimes it's better to hold out and not kiss for a long time. I am a strong believer in kissing being very intimate, and the minute you kiss, the floodgates open for everything else.",Jennifer Lopez,Dating
"If your best friend has stolen your girlfriend, it does become life and death.",Ben Kingsley,Dating
Practically all the relationships I know are based on a foundation of lies and mutually accepted delusion.,Kim Cattrall,Dating
Everything I buy is vintage and smells funny. Maybe that's why I don't have a boyfriend.,Lucy Liu,Dating
"Do not just look at your boyfriend as just a boyfriend. Look at him as a friend, too.",Vanessa Hudgens,Dating
"I have a lot of boyfriends, I want you to write that. Every country I visit, I have a different boyfriend. And I kiss them all.",Anna Kournikova,Dating
"In my dreams, I could be a Princess, and that's what I was. Like most little girls, I believed nothing less than a Prince could make my dreams come true.",Loretta Young,Dating
"Courtship is to marriage, as a very witty prologue to a very dull play.",William Congreve,Dating
"My girlfriend bought me a down jacket, she said it fit my personality.",Jay London,Dating
"You know, the man of my dreams might walk round the corner tomorrow. I'm older and wiser and I think I'd make a great girlfriend. I live in the realm of romantic possibility.",Stevie Nicks,Dating
"No matter how love-sick a woman is, she shouldn't take the first pill that comes along.",Joyce Brothers,Dating
"We are constantly protecting the male ego, and it's a disservice to men. If a man has any sensitivity or intelligence, he wants to get the straight scoop from his girlfriend.",Betty Dodson,Dating
I always play women I would date.,Angelina Jolie,Dating
All men that date me have to know that their name may end up in a pop song.,Kesha,Dating
"I date older men, and I date younger men. I have no rules about that.",Mary Frann,Dating
"It's not that I find it hard to meet girls - they do come up and chat me up from time to time. Sometimes I'm interested, I tend not to go for the prettier ones. I prefer the quirkier types.",Rupert Grint,Dating
"I'm currently single, so I want to have fun! As for what guys need to do to date out of their league, it's all about the swagger. If you have confidence, you can get pretty much any girl.",Krysten Ritter,Dating
"I've dated men my age, younger than me and older. The only difference is the young ones are quicker at taking out the garbage.",Lara Flynn Boyle,Dating
"As far as the men who are running for president are concerned, they aren't even people I would date.",Nora Ephron,Dating
"I've been dating younger men since my 20s, When I was 29, I dated someone 21... younger men are just more fun. I like their energy. I've always been kind of young for my age.",Dana Delany,Dating
"I dated dozens of young men, had fun with all, made commitments to none.",Gene Tierney,Dating
"When you really don't like a guy, they're all over you, and as soon as you act like you like them, they're no longer interested.",Beyonce Knowles,Dating
"If you're a sports fan you realize that when you meet somebody, like a girlfriend, they kind of have to root for your team. They don't have a choice.",Jimmy Fallon,Dating
"I prefer ordinary girls - you know, college students, waitresses, that sort of thing. Most of the girls I go out with are just good friends. Just because I go out to the cinema with a girl, it doesn't mean we are dating.",Leonardo DiCaprio,Dating
I don't know any of us who are in relationships that are totally honest - it doesn't exist.,Richard Gere,Dating
"I hate being the heartbreaker. Hate it. If I date somebody and it doesn't work out, it's another nightmare for me.",John Mayer,Dating
"Whenever I date a guy, I think, 'Is this the man I want my children to spend their weekends with?'",Rita Rudner,Dating
I'm not very experienced with boys or the whole dating thingy.,Vanessa Hudgens,Dating
"I'm quite sensitive to women. I saw how my sister got treated by boyfriends. I read this thing that said when you are in a relationship with a woman, imagine how you would feel if you were her father. That's been my approach, for the most part.",Orlando Bloom,Dating
"I started dating older men, and I would fall in love with them. I thought they could teach me about life.",Daphne Zuniga,Dating
"My grandmother always used to wear this English perfume called Tuberose and then she died and then I dated this girl who wore the same thing. Every time I hung out with her, I could only think of my recently deceased grandmother. So sometimes a signature scent can be good and sometimes it can be bad.",Mark Ronson,Dating
I've given up looking for a boyfriend. That's not to say I won't be interested if the right guy comes along. But I'm not in a hurry.,Emily VanCamp,Dating
"Some women flirt more with what they say, and some with what they do.",Anna Held,Dating
"If I'm with a man, is that going to prevent me from achieving my goal? What sacrifices will I have to make in terms of being myself, if I'm with a man? Something that young women find out really quickly is that when you start dating, all of a sudden you're supposed to have a role. You're not allowed to just be yourself.",Candace Bushnell,Dating
A bachelor never quite gets over the idea that he is a thing of beauty and a boy forever.,Helen Rowland,Dating
"When men I have dated over the years whined about, 'Oh, you make no time for me' - see ya! I just dumped them. I don't need that pressure in my life.",Rachael Ray,Dating
I don't date my girlfriend because she's a model. I date her because I love her.,Adam Levine,Dating
Watching your daughter being collected by her date feels like handing over a million dollar Stradivarius to a gorilla.,Jim Bishop,Dating
"Personally, I don't like a girlfriend to have a husband. If she'll fool her husband, I figure she'll fool me.",Orson Welles,Dating
Is there a doctor in the house? My parents want me to marry you.,Wendy Liebman,Dating
"If you can lie, you can act, and if you can lie to crazy girlfriends, you can act under pressure.",Joe Rogan,Dating
"You can't keep changing men, so you settle for changing your lipstick.",Heather Locklear,Dating
"If you don't have a valentine, hang out with your girlfriends, don't go looking for someone. When it's right, they'll come to you.",Carmen Electra,Dating
"I always say now that I'm in my blonde years. Because since the end of my marriage, all of my girlfriends have been blonde.",Hugh Hefner,Dating
"If you cry over a guy, then your friends can't date him. It can't even be considered.",Taylor Swift,Dating
"I'm really critical of my posture, it makes a big difference. And I try to suck my belly in. Everyone should do that whether you're on a red carpet or not. Even if you're just going out to dinner with your boyfriend you should try and suck it in.",Katy Perry,Dating
I don't know the first real thing about the dating game. I don't know how to talk to a specific person and connect. I just think you have to go to person by person and do the best you can with people in general.,Jason Schwartzman,Dating
Last year my boyfriend gave me a painting - a very personal one. I really prefer personal gifts or ones made by someone for me. Except diamonds. That's the exception to the rule.,Minnie Driver,Dating
It was just that we had this phenomenal honeymoon relationship that just kept on going.,James Levine,Dating
"I'm not cynical about marriage or romance. I enjoyed being married. And although being single was fun for a while, there was always the risk of dating someone who'd owned a lunch box with my picture on it.",Shaun Cassidy,Dating
"So I go to my first book signing, and these two girls came up and gave me a piece of paper: '10 reasons you should date our dad. He climbed Mount Kilimanjaro. He's a lawyer.' He didn't know what was going on. He didn't even know me. They called him, and he came down and asked me out that day. Now I'm dating their dad!",Hoda Kotb,Dating
I've been dating since I was fifteen. I'm exhausted. Where is he?,Kristin Davis,Dating
"I don't like going out on a date unless I know the broad a little bit beforehand. By the way, 'broad' to me is not a detrimental term for women; it's simply another word for female. Anyway, I don't really go out a whole lot, because there aren't many girls I like to take out and spend a whole evening with - at least not an evening in public.",Joe Namath,Dating
Right now I'm pretty single... My career is my boyfriend.,Christina Aguilera,Dating
"In my experience with women that I've dated and my wife now, is you have to know what they care about. And even if you aren't a huge fan of it, you still have to have interest in it and it has to be genuine because women do it for men all the time.",Tim Meadows,Dating
"I have 20,000 girlfriends, all around the world.",Justin Timberlake,Dating
