quotes,authors,categories
Some people die at 25 and aren't buried until 75.,Benjamin Franklin,Death
"It is not death that a man should fear, but he should fear never beginning to live.",Marcus Aurelius,Death
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,Death
"Death is nothing, but to live defeated and inglorious is to die daily.",Napoleon Bonaparte,Death
"If a man has not discovered something that he will die for, he isn't fit to live.","Martin Luther King, Jr.",Death
"Our dead are never dead to us, until we have forgotten them.",George Eliot,Death
The idea is to die young as late as possible.,Ashley Montagu,Death
What we have done for ourselves alone dies with us; what we have done for others and the world remains and is immortal.,Albert Pike,Death
Life is hard. Then you die. Then they throw dirt in your face. Then the worms eat you. Be grateful it happens in that order.,David Gerrold,Death
The life of the dead is placed in the memory of the living.,Marcus Tullius Cicero,Death
"Everybody wants to go to heaven, but nobody wants to die.",Unknown,Death
"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.",Tecumseh,Death
"The boundaries which divide Life from Death are at best shadowy and vague. Who shall say where the one ends, and where the other begins?",Edgar Allan Poe,Death
"And how can man die better than facing fearful odds, for the ashes of his fathers, and the temples of his Gods?",Thomas Babington Macaulay,Death
"I am become death, the destroyer of worlds.",J. Robert Oppenheimer,Death
Someone has to die in order that the rest of us should value life more.,Virginia Woolf,Death
I would rather die a meaningful death than to live a meaningless life.,Corazon Aquino,Death
Cowards die many times before their deaths; the valiant never taste of death but once.,William Shakespeare,Death
Be ashamed to die until you have won some victory for humanity.,Horace Mann,Death
I am prepared to meet my Maker. Whether my Maker is prepared for the great ordeal of meeting me is another matter.,Winston Churchill,Death
"From my rotting body, flowers shall grow and I am in them and that is eternity.",Edvard Munch,Death
"I intend to live forever, or die trying.",Groucho Marx,Death
You'll have time to rest when you're dead.,Robert De Niro,Death
"I am not afraid of death, I just don't want to be there when it happens.",Woody Allen,Death
"In the night of death, hope sees a star, and listening love can hear the rustle of a wing.",Robert Green Ingersoll,Death
Some people are so afraid to die that they never begin to live.,Henry Van Dyke,Death
"If we must die, we die defending our rights.",Sitting Bull,Death
The dead cannot cry out for justice. It is a duty of the living to do so for them.,Lois McMaster Bujold,Death
"Don't send me flowers when I'm dead. If you like me, send them while I'm alive.",Brian Clough,Death
"I have never killed a man, but I have read many obituaries with great pleasure.",Clarence Darrow,Death
"Because I could not stop for death, He kindly stopped for me; The carriage held but just ourselves and immortality.",Emily Dickinson,Death
I'll sleep when I'm dead.,Warren Zevon,Death
"If we lose love and self respect for each other, this is how we finally die.",Maya Angelou,Death
Do not fear death so much but rather the inadequate life.,Bertolt Brecht,Death
"Death is no more than passing from one room into another. But there's a difference for me, you know. Because in that other room I shall be able to see.",Helen Keller,Death
Some men are alive simply because it is against the law to kill them.,E. W. Howe,Death
Death is a delightful hiding place for weary men.,Herodotus,Death
"Suicide is man's way of telling God, 'You can't fire me - I quit.'",Bill Maher,Death
Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon.,Susan Ertz,Death
"When I die, I'm leaving my body to science fiction.",Steven Wright,Death
"Since the day of my birth, my death began its walk. It is walking toward me, without hurrying.",Jean Cocteau,Death
I shall not die of a cold. I shall die of having lived.,Willa Cather,Death
"Dying is easy, it's living that scares me to death.",Annie Lennox,Death
Of all the gods only death does not desire gifts.,Aeschylus,Death
In the long run we are all dead.,John Maynard Keynes,Death
Healthy children will not fear life if their elders have integrity enough not to fear death.,Erik Erikson,Death
Death is the cure for all diseases.,Thomas Browne,Death
No one can confidently say that he will still be living tomorrow.,Euripides,Death
"We die only once, and for such a long time.",Moliere,Death
"It is not the end of the physical body that should worry us. Rather, our concern must be to live while we're alive - to release our inner selves from the spiritual death that comes with living behind a facade designed to conform to external definitions of who and what we are.",Elisabeth Kubler-Ross,Death
"A dying man needs to die, as a sleepy man needs to sleep, and there comes a time when it is wrong, as well as useless, to resist.",Stewart Alsop,Death
He who doesn't fear death dies only once.,Giovanni Falcone,Death
For death is no more than a turning of us over from time to eternity.,William Penn,Death
All architects want to live beyond their deaths.,Philip Johnson,Death
Always read something that will make you look good if you die in the middle of it.,P. J. O'Rourke,Death
I had seen birth and death but had thought they were different.,T. S. Eliot,Death
"Cursed is the man who dies, but the evil done by him survives.",Abu Bakr,Death
"Because of indifference, one dies before one actually dies.",Elie Wiesel,Death
"When you're dead, you're dead. That's it.",Marlene Dietrich,Death
"A friend who dies, it's something of you who dies.",Gustave Flaubert,Death
"Men fear death as children fear to go in the dark; and as that natural fear in children is increased by tales, so is the other.",Francis Bacon,Death
"I hope it is true that a man can die and yet not only live in others but give them life, and not only life, but that great consciousness of life.",Jack Kerouac,Death
"John Candy knew he was going to die. He told me on his 40th birthday. He said, well, Maureen, I'm on borrowed time.",Maureen O'Hara,Death
I'm gonna live till I die.,Frank Sinatra,Death
"When I die, I hope to go to Heaven, whatever the Hell that is.",Ayn Rand,Death
The day which we fear as our last is but the birthday of eternity.,Lucius Annaeus Seneca,Death
Pale Death beats equally at the poor man's gate and at the palaces of kings.,Horace,Death
"If you die in an elevator, be sure to push the Up button.",Sam Levenson,Death
Love and death are the two great hinges on which all human sympathies turn.,B. R. Hayden,Death
There's something about death that is comforting. The thought that you could die tomorrow frees you to appreciate your life now.,Angelina Jolie,Death
"Any man who has $10,000 left when he dies is a failure.",Errol Flynn,Death
"Death is a very dull, dreary affair, and my advice to you is to have nothing whatsoever to do with it.",W. Somerset Maugham,Death
Those who welcome death have only tried it from the ears up.,Wilson Mizner,Death
Man always dies before he is fully born.,Erich Fromm,Death
"Die, v.: To stop sinning suddenly.",Elbert Hubbard,Death
"The timing of death, like the ending of a story, gives a changed meaning to what preceded it.",Mary Catherine Bateson,Death
I've looked that old scoundrel death in the eye many times but this time I think he has me on the ropes.,Douglas MacArthur,Death
"Life is better than death, I believe, if only because it is less boring, and because it has fresh peaches in it.",Alice Walker,Death
"I tell myself that God gave my children many gifts - spirit, beauty, intelligence, the capacity to make friends and to inspire respect. There was only one gift he held back - length of life.",Rose Kennedy,Death
"We cannot banish dangers, but we can banish fears. We must not demean life by standing in awe of death.",David Sarnoff,Death
"When faith is lost, when honor dies, the man is dead.",John Greenleaf Whittier,Death
"No one else can take risks for us, or face our losses on our behalf, or give us self-esteem. No one can spare us from life's slings and arrows, and when death comes, we meet it alone.",Martha Beck,Death
Death is the tyrant of the imagination.,Bryan Procter,Death
Death will be a great relief. No more interviews.,Katharine Hepburn,Death
"None of us, in our culture of comfort, know how to prepare ourselves for dying, but that's what we should do every day. Every single day, we die a thousand deaths.",Joni Eareckson Tada,Death
"Death borders upon our birth, and our cradle stands in the grave.",Joseph Hall,Death
"It's funny how most people love the dead, once you're dead, you're made for life.",Jimi Hendrix,Death
"Death is always around the corner, but often our society gives it inordinate help.",Carter Burwell,Death
They tell us that suicide is the greatest piece of cowardice... that suicide is wrong; when it is quite obvious that there is nothing in the world to which every man has a more unassailable title than to his own life and person.,Arthur Schopenhauer,Death
"I'm not afraid to die, I just don't want to be there when it happens.",Woody Allen,Death
"It is difficult to accept death in this society because it is unfamiliar. In spite of the fact that it happens all the time, we never see it.",Elisabeth Kubler-Ross,Death
"We ourselves can die with comfort and even with joy if we know that death is but a passport to blessedness, that this intellect, freed from all material chains, shall rise and shine.",Matthew Simpson,Death
I'm not afraid to die.,John Wooden,Death
Everything that gets born dies.,Morrie Schwartz,Death
A man does not die of love or his liver or even of old age; he dies of being a man.,Miguel de Unamuno,Death
Birth and death; we all move between these two unknowns.,Bryant H. McGill,Death
"If physical death is the price that I must pay to free my white brothers and sisters from a permanent death of the spirit, then nothing can be more redemptive.","Martin Luther King, Jr.",Death
The death of what's dead is the birth of what's living.,Arlo Guthrie,Death
Death most resembles a prophet who is without honor in his own land or a poet who is a stranger among his people.,Khalil Gibran,Death
"I detest life-insurance agents: they always argue that I shall some day die, which is not so.",Stephen Leacock,Death
"While I thought that I was learning how to live, I have been learning how to die.",Leonardo da Vinci,Death
"To himself everyone is immortal; he may know that he is going to die, but he can never know that he is dead.",Samuel Butler,Death
"I've told my children that when I die, to release balloons in the sky to celebrate that I graduated. For me, death is a graduation.",Elisabeth Kubler-Ross,Death
All our knowledge merely helps us to die a more painful death than animals that know nothing.,Maurice Maeterlinck,Death
Death is a fearful thing.,William Shakespeare,Death
Look for me in the nurseries of Heaven.,Francis Thompson,Death
"No one wants to die. Even people who want to go to heaven don't want to die to get there. And yet death is the destination we all share. No one has ever escaped it. And that is as it should be, because Death is very likely the single best invention of Life. It is Life's change agent. It clears out the old to make way for the new.",Steve Jobs,Death
"The fear of death is the most unjustified of all fears, for there's no risk of accident for someone who's dead.",Albert Einstein,Death
"It is possible to provide security against other ills, but as far as death is concerned, we men live in a city without walls.",Epicurus,Death
I decided to devote my life to telling the story because I felt that having survived I owe something to the dead. and anyone who does not remember betrays them again.,Elie Wiesel,Death
"Even at our birth, death does but stand aside a little. And every day he looks towards us and muses somewhat to himself whether that day or the next he will draw nigh.",Robert Bolt,Death
To have died once is enough.,Virgil,Death
I don't want to achieve immortality through my work. I want to achieve it through not dying.,Woody Allen,Death
"Call no man happy before he dies, he is at best but fortunate.",Solon,Death
"Man dies of cold, not of darkness.",Miguel de Unamuno,Death
"To be idle is a short road to death and to be diligent is a way of life; foolish people are idle, wise people are diligent.",Buddha,Death
Nothing that is really good and God-like dies.,Ernst Moritz Arndt,Death
"If you don't know how to die, don't worry; Nature will tell you what to do on the spot, fully and adequately. She will do this job perfectly for you; don't bother your head about it.",Michel de Montaigne,Death
The words of a dead man are modified in the guts of the living.,W. H. Auden,Death
"Those who have the strength and the love to sit with a dying patient in the silence that goes beyond words will know that this moment is neither frightening nor painful, but a peaceful cessation of the functioning of the body.",Elisabeth Kubler-Ross,Death
"I didn't attend the funeral, but I sent a nice letter saying I approved of it.",Mark Twain,Death
'Tis very certain the desire of life prolongs it.,Lord Byron,Death
"When death, the great reconciler, has come, it is never our tenderness that we repent of, but our severity.",George Eliot,Death
Death's in the good-bye.,Anne Sexton,Death
"If you don't have any fight in you, you might as well be dead.",Scott Caan,Death
Death is the last enemy: once we've got past that I think everything will be alright.,Alice Thomas Ellis,Death
"For me, habit is just a synonym for death.",Juliette Binoche,Death
"Hell, madam, is to love no longer.",Georges Bernanos,Death
Tradition demands that we not speak poorly of the dead.,Daniel Barenboim,Death
"It was a time when only the dead smiled, happy in their peace.",Anna Akhmatova,Death
"Fling but a stone, the giant dies.",Matthew Green,Death
"He who is completely sanctified, or cleansed from all sin, and dies in this state, is fit for glory.",Adam Clarke,Death
"Are there moments when I see unrequited crushes or ex-boyfriends slow dancing with their dates and kind of want to stab myself in the spleen with a salad fork? Yeah, sure.",Sloane Crosley,Death
"Death is not more certainly a separation of our souls from our bodies than the Christian life is a separation of our souls from worldly tempers, vain indulgences, and unnecessary cares.",William Law,Death
"If nothing else, there's comfort in recognising that no matter how much we fail and sin, death will limit our suffering.",Chuck Palahniuk,Death
I hope to die in the saddle seat.,Albert Ellis,Death
Someone who is about to die does not mourn the dead.,Friedrich Durrenmatt,Death
Death is the solution to all problems. No man - no problem.,Joseph Stalin,Death
Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,Norman Cousins,Death
"Death does not concern us, because as long as we exist, death is not here. And when it does come, we no longer exist.",Epicurus,Death
"Life and death are one thread, the same line viewed from different sides.",Lao Tzu,Death
"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.",Leonardo da Vinci,Death
Nothing in life is promised except death.,Kanye West,Death
Intellectual growth should commence at birth and cease only at death.,Albert Einstein,Death
Death is not extinguishing the light; it is only putting out the lamp because the dawn has come.,Rabindranath Tagore,Death
Death makes angels of us all and gives us wings where we had shoulders smooth as ravens claws.,Jim Morrison,Death
"Some people think football is a matter of life and death. I assure you, it's much more serious than that.",Bill Shankly,Death
A revolution is a struggle to the death between the future and the past.,Fidel Castro,Death
Death may be the greatest of all human blessings.,Socrates,Death
"I do not agree with what you have to say, but I'll defend to the death your right to say it.",Evelyn Beatrice Hall,Death
"Generally speaking, the Way of the warrior is resolute acceptance of death.",Miyamoto Musashi,Death
"Love has no age, no limit; and no death.",John Galsworthy,Death
"Any man's death diminishes me, because I am involved in Mankind; And therefore never send to know for whom the bell tolls; it tolls for thee.",John Donne,Death
"There is no lonelier man in death, except the suicide, than that man who has lived many years with a good wife and then outlived her. If two people love each other there can be no happy end to it.",Ernest Hemingway,Death
"Each day is a little life: every waking and rising a little birth, every fresh morning a little youth, every going to rest and sleep a little death.",Arthur Schopenhauer,Death
"Sleep is good, death is better; but of course, the best thing would to have never been born at all.",Heinrich Heine,Death
"I love the name of honor, more than I fear death.",Julius Caesar,Death
Life is pleasant. Death is peaceful. It's the transition that's troublesome.,Isaac Asimov,Death
I am determined to offer an apology with my death.,Hideki Tojo,Death
"God is dead. God remains dead. And we have killed him. Yet his shadow still looms. How shall we comfort ourselves, the murderers of all murderers? What was holiest and mightiest of all that the world has yet owned has bled to death under our knives; who will wipe this blood off us? What water is there for us to clean ourselves?",Friedrich Nietzsche,Death
Even death is not to be feared by one who has lived wisely.,Buddha,Death
"Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.",Anais Nin,Death
"If you die you're completely happy and your soul somewhere lives on. I'm not afraid of dying. Total peace after death, becoming someone else is the best hope I've got.",Kurt Cobain,Death
The only way to take sorrow out of death is to take love out of life.,Russell M. Nelson,Death
"If we don't know life, how can we know death?",Confucius,Death
"Who am I? Not the body, because it is decaying; not the mind, because the brain will decay with the body; not the personality, nor the emotions, for these also will vanish with death.",Ramana Maharshi,Death
