quotes,authors,categories
The details are not the details. They make the design.,Charles Eames,Design
"You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.",Walt Disney,Design
"A designer knows he has achieved perfection not when there is nothing left to add, but when there is nothing left to take away.",Antoine de Saint-Exupery,Design
Design is not just what it looks like and feels like. Design is how it works.,Steve Jobs,Design
"Fashion fades, only style remains the same.",Coco Chanel,Design
Any product that needs a manual to work is broken.,Elon Musk,Design
Luck is the residue of design.,Branch Rickey,Design
Space and light and order. Those are the things that men need just as much as they need bread or a place to sleep.,Le Corbusier,Design
Space is the breath of art.,Frank Lloyd Wright,Design
"A shoe is not only a design, but it's a part of your body language, the way you walk. The way you're going to move is quite dictated by your shoes.",Christian Louboutin,Design
Good design is making something intelligible and memorable. Great design is making something memorable and meaningful.,Dieter Rams,Design
It's all in how you arrange the thing... the careful balance of the design is the motion.,Andrew Wyeth,Design
"I don't design clothes, I design dreams.",Ralph Lauren,Design
Everyone designs who devises courses of action aimed at changing existing situations into preferred ones.,Herbert A. Simon,Design
Designs of purely arbitrary nature cannot be expected to last long.,Kenzo Tange,Design
"Some men give up their designs when they have almost reached the goal; While others, on the contrary, obtain a victory by exerting, at the last moment, more vigorous efforts than ever before.",Herodotus,Design
Design is directed toward human beings. To design is to solve human problems by identifying them and executing the best solution.,Ivan Chermayeff,Design
A chair is a very difficult object. A skyscraper is almost easier. That is why Chippendale is famous.,Ludwig Mies van der Rohe,Design
"Design is not making beauty, beauty emerges from selection, affinities, integration, love.",Louis Kahn,Design
A camel is a horse designed by committee.,Alec Issigonis,Design
Accessible design is good design.,Steve Ballmer,Design
Design must reflect the practical and aesthetic in business but above all... good design must primarily serve people.,Thomas J. Watson,Design
Design is not for philosophy it's for life.,Issey Miyake,Design
"We design our world, while our world acts back on us and designs us.",Anne-Marie Willis,Design
The artist in me cries out for design.,Robert Frost,Design
"Design is the method of putting form and content together. Design, just as art, has multiple definitions; there is no single definition. Design can be art. Design can be aesthetics. Design is so simple, that's why it is so complicated.",Paul Rand,Design
Color does not add a pleasant quality to design - it reinforces it.,Pierre Bonnard,Design
Many things difficult to design prove easy to performance.,Samuel Johnson,Design
Buildings designed with careful attention to aesthetics arouse and enlighten their occupants and that promotes their good health.,Robert Evans,Design
"Clothes and jewellery should be startling, individual. When you see a woman in my clothes, you want to know more about them. To me, that is what distinguishes good designers from bad designers.",Alexander McQueen,Design
Good design doesn't date.,Harry Seidler,Design
"Design is a constant challenge to balance comfort with luxe, the practical with the desirable.",Donna Karan,Design
"Designing is a matter of concentration. You go deep into what you want to do. It's about intensive research, really. The concentration is warm and intimate and like the fire inside the earth - intense but not distorted. You can go to a place, really feel it in your heart. It's actually a beautiful feeling.",Peter Zumthor,Design
"About half my designs are controlled fantasy, 15 percent are total madness and the rest are bread-and-butter designs.",Manolo Blahnik,Design
Good design is good business.,Ian Schrager,Design
"Eventually everything connects - people, ideas, objects. The quality of the connections is the key to quality per se.",Charles Eames,Design
Design is people.,Jane Jacobs,Design
"In the end, I hope there's a little note somewhere that says I designed a good computer.",Steve Wozniak,Design
"Graphic design is the paradise of individuality, eccentricity, heresy, abnormality, hobbies and humors.",George Santayana,Design
I believe in empty spaces; they're the most wonderful thing.,Anselm Kiefer,Design
"Great designers seldom make great advertising men, because they get overcome by the beauty of the picture - and forget that merchandise must be sold.",James Randolph Adams,Design
"If I have a style, I am not aware of it.",Michael Graves,Design
The urge for good design is the same as the urge to go on living.,Harry Bertoia,Design
"Every contrivance of man, every tool, every instrument, every utensil, every article designed for use, of each and every kind, evolved from a very simple beginnings.",Robert Collier,Design
"In my opinion, no single design is apt to be optimal for everyone.",Donald Norman,Design
I design for real people. I think of our customers all the time. There is no virtue whatsoever in creating clothing or accessories that are not practical.,Giorgio Armani,Design
"British innovation in design, in the creative arts, in engineering and manufacturing is world class.",Margaret Heffernan,Design
"Designs are increasingly winning competitions because they are literally green, and because somewhere they feature a small windmill.",Rem Koolhaas,Design
"Design is a funny word. Some people think design means how it looks. But of course, if you dig deeper, it's really how it works.",Steve Jobs,Design
I don't think there is anything wrong with white space. I don't think it's a problem to have a blank wall.,Annie Leibovitz,Design
Design is everything. Everything!,Paul Rand,Design
"When I design buildings, I think of the overall composition, much as the parts of a body would fit together. On top of that, I think about how people will approach the building and experience that space.",Tadao Ando,Design
"A good designer must rely on experience, on precise, logic thinking; and on pedantic exactness. No magic will do.",Niklaus Wirth,Design
Recognizing the need is the primary condition for design.,Charles Eames,Design
I like the body. I like to design everything to do with the body.,Gianni Versace,Design
I would be most content if my children grew up to be the kind of people who think decorating consists mostly of building enough bookshelves.,Anna Quindlen,Design
I make spaces that are calm rather than confrontational. I seek a certain kind of logic that allows you to move in space and perceive it as beautiful and rational. Clarity is a worthwhile quality.,Annabelle Selldorf,Design
"Architecture is basically the design of interiors, the art of organizing interior space.",Philip Johnson,Design
Good design doesn't date. Bad design does.,Paul Rand,Design
A designer is only as good as the star who wears her clothes.,Edith Head,Design
The space within becomes the reality of the building.,Frank Lloyd Wright,Design
Sometimes I can't figure designers out. It's as if they flunked human anatomy.,Erma Bombeck,Design
Fashion is architecture: it is a matter of proportions.,Coco Chanel,Design
"Chandeliers are marvels of drop-dead showiness, the jewellery of architecture.",Peter York,Design
