quotes,authors,categories
"The only way to keep your health is to eat what you don't want, drink what you don't like, and do what you'd rather not.",Mark Twain,Diet
"I followed the same diet for 20 years, eliminating starches, living on salads, lean meat, and small portions.",Gene Tierney,Diet
Your diet is a bank account. Good food choices are good investments.,Bethenny Frankel,Diet
I don't stop eating when I'm full. The meal isn't over when I'm full. It's over when I hate myself.,Louis C. K.,Diet
"This is what people don't understand: obesity is a symptom of poverty. It's not a lifestyle choice where people are just eating and not exercising. It's because kids - and this is the problem with school lunch right now - are getting sugar, fat, empty calories - lots of calories - but no nutrition.",Tom Colicchio,Diet
No disease that can be treated by diet should be treated with any other means.,Maimonides,Diet
We never repent of having eaten too little.,Thomas Jefferson,Diet
I never worry about diets. The only carrots that interest me are the number you get in a diamond.,Mae West,Diet
Nothing burns more calories than dancing in 5-inch heels... try it!,Ariana Grande,Diet
"Calories from protein affect your brain, your appetite control center, so you are more satiated and satisfied.",Mark Hyman,Diet
My doctor told me to stop having intimate dinners for four. Unless there are three other people.,Orson Welles,Diet
Every single diet I ever fell off of was because of potatoes and gravy of some sort.,Dolly Parton,Diet
"In general, mankind, since the improvement of cookery, eats twice as much as nature requires.",Benjamin Franklin,Diet
Pasta doesn't make you fat. How much pasta you eat makes you fat.,Giada De Laurentiis,Diet
"The heart, like the stomach, wants a varied diet.",Gustave Flaubert,Diet
A friend doesn't go on a diet because you are fat.,Erma Bombeck,Diet
I don't go long without eating. I never starve myself: I grab a healthy snack.,Vanessa Hudgens,Diet
I've been on a diet for two weeks and all I've lost is two weeks.,Totie Fields,Diet
You feel better when you're eating food that retains nutritional value.,Amber Heard,Diet
"I think of dieting, then I eat pizza.",Lara Stone,Diet
The only way you get that fat off is to eat less and exercise more.,Jack LaLanne,Diet
Leave the table while you still feel you could eat a little more.,Helena Rubinstein,Diet
"I'm lucky, I don't like sweets, not even chocolate.",Eva Herzigova,Diet
"I told my doctor I get very tired when I go on a diet, so he gave me pep pills. Know what happened? I ate faster.",Joe E. Lewis,Diet
"Diets, like clothes, should be tailored to you.",Joan Rivers,Diet
"What's the two things they tell you are healthiest to eat? Chicken and fish. You know what you should do? Combine them, eat a penguin.",Dave Attell,Diet
I never diet. I smoke. I drink now and then. I never work out.,Naomi Campbell,Diet
"Such lifestyle factors such as cigarette smoking, excessive alcohol consumption, little physical activity and low dietary calcium intake are risk factors for osteoporosis as well as for many other non-communicable diseases.",Gro Harlem Brundtland,Diet
"So, when it comes to eating healthy, it's just doing the right thing. And it's not something you have to do 365 days a year, but I think it's something you have to do 25 days a month. Let's put it that way.",Mike Ditka,Diet
"I love healthy stuff and junk an equal amount. Whatever I'm craving, I go for it. I'm never trying to lose weight - or gain it. I'm just being.",Kelly Clarkson,Diet
"I never count calories, but I eat so well.",Alicia Silverstone,Diet
"Want to learn to eat a lot? Here it is: Eat a little. That way, you will be around long enough to eat a lot.",Tony Robbins,Diet
The second day of a diet is always easier than the first. By the second day you're off it.,Jackie Gleason,Diet
High-quality food is better for your health.,Michael Pollan,Diet
And let's be clear: It's not enough just to limit ads for foods that aren't healthy. It's also going to be critical to increase marketing for foods that are healthy.,Michelle Obama,Diet
I feel about airplanes the way I feel about diets. It seems to me that they are wonderful things for other people to go on.,Jean Kerr,Diet
The circuit training program along with a healthy clean diet is the way to excellent results.,Lee Haney,Diet
"I travel 330 days a year and eat every two and a half hours - I'm a big guy. I always carry a fork, little bottles of spices, and Sriracha. I eat what I feel like eating.",Robert Irvine,Diet
People who shop in health food stores never look healthy.,Amy Sedaris,Diet
Adopting a new healthier lifestyle can involve changing diet to include more fresh fruit and vegetables as well as increasing levels of exercise.,Linford Christie,Diet
