quotes,authors,categories
Do not abandon yourselves to despair. We are the Easter people and hallelujah is our song.,Pope John Paul II,Easter
God loves each of us as if there were only one of us.,Saint Augustine,Easter
"Easter is meant to be a symbol of hope, renewal, and new life.",Janine di Giovanni,Easter
"God proved His love on the Cross. When Christ hung, and bled, and died, it was God saying to the world, 'I love you.'",Billy Graham,Easter
There would be no Christmas if there was no Easter.,Gordon B. Hinckley,Easter
"A man who was completely innocent, offered himself as a sacrifice for the good of others, including his enemies, and became the ransom of the world. It was a perfect act.",Mahatma Gandhi,Easter
"Here is the amazing thing about Easter; the Resurrection Sunday for Christians is this, that Christ in the dying moments on the cross gives us the greatest illustration of forgiveness possible.",T. D. Jakes,Easter
"It is difficult to say what is impossible, for the dream of yesterday is the hope of today and the reality of tomorrow.",Robert H. Goddard,Easter
"We are told to let our light shine, and if it does, we won't need to tell anybody it does. Lighthouses don't fire cannons to call attention to their shining - they just shine.",Dwight L. Moody,Easter
"The great gift of Easter is hope - Christian hope which makes us have that confidence in God, in his ultimate triumph, and in his goodness and love, which nothing can shake.",Basil Hume,Easter
"Outside of the cross of Jesus Christ, there is no hope in this world. That cross and resurrection at the core of the Gospel is the only hope for humanity. Wherever you go, ask God for wisdom on how to get that Gospel in, even in the toughest situations of life.",Ravi Zacharias,Easter
"There is only one secure foundation: a genuine, deep relationship with Jesus Christ, which will carry you through any and all turmoil. No matter what storms are raging all around, you'll stand firm if you stand on His love.",Charles Stanley,Easter
"I think we need to do some deep soul searching about what's important in our lives and renew our spirit and our spiritual thinking, whether it's through faith-based religion or just through loving nature or helping your fellow man.",Louie Schwartzberg,Easter
"The Bible tells us that Jesus Christ came to do three things. He came to have my past forgiven, you get a purpose for living and a home in Heaven.",Rick Warren,Easter
"Love always involves responsibility, and love always involves sacrifice. And we do not really love Christ unless we are prepared to face His task and to take up His Cross.",William Barclay,Easter
"Let every man and woman count himself immortal. Let him catch the revelation of Jesus in his resurrection. Let him say not merely, 'Christ is risen,' but 'I shall rise.'",Phillips Brooks,Easter
