quotes,authors,categories
"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.","Martin Luther King, Jr.",Equality
The worst form of inequality is to try to make unequal things equal.,Aristotle,Equality
"Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike.",Plato,Equality
"Until we get equality in education, we won't have an equal society.",Sonia Sotomayor,Equality
"If you want to see the true measure of a man, watch how he treats his inferiors, not his equals.",J. K. Rowling,Equality
Before God we are all equally wise - and equally foolish.,Albert Einstein,Equality
"The emotional, sexual, and psychological stereotyping of females begins when the doctor says: It's a girl.",Shirley Chisholm,Equality
"Rightful liberty is unobstructed action according to our will within limits drawn around us by the equal rights of others. I do not add 'within the limits of the law' because law is often but the tyrant's will, and always so when it violates the rights of the individual.",Thomas Jefferson,Equality
The history of the past is but one long struggle upward to equality.,Elizabeth Cady Stanton,Equality
"Democracy and socialism have nothing in common but one word, equality. But notice the difference: while democracy seeks equality in liberty, socialism seeks equality in restraint and servitude.",Alexis de Tocqueville,Equality
"Equality is the soul of liberty; there is, in fact, no liberty without it.",Frances Wright,Equality
"There should be no discrimination against languages people speak, skin color, or religion.",Malala Yousafzai,Equality
I am free of all prejudices. I hate everyone equally.,W. C. Fields,Equality
"Equality is not in regarding different things similarly, equality is in regarding different things differently.",Tom Robbins,Equality
"The earth is the mother of all people, and all people should have equal rights upon it.",Chief Joseph,Equality
"If we cannot now end our differences, at least we can help make the world safe for diversity.",John F. Kennedy,Equality
We will never have true civilization until we have learned to recognize the rights of others.,Will Rogers,Equality
"Gender equality is more than a goal in itself. It is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance.",Kofi Annan,Equality
Virtue can only flourish among equals.,Mary Wollstonecraft,Equality
"Equality, rightly understood as our founding fathers understood it, leads to liberty and to the emancipation of creative differences; wrongly understood, as it has been so tragically in our time, it leads first to conformity and then to despotism.",Barry Goldwater,Equality
"Here are the values that I stand for: honesty, equality, kindness, compassion, treating people the way you want to be treated and helping those in need. To me, those are traditional values.",Ellen DeGeneres,Equality
You can't state difference and also state equality. We have to state sameness to understand equality.,Zadie Smith,Equality
"All animals are equal, but some animals are more equal than others.",George Orwell,Equality
