quotes,authors,categories
Faith is taking the first step even when you don't see the whole staircase.,"Martin Luther King, Jr.",Faith
Pray as though everything depended on God. Work as though everything depended on you.,Saint Augustine,Faith
"To one who has faith, no explanation is necessary. To one without faith, no explanation is possible.",Thomas Aquinas,Faith
Faith is the bird that feels the light when the dawn is still dark.,Rabindranath Tagore,Faith
Be faithful in small things because it is in them that your strength lies.,Mother Teresa,Faith
"To have faith is to trust yourself to the water. When you swim you don't grab hold of the water, because if you do you will sink and drown. Instead you relax, and float.",Alan Watts,Faith
Faith consists in believing when it is beyond the power of reason to believe.,Voltaire,Faith
"When you focus on being a blessing, God makes sure that you are always blessed in abundance.",Joel Osteen,Faith
"God, our Creator, has stored within our minds and personalities, great potential strength and ability. Prayer helps us tap and develop these powers.",A. P. J. Abdul Kalam,Faith
"Belief is a wise wager. Granted that faith cannot be proved, what harm will come to you if you gamble on its truth and it proves false? If you gain, you gain all; if you lose, you lose nothing. Wager, then, without hesitation, that He exists.",Blaise Pascal,Faith
We are never defeated unless we give up on God.,Ronald Reagan,Faith
We are twice armed if we fight with faith.,Plato,Faith
Faith is an oasis in the heart which will never be reached by the caravan of thinking.,Khalil Gibran,Faith
"The keys to patience are acceptance and faith. Accept things as they are, and look realistically at the world around you. Have faith in yourself and in the direction you have chosen.",Ralph Marston,Faith
"In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.",Iyanla Vanzant,Faith
Faith gives you an inner strength and a sense of balance and perspective in life.,Gregory Peck,Faith
"I am still far from being what I want to be, but with God's help I shall succeed.",Vincent Van Gogh,Faith
I have not lost faith in God. I have moments of anger and protest. Sometimes I've been closer to him for that reason.,Elie Wiesel,Faith
"Faith is a living, daring confidence in God's grace, so sure and certain that a man could stake his life on it a thousand times.",Martin Luther,Faith
Faith is deliberate confidence in the character of God whose ways you may not understand at the time.,Oswald Chambers,Faith
A casual stroll through the lunatic asylum shows that faith does not prove anything.,Friedrich Nietzsche,Faith
"Faith is not belief without proof, but trust without reservation.",D. Elton Trueblood,Faith
"God will never give you anything you can't handle, so don't stress.",Kelly Clarkson,Faith
"If you have God on your side, everything becomes clear.",Ayrton Senna,Faith
Resist your fear; fear will never lead to you a positive end. Go for your faith and what you believe.,T. D. Jakes,Faith
Faithless is he that says farewell when the road darkens.,J. R. R. Tolkien,Faith
Prayer should be the key of the day and the lock of the night.,George Herbert,Faith
Doubt is not the opposite of faith; it is one element of faith.,Paul Tillich,Faith
Every tomorrow has two handles. We can take hold of it with the handle of anxiety or the handle of faith.,Henry Ward Beecher,Faith
Faith in oneself is the best and safest course.,Michelangelo,Faith
Faith is a passionate intuition.,William Wordsworth,Faith
"You were made by God and for God, and until you understand that, life will never make sense.",Rick Warren,Faith
Faith and prayer are the vitamins of the soul; man cannot live in health without them.,Mahalia Jackson,Faith
"I die the king's faithful servant, but God's first.",Thomas More,Faith
"Love, hope, fear, faith - these make humanity; These are its sign and note and character.",Robert Browning,Faith
"Faith is not simply a patience that passively suffers until the storm is past. Rather, it is a spirit that bears things - with resignations, yes, but above all, with blazing, serene hope.",Corazon Aquino,Faith
"That deep emotional conviction of the presence of a superior reasoning power, which is revealed in the incomprehensible universe, forms my idea of God.",Albert Einstein,Faith
