quotes,authors,categories
"Avoid popularity; it has many snares, and no real benefit.",William Penn,Famous
"Glory is fleeting, but obscurity is forever.",Napoleon Bonaparte,Famous
"I always want to say to people who want to be rich and famous: 'try being rich first'. See if that doesn't cover most of it. There's not much downside to being rich, other than paying taxes and having your relatives ask you for money. But when you become famous, you end up with a 24-hour job.",Bill Murray,Famous
"In the future, everyone will be famous for 15 minutes.",Andy Warhol,Famous
I'm an instant star. Just add water and stir.,David Bowie,Famous
"A celebrity is a person who works hard all of their life to become well known, and then wears dark glasses to avoid being recognized.",Fred Allen,Famous
The worst thing about being famous is the invasion of your privacy.,Justin Timberlake,Famous
"The cool thing about being famous is traveling. I have always wanted to travel across seas, like to Canada and stuff.",Britney Spears,Famous
I pretended to be somebody I wanted to be until finally I became that person. Or he became me.,Cary Grant,Famous
I never wanted to be famous. I only wanted to be great.,Ray Charles,Famous
"I am beautiful, famous and gorgeous.",Anna Kournikova,Famous
I'm more interested in being good than being famous.,Annie Leibovitz,Famous
"For a time, at least, I was the most famous person in the entire world.",Jesse Owens,Famous
Fame is the thirst of youth.,Lord Byron,Famous
Martyrdom is the only way a man can become famous without ability.,Arthur Schopenhauer,Famous
The hardest thing about being famous is that people are always nice to you. You're in a conversation and everybody's agreeing with what you're saying - even if you say something totally crazy. You need people who can tell you what you don't want to hear.,Al Pacino,Famous
"We all want to be famous people, and the moment we want to be something we are no longer free.",Jiddu Krishnamurti,Famous
"The nice thing about being a celebrity is that, if you bore people, they think it's their fault.",Henry Kissinger,Famous
"To be a star is to own the world and all the people in it. After a taste of stardom, everything else is poverty.",Hedy Lamarr,Famous
I do not like the man who squanders life for fame; give me the man who living makes a name.,Emily Dickinson,Famous
What a heavy burden is a name that has become too famous.,Voltaire,Famous
The strangest part about being famous is you don't get to give first impressions anymore. Everyone already has an impression of you before you meet them.,Kristen Stewart,Famous
I imagined being a famous writer would be like being like Jane Austen.,J. K. Rowling,Famous
"I absolutely loved being famous. It was all great, up until the point when it wasn't.",Noel Gallagher,Famous
"I can do whatever I want - I'm rich, I'm famous, and I'm bigger than you.",Don Johnson,Famous
I think that when you are famous every weakness is exaggerated.,Marilyn Monroe,Famous
The celebrity is a person who is known for his well-knownness.,Daniel J. Boorstin,Famous
Being famous is not something that would make me feel successful - unless one was striving for mediocrity.,William Hurt,Famous
I'd rather be able to face myself in the bathroom mirror than be rich and famous.,Ani DiFranco,Famous
"I have no use for people who throw their weight around as celebrities, or for those who fawn over you just because you are famous.",Walt Disney,Famous
"I wanted to be successful, not famous.",George Harrison,Famous
Celebrity damages private life.,Tim Berners-Lee,Famous
There's no difference between fame and infamy now. There's a new school of professional famous people that don't do anything. They don't create anything.,Ricky Gervais,Famous
Wood burns because it has the proper stuff in it; and a man becomes famous because he has the proper stuff in him.,Johann Wolfgang von Goethe,Famous
I have as much privacy as a goldfish in a bowl.,Princess Margaret,Famous
I'm famous today. People like me today. Might not like me tomorrow. You can't count on it.,Dave Chappelle,Famous
It isn't necessary to be rich and famous to be happy. It's only necessary to be rich.,Alan Alda,Famous
"Famous, adj.: Conspicuously miserable.",Ambrose Bierce,Famous
You have to pretend that your life is a financial pleasure even when your autographs are bouncing.,Kinky Friedman,Famous
"The problem is, the more famous you get, the more people see you who didn't choose to.",Louis C. K.,Famous
For famous men have the whole earth as their memorial.,Pericles,Famous
Don't pay any attention to what they write about you. Just measure it in inches.,Andy Warhol,Famous
Fate is being kind to me. Fate doesn't want me to be too famous too young.,Duke Ellington,Famous
"I know I'm not supposed to have any opinions about politics, because I'm famous.",Cher,Famous
Celebrity was a long time in coming; it will go away. Everything goes away.,Carol Burnett,Famous
"Mum loves me being famous! She is so excited and proud, as she had me so young and couldn't support me, so I am living her dream, it's sweeter for both of us. It's her 40th birthday soon and I'm going to buy her 40 presents.",Adele,Famous
Passion for fame: A passion which is the instinct of all great souls.,Edmund Burke,Famous
"Celebrity is the advantage of being known to people who we don't know, and who don't know us.",Nicolas Chamfort,Famous
I'm not comfortable being around too many people. I don't like being out in public too much. I don't like going to bars. I don't like doing celebrity stuff. So most of the characters I play are people who don't always feel comfortable beyond their small circle of friends.,Adam Sandler,Famous
I want to be famous everywhere.,Luciano Pavarotti,Famous
"Power is not of a man. Wealth does not center in the person of the wealthy. Celebrity is not inherent in any personality. To be celebrated, to be wealthy, to have power requires access to major institutions.",C. Wright Mills,Famous
Stardom can be a gilded slavery.,Helen Hayes,Famous
"One thing about being famous is the people around you, you pay all their bills so they very rarely disagree with you because they want you to pick up the check.",Charles Barkley,Famous
"Indeed, wretched the man whose fame makes his misfortunes famous.",Lucius Accius,Famous
But I know newspapers. They have the first amendment and they can tell any lie knowing it's a lie and they're protected if the person's famous or it's a company.,Steve Wozniak,Famous
Celebrity means that I can affect people in a positive way.,David Hasselhoff,Famous
Fame is a fickle food upon a shifting plate.,Emily Dickinson,Famous
It is a mark of many famous people that they cannot part with their brightest hour.,Lillian Hellman,Famous
You're not famous until my mother has heard of you.,Jay Leno,Famous
"People hate me because I am a multifaceted, talented, wealthy, internationally famous genius.",Jerry Lewis,Famous
"The more they applaud, the bigger your salary will be.",Anna Held,Famous
"I can't imagine wanting to be famous just for the sake of being famous. I think fame should come along with success, talent.",Kat Dennings,Famous
"I seek no longer to be a 'famous' person, and instead I wish to live a 'normal' life.",Sinead O'Connor,Famous
"I really hate the duties of being a celebrity, like getting dressed up for the red carpet.",America Ferrera,Famous
"Fame, I have already. Now I need the money.",Wilhelm Steinitz,Famous
"There is no celebrity quite as powerful as the local, homegrown celebrity.",Tony Wilson,Famous
"Being big and famous doesn't get you more freedom, it gets you less.",Robert Wyatt,Famous
Andy Warhol made fame more famous.,Fran Lebowitz,Famous
"I have been very happy, very rich, very beautiful, much adulated, very famous and very unhappy.",Brigitte Bardot,Famous
"I never wanted to be a celebrity; I never wanted to be famous. And in my daily life, I work really hard to not trade on it in any way.",Sarah Jessica Parker,Famous
Fame can take interesting men and thrust mediocrity upon them.,David Bowie,Famous
"My favorite thing about being famous... it's not really as big of a deal as everybody says it is. Being on the road is tough, doing interviews, and all the stuff. It's still pretty tough.",Aaron Carter,Famous
A celebrity is one who is known to many persons he is glad he doesn't know.,Lord Byron,Famous
You don't have to have an attitude if you're famous.,Adriana Lima,Famous
"I just want to make music, I don't want people to talk about me. All I've ever wanted to do was sing. I don't want to be a celebrity. I don't want to be in people's faces, you know, constantly on covers of magazine that I haven't even known I'm on.",Adele,Famous
Celebrity is the chastisement of merit and the punishment of talent.,Emily Dickinson,Famous
"Fame is like caviar, you know - it's good to have caviar but not when you have it at every meal.",Marilyn Monroe,Famous
I've worked with a lot of people who are more famous than myself who are terribly insecure.,Barry Gibb,Famous
Why am I so famous? What am I doing right? What are the others doing wrong?,Barbra Streisand,Famous
"There are people who appear in the magazines and I don't know who they are. I've never seen anything they've done and their careers are over already. They're famous for maybe 10 minutes. Real careers, I think, take a long time to unfold.",Matt Damon,Famous
Nothing in life prepares you to be famous.,Jeff Foxworthy,Famous
"Celebrity distorts democracy by giving the rich, beautiful, and famous more authority than they deserve.",Maureen Dowd,Famous
"Celebrity, to me, is not a thing to seek.",Aidan Quinn,Famous
Public misbehavior by the famous is a powerful teaching tool.,Bill O'Reilly,Famous
"I woke up one morning to find I was famous. I bought a white Rolls-Royce and drove down Sunset Boulevard, wearing dark specs and a white suit, waving like the Queen Mum.",Peter O'Toole,Famous
"Famous people feel that they must perpetually be on the crest of the wave, not realising that it is against all the rules of life. You can't be on top all the time, it isn't natural.",Olivia De Havilland,Famous
"A famous person to themselves, they don't get up in the morning and think, I'm famous. I'm not famous to me. Famous is a perception.",Van Morrison,Famous
Save your rejections so that later when you are famous you can show them to people and laugh.,Meg Cabot,Famous
"The love of the famous, like all strong passions, is quite abstract. Its intensity can be measured mathematically, and it is independent of persons.",Susan Sontag,Famous
"When you become famous, being famous becomes your profession.",James Carville,Famous
"I think there are a lot of people who really want to be famous, they really do. I don't. It sort of gets in the way of the everyday things that I do.",Johnny Mathis,Famous
I will either be famous or infamous.,Otto Dix,Famous
Fame - anyone who says he doesn't like it is crazy.,Bennett Cerf,Famous
How many famous and high-spirited heroes have lived a day too long?,Jean-Jacques Rousseau,Famous
Celebrity gives us delusion of self importance.,Al Goldstein,Famous
"A very quiet and tasteful way to be famous is to have a famous relative. Then you can not only be nothing, you can do nothing too.",P. J. O'Rourke,Famous
"Fame is a lot of pressure, especially when you're responsible for your entire family. Financially, emotionally - everything.",Nick Carter,Famous
"For me, growing up, the downside of it was that as a kid you don't want to stand out. You don't want to have a famous father let alone get a job because of your famous father, you know? But I'm a product of nepotism. That's how I got my foot in the door, through my dad.",Jeff Bridges,Famous
"There is no fulfillment in things whatsoever. And I think one of the reasons that depression reigns supreme amongst the rich and famous is some of them thought that maybe those things would bring them happiness. But what, in fact, does is having a cause, having a passion. And that's really what gives life's true meaning.",Ben Carson,Famous
It's really easy to avoid the tabloids. You just live your life and don't hang out with famous people who are in the tabloids. Don't do anything controversial and be a normal person. Have friends. And get a job and keep working.,Amanda Seyfried,Famous
A sign of celebrity is that his name is often worth more than his services.,Daniel J. Boorstin,Famous
"Being famous is just like being in high school. But I'm not interested in being the cheerleader. I'm not interested in being Gwen Stefani. She's the cheerleader, and I'm out in the smoker shed.",Courtney Love,Famous
"Living in L.A., everyone likes to mold you and change you. I don't care about fame, I don't care about being a celebrity. I know that's part of the job, but I don't feed into anyone's idea of who I should be.",Jessica Alba,Famous
"Just because you're not famous, doesn't mean you're not good.",Laura Linney,Famous
"Being a famous actress may give you a sense of being important, but believe me, it's just an illusion.",Juliette Binoche,Famous
"The whole celebrity culture thing - I'm fascinated by, and repelled by, and yet I end up knowing about it.",Anderson Cooper,Famous
I wrote because I needed to and wanted to. It never occurred to me that I'd become famous.,Danielle Steel,Famous
"When you become a celebrity, the world owns you and your image.",Megan Fox,Famous
"Look at Jessica Simpson. She's famous for being dumb. I guess it started with Marylyn Monroe, and she actually wasn't that dumb, but that's how she was perceived - and that's what got popular.",Danica McKellar,Famous
"The thing about being famous is, it's weird. The only people who get how weird it is are other famous people.",Margot Kidder,Famous
"If you ever get rich and famous, by definition you are special. You have done something special, and therefore you start to behave special. Then if the floor drops out, and you become down and out, you have a really new perspective.",Danny Bonaduce,Famous
"It's funny, when bands or younger musicians ask me: 'So, what does it take to make it?' Well, first explain to me what you mean by 'making it': Do you want to be a rock star or do you want music to be your livelihood?",Eddie Van Halen,Famous
I like being famous when it's convenient for me and completely anonymous when it's not.,Catherine Deneuve,Famous
"I'm sick to death of famous people standing up and using their celebrity to promote a cause. If I see a particular need, I do try to help. But there's a lot that can be achieved by putting a check in the right place and shutting up about it.",Russell Crowe,Famous
My story of success and failure is not just about music and being famous. It's about living and loving and trying to find purpose in this crazy world.,Wynonna Judd,Famous
It's part of the celebrity process but my life has never been as interesting or as wild as what's been printed about me.,Winona Ryder,Famous
"When I'm living in the world of luxury and celebrity, which is where I found myself for a large part of my life, it's a walk-on part. Not a vital necessity, like it is for so many people. I enjoy it but I can see right through it!",Agnetha Faltskog,Famous
"I put my money in the bank: I have to think of life after modeling, when I'm not famous any more.",Eva Herzigova,Famous
"I can't see any value in being a celebrity, famous for being famous.",Noomi Rapace,Famous
"Normal is such a hard word to use, because everyone's idea of normal is different. Real is what the word is. I think you either live a real life or you live a weird celebrity pseudolife. I think I lead a really real life.",Sarah Michelle Gellar,Famous
"If there's anything more mortifying than being famous at 14, it's being washed up right after.",Moon Unit Zappa,Famous
"Everybody wants to be famous, but nobody wants to do the work. I live by that. You grind hard so you can play hard. At the end of the day, you put all the work in, and eventually it'll pay off. It could be in a year, it could be in 30 years. Eventually, your hard work will pay off.",Kevin Hart,Famous
I made the Yankee hat more famous than a Yankee can.,Jay-Z,Famous
"The name Muhammad is the most common name in the world. In all the countries around the world - Pakistan, Saudi Arabia, Morocco, Turkey, Syria, Lebanon - there are more Muhammads than anything else. When I joined the Nation of Islam and became a Muslim, they gave me the most famous name because I was the champ.",Muhammad Ali,Famous
The world's most famous and popular language is music.,Psy,Famous
