quotes,authors,categories
To a father growing old nothing is dearer than a daughter.,Euripides,Father's Day
"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.",Jim DeMint,Father's Day
"My father gave me the greatest gift anyone could give another person, he believed in me.",Jim Valvano,Father's Day
It is a wise father that knows his own child.,William Shakespeare,Father's Day
It doesn't matter who my father was; it matters who I remember he was.,Anne Sexton,Father's Day
"Anyone can be a father, but it takes someone special to be a dad, and that's why I call you dad, because you are so special to me. You taught me the game and you taught me how to play it right.",Wade Boggs,Father's Day
The most important thing in the world is family and love.,John Wooden,Father's Day
"My father used to say that it's never too late to do anything you wanted to do. And he said, 'You never know what you can accomplish until you try.'",Michael Jordan,Father's Day
One father is more than a hundred schoolmasters.,George Herbert,Father's Day
"Son, brother, father, lover, friend. There is room in the heart for all the affections, as there is room in heaven for all the stars.",Victor Hugo,Father's Day
"My father always used to say that when you die, if you've got five real friends, then you've had a great life.",Lee Iacocca,Father's Day
"A real man loves his wife, and places his family as the most important thing in life. Nothing has brought me more peace and content in life than simply being a good husband and father.",Frank Abagnale,Father's Day
"When a father gives to his son, both laugh; when a son gives to his father, both cry.",Unknown,Father's Day
"Old as she was, she still missed her daddy sometimes.",Gloria Naylor,Father's Day
You don't have to deserve your mother's love. You have to deserve your father's.,Robert Frost,Father's Day
"Until you have a son of your own... you will never know the joy, the love beyond feeling that resonates in the heart of a father as he looks upon his son.",Kent Nerburn,Father's Day
"Man becomes man only by his intelligence, but he is man only by his heart.",Henri Frederic Amiel,Father's Day
"I am not ashamed to say that no man I ever met was my father's equal, and I never loved any other man as much.",Hedy Lamarr,Father's Day
"This is the price you pay for having a great father. You get the wonder, the joy, the tender moments - and you get the tears at the end, too.",Harlan Coben,Father's Day
"I want to congratulate all the men out there who are working diligently to be good fathers whether they are stepfathers, or biological fathers or just spiritual fathers.",T. D. Jakes,Father's Day
"I think my mom put it best. She said, 'Little girls soften their daddy's hearts.'",Paul Walker,Father's Day
"Dad taught me everything I know. Unfortunately, he didn't teach me everything he knows.",Al Unser,Father's Day
"Being a father has been, without a doubt, my greatest source of achievement, pride and inspiration. Fatherhood has taught me about unconditional love, reinforced the importance of giving back and taught me how to be a better person.",Naveen Jain,Father's Day
"Dad, wherever you are, you are gone but you will never be forgotten.",Conrad Hall,Father's Day
"I'm a strong person, I'm a strong family man, I'm a strong husband and a strong father.",David Beckham,Father's Day
"I mean, I look at my dad. He was twenty when he started having a family, and he was always the coolest dad. He did everything for his kids, and he never made us feel like he was pressured. I know that it must be a great feeling to be a guy like that.",Adam Sandler,Father's Day
"I've said it before, but it's absolutely true: My mother gave me my drive, but my father gave me my dreams. Thanks to him, I could see a future.",Liza Minnelli,Father's Day
"We should all aspire in life to do a multitude of things well - to be a great father, to be a good husband, to be a good lover, you know, to try to do things the best you can is very important to me.",Matthew Modine,Father's Day
"I imagine God to be like my father. My father was always the voice of certainty in my life. Certainty in the wisdom, certainty in the path, certainty always in God. For me God is certainty in everything. Certainty that everything is good and everything is God.",Yehuda Berg,Father's Day
It's an ongoing joy being a dad.,Liam Neeson,Father's Day
I'm a father; that's what matters most. Nothing matters more.,Gordon Brown,Father's Day
"When it comes to Father's Day, I will remember my dad for both being there to nurture me and also for the times he gave me on my own to cultivate my own interests and to nurture my own spirit.",Jennifer Grant,Father's Day
My role model is my dad.,Seann William Scott,Father's Day
I admire my father greatly.,Kojo Annan,Father's Day
"To me, having kids is the ultimate job in life. I want to be most successful at being a good father.",Nick Lachey,Father's Day
"One of the greatest gifts my father gave me - unintentionally - was witnessing the courage with which he bore adversity. We had a bit of a rollercoaster life with some really challenging financial periods. He was always unshaken, completely tranquil, the same ebullient, laughing, jovial man.",Ben Okri,Father's Day
I have a Father's Day every day.,Dennis Banks,Father's Day
My Dad is my hero.,"Harry Connick, Jr.",Father's Day
"I pray to be a good servant to God, a father, a husband, a son, a friend, a brother, an uncle, a good neighbor, a good leader to those who look up to me, a good follower to those who are serving God and doing the right thing.",Mark Wahlberg,Father's Day
"My dad was my best friend and greatest role model. He was an amazing dad, coach, mentor, soldier, husband and friend.",Tiger Woods,Father's Day
"Mothers play an important role as the heart of the home, but this in no way lessens the equally important role fathers should play, as head of the home, in nurturing, training, and loving their children.",Ezra Taft Benson,Father's Day
I was raised by my father; I was daddy's girl.,Amber Heard,Father's Day
"The best thing about being a dad? Well, I think it's just the thing that every man wants - to have a son and heir.",George Best,Father's Day
I decided in my life that I would do nothing that did not reflect positively on my father's life.,Sidney Poitier,Father's Day
"In our house, Mother's Day is every day. Father's Day, too. In our house, parents count. They do important work and that work matters. One day just doesn't cut for us.",Margaret Heffernan,Father's Day
"Without my dad, I wouldn't be here.",Maria Sharapova,Father's Day
I'm always going to love my father.,"Floyd Mayweather, Jr.",Father's Day
"My dad's my best mate, and he always will be.",Cher Lloyd,Father's Day
"I was raised in the greatest of homes... just a really great dad, and I miss him so much... he was a good man, a real simple man... Very faithful, always loved my mom, always provided for the kids, and just a lot of fun.",Max Lucado,Father's Day
Becoming a dad means you have to be a role model for your son and be someone he can look up to.,Wayne Rooney,Father's Day
I can definitely say the older I've got the better I've become at being a dad and a husband.,Rod Stewart,Father's Day
I wasn't anything special as a father. But I loved them and they knew it.,"Sammy Davis, Jr.",Father's Day
"My dad is my best friend, my father, and my boss. When I do something that is exciting and he likes it, it feels three times as good as you can imagine.",David Lauren,Father's Day
Being a father helps me be more responsible... you see more things than you've ever seen.,Kid Rock,Father's Day
I'm a good dad; I spend a lot of time with my kids.,Steve Zahn,Father's Day
"Fatherhood is the best thing that could happen to me, and I'm just glad I can share my voice.",Dwyane Wade,Father's Day
We looked up to our father. He still is much greater than us.,Wynton Marsalis,Father's Day
I would say my greatest achievement in life right now - my greatest achievement period is - and I'm still trying to achieve it - is to be a wonderful father to my kids.,Bo Jackson,Father's Day
"My dad's not here, but he's watching in heaven.",Bubba Watson,Father's Day
The number one thing I've been doing is being daddy.,Austin Peck,Father's Day
"I would want my legacy to be that I was a great son, father and friend.",Dante Hall,Father's Day
