quotes,authors,categories
"It is better to be feared than loved, if you cannot be both.",Niccolo Machiavelli,Fear
"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones.",Thich Nhat Hanh,Fear
Have no fear of perfection - you'll never reach it.,Salvador Dali,Fear
"I have learned over the years that when one's mind is made up, this diminishes fear; knowing what must be done does away with fear.",Rosa Parks,Fear
I tremble for my country when I reflect that God is just; that his justice cannot sleep forever.,Thomas Jefferson,Fear
The only thing we have to fear is fear itself.,Franklin D. Roosevelt,Fear
The pleasures of love are always in proportion to our fears.,Stendhal,Fear
Always do what you are afraid to do.,Ralph Waldo Emerson,Fear
If you know the enemy and know yourself you need not fear the results of a hundred battles.,Sun Tzu,Fear
Avoiding danger is no safer in the long run than outright exposure. The fearful are caught as often as the bold.,Helen Keller,Fear
We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.,Plato,Fear
True success is overcoming the fear of being unsuccessful.,Paul Sweeney,Fear
Thinking will not overcome fear but action will.,W. Clement Stone,Fear
"One of the greatest discoveries a man makes, one of his great surprises, is to find he can do what he was afraid he couldn't do.",Henry Ford,Fear
Even death is not to be feared by one who has lived wisely.,Buddha,Fear
There is no such thing as paranoia. Your worst fears can come true at any moment.,Hunter S. Thompson,Fear
We simply attempt to be fearful when others are greedy and to be greedy only when others are fearful.,Warren Buffett,Fear
"I may be compelled to face danger, but never fear it, and while our soldiers can stand and fight, I can stand and feed and nurse them.",Clara Barton,Fear
"The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is fear of the unknown.",H. P. Lovecraft,Fear
No one ever told me that grief felt so like fear.,C. S. Lewis,Fear
"What is a fear of living? It's being preeminently afraid of dying. It is not doing what you came here to do, out of timidity and spinelessness. The antidote is to take full responsibility for yourself - for the time you take up and the space you occupy. If you don't know what you're here to do, then just do some good.",Maya Angelou,Fear
"I'm not afraid of storms, for I'm learning how to sail my ship.",Louisa May Alcott,Fear
"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.",Thomas Paine,Fear
Don't be afraid to see what you see.,Ronald Reagan,Fear
I think fearless is having fears but jumping anyway.,Taylor Swift,Fear
Fears are nothing more than a state of mind.,Napoleon Hill,Fear
Do what you fear and fear disappears.,David Joseph Schwartz,Fear
Only when we are no longer afraid do we begin to live.,Dorothy Thompson,Fear
You are only afraid if you are not in harmony with yourself. People are afraid because they have never owned up to themselves.,Hermann Hesse,Fear
"My 'fear' is my substance, and probably the best part of me.",Franz Kafka,Fear
"Fear can be good when you're walking past an alley at night or when you need to check the locks on your doors before you go to bed, but it's not good when you have a goal and you're fearful of obstacles. We often get trapped by our fears, but anyone who has had success has failed before.",Queen Latifah,Fear
There are times when fear is good. It must keep its watchful place at the heart's controls.,Aeschylus,Fear
"Show me a guy who's afraid to look bad, and I'll show you a guy you can beat every time.",Lou Brock,Fear
I say I am stronger than fear.,Malala Yousafzai,Fear
There are very few monsters who warrant the fear we have of them.,Andre Gide,Fear
"What is needed, rather than running away or controlling or suppressing or any other resistance, is understanding fear; that means, watch it, learn about it, come directly into contact with it. We are to learn about fear, not how to escape from it.",Jiddu Krishnamurti,Fear
We fear the thing we want the most.,Robert Anthony,Fear
Nothing gives a fearful man more courage than another's fear.,Umberto Eco,Fear
Fear is static that prevents me from hearing myself.,Samuel Butler,Fear
True nobility is exempt from fear.,Marcus Tullius Cicero,Fear
I have never known any distress that an hour's reading did not relieve.,Montesquieu,Fear
We fear things in proportion to our ignorance of them.,Christian Nestell Bovee,Fear
"Pick the day. Enjoy it - to the hilt. The day as it comes. People as they come... The past, I think, has helped me appreciate the present - and I don't want to spoil any of it by fretting about the future.",Audrey Hepburn,Fear
Fear is the mother of foresight.,Thomas Hardy,Fear
Fear has many eyes and can see things underground.,Miguel de Cervantes,Fear
"We should not be afraid to go into a new era, to leave the old beyond.",Zach Wamp,Fear
We consume our tomorrows fretting about our yesterdays.,Persius,Fear
Fear is excitement without breath.,Robert Heller,Fear
Find out what you're afraid of and go live there.,Chuck Palahniuk,Fear
"I fear the Greeks, even when they bring gifts.",Virgil,Fear
"Grief has limits, whereas apprehension has none. For we grieve only for what we know has happened, but we fear all that possibly may happen.",Pliny the Elder,Fear
"There is no hope unmingled with fear, and no fear unmingled with hope.",Baruch Spinoza,Fear
We are afraid of the enormity of the possible.,Emil Cioran,Fear
Ultimately we know deeply that the other side of every fear is freedom.,Marilyn Ferguson,Fear
Great work is done by people who are not afraid to be great.,Fernando Flores,Fear
To him who is in fear everything rustles.,Sophocles,Fear
Humble souls are fearful of their own strength.,William Gurnall,Fear
He will never have true friends who is afraid of making enemies.,William Hazlitt,Fear
No good work is ever done while the heart is hot and anxious and fretted.,Olive Schreiner,Fear
Fear makes us feel our humanity.,Benjamin Disraeli,Fear
Never be afraid to sit a while and think.,Lorraine Hansberry,Fear
"It is the strange fate of man, that even in the greatest of evils the fear of the worst continues to haunt him.",Johann Wolfgang von Goethe,Fear
I have a fear of being boring.,Christian Bale,Fear
One had to take some action against fear when once it laid hold of one.,Rainer Maria Rilke,Fear
"I hasten to laugh at everything, for fear of being obliged to weep.",Pierre Beaumarchais,Fear
Fear tastes like a rusty knife and do not let her into your house.,John Cheever,Fear
Hate is the consequence of fear; we fear something before we hate it; a child who fears noises becomes a man who hates noise.,Cyril Connolly,Fear
Minds that are ill at ease are agitated by both hope and fear.,Ovid,Fear
There is no passion so contagious as that of fear.,Michel de Montaigne,Fear
"The first duty of man is to conquer fear; he must get rid of it, he cannot act till then.",Thomas Carlyle,Fear
"If you let your fear of consequence prevent you from following your deepest instinct, your life will be safe, expedient and thin.",Katharine Butler Hathaway,Fear
"This is all you have. This is not a dry run. This is your life. If you want to fritter it away with your fears, then you will fritter it away, but you won't get it back later.",Laura Schlessinger,Fear
Tell us your phobias and we will tell you what you are afraid of.,Robert Benchley,Fear
I'd rather give my life than be afraid to give it.,Lyndon B. Johnson,Fear
"I am convinced that it is not the fear of death, of our lives ending that haunts our sleep so much as the fear... that as far as the world is concerned, we might as well never have lived.",Harold Kushner,Fear
"As soon as the fear approaches near, attack and destroy it.",Chanakya,Fear
Some movie stars wear their sunglasses even in church. They're afraid God might recognize them and ask for autographs.,Fred Allen,Fear
"Every man, through fear, mugs his aspirations a dozen times a day.",Brendan Behan,Fear
"An ugly sight, a man who is afraid.",Jean Anouilh,Fear
"Sleep makes people calmer, more alert, less fearful - just plain happier, or so I see around me and in me. I am sure that if this great nation were to concentrate on getting more sleep, we would be a happier, more confident people, and that by itself would be a major achievement.",Ben Stein,Fear
The mark of fear is not easily removed.,Ernest Gaines,Fear
A person's fears are lighter when the danger is at hand.,Lucius Annaeus Seneca,Fear
"He whom many fear, has himself many to fear.",Publilius Syrus,Fear
A nation that is afraid to let its people judge the truth and falsehood in an open market is a nation that is afraid of its people.,John F. Kennedy,Fear
"I'm different, and my manner invites questions. I'm never afraid to answer.",Marlee Matlin,Fear
"We have perhaps a natural fear of ends. We would rather be always on the way than arrive. Given the means, we hang on to them and often forget the ends.",Eric Hoffer,Fear
