quotes,authors,categories
"If you have a garden and a library, you have everything you need.",Marcus Tullius Cicero,Gardening
"Behold, my friends, the spring is come; the earth has gladly received the embraces of the sun, and we shall soon see the results of their love!",Sitting Bull,Gardening
To see a world in a grain of sand and heaven in a wild flower Hold infinity in the palm of your hand and eternity in an hour.,William Blake,Gardening
"In the spring, at the end of the day, you should smell like dirt.",Margaret Atwood,Gardening
You can cut all the flowers but you cannot keep spring from coming.,Pablo Neruda,Gardening
"The glory of gardening: hands in the dirt, head in the sun, heart with nature. To nurture a garden is to feed not just on the body, but the soul.",Alfred Austin,Gardening
"Flowers always make people better, happier, and more helpful; they are sunshine, food and medicine for the soul.",Luther Burbank,Gardening
"Weeds are flowers too, once you get to know them.",A. A. Milne,Gardening
The best place to find God is in a garden. You can dig for him there.,George Bernard Shaw,Gardening
It will never rain roses: when we want to have more roses we must plant more trees.,George Eliot,Gardening
"Gardens are not made by singing 'Oh, how beautiful,' and sitting in the shade.",Rudyard Kipling,Gardening
"It is only the farmer who faithfully plants seeds in the Spring, who reaps a harvest in the Autumn.",B. C. Forbes,Gardening
"In search of my mother's garden, I found my own.",Alice Walker,Gardening
"Let us not forget that the cultivation of the earth is the most important labor of man. When tillage begins, other arts will follow. The farmers, therefore, are the founders of civilization.",Daniel Webster,Gardening
The flower which is single need not envy the thorns that are numerous.,Rabindranath Tagore,Gardening
A garden requires patient labor and attention. Plants do not grow merely to satisfy ambitions or to fulfill good intentions. They thrive because someone expended effort on them.,Liberty Hyde Bailey,Gardening
To dwell is to garden.,Martin Heidegger,Gardening
Won't you come into the garden? I would like my roses to see you.,Richard Brinsley Sheridan,Gardening
Isn't it enough to see that a garden is beautiful without having to believe that there are fairies at the bottom of it too?,Douglas Adams,Gardening
The flower that smells the sweetest is shy and lowly.,William Wordsworth,Gardening
What is a weed? A plant whose virtues have never been discovered.,Ralph Waldo Emerson,Gardening
A weed is a plant that has mastered every survival skill except for learning how to grow in rows.,Doug Larson,Gardening
A garden is a grand teacher. It teaches patience and careful watchfulness; it teaches industry and thrift; above all it teaches entire trust.,Gertrude Jekyll,Gardening
"God Almighty first planted a garden. And indeed, it is the purest of human pleasures.",Francis Bacon,Gardening
"We must cultivate our own garden. When man was put in the garden of Eden he was put there so that he should work, which proves that man was not born to rest.",Voltaire,Gardening
Flowers are restful to look at. They have neither emotions nor conflicts.,Sigmund Freud,Gardening
"Love is the flower of life, and blossoms unexpectedly and without law, and must be plucked where it is found, and enjoyed for the brief hour of its duration.",D. H. Lawrence,Gardening
And forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,Khalil Gibran,Gardening
"I want it said of me by those who knew me best, that I always plucked a thistle and planted a flower where I thought a flower would grow.",Abraham Lincoln,Gardening
"When the flower blooms, the bees come uninvited.",Ramakrishna,Gardening
"Help us to be ever faithful gardeners of the spirit, who know that without darkness nothing comes to birth, and without light nothing flowers.",May Sarton,Gardening
"No occupation is so delightful to me as the culture of the earth, and no culture comparable to that of the garden.",Thomas Jefferson,Gardening
"A flower falls, even though we love it; and a weed grows, even though we do not love it.",Dogen,Gardening
Garden as though you will live forever.,William Kent,Gardening
A garden must combine the poetic and the mysterious with a feeling of serenity and joy.,Luis Barragan,Gardening
The garden suggests there might be a place where we can meet nature halfway.,Michael Pollan,Gardening
"Little things seem nothing, but they give peace, like those meadow flowers which individually seem odorless but all together perfume the air.",Georges Bernanos,Gardening
"Trees and plants always look like the people they live with, somehow.",Zora Neale Hurston,Gardening
Flowers are happy things.,P. G. Wodehouse,Gardening
A good garden may have some weeds.,Thomas Fuller,Gardening
"Remember that children, marriages, and flower gardens reflect the kind of care they get.","H. Jackson Brown, Jr.",Gardening
We learn from our gardens to deal with the most urgent question of the time: How much is enough?,Wendell Berry,Gardening
"A vegetable garden in the beginning looks so promising and then after all little by little it grows nothing but vegetables, nothing, nothing but vegetables.",Gertrude Stein,Gardening
I do some of my best thinking while pulling weeds.,Martha Smith,Gardening
"The earth is rocky and full of roots; it's clay, and it seems doomed and polluted, but you dig little holes for the ugly shriveled bulbs, throw in a handful of poppy seeds, and cover it all over, and you know you'll never see it again - it's death and clay and shrivel, and your hands are nicked from the rocks, your nails black with soil.",Anne Lamott,Gardening
"From plants that wake when others sleep, from timid jasmine buds that keep their odour to themselves all day, but when the sunlight dies away let the delicious secret out to every breeze that roams about.",Thomas Moore,Gardening
A weed is but an unloved flower.,Ella Wheeler Wilcox,Gardening
I like gardening - it's a place where I find myself when I need to lose myself.,Alice Sebold,Gardening
"My neighbour asked if he could use my lawnmower and I told him of course he could, so long as he didn't take it out of my garden.",Eric Morecambe,Gardening
"If your knees aren't green by the end of the day, you ought to seriously re-examine your life.",Bill Watterson,Gardening
"I value my garden more for being full of blackbirds than of cherries, and very frankly give them fruit for their songs.",Joseph Addison,Gardening
A man has made at least a start on discovering the meaning of human life when he plants shade trees under which he knows full well he will never sit.,D. Elton Trueblood,Gardening
It is a good idea to be alone in a garden at dawn or dark so that all its shy presences may haunt you and possess you in a reverie of suspended thought.,James Douglas,Gardening
"If a tree dies, plant another in its place.",Carolus Linnaeus,Gardening
"I don't like formal gardens. I like wild nature. It's just the wilderness instinct in me, I guess.",Walt Disney,Gardening
"Gardening is learning, learning, learning. That's the fun of them. You're always learning.",Helen Mirren,Gardening
"A garden is a complex of aesthetic and plastic intentions; and the plant is, to a landscape artist, not only a plant - rare, unusual, ordinary or doomed to disappearance - but it is also a color, a shape, a volume or an arabesque in itself.",Roberto Burle Marx,Gardening
"One lifetime is never enough to accomplish one's horticultural goals. If a garden is a site for the imagination, how can we be very far from the beginning?",Francis Cabot Lowell,Gardening
Who loves a garden loves a greenhouse too.,William Cowper,Gardening
Gardening is how I relax. It's another form of creating and playing with colors.,Oscar de la Renta,Gardening
How deeply seated in the human heart is the liking for gardens and gardening.,Alexander Smith,Gardening
"I love planting. I love digging holes, putting plants in, tapping them in. And I love weeding, but I don't like tidying up the garden afterwards.",Jamaica Kincaid,Gardening
Plant and your spouse plants with you; weed and you weed alone.,Jean-Jacques Rousseau,Gardening
"It is a golden maxim to cultivate the garden for the nose, and the eyes will take care of themselves.",Robert Louis Stevenson,Gardening
Well tended garden is better than a neglected wood lot.,Dixie Lee Ray,Gardening
