quotes,authors,categories
"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius,History
The man who is swimming against the stream knows the strength of it.,Woodrow Wilson,History
History is a set of lies agreed upon.,Napoleon Bonaparte,History
"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality.",Desmond Tutu,History
"I came, I saw, I conquered.",Julius Caesar,History
History will be kind to me for I intend to write it.,Winston Churchill,History
Those who do not remember the past are condemned to repeat it.,George Santayana,History
I like the dreams of the future better than the history of the past.,Thomas Jefferson,History
People are trapped in history and history is trapped in them.,James Baldwin,History
We are not makers of history. We are made by history.,"Martin Luther King, Jr.",History
"Never, never and never again shall it be that this beautiful land will again experience the oppression of one by another.",Nelson Mandela,History
A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.,Mahatma Gandhi,History
Observe good faith and justice toward all nations. Cultivate peace and harmony with all.,George Washington,History
"Following the light of the sun, we left the Old World.",Christopher Columbus,History
The test of our progress is not whether we add more to the abundance of those who have much it is whether we provide enough for those who have little.,Franklin D. Roosevelt,History
The very ink with which history is written is merely fluid prejudice.,Mark Twain,History
"History, despite its wrenching pain, cannot be unlived, but if faced with courage, need not be lived again.",Maya Angelou,History
History is not a burden on the memory but an illumination of the soul.,John Dalberg-Acton,History
"If one morning I walked on top of the water across the Potomac River, the headline that afternoon would read: 'President Can't Swim.'",Lyndon B. Johnson,History
That men do not learn very much from the lessons of history is the most important of all the lessons of history.,Aldous Huxley,History
There are no extraordinary men... just extraordinary circumstances that ordinary men are forced to deal with.,William Halsey,History
I did not come to NASA to make history.,Sally Ride,History
"The dogmas of the quiet past are inadequate to the stormy present. The occasion is piled high with difficulty, and we must rise with the occasion. As our case is new, so we must think anew and act anew.",Abraham Lincoln,History
I cannot lead you into battle. I do not give you laws or administer justice but I can do something else - I can give my heart and my devotion to these old islands and to all the peoples of our brotherhood of nations.,Queen Elizabeth II,History
"Peace, plenty, and contentment reign throughout our borders, and our beloved country presents a sublime moral spectacle to the world.",James K. Polk,History
History is a gallery of pictures in which there are few originals and many copies.,Alexis de Tocqueville,History
"Pearl Harbor caused our Nation to wholeheartedly commit to winning World War II, changing the course of our Nation's history and the world's future.",Joe Baca,History
The whole course of human history may depend on a change of heart in one solitary and even humble individual - for it is in the solitary mind and soul of the individual that the battle between good and evil is waged and ultimately won or lost.,M. Scott Peck,History
Here men from the planet Earth first set foot upon the Moon. July 1969 AD. We came in peace for all mankind.,Neil Armstrong,History
It takes an endless amount of history to make even a little tradition.,Henry James,History
"You must pursue this investigation of Watergate even if it leads to the president. I'm innocent. You've got to believe I'm innocent. If you don't, take my job.",Richard M. Nixon,History
Human history becomes more and more a race between education and catastrophe.,H. G. Wells,History
"I do not think it is an exaggeration to say history is largely a history of inflation, usually inflations engineered by governments for the gain of governments.",Friedrich August von Hayek,History
Be as a tower firmly set; Shakes not its top for any blast that blows.,Dante Alighieri,History
History is a cyclic poem written by time upon the memories of man.,Percy Bysshe Shelley,History
"I come into the peace of wild things who do not tax their lives with forethought of grief... For a time I rest in the grace of the world, and am free.",Wendell Berry,History
"Something as curious as the monarchy won't survive unless you take account of people's attitudes. After all, if people don't want it, they won't have it.",Prince Charles,History
"Get up tomorrow early in the morning, and earlier than you did today, and do the best that you can. Always stay near me, for tomorrow I will have much to do and more than I ever had, and tomorrow blood will leave my body above the breast.",Joan of Arc,History
I have tried to lift France out of the mud. But she will return to her errors and vomitings. I cannot prevent the French from being French.,Charles de Gaulle,History
Most of the things worth doing in the world had been declared impossible before they were done.,Louis D. Brandeis,History
90 percent of my time is spent on 10 percent of the world.,Colin Powell,History
"History is indeed little more than the register of the crimes, follies, and misfortunes of mankind.",Edward Gibbon,History
The past actually happened but history is only what someone wrote down.,A. Whitney Brown,History
"God cannot alter the past, though historians can.",Samuel Butler,History
"History is an account, mostly false, of events, mostly unimportant, which are brought about by rulers, mostly knaves, and soldiers, mostly fools.",Ambrose Bierce,History
Difficulty is the excuse history never accepts.,Edward R. Murrow,History
"The past is malleable and flexible, changing as our recollection interprets and re-explains what has happened.",Peter L. Berger,History
Posterity! You will never know how much it cost the present generation to preserve your freedom! I hope you will make a good use of it.,John Adams,History
"The world we see that seems so insane is the result of a belief system that is not working. To perceive the world differently, we must be willing to change our belief system, let the past slip away, expand our sense of now, and dissolve the fear in our minds.",William James,History
History is the sum total of things that could have been avoided.,Konrad Adenauer,History
"So that the record of history is absolutely crystal clear. That there is no alternative way, so far discovered, of improving the lot of the ordinary people that can hold a candle to the productive activities that are unleashed by a free enterprise system.",Milton Friedman,History
A truly American sentiment recognizes the dignity of labor and the fact that honor lies in honest toil.,Grover Cleveland,History
"Chaos often breeds life, when order breeds habit.",Henry Adams,History
Americans love to fight. All real Americans love the sting of battle.,George S. Patton,History
History never looks like history when you are living through it.,John W. Gardner,History
Why should we honour those that die upon the field of battle? A man may show as reckless a courage in entering into the abyss of himself.,William Butler Yeats,History
The fall of the Berlin Wall makes for nice pictures. But it all started in the shipyards.,Lech Walesa,History
"In the Confederate Army, an officer was judged by stark courage alone, and this made it possible for the Confederacy to live four years.",Chesty Puller,History
"They died hard, those savage men - like wounded wolves at bay. They were filthy, and they were lousy, and they stunk. And I loved them.",Douglas MacArthur,History
"History develops, art stands still.",E. M. Forster,History
Time is my greatest enemy.,Evita Peron,History
People that are really very weird can get into sensitive positions and have a tremendous impact on history.,Dan Quayle,History
The judicial system is the most expensive machine ever invented for finding out what happened and what to do about it.,Irving R. Kaufman,History
You have to look at history as an evolution of society.,Jean Chretien,History
The construction of Europe is an art. It is the art of the possible.,Jacques Chirac,History
"On the day when man told the story of his life to man, history was born.",Alfred de Vigny,History
Never doubt that you can change history. You already have.,Marge Piercy,History
What is sad for women of my generation is that they weren't supposed to work if they had families. What were they going to do when the children are grown - watch the raindrops coming down the window pane?,Jackie Kennedy,History
Russians can give you arms but only the United States can give you a solution.,Anwar Sadat,History
History is an endless repetition of the wrong way of living.,Lawrence Durrell,History
Historian: an unsuccessful novelist.,H. L. Mencken,History
The history of mankind is the history of ideas.,Luigi Pirandello,History
I'm the only person of distinction who has ever had a depression named for him.,Herbert Hoover,History
"History is a relentless master. It has no present, only the past rushing into the future. To try to hold fast is to be swept aside.",John F. Kennedy,History
History is the version of past events that people have decided to agree upon.,Napoleon Bonaparte,History
The nation was awakened by that deafening shot.,Corazon Aquino,History
A world without nuclear weapons would be less stable and more dangerous for all of us.,Margaret Thatcher,History
"With Malice toward none, with charity for all, with firmness in the right, as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation's wounds.",Abraham Lincoln,History
Hubert Humphrey talks so fast that listening to him is like trying to read Playboy magazine with your wife turning the pages.,Barry Goldwater,History
History is a tool used by politicians to justify their intentions.,Ted Koppel,History
Stonehenge was built possibly by the Minoans. It presents one of man's first attempts to order his view of the outside world.,Stephen Gardiner,History
World War II was the last government program that really worked.,George Will,History
"Civilization is a movement and not a condition, a voyage and not a harbor.",Arnold J. Toynbee,History
Perhaps in time the so-called Dark Ages will be thought of as including our own.,Georg C. Lichtenberg,History
The past is really almost as much a work of the imagination as the future.,Jessamyn West,History
"History will have to record that the greatest tragedy of this period of social transition was not the strident clamor of the bad people, but the appalling silence of the good people.","Martin Luther King, Jr.",History
"If you will read again what is written, you will see how it was.",Black Elk,History
Tell the FBI that the kidnappers should pick out a judge that Nixon wants back.,William O. Douglas,History
"Be assured those will be thy worst enemies, not to whom thou hast done evil, but who have done evil to thee. And those will be thy best friends, not to whom thou hast done good, but who have done good to thee.",Tacitus,History
"Few will have the greatness to bend history itself; but each of us can work to change a small portion of events, and in the total; of all those acts will be written the history of this generation.",Robert Kennedy,History
It was a Greek tragedy. Nixon was fulfilling his own nature. Once it started it could not end otherwise.,Henry Kissinger,History
"Women, we might as well be dogs baying the moon as petitioners without the right to vote!",Susan B. Anthony,History
It is impossible to predict the time and progress of revolution. It is governed by its own more or less mysterious laws.,Vladimir Lenin,History
"In the early days of aviation, there was a great deal of experimentation and a high death rate.",Elon Musk,History
It's a very good historical book about history.,Dan Quayle,History
"When the rich think about the poor, they have poor ideas.",Evita Peron,History
History is a vast early warning system.,Norman Cousins,History
I think the Lewis and Clark Expedition was the greatest undertaking in American History. I think landing a man on the moon pales next to it.,Kathryn Lasky,History
"Americans are good with to-do lists; just tell us what to do, and we'll do it. Throughout our history, we have proven that. Colonize. Check. Win our independence. Check. Form a union. Check. Expand to the Pacific. Check. Settle the West. Check. Keep the Union together. Check. Industrialize. Check. Fight the Nazis. Check.",Marianne Williamson,History
"The Supreme Court's only armor is the cloak of public trust; its sole ammunition, the collective hopes of our society.",Irving R. Kaufman,History
In the long term we can hope that religion will change the nature of man and reduce conflict. But history is not encouraging in this respect. The bloodiest wars in history have been religious wars.,Richard M. Nixon,History
I was France.,Charles de Gaulle,History
History is a pack of lies about events that never happened told by people who weren't there.,George Santayana,History
What Britain needs is an iron lady.,Margaret Thatcher,History
History is more or less bunk.,Henry Ford,History
We cannot defend freedom abroad by deserting it at home.,Edward R. Murrow,History
Legend: A lie that has attained the dignity of age.,H. L. Mencken,History
"Study history, study history. In history lies all the secrets of statecraft.",Winston Churchill,History
"I wouldn't attach too much importance to these student riots. I remember when I was a student at the Sorbonne in Paris, I used to go out and riot occasionally.",John Foster Dulles,History
"Here I am at the turn of the millennium and I'm still the last man to have walked on the moon, somewhat disappointing. It says more about what we have not done than about what we have done.",Gene Cernan,History
"The more bombers, the less room for doves of peace.",Nikita Khrushchev,History
"Could I have but a line a century hence crediting a contribution to the advance of peace, I would yield every honor which has been accorded by war.",Douglas MacArthur,History
I can see clearly now... that I was wrong in not acting more decisively and more forthrightly in dealing with Watergate.,Richard M. Nixon,History
The Marine Corps is the Navy's police force and as long as I am President that is what it will remain. They have a propaganda machine that is almost equal to Stalin's.,Harry S Truman,History
Beware of endeavoring to become a great man in a hurry. One such attempt in ten thousand may succeed. These are fearful odds.,Benjamin Disraeli,History
"France, and the whole of Europe have a great culture and an amazing history. Most important thing though is that people there know how to live! In America they've forgotten all about it. I'm afraid that the American culture is a disaster.",Johnny Depp,History
The most terrible job in warfare is to be a second lieutenant leading a platoon when you are on the battlefield.,Dwight D. Eisenhower,History
Statutes authorizing unreasonable searches were the core concern of the framers of the 4th Amendment.,Sandra Day O'Connor,History
Democratic nations must try to find ways to starve the terrorist and the hijacker of the oxygen of publicity on which they depend.,Margaret Thatcher,History
The Russians feared Ike. They didn't fear me.,Lyndon B. Johnson,History
