quotes,authors,categories
A day without laughter is a day wasted.,Charlie Chaplin,Humor
"From there to here, and here to there, funny things are everywhere.",Dr. Seuss,Humor
Humor is mankind's greatest blessing.,Mark Twain,Humor
Everywhere is within walking distance if you have the time.,Steven Wright,Humor
"There is a thin line that separates laughter and pain, comedy and tragedy, humor and hurt.",Erma Bombeck,Humor
The most wasted of all days is one without laughter.,e. e. cummings,Humor
"If I had no sense of humor, I would long ago have committed suicide.",Mahatma Gandhi,Humor
Start every day off with a smile and get it over with.,W. C. Fields,Humor
The secret to humor is surprise.,Aristotle,Humor
"Everything is funny, as long as it's happening to somebody else.",Will Rogers,Humor
Imagination was given to man to compensate him for what he is not; a sense of humor to console him for what he is.,Francis Bacon,Humor
Laughter is the closest distance between two people.,Victor Borge,Humor
"Common sense and a sense of humor are the same thing, moving at different speeds. A sense of humor is just common sense, dancing.",Clive James,Humor
Laughter is an instant vacation.,Milton Berle,Humor
A person without a sense of humor is like a wagon without springs. It's jolted by every pebble on the road.,Henry Ward Beecher,Humor
A well-developed sense of humor is the pole that adds balance to your steps as you walk the tightrope of life.,William Arthur Ward,Humor
It's always funny until someone gets hurt. Then it's just hilarious.,Bill Hicks,Humor
Analyzing humor is like dissecting a frog. Few people are interested and the frog dies of it.,E. B. White,Humor
"I love people who make me laugh. I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.",Audrey Hepburn,Humor
Comedy is simply a funny way of being serious.,Peter Ustinov,Humor
The problem with having a sense of humor is often that people you use it on aren't in a very good mood.,Lou Holtz,Humor
"It is the ability to take a joke, not make one, that proves you have a sense of humor.",Max Eastman,Humor
Humor is reason gone mad.,Groucho Marx,Humor
"I realize that humor isn't for everyone. It's only for people who want to have fun, enjoy life, and feel alive.",Anne Wilson Schaef,Humor
Humour is the weapon of unarmed people: it helps people who are oppressed to smile at the situation that pains them.,Simon Wiesenthal,Humor
Good humor is a tonic for mind and body. It is the best antidote for anxiety and depression. It is a business asset. It attracts and keeps friends. It lightens human burdens. It is the direct route to serenity and contentment.,Grenville Kleiser,Humor
It's a funny old world.,Margaret Thatcher,Humor
"I have seen what a laugh can do. It can transform almost unbearable tears into something bearable, even hopeful.",Bob Hope,Humor
I'm not funny. What I am is brave.,Lucille Ball,Humor
"If you could choose one characteristic that would get you through life, choose a sense of humor.",Jennifer Jones,Humor
The duty of comedy is to correct men by amusing them.,Moliere,Humor
"Like a welcome summer rain, humor may suddenly cleanse and cool the earth, the air and you.",Langston Hughes,Humor
Humor is just another defense against the universe.,Mel Brooks,Humor
Humor is by far the most significant activity of the human brain.,Edward de Bono,Humor
Comedy has to be based on truth. You take the truth and you put a little curlicue at the end.,Sid Caesar,Humor
