quotes,authors,categories
The only sure weapon against bad ideas is better ideas.,Alfred Whitney Griswold,Imagination
Logic will get you from A to B. Imagination will take you everywhere.,Albert Einstein,Imagination
I saw the angel in the marble and carved until I set him free.,Michelangelo,Imagination
I like nonsense; it wakes up the brain cells.,Dr. Seuss,Imagination
You can't depend on your eyes when your imagination is out of focus.,Mark Twain,Imagination
You're only given a little spark of madness. You mustn't lose it.,Robin Williams,Imagination
"If you can imagine it, you can achieve it. If you can dream it, you can become it.",William Arthur Ward,Imagination
Everything you can imagine is real.,Pablo Picasso,Imagination
The world of reality has its limits; the world of imagination is boundless.,Jean-Jacques Rousseau,Imagination
I only hope that we don't lose sight of one thing - that it was all started by a mouse.,Walt Disney,Imagination
"Imagination is the beginning of creation. You imagine what you desire, you will what you imagine and at last you create what you will.",George Bernard Shaw,Imagination
"If you want a vision of the future, imagine a boot stamping on a human face - forever.",George Orwell,Imagination
The man who has no imagination has no wings.,Muhammad Ali,Imagination
"What we wish, we readily believe, and what we ourselves think, we imagine others think also.",Julius Caesar,Imagination
Imagination will often carry us to worlds that never were. But without it we go nowhere.,Carl Sagan,Imagination
They who dream by day are cognizant of many things which escape those who dream only by night.,Edgar Allan Poe,Imagination
"Those who do not want to imitate anything, produce nothing.",Salvador Dali,Imagination
Imagination rules the world.,Napoleon Bonaparte,Imagination
"Visualize this thing that you want, see it, feel it, believe in it. Make your mental blue print, and begin to build.",Robert Collier,Imagination
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,Imagination
"Happiness is not an ideal of reason, but of imagination.",Immanuel Kant,Imagination
There are no rules of architecture for a castle in the clouds.,Gilbert K. Chesterton,Imagination
An idea is salvation by imagination.,Frank Lloyd Wright,Imagination
What is now proved was once only imagined.,William Blake,Imagination
"Imagine for yourself a character, a model personality, whose example you determine to follow, in private as well as in public.",Epictetus,Imagination
"And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.",Sylvia Plath,Imagination
