quotes,authors,categories
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,Helen Keller,Inspirational
The best preparation for tomorrow is doing your best today.,"H. Jackson Brown, Jr.",Inspirational
"If you believe in yourself and have dedication and pride - and never quit, you'll be a winner. The price of victory is high but so are the rewards.",Bear Bryant,Inspirational
Keep your face always toward the sunshine - and shadows will fall behind you.,Walt Whitman,Inspirational
Believe you can and you're halfway there.,Theodore Roosevelt,Inspirational
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean,Inspirational
"Perfection is not attainable, but if we chase perfection we can catch excellence.",Vince Lombardi,Inspirational
"We must let go of the life we have planned, so as to accept the one that is waiting for us.",Joseph Campbell,Inspirational
"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.",Maya Angelou,Inspirational
"If a man does not keep pace with his companions, perhaps it is because he hears a different drummer. Let him step to the music which he hears, however measured or far away.",Henry David Thoreau,Inspirational
It is never too late to be what you might have been.,George Eliot,Inspirational
Start by doing what's necessary; then do what's possible; and suddenly you are doing the impossible.,Francis of Assisi,Inspirational
"To the mind that is still, the whole universe surrenders.",Lao Tzu,Inspirational
"Ah, but a man's reach should exceed his grasp, Or what's a heaven for?",Robert Browning,Inspirational
"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,Inspirational
"We can't help everyone, but everyone can help someone.",Ronald Reagan,Inspirational
"If I have seen further than others, it is by standing upon the shoulders of giants.",Isaac Newton,Inspirational
Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson,Inspirational
"I hated every minute of training, but I said, 'Don't quit. Suffer now and live the rest of your life as a champion.'",Muhammad Ali,Inspirational
"No act of kindness, no matter how small, is ever wasted.",Aesop,Inspirational
Someone is sitting in the shade today because someone planted a tree a long time ago.,Warren Buffett,Inspirational
"Every story I create, creates me. I write to create myself.",Octavia E. Butler,Inspirational
"Put your heart, mind, and soul into even your smallest acts. This is the secret of success.",Swami Sivananda,Inspirational
"Thousands of candles can be lighted from a single candle, and the life of the candle will not be shortened. Happiness never decreases by being shared.",Buddha,Inspirational
"Accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart.",Marcus Aurelius,Inspirational
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",Steve Jobs,Inspirational
There is nothing impossible to him who will try.,Alexander the Great,Inspirational
"If opportunity doesn't knock, build a door.",Milton Berle,Inspirational
"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",John F. Kennedy,Inspirational
Let us sacrifice our today so that our children can have a better tomorrow.,A. P. J. Abdul Kalam,Inspirational
It is during our darkest moments that we must focus to see the light.,Aristotle Onassis,Inspirational
Whoever is happy will make others happy too.,Anne Frank,Inspirational
Change your thoughts and you change your world.,Norman Vincent Peale,Inspirational
There are two ways of spreading light: to be the candle or the mirror that reflects it.,Edith Wharton,Inspirational
"What lies behind you and what lies in front of you, pales in comparison to what lies inside of you.",Ralph Waldo Emerson,Inspirational
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore,Inspirational
The only way to discover the limits of the possible is to go beyond them into the impossible.,Arthur C. Clarke,Inspirational
"We know what we are, but know not what we may be.",William Shakespeare,Inspirational
