"Life is one big road with lots of signs. So when you riding through the ruts, don't complicate your mind. Flee from hate, mischief and jealousy. Don't bury your thoughts, put your vision to reality. Wake Up and Live!",Bob Marley,Jealousy
You can be the moon and still be jealous of the stars.,Gary Allan,Jealousy
"The jealous are troublesome to others, but a torment to themselves.",William Penn,Jealousy
Jealousy is the tribute mediocrity pays to genius.,Fulton J. Sheen,Jealousy
"Jealousy is both reasonable and belongs to reasonable men, while envy is base and belongs to the base, for the one makes himself get good things by jealousy, while the other does not allow his neighbour to have them through envy.",Aristotle,Jealousy
Never underestimate the power of jealousy and the power of envy to destroy. Never underestimate that.,Oliver Stone,Jealousy
"There is no greater glory than love, nor any greater punishment than jealousy.",Lope de Vega,Jealousy
Jealousy... is a mental cancer.,B. C. Forbes,Jealousy
"I think it's important to get your surroundings as well as yourself into a positive state - meaning surround yourself with positive people, not the kind who are negative and jealous of everything you do.",Heidi Klum,Jealousy
"Don't waste time on jealousy. Sometimes you're ahead, sometimes you're behind.",Mary Schmich,Jealousy
"It is not love that is blind, but jealousy.",Lawrence Durrell,Jealousy
Jealousy is the fear of comparison.,Max Frisch,Jealousy
He that is jealous is not in love.,Saint Augustine,Jealousy
"As iron is eaten away by rust, so the envious are consumed by their own passion.",Antisthenes,Jealousy
Moral indignation is jealousy with a halo.,H. G. Wells,Jealousy
"A negative judgment gives you more satisfaction than praise, provided it smacks of jealousy.",Jean Baudrillard,Jealousy
"The envious die not once, but as oft as the envied win applause.",Baltasar Gracian,Jealousy
My wife's jealousy is getting ridiculous. The other day she looked at my calendar and wanted to know who May was.,Rodney Dangerfield,Jealousy
"Those who enjoy their own emotionally bad health and who habitually fill their own minds with the rank poisons of suspicion, jealousy and hatred, as a rule take umbrage at those who refuse to do likewise, and they find a perverted relief in trying to denigrate them.",Johannes Brahms,Jealousy
More men die of jealousy than of cancer.,Joseph P. Kennedy,Jealousy
There is never jealousy where there is not strong regard.,Washington Irving,Jealousy
Jealousy contains more of self-love than of love.,Francois de La Rochefoucauld,Jealousy
But I like not these great success of yours; for I know how jealous are the gods.,Herodotus,Jealousy
"Jealousy, that dragon which slays love under the pretence of keeping it alive.",Havelock Ellis,Jealousy
"Jealousy is the tie that binds, and binds, and binds.",Helen Rowland,Jealousy
Jealousy is all the fun you think they had.,Erica Jong,Jealousy
The jealous are possessed by a mad devil and a dull spirit at the same time.,Johann Kaspar Lavater,Jealousy
"Jealousy is, I think, the worst of all faults because it makes a victim of both parties.",Gene Tierney,Jealousy
Those who are believed to be most abject and humble are usually most ambitious and envious.,Baruch Spinoza,Jealousy
Jealousy is a dog's bark which attracts thieves.,Karl Kraus,Jealousy
Jealousy is cruel as the grave: the coals thereof are coals of fire.,Solomon Ibn Gabirol,Jealousy
Jealousy is the fear or apprehension of superiority: envy our uneasiness under it.,William Shenstone,Jealousy
Jealousy is the jaundice of the soul.,John Dryden,Jealousy
"Like hatred, jealousy is forbidden by the laws of life because it is essentially destructive.",Alexis Carrel,Jealousy
"To jealousy, nothing is more frightful than laughter.",Francoise Sagan,Jealousy
Jealousy is the grave of affection.,Mary Baker Eddy,Jealousy
Jealousy - that jumble of secret worship and ostensible aversion.,Emil Cioran,Jealousy
"Hunger, revenge, to sleep are petty foes, But only death the jealous eyes can close.",William Wycherley,Jealousy
