quotes,authors,categories
Real knowledge is to know the extent of one's ignorance.,Confucius,Knowledge
"A people without the knowledge of their past history, origin and culture is like a tree without roots.",Marcus Garvey,Knowledge
Opinion is the medium between knowledge and ignorance.,Plato,Knowledge
"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.",Kofi Annan,Knowledge
"We are all born ignorant, but one must work hard to remain stupid.",Unknown,Knowledge
"To know, is to know that you know nothing. That is the meaning of true knowledge.",Socrates,Knowledge
Without knowledge action is useless and knowledge without action is futile.,Abu Bakr,Knowledge
"To know that we know what we know, and to know that we do not know what we do not know, that is true knowledge.",Nicolaus Copernicus,Knowledge
"Consider your origins: you were not made to live as brutes, but to follow virtue and knowledge.",Dante Alighieri,Knowledge
"To acquire knowledge, one must study; but to acquire wisdom, one must observe.",Marilyn vos Savant,Knowledge
Risk comes from not knowing what you're doing.,Warren Buffett,Knowledge
"Wisdom is the right use of knowledge. To know is not to be wise. Many men know a great deal, and are all the greater fools for it. There is no fool so great a fool as a knowing fool. But to know how to use knowledge is to have wisdom.",Charles Spurgeon,Knowledge
We are drowning in information but starved for knowledge.,John Naisbitt,Knowledge
"All our knowledge begins with the senses, proceeds then to the understanding, and ends with reason. There is nothing higher than reason.",Immanuel Kant,Knowledge
Knowledge is power. Information is power. The secreting or hoarding of knowledge or information may be an act of tyranny camouflaged as humility.,Robin Morgan,Knowledge
"Those who have knowledge, don't predict. Those who predict, don't have knowledge.",Lao Tzu,Knowledge
"The only good is knowledge, and the only evil is ignorance.",Herodotus,Knowledge
Ignorance is the curse of God; knowledge is the wing wherewith we fly to heaven.,William Shakespeare,Knowledge
"We live on an island surrounded by a sea of ignorance. As our island of knowledge grows, so does the shore of our ignorance.",John Archibald Wheeler,Knowledge
Where is the Life we have lost in living? Where is the wisdom we have lost in knowledge? Where is the knowledge we have lost in information?,T. S. Eliot,Knowledge
"If you have knowledge, let others light their candles in it.",Margaret Fuller,Knowledge
Knowledge is the eye of desire and can become the pilot of the soul.,Will Durant,Knowledge
"Knowledge has to be improved, challenged, and increased constantly, or it vanishes.",Peter Drucker,Knowledge
"Knowledge rests not upon truth alone, but upon error also.",Carl Jung,Knowledge
"The control of information is something the elite always does, particularly in a despotic form of government. Information, knowledge, is power. If you can control information, you can control people.",Tom Clancy,Knowledge
"I'm hungry for knowledge. The whole thing is to learn every day, to get brighter and brighter. That's what this world is about. You look at someone like Gandhi, and he glowed. Martin Luther King glowed. Muhammad Ali glows. I think that's from being bright all the time, and trying to be brighter.",Jay-Z,Knowledge
Those people who develop the ability to continuously acquire new and better forms of knowledge that they can apply to their work and to their lives will be the movers and shakers in our society for the indefinite future.,Brian Tracy,Knowledge
"There are three principal means of acquiring knowledge... observation of nature, reflection, and experimentation. Observation collects facts; reflection combines them; experimentation verifies the result of that combination.",Denis Diderot,Knowledge
"The larger the island of knowledge, the longer the shoreline of wonder.",Ralph W. Sockman,Knowledge
It is one of my sources of happiness never to desire a knowledge of other people's business.,Dolley Madison,Knowledge
"Our knowledge can only be finite, while our ignorance must necessarily be infinite.",Karl Popper,Knowledge
The true method of knowledge is experiment.,William Blake,Knowledge
Knowledge is love and light and vision.,Helen Keller,Knowledge
I prefer tongue-tied knowledge to ignorant loquacity.,Marcus Tullius Cicero,Knowledge
"If money is your hope for independence you will never have it. The only real security that a man will have in this world is a reserve of knowledge, experience, and ability.",Henry Ford,Knowledge
"All the knowledge I possess everyone else can acquire, but my heart is all my own.",Johann Wolfgang von Goethe,Knowledge
"We are here and it is now. Further than that, all human knowledge is moonshine.",H. L. Mencken,Knowledge
"Knowledge is like money: to be of value it must circulate, and in circulating it can increase in quantity and, hopefully, in value.",Louis L'Amour,Knowledge
Even the knowledge of my own fallibility cannot keep me from making mistakes. Only when I fall do I get up again.,Vincent Van Gogh,Knowledge
"A man of knowledge lives by acting, not by thinking about acting.",Carlos Castaneda,Knowledge
Perplexity is the beginning of knowledge.,Khalil Gibran,Knowledge
He who knows nothing is closer to the truth than he whose mind is filled with falsehoods and errors.,Thomas Jefferson,Knowledge
The possession of knowledge does not kill the sense of wonder and mystery. There is always more mystery.,Anais Nin,Knowledge
"The knowledge of anything, since all things have causes, is not acquired or complete unless it is known by its causes.",Avicenna,Knowledge
The ability to perceive or think differently is more important than the knowledge gained.,David Bohm,Knowledge
The best advice I ever got was that knowledge is power and to keep reading.,David Bailey,Knowledge
I don't pretend we have all the answers. But the questions are certainly worth thinking about.,Arthur C. Clarke,Knowledge
Every addition to true knowledge is an addition to human power.,Horace Mann,Knowledge
The first step towards knowledge is to know that we are ignorant.,Richard Cecil,Knowledge
It is harder to conceal ignorance than to acquire knowledge.,Arnold H. Glasow,Knowledge
Having knowledge but lacking the power to express it clearly is no better than never having any ideas at all.,Pericles,Knowledge
"The aim of education is the knowledge, not of facts, but of values.",William Inge,Knowledge
"They say a little knowledge is a dangerous thing, but it's not one half so bad as a lot of ignorance.",Terry Pratchett,Knowledge
The knowledge I have now is not the knowledge I had then.,Stokely Carmichael,Knowledge
Knowledge is knowing that we cannot know.,Ralph Waldo Emerson,Knowledge
"The apple cannot be stuck back on the Tree of Knowledge; once we begin to see, we are doomed and challenged to seek the strength to see more, not less.",Arthur Miller,Knowledge
"Cherish that which is within you, and shut off that which is without; for much knowledge is a curse.",Zhuangzi,Knowledge
"Without self knowledge, without understanding the working and functions of his machine, man cannot be free, he cannot govern himself and he will always remain a slave.",George Gurdjieff,Knowledge
"Human behavior flows from three main sources: desire, emotion, and knowledge.",Plato,Knowledge
"I would rather excel in the knowledge of what is excellent, than in the extent of my power and possessions.",Plutarch,Knowledge
The true sign of intelligence is not knowledge but imagination.,Albert Einstein,Knowledge
"This life that has been given to us as a gift, as such a precious gift. To really try to understand it, really try to recognize it, is the greatest meditation. Through the media of this Knowledge we can tap into our inner sources that are so beautiful.",Prem Rawat,Knowledge
Ignorance is never better than knowledge.,Enrico Fermi,Knowledge
Knowledge is power only if man knows what facts not to bother with.,Robert Staughton Lynd,Knowledge
I think we risk becoming the best informed society that has ever died of ignorance.,Ruben Blades,Knowledge
"Evil being the root of mystery, pain is the root of knowledge.",Simone Weil,Knowledge
"If education is always to be conceived along the same antiquated lines of a mere transmission of knowledge, there is little to be hoped from it in the bettering of man's future. For what is the use of transmitting knowledge if the individual's total development lags behind?",Maria Montessori,Knowledge
Never stop learning; knowledge doubles every fourteen months.,Anthony J. D'Angelo,Knowledge
"Where there is shouting, there is no true knowledge.",Leonardo da Vinci,Knowledge
Any knowledge that doesn't lead to new questions quickly dies out: it fails to maintain the temperature required for sustaining life.,Wislawa Szymborska,Knowledge
The knowledge of yourself will preserve you from vanity.,Miguel de Cervantes,Knowledge
A good decision is based on knowledge and not on numbers.,Plato,Knowledge
No man's knowledge here can go beyond his experience.,John Locke,Knowledge
"Knowledge is of two kinds. We know a subject ourselves, or we know where we can find information upon it.",Samuel Johnson,Knowledge
"The knower and the known are one. Simple people imagine that they should see God as if he stood there and they here. This is not so. God and I, we are one in knowledge.",Meister Eckhart,Knowledge
"We don't know all the answers. If we knew all the answers we'd be bored, wouldn't we? We keep looking, searching, trying to get more knowledge.",Jack LaLanne,Knowledge
"To know what you know and what you do not know, that is true knowledge.",Confucius,Knowledge
"Knowledge of the self is the mother of all knowledge. So it is incumbent on me to know my self, to know it completely, to know its minutiae, its characteristics, its subtleties, and its very atoms.",Khalil Gibran,Knowledge
"Property may be destroyed and money may lose its purchasing power; but, character, health, knowledge and good judgement will always be in demand under all conditions.",Roger Babson,Knowledge
All our knowledge has its origins in our perceptions.,Leonardo da Vinci,Knowledge
Where is all the knowledge we lost with information?,T. S. Eliot,Knowledge
Today knowledge has power. It controls access to opportunity and advancement.,Peter Drucker,Knowledge
"I'll come to you with gifts of knowledge, wisdom and truth.",Barry White,Knowledge
It is beyond a doubt that all our knowledge begins with experience.,Immanuel Kant,Knowledge
"Science is the father of knowledge, but opinion breeds ignorance.",Hippocrates,Knowledge
"We have a hunger of the mind which asks for knowledge of all around us, and the more we gain, the more is our desire; the more we see, the more we are capable of seeing.",Maria Mitchell,Knowledge
Doubt grows with knowledge.,Johann Wolfgang von Goethe,Knowledge
"Knowledge is soon changed, then lost in the mist, an echo half-heard.",Gene Wolfe,Knowledge
There is much pleasure to be gained from useless knowledge.,Bertrand Russell,Knowledge
"When a man's knowledge is not in order, the more of it he has the greater will be his confusion.",Herbert Spencer,Knowledge
The natural desire of good men is knowledge.,Leonardo da Vinci,Knowledge
Knowledge without justice ought to be called cunning rather than wisdom.,Plato,Knowledge
"When you know a thing, to hold that you know it, and when you do not know a thing, to allow that you do not know it - this is knowledge.",Confucius,Knowledge
"Knowledge may give weight, but accomplishments give lustre, and many more people see than weigh.",Herodotus,Knowledge
Humility and knowledge in poor clothes excel pride and ignorance in costly attire.,William Penn,Knowledge
"I was bold in the pursuit of knowledge, never fearing to follow truth and reason to whatever results they led, and bearding every authority which stood in their way.",Thomas Jefferson,Knowledge
"If knowledge can create problems, it is not through ignorance that we can solve them.",Isaac Asimov,Knowledge
Knowledge is the life of the mind.,Abu Bakr,Knowledge
"Let us tenderly and kindly cherish, therefore, the means of knowledge. Let us dare to read, think, speak, and write.",John Adams,Knowledge
"I had therefore to remove knowledge, in order to make room for belief.",Immanuel Kant,Knowledge
Knowledge which is acquired under compulsion obtains no hold on the mind.,Plato,Knowledge
"The only real security that a man can have in this world is a reserve of knowledge, experience and ability.",Henry Ford,Knowledge
Information is not knowledge.,Albert Einstein,Knowledge
Knowledge of the past and of the places of the earth is the ornament and food of the mind of man.,Leonardo da Vinci,Knowledge
"One whose knowledge is confined to books and whose wealth is in the possession of others, can use neither his knowledge nor wealth when the need for them arises.",Chanakya,Knowledge
No man can reveal to you nothing but that which already lies half-asleep in the dawning of your knowledge.,Khalil Gibran,Knowledge
"If you first fortify yourself with the true knowledge of the Universal Self, and then live in the midst of wealth and worldliness, surely they will in no way affect you.",Ramakrishna,Knowledge
"The learning and knowledge that we have, is, at the most, but little compared with that of which we are ignorant.",Plato,Knowledge
"As the biggest library if it is in disorder is not as useful as a small but well-arranged one, so you may accumulate a vast amount of knowledge but it will be of far less value than a much smaller amount if you have not thought it over for yourself.",Arthur Schopenhauer,Knowledge
Reading furnishes the mind only with materials of knowledge; it is thinking that makes what we read ours.,John Locke,Knowledge
"Even knowledge has to be in the fashion, and where it is not, it is wise to affect ignorance.",Baltasar Gracian,Knowledge
"It is not when truth is dirty, but when it is shallow, that the lover of knowledge is reluctant to step into its waters.",Friedrich Nietzsche,Knowledge
