quotes,authors,categories
I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.,Alexander the Great,Leadership
"A leader is best when people barely know he exists, when his work is done, his aim fulfilled, they will say: we did it ourselves.",Lao Tzu,Leadership
"A leader is one who knows the way, goes the way, and shows the way.",John C. Maxwell,Leadership
In fair weather prepare for foul.,Thomas Fuller,Leadership
The cautious seldom err.,Confucius,Leadership
"When you can't make them see the light, make them feel the heat.",Ronald Reagan,Leadership
"It is better to lead from behind and to put others in front, especially when you celebrate victory when nice things occur. You take the front line when there is danger. Then people will appreciate your leadership.",Nelson Mandela,Leadership
Speak softly and carry a big stick; you will go far.,Theodore Roosevelt,Leadership
Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,Colin Powell,Leadership
Leadership is the art of getting someone else to do something you want done because he wants to do it.,Dwight D. Eisenhower,Leadership
"Ultimately, leadership is not about glorious crowning acts. It's about keeping your team focused on a goal and motivated to do their best to achieve it, especially when the stakes are high and the consequences really matter. It is about laying the groundwork for others' success, and then standing back and letting them shine.",Chris Hadfield,Leadership
"If you think you can do a thing or think you can't do a thing, you're right.",Henry Ford,Leadership
"If the highest aim of a captain were to preserve his ship, he would keep it in port forever.",Thomas Aquinas,Leadership
Leadership is the capacity to translate vision into reality.,Warren Bennis,Leadership
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.,Steve Jobs,Leadership
"Where there is no vision, there is no hope.",George Washington Carver,Leadership
Leadership is unlocking people's potential to become better.,Bill Bradley,Leadership
Only the guy who isn't rowing has time to rock the boat.,Jean-Paul Sartre,Leadership
People who enjoy meetings should not be in charge of anything.,Thomas Sowell,Leadership
"Go as far as you can see; when you get there, you'll be able to see farther.",J. P. Morgan,Leadership
A leader is a dealer in hope.,Napoleon Bonaparte,Leadership
A genuine leader is not a searcher for consensus but a molder of consensus.,"Martin Luther King, Jr.",Leadership
Management is doing things right; leadership is doing the right things.,Peter Drucker,Leadership
Leadership and learning are indispensable to each other.,John F. Kennedy,Leadership
The quality of a leader is reflected in the standards they set for themselves.,Ray Kroc,Leadership
"A good leader takes a little more than his share of the blame, a little less than his share of the credit.",Arnold H. Glasow,Leadership
A man who wants to lead the orchestra must turn his back on the crowd.,Max Lucado,Leadership
"Outstanding leaders go out of their way to boost the self-esteem of their personnel. If people believe in themselves, it's amazing what they can accomplish.",Sam Walton,Leadership
"When your values are clear to you, making decisions becomes easier.",Roy E. Disney,Leadership
"If a window of opportunity appears, don't pull down the shade.",Tom Peters,Leadership
No man will make a great leader who wants to do it all himself or get all the credit for doing it.,Andrew Carnegie,Leadership
"Leadership to me means duty, honor, country. It means character, and it means listening from time to time.",George W. Bush,Leadership
"Today a reader, tomorrow a leader.",Margaret Fuller,Leadership
Be careful the environment you choose for it will shape you; be careful the friends you choose for you will become like them.,W. Clement Stone,Leadership
Hold yourself responsible for a higher standard than anybody expects of you. Never excuse yourself.,Henry Ward Beecher,Leadership
I suppose leadership at one time meant muscles; but today it means getting along with people.,Mahatma Gandhi,Leadership
"He who is prudent and lies in wait for an enemy who is not, will be victorious.",Sun Tzu,Leadership
"Leadership - leadership is about taking responsibility, not making excuses.",Mitt Romney,Leadership
"Enlightened leadership is spiritual if we understand spirituality not as some kind of religious dogma or ideology but as the domain of awareness where we experience values like truth, goodness, beauty, love and compassion, and also intuition, creativity, insight and focused attention.",Deepak Chopra,Leadership
Affirmation without discipline is the beginning of delusion.,Jim Rohn,Leadership
Example is leadership.,Albert Schweitzer,Leadership
The task of the leader is to get his people from where they are to where they have not been.,Henry Kissinger,Leadership
Clarity affords focus.,Thomas Leonard,Leadership
Good leadership consists of showing average people how to do the work of superior people.,John D. Rockefeller,Leadership
"The art of leadership is saying no, not saying yes. It is very easy to say yes.",Tony Blair,Leadership
"Millions saw the apple fall, but Newton was the one who asked why.",Bernard Baruch,Leadership
No wind serves him who addresses his voyage to no certain port.,Michel de Montaigne,Leadership
