quotes,authors,categories
"By all means, marry. If you get a good wife, you'll become happy; if you get a bad one, you'll become a philosopher.",Socrates,Marriage
Bachelors know more about women than married men; if they didn't they'd be married too.,H. L. Mencken,Marriage
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,Marriage
"A successful marriage requires falling in love many times, always with the same person.",Mignon McLaughlin,Marriage
"To keep your marriage brimming, With love in the loving cup, Whenever you're wrong, admit it; Whenever you're right, shut up.",Ogden Nash,Marriage
"Marriage is a wonderful institution, but who wants to live in an institution?",Groucho Marx,Marriage
"The first time you marry for love, the second for money, and the third for companionship.",Jackie Kennedy,Marriage
"Marriage is neither heaven nor hell, it is simply purgatory.",Abraham Lincoln,Marriage
"Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife.",Franz Schubert,Marriage
One should always be in love. That is the reason one should never marry.,Oscar Wilde,Marriage
My most brilliant achievement was my ability to be able to persuade my wife to marry me.,Winston Churchill,Marriage
Don't marry the person you think you can live with; marry only the individual you think you can't live without.,James Dobson,Marriage
The secret of a happy marriage remains a secret.,Henny Youngman,Marriage
"When a man opens a car door for his wife, it's either a new car or a new wife.",Prince Philip,Marriage
"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.",Martin Luther,Marriage
Marriages are made in heaven and consummated on Earth.,John Lyly,Marriage
"Keep your eyes wide open before marriage, half shut afterwards.",Benjamin Franklin,Marriage
"There is nothing nobler or more admirable than when two people who see eye to eye keep house as man and wife, confounding their enemies and delighting their friends.",Homer,Marriage
A good husband makes a good wife.,John Florio,Marriage
A happy marriage is a long conversation which always seems too short.,Andre Maurois,Marriage
"When a man steals your wife, there is no better revenge than to let him keep her.",Sacha Guitry,Marriage
"Marriage is a wonderful invention: then again, so is a bicycle repair kit.",Billy Connolly,Marriage
There's only one way to have a happy marriage and as soon as I learn what it is I'll get married again.,Clint Eastwood,Marriage
"Marriage resembles a pair of shears, so joined that they cannot be separated; often moving in opposite directions, yet always punishing anyone who comes between them.",Sydney Smith,Marriage
Basically my wife was immature. I'd be at home in the bath and she'd come in and sink my boats.,Woody Allen,Marriage
"Marriage is a great institution, but I'm not ready for an institution.",Mae West,Marriage
"Marriage is an adventure, like going to war.",Gilbert K. Chesterton,Marriage
