quotes,authors,categories
"My mother had a great deal of trouble with me, but I think she enjoyed it.",Mark Twain,Mom
"My mother said to me, 'If you are a soldier, you will become a general. If you are a monk, you will become the Pope.' Instead, I was a painter, and became Picasso.",Pablo Picasso,Mom
"Having children is my greatest achievement. It was my saviour. It switched my focus from the outside to the inside. My children are gifts, they remind me of what's important.",Elle Macpherson,Mom
There was never a child so lovely but his mother was glad to get him to sleep.,Ralph Waldo Emerson,Mom
Mothers are fonder than fathers of their children because they are more certain they are their own.,Aristotle,Mom
"When your mother asks, 'Do you want a piece of advice?' it is a mere formality. It doesn't matter if you answer yes or no. You're going to get it anyway.",Erma Bombeck,Mom
My mother's wonderful. To me she's perfection.,Michael Jackson,Mom
"When you are a mother, you are never really alone in your thoughts. A mother always has to think twice, once for herself and once for her child.",Sophia Loren,Mom
Mothers are all slightly insane.,J. D. Salinger,Mom
The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,Honore de Balzac,Mom
"My mother used to tell me man gives the award, God gives the reward. I don't need another plaque.",Denzel Washington,Mom
"The natural state of motherhood is unselfishness. When you become a mother, you are no longer the center of your own universe. You relinquish that position to your children.",Jessica Lange,Mom
The woman is uniformly sacrificed to the wife and mother.,Elizabeth Cady Stanton,Mom
The mother's heart is the child's schoolroom.,Henry Ward Beecher,Mom
"The mother-child relationship is paradoxical and, in a sense, tragic. It requires the most intense love on the mother's side, yet this very love must help the child grow away from the mother, and to become fully independent.",Erich Fromm,Mom
Only mothers can think of the future - because they give birth to it in their children.,Maxim Gorky,Mom
"That strong mother doesn't tell her cub, Son, stay weak so the wolves can get you. She says, Toughen up, this is reality we are living in.",Lauryn Hill,Mom
My mother thinks I am the best. And I was raised to always believe what my mother tells me.,Diego Maradona,Mom
An ounce of mother is worth a pound of clergy.,Rudyard Kipling,Mom
"I am sure that if the mothers of various nations could meet, there would be no more wars.",E. M. Forster,Mom
"Yes, Mother. I can see you are flawed. You have not hidden it. That is your greatest gift to me.",Alice Walker,Mom
"Motherhood is a great honor and privilege, yet it is also synonymous with servanthood. Every day women are called upon to selflessly meet the needs of their families. Whether they are awake at night nursing a baby, spending their time and money on less-than-grateful teenagers, or preparing meals, moms continuously put others before themselves.",Charles Stanley,Mom
What greater aspiration and challenge are there for a mother than the hope of raising a great son or daughter?,Rose Kennedy,Mom
My mother taught me to treat a lady respectfully.,Chris Brown,Mom
"A father may turn his back on his child, brothers and sisters may become inveterate enemies, husbands may desert their wives, wives their husbands. But a mother's love endures through all.",Washington Irving,Mom
"When you have a good mother and no father, God kind of sits in. It's not enough, but it helps.",Dick Gregory,Mom
"Some are kissing mothers and some are scolding mothers, but it is love just the same, and most mothers kiss and scold together.",Pearl S. Buck,Mom
Motherhood is the greatest thing and the hardest thing.,Ricki Lake,Mom
The fastest way to break the cycle of perfectionism and become a fearless mother is to give up the idea of doing it perfectly - indeed to embrace uncertainty and imperfection.,Arianna Huffington,Mom
"Every man must define his identity against his mother. If he does not, he just falls back into her and is swallowed up.",Camille Paglia,Mom
Motherhood is the only thing in my life that I've really known for sure is something I wanted to do.,Cynthia Nixon,Mom
"I sing seriously to my mom on the phone. To put her to sleep, I have to sing 'Maria' from West Side Story. When I hear her snoring, I hang up.",Adam Sandler,Mom
What do girls do who haven't any mothers to help them through their troubles?,Louisa May Alcott,Mom
My mom taught us the Serenity Prayer at a young age.,Toby Keith,Mom
Only God Himself fully appreciates the influence of a Christian mother in the molding of character in her children.,Billy Graham,Mom
"I loved raising my kids. I loved the process, the dirt of it, the tears of it, the frustration of it, Christmas, Easter, birthdays, growth charts, pediatrician appointments. I loved all of it.",Jane Elliot,Mom
I'm so happy and thankful I made it a point be a stay-at-home mom.,Candace Cameron Bure,Mom
"Sweater, n.: garment worn by child when its mother is feeling chilly.",Ambrose Bierce,Mom
"Motherhood is priced Of God, at price no man may dare To lessen or misunderstand.",Helen Hunt Jackson,Mom
It is not until you become a mother that your judgment slowly turns to compassion and understanding.,Erma Bombeck,Mom
"The biggest surprise, which is also the best, is that I didn't know I would love motherhood as much as I do.",Deborah Norville,Mom
"I am no mother, and I won't be one.",Brigitte Bardot,Mom
"My mother taught me about the power of inspiration and courage, and she did it with a strength and a passion that I wish could be bottled.",Carly Fiorina,Mom
Being a mother is hard and it wasn't a subject I ever studied.,Ruby Wax,Mom
A mother who is obsessing about being thin and dieting and exercising is not going to be a very good mother.,Jane Fonda,Mom
There are only two things a child will share willingly; communicable diseases and its mother's age.,Benjamin Spock,Mom
I can only hope to be 10 percent of the mom mine was to me. She encouraged me to be confident and enjoy life. That's what I want for my son.,Charlize Theron,Mom
Motherhood has a very humanizing effect. Everything gets reduced to essentials.,Meryl Streep,Mom
I'm a Mommy's Girl - the strongest influence in my young life was my mom.,Susie Bright,Mom
I want to be more successful as a mother than I am in show business.,Celine Dion,Mom
My sisters and mom raised me to respect women and open doors for them.,Milo Ventimiglia,Mom
Mothers are the necessity of invention.,Bill Watterson,Mom
"Throughout my life, my mom has been the person that I've always looked up to.",Mike Krzyzewski,Mom
"Morality and its victim, the mother - what a terrible picture! Is there indeed anything more terrible, more criminal, than our glorified sacred function of motherhood?",Emma Goldman,Mom
"The art of motherhood involves much silent, unobtrusive self-denial, an hourly devotion which finds no detail too minute.",Honore de Balzac,Mom
Tired mothers find that spanking takes less time than reasoning and penetrates sooner to the seat of the memory.,Will Durant,Mom
Men are what their mothers made them.,Ralph Waldo Emerson,Mom
My mother told me on several different occasions that she was livin' her dream vicariously through me. She once said that I was getting' to do all the things that she would have wanted to have done.,Buck Owens,Mom
"Completeness? Happiness? These words don't come close to describing my emotions. There truly is nothing I can say to capture what motherhood means to me, particularly given my medical history.",Anita Baker,Mom
"My mother gets all mad at me if I stay in a hotel. I'm 31-years-old, and I don't want to sleep on a sleeping bag down in the basement. It's humiliating.",Ben Affleck,Mom
"How simple a thing it seems to me that to know ourselves as we are, we must know our mothers names.",Alice Walker,Mom
"I guess I was a mom so late in life, my daughter was the greatest thing since sliced bread.",Candice Bergen,Mom
"Do you know what you call those who use towels and never wash them, eat meals and never do the dishes, sit in rooms they never clean, and are entertained till they drop? If you have just answered, 'A house guest,' you're wrong because I have just described my kids.",Erma Bombeck,Mom
I am truly my mother's son.,David Geffen,Mom
"What motivated me? My mother. My mother was an immigrant woman, a peasant woman, struggled all her life, worked in the garment center.",Al Lewis,Mom
Mother is far too clever to understand anything she does not like.,Arnold Bennett,Mom
"I was raised by a single mother who made a way for me. She used to scrub floors as a domestic worker, put a cleaning rag in her pocketbook and ride the subways in Brooklyn so I would have food on the table. But she taught me as I walked her to the subway that life is about not where you start, but where you're going. That's family values.",Al Sharpton,Mom
"Motherhood is the strangest thing, it can be like being one's own Trojan horse.",Rebecca West,Mom
"My mother gave me a sense of independence, a sense of total confidence that we could do whatever it was we set out to do. That's how we were raised.",Robin Wright,Mom
My mom has made it possible for me to be who I am. Our family is everything. Her greatest skill was encouraging me to find my own person and own independence.,Charlize Theron,Mom
"Mommy smoked but she didn't want us to. She saw smoke coming out of the barn one time, so we got whipped.",Loretta Lynn,Mom
"The man in our society is the breadwinner; the woman has enough to do as the homemaker, wife and mother.",Dorothy Fields,Mom
I'd lose my mind if I heard my kid call the nanny Mommy.,Toni Braxton,Mom
Who in their infinite wisdom decreed that Little League uniforms be white? Certainly not a mother.,Erma Bombeck,Mom
It is only in the act of nursing that a woman realizes her motherhood in visible and tangible fashion; it is a joy of every moment.,Honore de Balzac,Mom
Always it gave me a pang that my children had no lawful claim to a name.,Harriet Ann Jacobs,Mom
"I ask people why they have deer heads on their walls. They always say because it's such a beautiful animal. There you go. I think my mother is attractive, but I have photographs of her.",Ellen DeGeneres,Mom
I wish my mother had left me something about how she felt growing up. I wish my grandmother had done the same. I wanted my girls to know me.,Carol Burnett,Mom
"My parents, especially my mother, were no influence on me whatsoever.",Andy Partridge,Mom
"I don't want to let my life as a woman pass me by. There's a time to work, there's a time to be young and crazy, and there should be a time to enjoy motherhood. I'm actually looking forward to that.",Diane Kruger,Mom
Motherhood is at its best when the tender chords of sympathy have been touched.,Paul P. Harris,Mom
You are a person of the greatest importance when you are a mother of a family. Just do your job right and your kids will love you.,Ethel Waters,Mom
The Vatican is against surrogate mothers. Good thing they didn't have that rule when Jesus was born.,Elayne Boosler,Mom
I basically became a cheerleader because I had a very strict mom. That was my way of being a bad girl.,Sandra Bullock,Mom
My mother was a personal friend of God's. They had ongoing conversations.,Della Reese,Mom
"When motherhood becomes the fruit of a deep yearning, not the result of ignorance or accident, its children will become the foundation of a new race.",Margaret Sanger,Mom
The real menace in dealing with a five-year-old is that in no time at all you begin to sound like a five-year-old.,Jean Kerr,Mom
"Clearly, society has a tremendous stake in insisting on a woman's natural fitness for the career of mother: the alternatives are all too expensive.",Ann Oakley,Mom
"Mothers and children are human beings, and they will sometimes do the wrong thing.",Maurice Sendak,Mom
"My mother worked in factories, worked as a domestic, worked in a restaurant, always had a second job.",Ed Bradley,Mom
My mother thinks I could have even run a larger company.,Christie Hefner,Mom
If my mom reads that I'm grammatically incorrect I'll have hell to pay.,Larisa Oleynik,Mom
"Of all the roles I've played, none has been as fulfilling as being a mother.",Annette Funicello,Mom
"Mothers always find ways to fit in the work - but then when you're working, you feel that you should be spending time with your children and then when you're with your children, you're thinking about working.",Alice Hoffman,Mom
Why do grandparents and grandchildren get along so well? The mother.,Claudette Colbert,Mom
"It's the moms of this nation - single, married, widowed - who really hold this country together. We're the mothers, we're the wives, we're the grandmothers, we're the big sisters, we're the little sisters, we're the daughters. You know it's true, don't you? You're the ones who always have to do a little more.",Ann Romney,Mom
"Just as a mother finds pleasure in taking her little child on her lap, there to feed and caress him, in like manner our loving God shows His fondness for His beloved souls who have given themselves entirely to Him and have placed all their hope in His goodness.",Alphonsus Liguori,Mom
"I believe that at least 70 percent of parenting goes to the mother. In our house, I'm the one who knows about all the school stuff, helps with the homework, organizes the play dates, and remembers the birthday parties.",Cindy Crawford,Mom
What is free time? I'm a single mother. My free moments are filled with loving my little girl.,Roma Downey,Mom
Motherhood is a dream. It really is absolutely amazing.,Jessica Simpson,Mom
"Take motherhood: nobody ever thought of putting it on a moral pedestal until some brash feminists pointed out, about a century ago, that the pay is lousy and the career ladder nonexistent.",Barbara Ehrenreich,Mom
"I auditioned on my own. I tried to make a mark for myself without anybody's help, not even Mom's.",Kate Hudson,Mom
Giving birth was easier than having a tattoo.,Nicole Appleton,Mom
I was a brownie for a day. My mom made me stop. She didn't want me to conform.,Sandra Bullock,Mom
"I think while all mothers deal with feelings of guilt, working mothers are plagued by guilt on steroids!",Arianna Huffington,Mom
I'm sure that my mom would have been happy with any path I chose.,Joely Fisher,Mom
Mothers don't let your daughters grow up to be models unless you're present.,Janice Dickinson,Mom
"A woman must combine the role of mother, wife and politician.",Emma Bonino,Mom
I think my mother is my biggest influence. There are so many things I hate about her but at the same time I'm thankful for her. All I know is that when I'm a parent I want to be just like my mom. I can talk to my mom more than any of my friends could talk to their parents.,Nikki Reed,Mom
I wanted to escape so badly. But of course I knew I couldn't just give up and leave school. It was only when I heard my mom's voice that I came out of my hiding place.,Zhang Ziyi,Mom
"If there were no schools to take the children away from home part of the time, the insane asylums would be filled with mothers.",E. W. Howe,Mom
I want to be a cool mom.,Tori Spelling,Mom
"I owe much to mother. She had an expert's understanding, but also approached art emotionally.",David Rockefeller,Mom
My mother taught me that we all have the power to achieve our dreams. What I lacked was the courage.,Clay Aiken,Mom
I may be the only mother in America who knows exactly what their child is up to all the time.,Barbara Bush,Mom
Everyone checks out my mom. My mom's hot.,Ashley Scott,Mom
"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.",Jim DeMint,Mom
Don't let people disrespect you. My mom says don't open the door to the devil. Surround yourself with positive people.,"Cuba Gooding, Jr.",Mom
I don't want to have kids for like 10 years. I still have a lot to do. I don't even know if I could handle a dog right now. I'm so not ready. Someday I'll be a mom but not until I'm in my 30s.,Avril Lavigne,Mom
"When my first semester grades came out, my mom and dad told me I wouldn't be playing football.",Joe Biden,Mom
"We were on welfare, and my mom thought you needed the government to survive. 'Don't try to make it on your own, because it won't be enough. The kids won't be fed:' My mom believed that lie. So I've lived with a poverty mentality. But after I got my first job, at a local McDonald's, and I got my first check, I felt such a sense of pride.",Lauren Boebert,Mom
"Fereydun, that's my dad's name. My grandmother, my dad's mom, when she was pregnant, she was dating a man from Persia, a Persian gentleman. It wasn't his child, but he was still very supportive and said, 'Hey, this is a great name,' and so it stuck. So that's what she named him.",Fred Armisen,Mom
"My whole life, people have doubted me. My mom did. People told me in high school I'm too short and not fast enough to play basketball. They didn't know my story. Because if they did, they'd know that anything is possible.",Jimmy Butler,Mom
I owe everything to my mom. She definitely got me to where I'm at today. Without her I wouldn't be able to do the things that I do. She and I are very close.,David Lambert,Mom
I am blessed to have Mom and Dad.,Kevin Eubanks,Mom
I am proud to be their child. It is very inspiring for me. I am inspired by my mom and dad.,Prateik Babbar,Mom
"It was my 16th birthday - my mom and dad gave me my Goya classical guitar that day. I sat down, wrote this song, and I just knew that that was the only thing I could ever really do - write songs and sing them to people.",Stevie Nicks,Mom
Pressure is the single mom who is trying to scuffle and pay her rent. We get paid a lot of money to play a game. Don't get me wrong: there are challenges. But to call it pressure is almost an insult to regular people.,Damian Lillard,Mom
"Most of us have fond memories of food from our childhood. Whether it was our mom's homemade lasagna or a memorable chocolate birthday cake, food has a way of transporting us back to the past.",Homaro Cantu,Mom
"My parents couldn't give me a whole lot of financial support, but they gave me good genes. My dad is a handsome son-of-a-gun, and my mom is beautiful. And I've definitely been the lucky recipient. So, thank you, Mom and Dad.",Ashton Kutcher,Mom
"I am a nice human, but I've also got Italian in my family. My mom's side is Italian and my mom is a very scary human being. I get a lot of that intensity and snap straight into it from her. She's legit terrifying. Lovely girl. Lovely mother but when she gets angry, she's absolutely terrifying. She's a damn monster.",Rhea Ripley,Mom
My mom has always been my support system. She taught me to never give up and to keep pursuing my passions no matter what.,Mandy Moore,Mom
"My mom, Irmelin, taught me the value of life. Her own life was saved by my grandmother during World War II.",Leonardo DiCaprio,Mom
I had a drag mom but she didn't really teach me about makeup. She just basically stuck me into gigs. And then I borrowed clothes from her and her drag to play the gigs.,Willam Belli,Mom
You need your mom and dad to protect you. It means they love you so much.,Gabby Douglas,Mom
"When love is gone, there's always justice. And when justice is gone, there's always force. And when force is gone, there's always Mom. Hi, Mom!",Laurie Anderson,Mom
"I watched my mom and dad build everything that matters - a family, a home and a good name.",Mike Pence,Mom
"My mom and I have always been really close. She's always been the friend that was always there. There were times when, in middle school and junior high, I didn't have a lot of friends. But my mom was always my friend. Always.",Taylor Swift,Mom
"Unfortunately, everyone thought that Teri Hatcher was my wife. Matter of fact, I would be with my wife, holding my wife's hand at a football game, and someone would come up to me and say, 'Hey, I love those commercials you do with your wife.' My kids almost had shirts made up that said, 'Teri Hatcher is not my mom.'",Howie Long,Mom
I have great genes. Thank you to my mom and dad for that one.,Gloria Estefan,Mom
"With my mom and dad around, I became a child yet again.",Manisha Koirala,Mom
"Financial independence is paramount. My mom always says that when a woman is financially independent, she has the ability to live life on her own terms. I think that was the soundest advice that I ever got. No matter where you go in life or who you get married to, you have to be financially independent - whether you use it or not.",Priyanka Chopra,Mom
"My mom raised me to be an independent woman, and if there is anything I want in life, to go after it. And that nobody could hold me back. The only person that could do that was myself. That's the core of who I am and she ingrained that in me at a really young age, so I've been an independent, strong person my whole life.",Liz Carmouche,Mom
My mom used to say that Greek Easter was later because then you get stuff cheaper.,Amy Sedaris,Mom
My mom and dad did something special when they made me.,Terrell Suggs,Mom
"Of course, my mom is my biggest and loudest cheerleader, and my family and friends are happy for me, but I'm still just Angie, not Angie-the-author-with-this-hyped-up-book. I appreciate that.",Angie Thomas,Mom
And the greatest lesson that mom ever taught me though was this one. She told me there would be times in your life when you have to choose between being loved and being respected. Now she said to always pick being respected.,Chris Christie,Mom
"I'm really happy to be a mom, and I'm proud of the phase I'm in.",Liz Phair,Mom
"It's because of their unrelenting, unconditional support and love I'm able to have the life that I have now and do everything I love to do, and that starts with the selflessness and love of my mom and dad.",Jordan Fisher,Mom
"My parents waited to have me and my sister - my dad was 43 when my mother had me, and my mom was 38. They purposefully waited until they had had their adventures in life so that we wouldn't represent the end of their freedom.",Christian Borle,Mom
"If your mom is still around, you're so lucky.",M. J. Rose,Mom
My mom used to get arrested for being with my dad. She would get fined. She would spend weekends in jail.,Trevor Noah,Mom
"My mom and dad gave their kids the greatest gift of all - the gift of unconditional love. They cared deeply about who we would be, and much less about what we would do.",Mitt Romney,Mom
"My mom speaks English - she moved to England in the '70s, so she's fluent in English. We use to speak in Spanish when I was a kid all the time, me and my mom. But when I went to boarding school, I kind of lost it a little bit.",Ed Weeks,Mom
"Mom and Pop were just a couple of kids when they got married. He was eighteen, she was sixteen and I was three.",Billie Holiday,Mom
"My mom is proud of me. I just want to keep working hard so one day I can help my family. I am going to get a big house one day, and we all can stay in it and eat.",Ben McLemore,Mom
Sending a handwritten letter is becoming such an anomaly. It's disappearing. My mom is the only one who still writes me letters. And there's something visceral about opening a letter - I see her on the page. I see her in her handwriting.,Steve Carell,Mom
