quotes,authors,categories
Pennies do not come from heaven. They have to be earned here on earth.,Margaret Thatcher,Money
When I was young I thought that money was the most important thing in life; now that I am old I know that it is.,Oscar Wilde,Money
The lack of money is the root of all evil.,Mark Twain,Money
Never spend your money before you have earned it.,Thomas Jefferson,Money
A bank is a place where they lend you an umbrella in fair weather and ask for it back when it begins to rain.,Robert Frost,Money
A rich man is nothing but a poor man with money.,W. C. Fields,Money
"Money won't create success, the freedom to make it will.",Nelson Mandela,Money
The hardest thing to understand in the world is the income tax.,Albert Einstein,Money
"If we command our wealth, we shall be rich and free; if our wealth commands us, we are poor indeed.",Edmund Burke,Money
"Money has never made man happy, nor will it, there is nothing in its nature to produce happiness. The more of it one has the more one wants.",Benjamin Franklin,Money
Greed is not a financial issue. It's a heart issue.,Andy Stanley,Money
A fool and his money are soon parted.,Thomas Tusser,Money
A nation that continues year after year to spend more money on military defense than on programs of social uplift is approaching spiritual doom.,"Martin Luther King, Jr.",Money
I'd like to live as a poor man with lots of money.,Pablo Picasso,Money
The safe way to double your money is to fold it over once and put it in your pocket.,Kin Hubbard,Money
There's no such thing as a free lunch.,Milton Friedman,Money
"If women didn't exist, all the money in the world would have no meaning.",Aristotle Onassis,Money
Don't let making a living prevent you from making a life.,John Wooden,Money
Recession is when a neighbor loses his job. Depression is when you lose yours.,Ronald Reagan,Money
"A billion here, a billion there, and pretty soon you're talking about real money.",Everett Dirksen,Money
Never confuse the size of your paycheck with the size of your talent.,Marlon Brando,Money
A bank is a place that will lend you money if you can prove that you don't need it.,Bob Hope,Money
A good reputation is more valuable than money.,Publilius Syrus,Money
"Money is only a tool. It will take you wherever you wish, but it will not replace you as the driver.",Ayn Rand,Money
"A wise man should have money in his head, but not in his heart.",Jonathan Swift,Money
It's all about the money.,Joe Jackson,Money
"I've got all the money I'll ever need, if I die by four o'clock.",Henny Youngman,Money
"Money cannot buy peace of mind. It cannot heal ruptured relationships, or build meaning into a life that has none.",Richard M. DeVos,Money
"Profit is sweet, even if it comes from deception.",Sophocles,Money
Wealth flows from energy and ideas.,William Feather,Money
