quotes,authors,categories
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,Moving On
Every new beginning comes from some other beginning's end.,Seneca,Moving On
"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.",Khalil Gibran,Moving On
"Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer.",Denis Waitley,Moving On
"It is by going down into the abyss that we recover the treasures of life. Where you stumble, there lies your treasure.",Joseph Campbell,Moving On
"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.",Johnny Cash,Moving On
Blessed are the hearts that can bend; they shall never be broken.,Albert Camus,Moving On
"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things.",Theodore Roosevelt,Moving On
"If you carry joy in your heart, you can heal any moment.",Carlos Santana,Moving On
"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.",Helen Keller,Moving On
"Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself.",Walter Anderson,Moving On
"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure.",Ernie Harwell,Moving On
"Every day is a new day, and you'll never be able to find happiness if you don't move on.",Carrie Underwood,Moving On
We are healed from suffering only by experiencing it to the full.,Marcel Proust,Moving On
"You may have a fresh start any moment you choose, for this thing that we call 'failure' is not the falling down, but the staying down.",Mary Pickford,Moving On
"Love one another and help others to rise to the higher levels, simply by pouring out love. Love is infectious and the greatest healing energy.",Sai Baba,Moving On
Recovery begins from the darkest moment.,John Major,Moving On
I can't go on. I'll go on.,Samuel Beckett,Moving On
"Moving on, is a simple thing, what it leaves behind is hard.",Dave Mustaine,Moving On
"The art of war is simple enough. Find out where your enemy is. Get at him as soon as you can. Strike him as hard as you can, and keep moving on.",Ulysses S. Grant,Moving On
"The moving finger writes, and having written moves on. Nor all thy piety nor all thy wit, can cancel half a line of it.",Omar Khayyam,Moving On
Forget the past - the future will give you plenty to worry about.,"George Allen, Sr.",Moving On
"Never despair, but if you do, work on in despair.",Edmund Burke,Moving On
Forget the past.,Nelson Mandela,Moving On
"The heart will break, but broken live on.",Lord Byron,Moving On
"We all have life storms, and when we get the rough times and we recover from them, we should celebrate that we got through it. No matter how bad it may seem, there's always something beautiful that you can find.",Mattie Stepanek,Moving On
Grief is in two parts. The first is loss. The second is the remaking of life.,Anne Roiphe,Moving On
The greatest healing therapy is friendship and love.,Hubert H. Humphrey,Moving On
I think you have to pay for love with bitter tears.,Edith Piaf,Moving On
"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.",Lewis B. Smedes,Moving On
"Tears shed for self are tears of weakness, but tears shed for others are a sign of strength.",Billy Graham,Moving On
Healing yourself is connected with healing others.,Yoko Ono,Moving On
Friendship is certainly the finest balm for the pangs of disappointed love.,Jane Austen,Moving On
Don't brood. Get on with living and loving. You don't have forever.,Leo Buscaglia,Moving On
"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on.",Dave Pelzer,Moving On
"Healing takes courage, and we all have courage, even if we have to dig a little to find it.",Tori Amos,Moving On
"Expect trouble as an inevitable part of life and repeat to yourself, the most comforting words of all; this, too, shall pass.",Ann Landers,Moving On
"I think faith is incredibly important because you will become overwhelmed with what's happening and you will have waves of grief, but when you turn to your faith, I believe God will give you waves of grace to get through it.",Joel Osteen,Moving On
Recovery is something that you have to work on every single day and it's something that it doesn't get a day off.,Demi Lovato,Moving On
"Take those chances and you can achieve greatness, whereas if you go conservative, you'll never know. I truly believe what doesn't kill you makes you stronger. Even if you fail, learning and moving on is sometimes the best thing.",Danica Patrick,Moving On
"Everyone can relate to love, hurt, pain, learning how to forgive, needing to get over, needing the power of God in their life.",Tyler Perry,Moving On
Part of the healing process is sharing with other people who care.,Jerry Cantrell,Moving On
"The willow which bends to the tempest, often escapes better than the oak which resists it; and so in great calamities, it sometimes happens that light and frivolous spirits recover their elasticity and presence of mind sooner than those of a loftier character.",Albert Schweitzer,Moving On
"O! many a shaft, at random sent, Finds mark the archer little meant! And many a word, at random spoken, May soothe or wound a heart that's broken!",Walter Scott,Moving On
"Time heals griefs and quarrels, for we change and are no longer the same persons. Neither the offender nor the offended are any more themselves.",Blaise Pascal,Moving On
There's always something to suggest that you'll never be who you wanted to be. Your choice is to take it or keep on moving.,Phylicia Rashad,Moving On
What surrounds us we endure better for giving it a name - and moving on.,Emil Cioran,Moving On
"Man maintains his balance, poise, and sense of security only as he is moving forward.",Maxwell Maltz,Moving On
The all-seeing eye of God beheld our deplorable state; infinite pity touched the heart of the Father of mercies; and infinite wisdom laid the plan of our recovery.,David Brainerd,Moving On
"The goal of spiritual practice is full recovery, and the only thing you need to recover from is a fractured sense of self.",Marianne Williamson,Moving On
A man never knows how to say goodbye; a woman never knows when to say it.,Helen Rowland,Moving On
Love is like the measles; we all have to go through it.,Jerome K. Jerome,Moving On
One makes mistakes; that is life. But it is never a mistake to have loved.,Romain Rolland,Moving On
"I've been heartbroken. I've broken hearts. That's part of life, and its part of figuring out who you are so you can find the right partner.",Heidi Klum,Moving On
"I tell you the past is a bucket of ashes, so live not in your yesterdays, no just for tomorrow, but in the here and now. Keep moving and forget the post mortems; and remember, no one can get the jump on the future.",Carl Sandburg,Moving On
It is selfish to concern oneself with tragedies.,Rose Kennedy,Moving On
Who can't relate to the idea of leaving one chapter behind and moving on to the next?,Mike Shinoda,Moving On
Transformation in the world happens when people are healed and start investing in other people.,Michael W. Smith,Moving On
"Suffering isn't ennobling, recovery is.",Christiaan Barnard,Moving On
I must be careful not to get trapped in the past. That's why I tend to forget my songs.,Mick Jagger,Moving On
Falling out of love is chiefly a matter of forgetting how charming someone is.,Iris Murdoch,Moving On
I think a spiritual journey is not so much a journey of discovery. It's a journey of recovery. It's a journey of uncovering your own inner nature. It's already there.,Billy Corgan,Moving On
It takes bravery to end a relationship.,Leona Lewis,Moving On
"By forgetting the past and by throwing myself into other interests, I forget to worry.",Jack Dempsey,Moving On
"My life is about ups and downs, great joys and great losses.",Isabel Allende,Moving On
It is the false shame of fools to try to conceal wounds that have not healed.,Horace,Moving On
"When you start using senses you've neglected, your reward is to see the world with completely fresh eyes.",Barbara Sher,Moving On
"Everywhere across whatever sorrows of which our life is woven, some radiant joy will gaily flash past.",Nikolai Gogol,Moving On
"Being divorced is like being hit by a Mack truck. If you live through it, you start looking very carefully to the right and to the left.",Jean Kerr,Moving On
"Patience is key for getting over a breakup. That, and trailing off your interaction after the breakup.",Drake,Moving On
"Because I remember, I despair. Because I remember, I have the duty to reject despair.",Elie Wiesel,Moving On
The words of kindness are more healing to a drooping heart than balm or honey.,Sarah Fielding,Moving On
The Marines was a fresh start - that is why they shave your head. I wish they would let you change your name.,Drew Carey,Moving On
I don't live in the past at all; I'm always wanting to do something new. I make a point of constantly trying to forget and get things out of my mind.,Brian Eno,Moving On
Some women feel the best cure for a broken heart is a new beau.,Gene Tierney,Moving On
"I love to shop after a bad relationship. I don't know. I buy a new outfit and it makes me feel better. It just does. Sometimes I see a really great outfit, I'll break up with someone on purpose.",Rita Rudner,Moving On
"I mean, don't forget the earth's about five thousand million years old, at least. Who can afford to live in the past?",Harold Pinter,Moving On
Much of your pain is the bitter potion by which the physician within you heals your sick self.,Khalil Gibran,Moving On
"I can still love an ex as a person, regardless if the breakup was bad. I would never wish anything negative on them. It takes more energy to hate them than to wish them well.",Ashley Greene,Moving On
I know people who grow old and bitter. I want to keep making a fresh start. I don't want them to defeat me. That would be suicidal.,Robert Wyatt,Moving On
"Joy comes, grief goes, we know not how.",James Russell Lowell,Moving On
"Do not measure your loss by itself; if you do, it will seem intolerable; but if you will take all human affairs into account you will find that some comfort is to be derived from them.",Saint Basil,Moving On
