quotes,authors,categories
"Look deep into nature, and then you will understand everything better.",Albert Einstein,Nature
"O, wind, if winter comes, can spring be far behind?",Percy Bysshe Shelley,Nature
"The woods are lovely, dark and deep. But I have promises to keep, and miles to go before I sleep.",Robert Frost,Nature
"Nature does not hurry, yet everything is accomplished.",Lao Tzu,Nature
"Wherever you go, no matter what the weather, always bring your own sunshine.",Anthony J. D'Angelo,Nature
"Spring is nature's way of saying, 'Let's party!'",Robin Williams,Nature
"In the Spring, I have counted 136 different kinds of weather inside of 24 hours.",Mark Twain,Nature
"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.",John Ruskin,Nature
Nature always wears the colors of the spirit.,Ralph Waldo Emerson,Nature
"Some people walk in the rain, others just get wet.",Roger Miller,Nature
Forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,Khalil Gibran,Nature
In the depth of winter I finally learned that there was in me an invincible summer.,Albert Camus,Nature
In all things of nature there is something of the marvelous.,Aristotle,Nature
"With the coming of spring, I am calm again.",Gustav Mahler,Nature
"Just living is not enough... one must have sunshine, freedom, and a little flower.",Hans Christian Andersen,Nature
"He is richest who is content with the least, for content is the wealth of nature.",Socrates,Nature
The best thing one can do when it's raining is to let it rain.,Henry Wadsworth Longfellow,Nature
"There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not Man the less, but Nature more.",Lord Byron,Nature
One touch of nature makes the whole world kin.,William Shakespeare,Nature
"Words, like nature, half reveal and half conceal the soul within.",Alfred Lord Tennyson,Nature
Let the rain kiss you. Let the rain beat upon your head with silver liquid drops. Let the rain sing you a lullaby.,Langston Hughes,Nature
Sweet April showers do spring May flowers.,Thomas Tusser,Nature
"The sea, once it casts its spell, holds one in its net of wonder forever.",Jacques Yves Cousteau,Nature
It is not only fine feathers that make fine birds.,Aesop,Nature
"It is not light that we need, but fire; it is not the gentle shower, but thunder. We need the storm, the whirlwind, and the earthquake.",Frederick Douglass,Nature
"For my part I know nothing with any certainty, but the sight of the stars makes me dream.",Vincent Van Gogh,Nature
Spring is when you feel like whistling even with a shoe full of slush.,Doug Larson,Nature
What would be ugly in a garden constitutes beauty in a mountain.,Victor Hugo,Nature
There are always flowers for those who want to see them.,Henri Matisse,Nature
As the twig is bent the tree inclines.,Virgil,Nature
"Nature is so powerful, so strong. Capturing its essence is not easy - your work becomes a dance with light and the weather. It takes you to a place within yourself.",Annie Leibovitz,Nature
"Rain is grace; rain is the sky descending to the earth; without rain, there would be no life.",John Updike,Nature
Nature is the art of God.,Dante Alighieri,Nature
"The very winds whispered in soothing accents, and maternal Nature bade me weep no more.",Mary Shelley,Nature
"May your trails be crooked, winding, lonesome, dangerous, leading to the most amazing view. May your mountains rise into and above the clouds.",Edward Abbey,Nature
A forest bird never wants a cage.,Henrik Ibsen,Nature
"I believe in God, only I spell it Nature.",Frank Lloyd Wright,Nature
What nature delivers to us is never stale. Because what nature creates has eternity in it.,Isaac Bashevis Singer,Nature
The world is mud-luscious and puddle-wonderful.,e. e. cummings,Nature
I believe a leaf of grass is no less than the journey-work of the stars.,Walt Whitman,Nature
"Deep in their roots, all flowers keep the light.",Theodore Roethke,Nature
