quotes,authors,categories
It is easier to build strong children than to repair broken men.,Frederick Douglass,Parenting
"There are only two lasting bequests we can hope to give our children. One of these is roots, the other, wings.",Johann Wolfgang von Goethe,Parenting
"If you bungle raising your children, I don't think whatever else you do matters very much.",Jackie Kennedy,Parenting
Don't worry that children never listen to you; worry that they are always watching you.,Robert Fulghum,Parenting
Children are educated by what the grown-up is and not by his talk.,Carl Jung,Parenting
"At the end of the day, the most overwhelming key to a child's success is the positive involvement of parents.",Jane D. Hull,Parenting
A child who is allowed to be disrespectful to his parents will not have true respect for anyone.,Billy Graham,Parenting
I cannot think of any need in childhood as strong as the need for a father's protection.,Sigmund Freud,Parenting
Childhood is a short season.,Helen Hayes,Parenting
Each day of our lives we make deposits in the memory banks of our children.,Charles R. Swindoll,Parenting
We never know the love of a parent till we become parents ourselves.,Henry Ward Beecher,Parenting
"Let parents bequeath to their children not riches, but the spirit of reverence.",Plato,Parenting
"Always kiss your children goodnight, even if they're already asleep.","H. Jackson Brown, Jr.",Parenting
Parents are the bones on which children cut their teeth.,Peter Ustinov,Parenting
"Even as kids reach adolescence, they need more than ever for us to watch over them. Adolescence is not about letting go. It's about hanging on during a very bumpy ride.",Ron Taffel,Parenting
"Mothers all want their sons to grow up to be president, but they don't want them to become politicians in the process.",John F. Kennedy,Parenting
"Nothing you do for children is ever wasted. They seem not to notice us, hovering, averting our eyes, and they seldom offer thanks, but what we do for them is never wasted.",Garrison Keillor,Parenting
At every step the child should be allowed to meet the real experience of life; the thorns should never be plucked from his roses.,Ellen Key,Parenting
"Screaming at children over their grades, especially to the point of the child's tears, is child abuse, pure and simple. It's not funny and it's not good parenting. It is a crushing, scarring, disastrous experience for the child. It isn't the least bit funny.",Ben Stein,Parenting
Having a baby is a life-changer. It gives you a whole other perspective on why you wake up every day.,Taylor Hanson,Parenting
Children should have enough freedom to be themselves - once they've learned the rules.,Anna Quindlen,Parenting
"To be a good father and mother requires that the parents defer many of their own needs and desires in favor of the needs of their children. As a consequence of this sacrifice, conscientious parents develop a nobility of character and learn to put into practice the selfless truths taught by the Savior Himself.",James E. Faust,Parenting
Children are not casual guests in our home. They have been loaned to us temporarily for the purpose of loving them and instilling a foundation of values on which their future lives will be built.,James Dobson,Parenting
Listen to the desires of your children. Encourage them and then give them the autonomy to make their own decision.,Denis Waitley,Parenting
"My children are the reason I laugh, smile and want to get up every morning.",Gena Lee Nolin,Parenting
"Everybody knows how to raise children, except the people who have them.",P. J. O'Rourke,Parenting
"When you hold your baby in your arms the first time, and you think of all the things you can say and do to influence him, it's a tremendous responsibility. What you do with him can influence not only him, but everyone he meets and not for a day or a month or a year but for time and eternity.",Rose Kennedy,Parenting
"I feel very blessed to have two wonderful, healthy children who keep me completely grounded, sane and throw up on my shoes just before I go to an awards show just so I know to keep it real.",Reese Witherspoon,Parenting
We are apt to forget that children watch examples better than they listen to preaching.,Roy L. Smith,Parenting
I don't think children's inner feelings have changed. They still want a mother and father in the very same house; they want places to play.,Beverly Cleary,Parenting
"You can learn many things from children. How much patience you have, for instance.",Franklin P. Jones,Parenting
"My mom and dad gave their kids the greatest gift of all - the gift of unconditional love. They cared deeply about who we would be, and much less about what we would do.",Mitt Romney,Parenting
"Every cliche about kids is true; they grow up so quickly, you blink and they're gone, and you have to spend the time with them now. But that's a joy.",Liam Neeson,Parenting
Parenthood remains the greatest single preserve of the amateur.,Alvin Toffler,Parenting
How pleasant it is for a father to sit at his child's board. It is like an aged man reclining under the shadow of an oak which he has planted.,Walter Scott,Parenting
A baby is born with a need to be loved - and never outgrows it.,Frank A. Clark,Parenting
Parents were invented to make children happy by giving them something to ignore.,Ogden Nash,Parenting
Having children is like having a bowling alley installed in your brain.,Martin Mull,Parenting
"Every word, facial expression, gesture, or action on the part of a parent gives the child some message about self-worth. It is sad that so many parents don't realize what messages they are sending.",Virginia Satir,Parenting
Hugs can do great amounts of good - especially for children.,Princess Diana,Parenting
Love is staying up all night with a sick child - or a healthy adult.,David Frost,Parenting
Most children threaten at times to run away from home. This is the only thing that keeps some parents going.,Phyllis Diller,Parenting
"As a housewife, I feel that if the kids are still alive when my husband gets home from work, then hey, I've done my job.",Roseanne Barr,Parenting
"Girls are the future mothers of our society, and it is important that we focus on their well-being.",Miriam Makeba,Parenting
"Any kid will run any errand for you, if you ask at bedtime.",Red Skelton,Parenting
"It's a great mistake, I think, to put children off with falsehoods and nonsense, when their growing powers of observation and discrimination excite in them a desire to know about things.",Anne Sullivan,Parenting
"Success for me its to raise happy, healthy human beings.",Kelly LeBrock,Parenting
"I take my children everywhere, but they always find their way back home.",Robert Orben,Parenting
"Childhood obesity is best tackled at home through improved parental involvement, increased physical exercise, better diet and restraint from eating.",Bob Filner,Parenting
"My father was a farmer and my mother was a farmer, but, my childhood was very good. I am very grateful for my childhood, because it was full of gladness and good humanity.",Roberto Benigni,Parenting
The child supplies the power but the parents have to do the steering.,Benjamin Spock,Parenting
"Parentage is a very important profession, but no test of fitness for it is ever imposed in the interest of the children.",George Bernard Shaw,Parenting
"Dad needs to show an incredible amount of respect and humor and friendship toward his mate so the kids understand their parents are sexy, they're fun, they do things together, they're best friends. Kids learn by example. If I respect Mom, they're going to respect Mom.",Tim Allen,Parenting
"If we had paid no more attention to our plants than we have to our children, we would now be living in a jungle of weed.",Luther Burbank,Parenting
"I want to have children, but my friends scare me. One of my friends told me she was in labor for 36 hours. I don't even want to do anything that feels good for 36 hours.",Rita Rudner,Parenting
"Loving a child doesn't mean giving in to all his whims; to love him is to bring out the best in him, to teach him to love what is difficult.",Nadia Boulanger,Parenting
