quotes,authors,categories
"It is easier to find men who will volunteer to die, than to find those who are willing to endure pain with patience.",Julius Caesar,Patience
Patience is not simply the ability to wait - it's how we behave while we're waiting.,Joyce Meyer,Patience
"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better take things as they come along with patience and equanimity.",Carl Jung,Patience
"Patience is bitter, but its fruit is sweet.",Jean-Jacques Rousseau,Patience
"Patience is a virtue, and I'm learning patience. It's a tough lesson.",Elon Musk,Patience
Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.,Robert H. Schuller,Patience
"Patience, persistence and perspiration make an unbeatable combination for success.",Napoleon Hill,Patience
Beware the fury of a patient man.,John Dryden,Patience
Heaven grant us patience with a man in love.,Rudyard Kipling,Patience
"We could never learn to be brave and patient, if there were only joy in the world.",Helen Keller,Patience
"Good character is not formed in a week or a month. It is created little by little, day by day. Protracted and patient effort is needed to develop good character.",Heraclitus,Patience
Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,John Quincy Adams,Patience
Great works are performed not by strength but by perseverance.,Samuel Johnson,Patience
A man who is a master of patience is master of everything else.,George Savile,Patience
"I have seen many storms in my life. Most storms have caught me by surprise, so I had to learn very quickly to look further and understand that I am not capable of controlling the weather, to exercise the art of patience and to respect the fury of nature.",Paulo Coelho,Patience
Have patience. All things are difficult before they become easy.,Saadi,Patience
He that can have patience can have what he will.,Benjamin Franklin,Patience
"Have patience with all things, But, first of all with yourself.",Saint Francis de Sales,Patience
"The key to everything is patience. You get the chicken by hatching the egg, not by smashing it.",Arnold H. Glasow,Patience
Only those who have patience to do simple things perfectly ever acquire the skill to do difficult things easily.,James J. Corbett,Patience
Our patience will achieve more than our force.,Edmund Burke,Patience
"Patience and Diligence, like faith, remove mountains.",William Penn,Patience
"Patience has its limits, take it too far and it's cowardice.",Holbrook Jackson,Patience
Genius is eternal patience.,Michelangelo,Patience
Sometimes things aren't clear right away. That's where you need to be patient and persevere and see where things lead.,Mary Pierce,Patience
I am patient with stupidity but not with those who are proud of it.,Edith Sitwell,Patience
Be patient and understanding. Life is too short to be vengeful or malicious.,Phillips Brooks,Patience
"With love and patience, nothing is impossible.",Daisaku Ikeda,Patience
"Come what may, all bad fortune is to be conquered by endurance.",Virgil,Patience
He who rides the sea of the Nile must have sails woven of patience.,William Golding,Patience
Humility is attentive patience.,Simone Weil,Patience
Good ideas are not adopted automatically. They must be driven into practice with courageous patience.,Hyman Rickover,Patience
"Above all, remember that God looks for solid virtues in us, such as patience, humility, obedience, abnegation of your own will - that is, the good will to serve Him and our neighbor in Him. His providence allows us other devotions only insofar as He sees that they are useful to us.",Saint Ignatius,Patience
"Wise to resolve, and patient to perform.",Homer,Patience
"To bear with patience wrongs done to oneself is a mark of perfection, but to bear with patience wrongs done to someone else is a mark of imperfection and even of actual sin.",Thomas Aquinas,Patience
"For anything worth having one must pay the price; and the price is always work, patience, love, self-sacrifice - no paper currency, no promises to pay, but the gold of real service.",John Burroughs,Patience
The test of good manners is to be patient with the bad ones.,Solomon Ibn Gabirol,Patience
"Endurance is nobler than strength, and patience than beauty.",John Ruskin,Patience
"Work hard. And have patience. Because no matter who you are, you're going to get hurt in your career and you have to be patient to get through the injuries.",Randy Johnson,Patience
"Patience is necessary, and one cannot reap immediately where one has sown.",Soren Kierkegaard,Patience
Patience is the best remedy for every trouble.,Plautus,Patience
"All men commend patience, although few are willing to practice it.",Thomas a Kempis,Patience
There is something good in all seeming failures. You are not to see that now. Time will reveal it. Be patient.,Swami Sivananda,Patience
Patience is the art of concealing your impatience.,Guy Kawasaki,Patience
"Patience has its limits. Take it too far, and it's cowardice.",George Jackson,Patience
Abused patience turns to fury.,Thomas Fuller,Patience
Patience is the support of weakness; impatience the ruin of strength.,Charles Caleb Colton,Patience
Who ever is out of patience is out of possession of their soul.,Francis Bacon,Patience
Patience is the ability to idle your motor when you feel like stripping your gears.,Barbara Johnson,Patience
"Patience, n. A minor form of dispair, disguised as a virtue.",Ambrose Bierce,Patience
"My dad said to me, 'Work hard and be patient.' It was the best advice he ever gave me. You have to put the hours in.",Simon Cowell,Patience
"Fortune knocks but once, but misfortune has much more patience.",Laurence J. Peter,Patience
"Our real blessings often appear to us in the shape of pains, losses and disappointments; but let us have patience and we soon shall see them in their proper figures.",Joseph Addison,Patience
How poor are they that have not patience! What wound did ever heal but by degrees?,William Shakespeare,Patience
"I am not a perfect servant. I am a public servant doing my best against the odds. As I develop and serve, be patient. God is not finished with me yet.",Jesse Jackson,Patience
"Patience, that blending of moral courage with physical timidity.",Thomas Hardy,Patience
"How many a man has thrown up his hands at a time when a little more effort, a little more patience would have achieved success.",Elbert Hubbard,Patience
"If you believe indeed in the Lord Jesus for the salvation of your soul, if you walk uprightly and do not regard iniquity in your heart, if you continue to wait patiently, and believingly upon God; then answers will surely be given to your prayers.",George Muller,Patience
Patience is passion tamed.,Lyman Abbott,Patience
There are very little things in this life I cannot afford and patience is one of them.,Larry Hagman,Patience
Endurance is patience concentrated.,Thomas Carlyle,Patience
"Not only will this make you treat each moment more preciously, but you will be more patient with yourself and with others, recognizing that there are millions of moments on the path to any worthwhile achievement.",Menachem Mendel Schneerson,Patience
Never a tear bedims the eye that time and patience will not dry.,Bret Harte,Patience
"The practice of patience toward one another, the overlooking of one another's defects, and the bearing of one another's burdens is the most elementary condition of all human and social activity in the family, in the professions, and in society.",Lawrence G. Lovasik,Patience
"Patience is the most necessary quality for business, many a man would rather you heard his story than grant his request.","Philip Stanhope, 4th Earl of Chesterfield",Patience
There is no road too long to the man who advances deliberately and without undue haste; there are no honors too distant to the man who prepares himself for them with patience.,Jean de la Bruyere,Patience
"Endurance is the crowning quality, And patience all the passion of great hearts.",James Russell Lowell,Patience
You must first have a lot of patience to learn to have patience.,Stanislaw Jerzy Lec,Patience
