quotes,authors,categories
The tree of liberty must be refreshed from time to time with the blood of patriots and tyrants.,Thomas Jefferson,Patriotism
"If we ever forget that we are One Nation Under God, then we will be a nation gone under.",Ronald Reagan,Patriotism
A soldier will fight long and hard for a bit of colored ribbon.,Napoleon Bonaparte,Patriotism
Patriotism is the virtue of the vicious.,Oscar Wilde,Patriotism
Never in the field of human conflict was so much owed by so many to so few.,Winston Churchill,Patriotism
"Let every nation know, whether it wishes us well or ill, that we shall pay any price, bear any burden, meet any hardship, support any friend, oppose any foe to assure the survival and the success of liberty.",John F. Kennedy,Patriotism
A patriot must always be ready to defend his country against his government.,Edward Abbey,Patriotism
"We, the People, recognize that we have responsibilities as well as rights; that our destinies are bound together; that a freedom which only asks what's in it for me, a freedom without a commitment to others, a freedom without love or charity or duty or patriotism, is unworthy of our founding ideals, and those who died in their defense.",Barack Obama,Patriotism
"Patriotism is when love of your own people comes first; nationalism, when hate for people other than your own comes first.",Charles de Gaulle,Patriotism
"Wars may be fought with weapons, but they are won by men. It is the spirit of men who follow and of the man who leads that gains the victory.",George S. Patton,Patriotism
Patriotism is the last refuge of the scoundrel.,Samuel Johnson,Patriotism
My dream is of a place and a time where America will once again be seen as the last best hope of earth.,Abraham Lincoln,Patriotism
"The greatness of America lies not in being more enlightened than any other nation, but rather in her ability to repair her faults.",Alexis de Tocqueville,Patriotism
"It is lamentable, that to be a good patriot one must become the enemy of the rest of mankind.",Voltaire,Patriotism
Patriotism is your conviction that this country is superior to all others because you were born in it.,George Bernard Shaw,Patriotism
"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.",Harry S Truman,Patriotism
The patriot blood of my father was warm in my veins.,Clara Barton,Patriotism
"To survive in peace and harmony, united and strong, we must have one people, one nation, one flag.",Pauline Hanson,Patriotism
Real patriotism is a willingness to challenge the government when it's wrong.,Ron Paul,Patriotism
"One of the great attractions of patriotism - it fulfills our worst wishes. In the person of our nation we are able, vicariously, to bully and cheat. Bully and cheat, what's more, with a feeling that we are profoundly virtuous.",Aldous Huxley,Patriotism
"Is life so dear or peace so sweet as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take, but as for me, give me liberty, or give me death!",Patrick Henry,Patriotism
This nation will remain the land of the free only so long as it is the home of the brave.,Elmer Davis,Patriotism
"The patriot volunteer, fighting for country and his rights, makes the most reliable soldier on earth.",Stonewall Jackson,Patriotism
"Heroism on command, senseless violence, and all the loathsome nonsense that goes by the name of patriotism - how passionately I hate them!",Albert Einstein,Patriotism
I gave my heart to the Americans and thought of nothing else but raising my banner and adding my colors to theirs.,Marquis de Lafayette,Patriotism
"The fight for freedom must go on until it is won; until our country is free and happy and peaceful as part of the community of man, we cannot rest.",Oliver Tambo,Patriotism
Dissent is the highest form of patriotism.,Howard Zinn,Patriotism
"It was my duty to shoot the enemy, and I don't regret it. My regrets are for the people I couldn't save: Marines, soldiers, buddies. I'm not naive, and I don't romanticize war. The worst moments of my life have come as a SEAL. But I can stand before God with a clear conscience about doing my job.",Chris Kyle,Patriotism
Patriotism is not a short and frenzied outburst of emotion but the tranquil and steady dedication of a lifetime.,Adlai Stevenson II,Patriotism
"When a nation is filled with strife, then do patriots flourish.",Lao Tzu,Patriotism
"Patriotism is usually stronger than class hatred, and always stronger than internationalism.",George Orwell,Patriotism
"Let us form one body, one heart, and defend to the last warrior our country, our homes, our liberty, and the graves of our fathers.",Tecumseh,Patriotism
"I believe our flag is more than just cloth and ink. It is a universally recognized symbol that stands for liberty, and freedom. It is the history of our nation, and it's marked by the blood of those who died defending it.",John Thune,Patriotism
The love of one's country is a splendid thing. But why should love stop at the border?,Pablo Casals,Patriotism
"I saw courage both in the Vietnam War and in the struggle to stop it. I learned that patriotism includes protest, not just military service.",John F. Kerry,Patriotism
True patriotism hates injustice in its own land more than anywhere else.,Clarence Darrow,Patriotism
Patriotism is the willingness to kill and be killed for trivial reasons.,Bertrand Russell,Patriotism
The heights of popularity and patriotism are still the beaten road to power and tyranny.,David Hume,Patriotism
There is much more to being a patriot and a citizen than reciting the pledge or raising a flag.,Jesse Ventura,Patriotism
A real patriot is the fellow who gets a parking ticket and rejoices that the system works.,Bill Vaughan,Patriotism
"I have no country to fight for; my country is the earth, and I am a citizen of the world.",Eugene V. Debs,Patriotism
The patriot's blood is the seed of Freedom's tree.,Thomas Campbell,Patriotism
"If I have to lay an egg for my country, I'll do it.",Bob Hope,Patriotism
"No matter that patriotism is too often the refuge of scoundrels. Dissent, rebellion, and all-around hell-raising remain the true duty of patriots.",Barbara Ehrenreich,Patriotism
No man can be a patriot on an empty stomach.,William Cowper,Patriotism
"The American flag is the symbol of our freedom, national pride and history.",Mike Fitzpatrick,Patriotism
"Unless our conception of patriotism is progressive, it cannot hope to embody the real affection and the real interest of the nation.",Jane Addams,Patriotism
"The greater the state, the more wrong and cruel its patriotism, and the greater is the sum of suffering upon which its power is founded.",Leo Tolstoy,Patriotism
Our government has kept us in a perpetual state of fear - kept us in a continuous stampede of patriotic fervor - with the cry of grave national emergency.,Douglas MacArthur,Patriotism
I realize that patriotism is not enough. I must have no hatred or bitterness towards anyone.,Edith Cavell,Patriotism
Patriotism demands of us sustained sacrifice.,Chiang Kai-shek,Patriotism
Nationalism is a silly cock crowing on his own dunghill.,Richard Aldington,Patriotism
The most tragic paradox of our time is to be found in the failure of nation-states to recognize the imperatives of internationalism.,Earl Warren,Patriotism
A nation is the same people living in the same place.,James Joyce,Patriotism
"If I were an American, as I am an Englishman, while a foreign troop was landed in my country, I never would lay down my arms never never never!",William Pitt,Patriotism
"Our flag honors those who have fought to protect it, and is a reminder of the sacrifice of our nation's founders and heroes. As the ultimate icon of America's storied history, the Stars and Stripes represents the very best of this nation.",Joe Barton,Patriotism
A nation is a society united by a delusion about its ancestry and by common hatred of its neighbours.,William Inge,Patriotism
"Our national motto is 'In God we Trust,' reminding us that faith in our Creator is the most important American value of all.",Marco Rubio,Patriotism
"The sole and basic source of our strength is the solidarity of workers, peasants and the intelligentsia, the solidarity of the nation, the solidarity of people who seek to live in dignity, truth, and in harmony with their conscience.",Lech Walesa,Patriotism
It is not easy to see how the more extreme forms of nationalism can long survive when men have seen the Earth in its true perspective as a single small globe against the stars.,Arthur C. Clarke,Patriotism
"I tremble for my country when I hear of confidence expressed in me. I know too well my weakness, that our only hope is in God.",Robert E. Lee,Patriotism
"During 65 years, I have walked the path of duty and discipline... And today, looking back at that long path of service, my soldier's heart stirs and murmurs from deep within: Thank you. Thank you, my homeland.",Augusto Pinochet,Patriotism
"For what were all these country patriots born? To hunt, and vote, and raise the price of corn?",Lord Byron,Patriotism
"The highest patriotism is not a blind acceptance of official policy, but a love of one's country deep enough to call her to a higher plain.",George McGovern,Patriotism
"I want to tell you that if the Great Spirit had chosen anyone to be the chief of this country, it is myself.",Sitting Bull,Patriotism
"We'll try to cooperate fully with the IRS, because, as citizens, we feel a strong patriotic duty not to go to jail.",Dave Barry,Patriotism
I have a great belief in the future of my people and my country.,Marian Anderson,Patriotism
America is the spirit of human exploration distilled.,Elon Musk,Patriotism
"I distinguish, between nationalism and patriotism.",Michael Ignatieff,Patriotism
"The very idea of true patriotism is lost, and the term has been prostituted to the very worst of purposes. A patriot, sir! Why, patriots spring up like mushrooms!",Robert Walpole,Patriotism
"If I were to live my life over again, I would be an American. I would steep myself in America, I would know no other land.",Henry James,Patriotism
Each nation feels superior to other nations. That breeds patriotism - and wars.,Dale Carnegie,Patriotism
It is the pride of my heart to have been one of the earliest adopted sons of America.,Marquis de Lafayette,Patriotism
"The same ambition can destroy or save, and make a patriot as it makes a knave.",Alexander Pope,Patriotism
"Patriotism is voluntary. It is a feeling of loyalty and allegiance that is the result of knowledge and belief. A patriot shows their their patriotism through their actions, by their choice.",Jesse Ventura,Patriotism
Let the living give thanks to our honored dead who have paid the ultimate sacrifice that the Constitution of the United States remains our guiding light.,Bob Latta,Patriotism
Patriotism is a kind of religion; it is the egg from which wars are hatched.,Guy de Maupassant,Patriotism
