quotes,authors,categories
I am fond of pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.,Winston Churchill,Pet
"Outside of a dog, a book is a man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,Pet
Until one has loved an animal a part of one's soul remains unawakened.,Anatole France,Pet
"The better I get to know men, the more I find myself loving dogs.",Charles de Gaulle,Pet
He who is cruel to animals becomes hard also in his dealings with men. We can judge the heart of a man by his treatment of animals.,Immanuel Kant,Pet
There are two means of refuge from the miseries of life: music and cats.,Albert Schweitzer,Pet
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,Pet
Animals are such agreeable friends - they ask no questions; they pass no criticisms.,George Eliot,Pet
A dog is the only thing on earth that loves you more than you love yourself.,Josh Billings,Pet
In ancient times cats were worshipped as gods; they have not forgotten this.,Terry Pratchett,Pet
I poured spot remover on my dog. Now he's gone.,Steven Wright,Pet
My little dog - a heartbeat at my feet.,Edith Wharton,Pet
The trouble with a kitten is that eventually it becomes a cat.,Ogden Nash,Pet
"Money can buy you a fine dog, but only love can make him wag his tail.",Kinky Friedman,Pet
"You cannot share your life with a dog, as I had done in Bournemouth, or a cat, and not know perfectly well that animals have personalities and minds and feelings.",Jane Goodall,Pet
"No matter how much cats fight, there always seem to be plenty of kittens.",Abraham Lincoln,Pet
What counts is not necessarily the size of the dog in the fight - it's the size of the fight in the dog.,Dwight D. Eisenhower,Pet
Dogs are better than human beings because they know but do not tell.,Emily Dickinson,Pet
"Dogs are not our whole life, but they make our lives whole.",Roger Caras,Pet
An animal's eyes have the power to speak a great language.,Martin Buber,Pet
The clever cat eats cheese and breathes down rat holes with baited breath.,W. C. Fields,Pet
There is no psychiatrist in the world like a puppy licking your face.,Bernard Williams,Pet
"Cats have a scam going - you buy the food, they eat the food, they go away; that's the deal.",Eddie Izzard,Pet
The average dog is a nicer person than the average person.,Andy Rooney,Pet
It is much easier to show compassion to animals. They are never wicked.,Haile Selassie,Pet
Pets are humanizing. They remind us we have an obligation and responsibility to preserve and nurture and care for all life.,James Cromwell,Pet
Time spent with cats is never wasted.,Unknown,Pet
Dogs got personality. Personality goes a long way.,Quentin Tarantino,Pet
"If having a soul means being able to feel love and loyalty and gratitude, then animals are better off than a lot of humans.",James Herriot,Pet
No one appreciates the very special genius of your conversation as the dog does.,Christopher Morley,Pet
I had been told that the training procedure with cats was difficult. It's not. Mine had me trained in two days.,Bill Dana,Pet
"If a dog will not come to you after having looked you in the face, you should go home and examine your conscience.",Woodrow Wilson,Pet
I wonder if other dogs think poodles are members of a weird religious cult.,Rita Rudner,Pet
It's difficult to understand why people don't realize that pets are gifts to mankind.,Linda Blair,Pet
"Animals are reliable, many full of love, true in their affections, predictable in their actions, grateful and loyal. Difficult standards for people to live up to.",Alfred A. Montapert,Pet
Pets have more love and compassion in them than most humans.,Robert Wagner,Pet
"Animals have a much better attitude to life and death than we do. They know when their time has come. We are the ones that suffer when they pass, but it's a healing kind of grief that enables us to deal with other griefs that are not so easy to grab hold of.",Emmylou Harris,Pet
