quotes,authors,categories
One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.,Plato,Politics
"Suppose you were an idiot, and suppose you were a member of Congress; but I repeat myself.",Mark Twain,Politics
The darkest places in hell are reserved for those who maintain their neutrality in times of moral crisis.,Dante Alighieri,Politics
Politics is war without bloodshed while war is politics with bloodshed.,Mao Zedong,Politics
"If nominated, I will not run; if elected, I will not serve.",William Tecumseh Sherman,Politics
We hang the petty thieves and appoint the great ones to public office.,Aesop,Politics
"It is better to be violent, if there is violence in our hearts, than to put on the cloak of nonviolence to cover impotence.",Mahatma Gandhi,Politics
Politics have no relation to morals.,Niccolo Machiavelli,Politics
"The whole aim of practical politics is to keep the populace alarmed (and hence clamorous to be led to safety) by menacing it with an endless series of hobgoblins, all of them imaginary.",H. L. Mencken,Politics
The ballot is stronger than the bullet.,Abraham Lincoln,Politics
"If you put the federal government in charge of the Sahara Desert, in 5 years there'd be a shortage of sand.",Milton Friedman,Politics
"The modern conservative is engaged in one of man's oldest exercises in moral philosophy; that is, the search for a superior moral justification for selfishness.",John Kenneth Galbraith,Politics
"Inflation is as violent as a mugger, as frightening as an armed robber and as deadly as a hit man.",Ronald Reagan,Politics
"If voting changed anything, they'd make it illegal.",Emma Goldman,Politics
In politics stupidity is not a handicap.,Napoleon Bonaparte,Politics
It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.,Joseph Stalin,Politics
"Let us not seek the Republican answer or the Democratic answer, but the right answer. Let us not seek to fix the blame for the past. Let us accept our own responsibility for the future.",John F. Kennedy,Politics
Perseverance is the hard work you do after you get tired of doing the hard work you already did.,Newt Gingrich,Politics
"When bad men combine, the good must associate; else they will fall one by one, an unpitied sacrifice in a contemptible struggle.",Edmund Burke,Politics
You want a friend in Washington? Get a dog.,Harry S Truman,Politics
Life without liberty is like a body without spirit.,Khalil Gibran,Politics
I don't make jokes. I just watch the government and report the facts.,Will Rogers,Politics
"If you have always believed that everyone should play by the same rules and be judged by the same standards, that would have gotten you labeled a radical 60 years ago, a liberal 30 years ago and a racist today.",Thomas Sowell,Politics
Politics is too serious a matter to be left to the politicians.,Charles de Gaulle,Politics
"If we don't believe in freedom of expression for people we despise, we don't believe in it at all.",Noam Chomsky,Politics
"Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies.",Ernest Benn,Politics
"A healthy democracy requires a decent society; it requires that we are honorable, generous, tolerant and respectful.",Charles W. Pickering,Politics
Politics is not a game. It is an earnest business.,Winston Churchill,Politics
"The Democrats are the party that says government will make you smarter, taller, richer, and remove the crabgrass on your lawn. The Republicans are the party that says government doesn't work and then they get elected and prove it.",P. J. O'Rourke,Politics
"Democracy is when the indigent, and not the men of property, are the rulers.",Aristotle,Politics
People say satire is dead. It's not dead; it's alive and living in the White House.,Robin Williams,Politics
America's present need is not heroics but healing; not nostrums but normalcy; not revolution but restoration.,Warren G. Harding,Politics
"Republicans are men of narrow vision, who are afraid of the future.",Jimmy Carter,Politics
A week is a long time in politics.,Harold Wilson,Politics
The revolution is a dictatorship of the exploited against the exploiters.,Fidel Castro,Politics
"The only difference between the Democrats and the Republicans is that the Democrats allow the poor to be corrupt, too.",Oscar Levant,Politics
Politics is the art of controlling your environment.,Hunter S. Thompson,Politics
One of the reasons people hate politics is that truth is rarely a politician's objective. Election and power are.,Cal Thomas,Politics
"Turn on to politics, or politics will turn on you.",Ralph Nader,Politics
"Whenever men take the law into their own hands, the loser is the law. And when the law loses, freedom languishes.",Robert Kennedy,Politics
"I am extraordinarily patient, provided I get my own way in the end.",Margaret Thatcher,Politics
"War has rules, mud wrestling has rules - politics has no rules.",Ross Perot,Politics
All people are born alike - except Republicans and Democrats.,Groucho Marx,Politics
Politics: A strife of interests masquerading as a contest of principles. The conduct of public affairs for private advantage.,Ambrose Bierce,Politics
There ain't no answer. There ain't gonna be any answer. There never has been an answer. That's the answer.,Gertrude Stein,Politics
Under every stone lurks a politician.,Aristophanes,Politics
"There are many men of principle in both parties in America, but there is no party of principle.",Alexis de Tocqueville,Politics
When I was a boy I was told that anybody could become President; I'm beginning to believe it.,Clarence Darrow,Politics
"Conservatives are not necessarily stupid, but most stupid people are conservatives.",John Stuart Mill,Politics
The hottest place in Hell is reserved for those who remain neutral in times of great moral conflict.,Unknown,Politics
"I weep for the liberty of my country when I see at this early day of its successful experiment that corruption has been imputed to many members of the House of Representatives, and the rights of the people have been bartered for promises of office.",Andrew Jackson,Politics
Democracy is the recurrent suspicion that more than half of the people are right more than half of the time.,E. B. White,Politics
Liberalism is trust of the people tempered by prudence. Conservatism is distrust of the people tempered by fear.,William E. Gladstone,Politics
"Always vote for principle, though you may vote alone, and you may cherish the sweetest reflection that your vote is never lost.",John Quincy Adams,Politics
"Justice, sir, is the great interest of man on earth. It is the ligament which holds civilized beings and civilized nations together.",Daniel Webster,Politics
"Hell, I never vote for anybody, I always vote against.",W. C. Fields,Politics
"In a democracy, dissent is an act of faith.",J. William Fulbright,Politics
It is not in the nature of politics that the best men should be elected. The best men do not want to govern their fellowmen.,George MacDonald,Politics
A diplomat is a person who can tell you to go to hell in such a way that you actually look forward to the trip.,Caskie Stinnett,Politics
Vote for the man who promises least; he'll be the least disappointing.,Bernard Baruch,Politics
Pollution is nothing but the resources we are not harvesting. We allow them to disperse because we've been ignorant of their value.,R. Buckminster Fuller,Politics
"If you are going to sin, sin against God, not the bureaucracy. God will forgive you but the bureaucracy won't.",Hyman Rickover,Politics
There is no gambling like politics.,Benjamin Disraeli,Politics
Sensible and responsible women do not want to vote. The relative positions to be assumed by man and woman in the working out of our civilization were assigned long ago by a higher intelligence than ours.,Grover Cleveland,Politics
The first resistance to social change is to say it's not necessary.,Gloria Steinem,Politics
The flood of money that gushes into politics today is a pollution of democracy.,Theodore White,Politics
"Freedom isn't free. It shouldn't be a bragging point that 'Oh, I don't get involved in politics,' as if that makes someone cleaner. No, that makes you derelict of duty in a republic. Liars and panderers in government would have a much harder time of it if so many people didn't insist on their right to remain ignorant and blindly agreeable.",Bill Maher,Politics
Our whole constitutional heritage rebels at the thought of giving government the power to control men's minds.,Thurgood Marshall,Politics
"Any American who is prepared to run for president should automatically, by definition, be disqualified from ever doing so.",Gore Vidal,Politics
The most important political office is that of the private citizen.,Louis D. Brandeis,Politics
"The more I see of the representatives of the people, the more I admire my dogs.",Alphonse de Lamartine,Politics
An idea not coupled with action will never get any bigger than the brain cell it occupied.,Arnold H. Glasow,Politics
Every man who repeats the dogma of Mill that one country is no fit to rule another country must admit that one class is not fit to rule another class.,B. R. Ambedkar,Politics
"When buying and selling are controlled by legislation, the first things to be bought and sold are legislators.",P. J. O'Rourke,Politics
A war for a great principle ennobles a nation.,Albert Pike,Politics
Being president is like being a jackass in a hailstorm. There's nothing to do but to stand there and take it.,Lyndon B. Johnson,Politics
You have not converted a man because you have silenced him.,John Morley,Politics
If you have ten thousand regulations you destroy all respect for the law.,Winston Churchill,Politics
"The successful revolutionary is a statesman, the unsuccessful one a criminal.",Erich Fromm,Politics
"'Tis the business of little minds to shrink; but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.",Thomas Paine,Politics
Every politician should have been born an orphan and remain a bachelor.,Lady Bird Johnson,Politics
Those who stand for nothing fall for anything.,Jeff Rich,Politics
"A conservative is a man who just sits and thinks, mostly sits.",Woodrow Wilson,Politics
You cannot spend your way out of recession or borrow your way out of debt.,Daniel Hannan,Politics
"I always voted at my party's call, and I never thought of thinking for myself at all.",William Gilbert,Politics
The sad duty of politics is to establish justice in a sinful world.,Reinhold Niebuhr,Politics
They say women talk too much. If you have worked in Congress you know that the filibuster was invented by men.,Clare Boothe Luce,Politics
I would remind you that extremism in the defense of liberty is no vice! And let me remind you also that moderation in the pursuit of justice is no virtue.,Barry Goldwater,Politics
"The only security men can have for their political liberty, consists in keeping their money in their own pockets.",Lysander Spooner,Politics
We would all like to vote for the best man but he is never a candidate.,Kin Hubbard,Politics
It has been said that politics is the second oldest profession. I have learned that it bears a striking resemblance to the first.,Ronald Reagan,Politics
You have to have been a Republican to know how good it is to be a Democrat.,Jackie Kennedy,Politics
A fool and his money are soon elected.,Will Rogers,Politics
Voting is a civic sacrament.,Theodore Hesburgh,Politics
"Radical changes in world politics leave America with a heightened responsibility to be, for the world, an example of a genuinely free, democratic, just and humane society.",Pope John Paul II,Politics
Democracy is being allowed to vote for the candidate you dislike least.,Robert Byrne,Politics
It has been well said that a hungry man is more interested in four sandwiches than four freedoms.,"Henry Cabot Lodge, Jr.",Politics
Republicans have nothing but bad ideas and Democrats have no ideas.,Lewis Black,Politics
"If the United States of America or Britain is having elections, they don't ask for observers from Africa or from Asia. But when we have elections, they want observers.",Nelson Mandela,Politics
A liberal is a man who is willing to spend somebody else's money.,Carter Glass,Politics
"When the body of the people is possessed of the supreme power, it is called a democracy.",Montesquieu,Politics
