quotes,authors,categories
"Once you replace negative thoughts with positive ones, you'll start having positive results.",Willie Nelson,Positive
Keep your face to the sunshine and you cannot see a shadow.,Helen Keller,Positive
The most important thing is to try and inspire people so that they can be great in whatever they want to do.,Kobe Bryant,Positive
"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",Lyndon B. Johnson,Positive
"You've done it before and you can do it now. See the positive possibilities. Redirect the substantial energy of your frustration and turn it into positive, effective, unstoppable determination.",Ralph Marston,Positive
Every day brings new choices.,Martha Beck,Positive
In order to carry a positive action we must develop here a positive vision.,Dalai Lama,Positive
"Live life to the fullest, and focus on the positive.",Matt Cameron,Positive
"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.",Leah LaBelle,Positive
A good laugh is sunshine in the house.,William Makepeace Thackeray,Positive
"Find a place inside where there's joy, and the joy will burn out the pain.",Joseph Campbell,Positive
Positive thinking will let you do everything better than negative thinking will.,Zig Ziglar,Positive
I think anything is possible if you have the mindset and the will and desire to do it and put the time in.,Roger Clemens,Positive
"Trust in dreams, for in them is hidden the gate to eternity.",Khalil Gibran,Positive
"You are the sum total of everything you've ever seen, heard, eaten, smelled, been told, forgot - it's all there. Everything influences each of us, and because of that I try to make sure that my experiences are positive.",Maya Angelou,Positive
You cannot have a positive life and a negative mind.,Joyce Meyer,Positive
I often think that the night is more alive and more richly colored than the day.,Vincent Van Gogh,Positive
"I truly believe that everything that we do and everyone that we meet is put in our path for a purpose. There are no accidents; we're all teachers - if we're willing to pay attention to the lessons we learn, trust our positive instincts and not be afraid to take risks or wait for some miracle to come knocking at our door.",Marla Gibbs,Positive
"If you're not making mistakes, then you're not doing anything. I'm positive that a doer makes mistakes.",John Wooden,Positive
"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.",Demi Lovato,Positive
"Positive feelings come from being honest about yourself and accepting your personality, and physical characteristics, warts and all; and, from belonging to a family that accepts you without question.",Willard Scott,Positive
Perpetual optimism is a force multiplier.,Colin Powell,Positive
Believe that life is worth living and your belief will help create the fact.,William James,Positive
"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.",Henri Nouwen,Positive
Always turn a negative situation into a positive situation.,Michael Jordan,Positive
"The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.",Christopher McCandless,Positive
"Correction does much, but encouragement does more.",Johann Wolfgang von Goethe,Positive
"Always Do Your Best. Your best is going to change from moment to moment; it will be different when you are healthy as opposed to sick. Under any circumstance, simply do your best, and you will avoid self-judgment, self-abuse and regret.",Don Miguel Ruiz,Positive
It's a wonderful thing to be optimistic. It keeps you healthy and it keeps you resilient.,Daniel Kahneman,Positive
"If you have a positive attitude and constantly strive to give your best effort, eventually you will overcome your immediate problems and find you are ready for greater challenges.",Pat Riley,Positive
"You're going to go through tough times - that's life. But I say, 'Nothing happens to you, it happens for you.' See the positive in negative events.",Joel Osteen,Positive
Positive anything is better than negative nothing.,Elbert Hubbard,Positive
"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.",Allen Klein,Positive
The gift of fantasy has meant more to me than my talent for absorbing positive knowledge.,Albert Einstein,Positive
Few things in the world are more powerful than a positive push. A smile. A world of optimism and hope. A 'you can do it' when things are tough.,Richard M. DeVos,Positive
"When you are enthusiastic about what you do, you feel this positive energy. It's very simple.",Paulo Coelho,Positive
