"I would rather live my life as if there is a God and die to find out there isn't, than live as if there isn't and to die to find out that there is.",Albert Camus,Religion
When the missionaries came to Africa they had the Bible and we had the land. They said 'Let us pray.' We closed our eyes. When we opened them we had the Bible and they had the land.,Desmond Tutu,Religion
Aim at heaven and you will get earth thrown in. Aim at earth and you get neither.,C. S. Lewis,Religion
My religion is very simple. My religion is kindness.,Dalai Lama,Religion
"Religion is regarded by the common people as true, by the wise as false, and by the rulers as useful.",Lucius Annaeus Seneca,Religion
"For God so loved the World that he gave his only Son, that whoever believes in him should not perish but have eternal life.",Jesus Christ,Religion
"When I do good I feel good, when I do bad I feel bad, and that's my religion.",Abraham Lincoln,Religion
Religion is what keeps the poor from murdering the rich.,Napoleon Bonaparte,Religion
We must seek the loving-kindness of God in all the breadth and open-air of common life.,George A. Smith,Religion
Heaven is under our feet as well as over our heads.,Henry David Thoreau,Religion
"The World is my country, all mankind are my brethren, and to do good is my religion.",Thomas Paine,Religion
To be a Christian without prayer is no more possible than to be alive without breathing.,Martin Luther,Religion
A thorough knowledge of the Bible is worth more than a college education.,Theodore Roosevelt,Religion
"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",Buddha,Religion
"Prayer does not change God, but it changes him who prays.",Soren Kierkegaard,Religion
"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.",Galileo Galilei,Religion
You cannot believe in God until you believe in yourself.,Swami Vivekananda,Religion
I prayed for twenty years but received no answer until I prayed with my legs.,Frederick Douglass,Religion
"I like the religion that teaches liberty, equality and fraternity.",B. R. Ambedkar,Religion
"Science without religion is lame, religion without science is blind.",Albert Einstein,Religion
All religions must be tolerated... for every man must get to heaven in his own way.,Epictetus,Religion
"When I admire the wonders of a sunset or the beauty of the moon, my soul expands in the worship of the creator.",Mahatma Gandhi,Religion
Within the covers of the Bible are the answers for all the problems men face.,Ronald Reagan,Religion
One act of obedience is better than one hundred sermons.,Dietrich Bonhoeffer,Religion
"It is wonderful how much time good people spend fighting the devil. If they would only expend the same amount of energy loving their fellow men, the devil would die in his own tracks of ennui.",Helen Keller,Religion
"The Kingdom of Heaven is not a place, but a state of mind.",John Burroughs,Religion
"When we blindly adopt a religion, a political system, a literary dogma, we become automatons. We cease to grow.",Anais Nin,Religion
"I love you when you bow in your mosque, kneel in your temple, pray in your church. For you and I are sons of one religion, and it is the spirit.",Khalil Gibran,Religion
Let your religion be less of a theory and more of a love affair.,Gilbert K. Chesterton,Religion
"We are punished by our sins, not for them.",Elbert Hubbard,Religion
Human beings must be known to be loved; but Divine beings must be loved to be known.,Blaise Pascal,Religion
"There are many of us that are willing to do great things for the Lord, but few of us are willing to do little things.",Dwight L. Moody,Religion
"If, then, you are looking for the way by which you should go, take Christ, because He Himself is the way.",Thomas Aquinas,Religion
Preach the Gospel at all times and when necessary use words.,Unknown,Religion
Prayer is aligning ourselves with the purposes of God.,E. Stanley Jones,Religion
"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.",Christopher Hitchens,Religion
I am thankful I can see much to admire in all religions.,Alfred Russel Wallace,Religion
"We can only learn to know ourselves and do what we can - namely, surrender our will and fulfill God's will in us.",Saint Teresa of Avila,Religion
"We have to pray with our eyes on God, not on the difficulties.",Oswald Chambers,Religion
Science can purify religion from error and superstition. Religion can purify science from idolatry and false absolutes.,Pope John Paul II,Religion
The more I study religions the more I am convinced that man never worshipped anything but himself.,Richard Burton,Religion
"A religious man is a person who holds God and man in one thought at one time, at all times, who suffers harm done to others, whose greatest passion is compassion, whose greatest strength is love and defiance of despair.",Abraham Joshua Heschel,Religion
Religion is the idol of the mob; it adores everything it does not understand.,Frederick the Great,Religion
We are always on the anvil; by trials God is shaping us for higher things.,Henry Ward Beecher,Religion
The Son of God became man so that we might become God.,Athanasius,Religion
"This is my simple religion. There is no need for temples; no need for complicated philosophy. Our own brain, our own heart is our temple; the philosophy is kindness.",Dalai Lama,Religion
My life was changed in one breath from God.,Donna Summer,Religion
The glory of Christianity is to conquer by forgiveness.,William Blake,Religion
There is nothing evil save that which perverts the mind and shackles the conscience.,Saint Ambrose,Religion
"Religion is everywhere. There are no human societies without it, whether they acknowledge it as a religion or not.",Octavia E. Butler,Religion
Prayer is the key of the morning and the bolt of the evening.,Mahatma Gandhi,Religion
Religion is the everlasting dialogue between humanity and God. Art is its soliloquy.,Franz Werfel,Religion
"See, I have set before you this day life and good, death and evil... I have set before you life and death, blessing and curse; therefore choose life.",Moses,Religion
Jesus does not give recipes that show the way to God as other teachers of religion do. He is himself the way.,Karl Barth,Religion
"The framers of our Constitution meant we were to have freedom of religion, not freedom from religion.",Billy Graham,Religion
"God made everything out of nothing, but the nothingness shows through.",Paul Valery,Religion
"True religion is real living; living with all one's soul, with all one's goodness and righteousness.",Albert Einstein,Religion
"Just as the soul fills the body, so God fills the world. Just as the soul bears the body, so God endures the world. Just as the soul sees but is not seen, so God sees but is not seen. Just as the soul feeds the body, so God gives food to the world.",Marcus Tullius Cicero,Religion
Anti-religious sneers are a hallmark of perpetual adolescents.,Camille Paglia,Religion
"I'm a Muslim, but I think Jesus would have a drink with me. He would be cool. He would talk to me.",Mike Tyson,Religion
"There is no need for temples, no need for complicated philosophies. My brain and my heart are my temples; my philosophy is kindness.",Dalai Lama,Religion
The Bible is worth all the other books which have ever been printed.,Patrick Henry,Religion
"Jesus is ideal and wonderful, but you Christians - you are not like him.",Mahatma Gandhi,Religion
Prayer is the spirit speaking truth to Truth.,Philip James Bailey,Religion
Toleration is the best religion.,Victor Hugo,Religion
Teach us to give and not to count the cost.,Saint Ignatius,Religion
Religion is about turning untested belief into unshakable truth through the power of institutions and the passage of time.,Richard Dawkins,Religion
"It is easy to talk on religion, but difficult to practice it.",Ramakrishna,Religion
"My mom's a Catholic, and my dad's a Jew, and they didn't want anything to do with anything.",Isabelle Huppert,Religion
"Recounting of a life story, a mind thinking aloud leads one inevitably to the consideration of problems which are no longer psychological but spiritual.",Paul Tournier,Religion
"Religion's in the heart, not in the knees.",Douglas William Jerrold,Religion
"Whether one believes in a religion or not, and whether one believes in rebirth or not, there isn't anyone who doesn't appreciate kindness and compassion.",Dalai Lama,Religion
"I was raised Catholic, but my father's people were Methodist, so we went to both churches.",Aaron Neville,Religion
The Bible is the fountain of truth.,Joseph Franklin Rutherford,Religion
Where it is a duty to worship the sun it is pretty sure to be a crime to examine the laws of heat.,John Morley,Religion
Work out your own salvation. Do not depend on others.,Buddha,Religion
It is only when men begin to worship that they begin to grow.,Calvin Coolidge,Religion
Only a god can save us.,Martin Heidegger,Religion
"Earth changes, but thy soul and God stand sure.",Robert Browning,Religion
"Religion in its humility restores man to his only dignity, the courage to live by grace.",George Santayana,Religion
"My country is the world, and my religion is to do good.",Thomas Paine,Religion
Nothing is so fatal to religion as indifference.,Edmund Burke,Religion
More and more people care about religious tolerance as fewer and fewer care about religion.,Alexander Chase,Religion
This is all the inheritance I give to my dear family. The religion of Christ will give them one which will make them rich indeed.,Patrick Henry,Religion
"Muslims must believe that all power, success and victory comes from God alone.",Abu Bakar Bashir,Religion
Worship means reverence and humility it means revering your real self and humbling delusions.,Bodhidharma,Religion
"Morality is of the highest importance - but for us, not for God.",Albert Einstein,Religion
Disturbances in society are never more fearful than when those who are stirring up the trouble can use the pretext of religion to mask their true designs.,Denis Diderot,Religion
God is a thought who makes crooked all that is straight.,Friedrich Nietzsche,Religion
"So I say to you, Ask and it will be given to you; search, and you will find; knock, and the door will be opened for you.",Jesus Christ,Religion
"Rivers, ponds, lakes and streams - they all have different names, but they all contain water. Just as religions do - they all contain truths.",Muhammad Ali,Religion
"The Bible shows the way to go to heaven, not the way the heavens go.",Galileo Galilei,Religion
It's wonderful to climb the liquid mountains of the sky. Behind me and before me is God and I have no fears.,Helen Keller,Religion
God is a metaphor for that which transcends all levels of intellectual thought. It's as simple as that.,Joseph Campbell,Religion
No man ever believes that the Bible means what it says: He is always convinced that it says what he means.,George Bernard Shaw,Religion
"God is to be worshipped as the one beloved, dearer than everything in this and next life.",Swami Vivekananda,Religion
Worship is a way of seeing the world in the light of God.,Abraham Joshua Heschel,Religion
I don't believe in God but I'm very interested in her.,Arthur C. Clarke,Religion
Religion is not a department of life; it is something that enters into the whole of it.,Alan Watts,Religion
"Being religious means asking passionately the question of the meaning of our existence and being willing to receive answers, even if the answers hurt.",Paul Tillich,Religion
