quotes,authors,categories
I love you the more in that I believe you had liked me for my own sake and for nothing else.,John Keats,Romantic
"Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.",Maya Angelou,Romantic
"If you are not too long, I will wait here for you all my life.",Oscar Wilde,Romantic
"A beautiful woman delights the eye; a wise woman, the understanding; a pure one, the soul.",Minna Antrim,Romantic
There is no charm equal to tenderness of heart.,Jane Austen,Romantic
True love stories never have endings.,Richard Bach,Romantic
And ever has it been known that love knows not its own depth until the hour of separation.,Khalil Gibran,Romantic
"We are each of us angels with only one wing, and we can only fly by embracing one another.",Luciano De Crescenzo,Romantic
All that we see or seem is but a dream within a dream.,Edgar Allan Poe,Romantic
I believe I can even yet remember when I saw the stars for the first time.,Max Muller,Romantic
There is no instinct like that of the heart.,Lord Byron,Romantic
"I am in you and you in me, mutual in divine love.",William Blake,Romantic
Morning without you is a dwindled dawn.,Emily Dickinson,Romantic
"Be brave, young lovers, and follow your star.",Oscar Hammerstein II,Romantic
So the lover must struggle for words.,T. S. Eliot,Romantic
Love is friendship set on fire.,Jeremy Taylor,Romantic
A man's kiss is his signature.,Mae West,Romantic
It is better to have loved and lost than never to have lost at all.,Samuel Butler,Romantic
"How far away the stars seem, and how far is our first kiss, and ah, how old my heart.",William Butler Yeats,Romantic
"A tramp, a gentleman, a poet, a dreamer, a lonely fellow, always hopeful of romance and adventure.",Charlie Chaplin,Romantic
We only part to meet again.,John Gay,Romantic
"The sound of a kiss is not so loud as that of a cannon, but its echo lasts a great deal longer.","Oliver Wendell Holmes, Sr.",Romantic
"O, thou art fairer than the evening air clad in the beauty of a thousand stars.",Christopher Marlowe,Romantic
"Vulnerability is the essence of romance. It's the art of being uncalculated, the willingness to look foolish, the courage to say, 'This is me, and I'm interested in you enough to show you my flaws with the hope that you may embrace me for all that I am but, more important, all that I am not.'",Ashton Kutcher,Romantic
"Love, whether newly born, or aroused from a deathlike slumber, must always create sunshine, filling the heart so full of radiance, this it overflows upon the outward world.",Nathaniel Hawthorne,Romantic
Kiss me and you will see how important I am.,Sylvia Plath,Romantic
My heart is like a singing bird.,Christina Rossetti,Romantic
When I give I give myself.,Walt Whitman,Romantic
"When you look at me, when you think of me, I am in paradise.",William Makepeace Thackeray,Romantic
What is love? It is the morning and the evening star.,Sinclair Lewis,Romantic
All the beautiful sentiments in the world weigh less than a single lovely action.,James Russell Lowell,Romantic
"Love is a portion of the soul itself, and it is of the same nature as the celestial breathing of the atmosphere of paradise.",Victor Hugo,Romantic
The real lover is the man who can thrill you just by touching your head or smiling into your eyes - or just by staring into space.,Marilyn Monroe,Romantic
"Love planted a rose, and the world turned sweet.",Katharine Lee Bates,Romantic
Beauty is the lover's gift.,William Congreve,Romantic
"I'm a romantic; a sentimental person thinks things will last, a romantic person hopes against hope that they won't.",F. Scott Fitzgerald,Romantic
"Remember, beneath every cynic there lies a romantic, and probably an injured one.",Glenn Beck,Romantic
"The telephone, which interrupts the most serious conversations and cuts short the most weighty observations, has a romance of its own.",Virginia Woolf,Romantic
"What is a kiss? Why this, as some approve: The sure, sweet cement, glue, and lime of love.",Robert Herrick,Romantic
Romance is tempestuous. Love is calm.,Mason Cooley,Romantic
"Romance is dead - it was acquired in a hostile takeover by Hallmark and Disney, homogenized, and sold off piece by piece.",Yeardley Smith,Romantic
"Romantic love is mental illness. But it's a pleasurable one. It's a drug. It distorts reality, and that's the point of it. It would be impossible to fall in love with someone that you really saw.",Fran Lebowitz,Romantic
In real love you want the other person's good. In romantic love you want the other person.,Margaret Anderson,Romantic
"Some say that the age of chivalry is past, that the spirit of romance is dead. The age of chivalry is never past, so long as there is a wrong left unredressed on earth.",Charles Kingsley,Romantic
"The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test.",Joan Chen,Romantic
French is the language that turns dirt into romance.,Stephen King,Romantic
I'm a hopeless romantic and passionate person when it comes to love.,Jennifer Lopez,Romantic
"The curse of the romantic is a greed for dreams, an intensity of expectation that, in the end, diminishes the reality.",Marya Mannes,Romantic
I love you - I am at rest with you - I have come home.,Dorothy L. Sayers,Romantic
"If you don't love me, it does not matter, anyway I can love for both of us.",Stendhal,Romantic
"I'm very romantic, I'm extremely romantic. I date my wife.",Alice Cooper,Romantic
I am a hopeless romantic. And I won't stop till I get it right.,Halle Berry,Romantic
"Beauty, sweet love, is like the morning dew, Whose short refresh upon tender green, Cheers for a time, but till the sun doth show And straight is gone, as it had never been.",Samuel Daniel,Romantic
"Wave after wave of love flooded the stage and washed over me, the beginning of the one great durable romance of my life.",Bette Davis,Romantic
It's easy to get wrapped up in sharing everyday life with a partner. It's fun to get lost in love and romance. It's the best. But holding on to yourself while doing that is the most important thing.,Brittany Murphy,Romantic
Happy is the man whom the Muses love: sweet speech flows from his mouth.,Hesiod,Romantic
Am I a romantic? I've seen 'Wuthering Heights' ten times. I'm a romantic.,Johnny Depp,Romantic
The romantic embrace can only be compared with music and with prayer.,Havelock Ellis,Romantic
"Of all the music that reached farthest into heaven, it is the beating of a loving heart.",Henry Ward Beecher,Romantic
I love you more than my own skin.,Frida Kahlo,Romantic
"I'm a romantic, and we romantics are more sensitive to the way people feel. We love more, and we hurt more. When we're hurt, we hurt for a long time.",Freddy Fender,Romantic
"Breathless, we flung us on a windy hill, Laughed in the sun, and kissed the lovely grass.",Rupert Brooke,Romantic
Love alone could waken love.,Pearl S. Buck,Romantic
"Tradition wears a snowy beard, romance is always young.",John Greenleaf Whittier,Romantic
"Those fields of daisies we landed on, and dusty fields and desert stretches. Memories of many skies and earths beneath us - many days, many nights of stars.",Anne Morrow Lindbergh,Romantic
Romance is the glamour which turns the dust of everyday life into a golden haze.,Carolyn Gold Heilbrun,Romantic
"Since I was seventeen I thought I might be a star. I'd think about all my heroes, Charlie Parker, Jimi Hendrix... I had a romantic feeling about how these people became famous.",Jean-Michel Basquiat,Romantic
There's something about the sound of a train that's very romantic and nostalgic and hopeful.,Paul Simon,Romantic
There's something really great and romantic about being poor and sleeping on couches.,Ben Affleck,Romantic
My dearly beloved if I am to die today and never see the sweet face of you I want you to know that I am no great man and am lucky to have such a woman as you.,Wild Bill Hickok,Romantic
"Heard melodies are sweet, but those unheard are sweeter.",John Keats,Romantic
"When men attempt bold gestures, generally it's considered romantic. When women do it, it's often considered desperate or psycho.",Sarah Jessica Parker,Romantic
"There are two births: the one when light, First strikes the new awakened sense; The other when two souls unite, And we must count our life from thence, When you loved me and I loved you, Then both of us were born anew.",William Cartwright,Romantic
I'm very romantic. I've emptied flower shops.,Bob Hoskins,Romantic
"The word 'romance,' according to the dictionary, means excitement, adventure, and something extremely real. Romance should last a lifetime.",Billy Graham,Romantic
"There is only one thing that a man really wants to do, all his life; and that is, to find his way to his God, his Morning Star, salute his fellow man, and enjoy the woman who has come the long way with him.",D. H. Lawrence,Romantic
Deceiving others. That is what the world calls a romance.,Oscar Wilde,Romantic
I believe that when you're in love you have to pour your heart and soul out to your partner... or why bother? So in that sense I'm an incurable romantic when it comes to men.,Cameron Diaz,Romantic
"Romance is mush, stifling those who strive.",Billy Strayhorn,Romantic
Romance is everything.,Gertrude Stein,Romantic
