quotes,authors,categories
"Be true to your work, your word, and your friend.",John Boyle O'Reilly,Saint Patrick's Day
"Think where man's glory most begins and ends, and say my glory was I had such friends.",William Butler Yeats,Saint Patrick's Day
"Christ beside me, Christ before me, Christ behind me, Christ within me, Christ beneath me, Christ above me.",Saint Patrick,Saint Patrick's Day
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C. S. Lewis,Saint Patrick's Day
We have always found the Irish a bit odd. They refuse to be English.,Winston Churchill,Saint Patrick's Day
"To succeed in life, you need three things: a wishbone, a backbone and a funny bone.",Reba McEntire,Saint Patrick's Day
"Love is never defeated, and I could add, the history of Ireland proves it.",Pope John Paul II,Saint Patrick's Day
I say luck is when an opportunity comes along and you're prepared for it.,Denzel Washington,Saint Patrick's Day
"If it was raining soup, the Irish would go out with forks.",Brendan Behan,Saint Patrick's Day
"You gotta try your luck at least once a day, because you could be going around lucky all day and not even know it.",Jimmy Dean,Saint Patrick's Day
Luck is believing you're lucky.,Tennessee Williams,Saint Patrick's Day
"Our prayers should be for blessings in general, for God knows best what is good for us.",Socrates,Saint Patrick's Day
"You've got to think lucky. If you fall into a mudhole, check your back pocket - you might have caught a fish.",Darrell Royal,Saint Patrick's Day
Cherish your human connections: your relationships with friends and family.,Joseph Brodsky,Saint Patrick's Day
"I love everything that's old, - old friends, old times, old manners, old books, old wine.",Oliver Goldsmith,Saint Patrick's Day
Fond memory brings the light of other days around me.,Thomas Moore,Saint Patrick's Day
Being Irish is very much a part of who I am. I take it everywhere with me.,Colin Farrell,Saint Patrick's Day
"Above all else, deep in my soul, I'm a tough Irishwoman.",Maureen O'Hara,Saint Patrick's Day
"I try to be grateful for the abundance of the blessings that I have, for the journey that I'm on and to relish each day as a gift.",James McGreevey,Saint Patrick's Day
Our hearts were drunk with a beauty Our eyes could never see.,George William Russell,Saint Patrick's Day
There is no language like the Irish for soothing and quieting.,John Millington Synge,Saint Patrick's Day
"I come from an Irish Catholic family, and hell-raising is part of the DNA.",Brian Dennehy,Saint Patrick's Day
"Geographically, Ireland is a medium-sized rural island that is slowly but steadily being consumed by sheep.",Dave Barry,Saint Patrick's Day
"If you're Irish, it doesn't matter where you go - you'll find family.",Victoria Smurfit,Saint Patrick's Day
"Being Irish, I always had this love of words.",Kenneth Branagh,Saint Patrick's Day
Every St. Patrick's Day every Irishman goes out to find another Irishman to make a speech to.,Shane Leslie,Saint Patrick's Day
"Being Irish, he had an abiding sense of tragedy, which sustained him through temporary periods of joy.",William Butler Yeats,Saint Patrick's Day
That's what the holidays are for - for one person to tell the stories and another to dispute them. Isn't that the Irish way?,Lara Flynn Boyle,Saint Patrick's Day
I was raised in a very old fashioned Ireland where women were reared to be lovely.,Anne Enright,Saint Patrick's Day
