quotes,authors,categories
Don't cry because it's over. Smile because it happened.,Dr. Seuss,Smile
"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection.",Thomas Paine,Smile
"Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.",Leo Buscaglia,Smile
A warm smile is the universal language of kindness.,William Arthur Ward,Smile
Colors are the smiles of nature.,Leigh Hunt,Smile
A smile is a curve that sets everything straight.,Phyllis Diller,Smile
"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.",Paramahansa Yogananda,Smile
"Smile, it's free therapy.",Douglas Horton,Smile
A smile is happiness you'll find right under your nose.,Tom Wilson,Smile
"A smile is the light in your window that tells others that there is a caring, sharing person inside.",Denis Waitley,Smile
Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,Yoko Ono,Smile
"Be thou the rainbow in the storms of life. The evening beam that smiles the clouds away, and tints tomorrow with prophetic ray.",Lord Byron,Smile
"A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.",William Hazlitt,Smile
They might not need me; but they might. I'll let my head be just in sight; a smile as small as mine might be precisely their necessity.,Emily Dickinson,Smile
"What sunshine is to flowers, smiles are to humanity. These are but trifles, to be sure; but scattered along life's pathway, the good they do is inconceivable.",Joseph Addison,Smile
"After every storm the sun will smile; for every problem there is a solution, and the soul's indefeasible duty is to be of good cheer.",William R. Alger,Smile
"Look back, and smile on perils past.",Walter Scott,Smile
"A kind heart is a fountain of gladness, making everything in its vicinity freshen into smiles.",Washington Irving,Smile
Wrinkles will only go where the smiles have been.,Jimmy Buffett,Smile
"If you smile when no one else is around, you really mean it.",Andy Rooney,Smile
"Remember even though the outside world might be raining, if you keep on smiling the sun will soon show its face and smile back at you.",Anna Lee,Smile
"I'm really exciting. I smile a lot, I win a lot, and I'm really sexy.",Serena Williams,Smile
A smile is the universal welcome.,Max Eastman,Smile
A smile is the chosen vehicle of all ambiguities.,Herman Melville,Smile
Wear a smile and have friends; wear a scowl and have wrinkles.,George Eliot,Smile
"The happiness of life is made up of minute fractions - the little, soon forgotten charities of a kiss or a smile, a kind look or heartfelt compliment.",Samuel Taylor Coleridge,Smile
"If the world's a veil of tears, Smile till rainbows span it.",Lucy Larcom,Smile
