quotes,authors,categories
"We must reject the idea that every time a law's broken, society is guilty rather than the lawbreaker. It is time to restore the American precept that each individual is accountable for his actions.",Ronald Reagan,Society
The most dangerous creation of any society is the man who has nothing to lose.,James Baldwin,Society
There can be no keener revelation of a society's soul than the way in which it treats its children.,Nelson Mandela,Society
All that is valuable in human society depends upon the opportunity for development accorded the individual.,Albert Einstein,Society
Our society is run by insane people for insane objectives. I think we're being run by maniacs for maniacal ends and I think I'm liable to be put away as insane for expressing that. That's what's insane about it.,John Lennon,Society
Every society gets the kind of criminal it deserves. What is equally true is that every community gets the kind of law enforcement it insists on.,Robert Kennedy,Society
An armed society is a polite society. Manners are good when one may have to back up his acts with his life.,Robert A. Heinlein,Society
"Where justice is denied, where poverty is enforced, where ignorance prevails, and where any one class is made to feel that society is an organized conspiracy to oppress, rob and degrade them, neither persons nor property will be safe.",Frederick Douglass,Society
"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",Mahatma Gandhi,Society
"He who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god.",Aristotle,Society
A people that values its privileges above its principles soon loses both.,Dwight D. Eisenhower,Society
"The trouble with the rat race is that even if you win, you're still a rat.",Lily Tomlin,Society
"Society does not consist of individuals but expresses the sum of interrelations, the relations within which these individuals stand.",Karl Marx,Society
Our most basic common link is that we all inhabit this planet. We all breathe the same air. We all cherish our children's future. And we are all mortal.,John F. Kennedy,Society
Society exists only as a mental concept; in the real world there are only individuals.,Oscar Wilde,Society
I say what I want to say and do what I want to do. There's no in between. People will either love you for it or hate you for it.,Eminem,Society
"Think what a better world it would be if we all, the whole world, had cookies and milk about three o'clock every afternoon and then lay down on our blankets for a nap.",Barbara Jordan,Society
I think the first duty of society is justice.,Alexander Hamilton,Society
Our society strives to avoid any possibility of offending anyone - except God.,Billy Graham,Society
The most violent element in society is ignorance.,Emma Goldman,Society
The danger of the past was that men became slaves. The danger of the future is that men may become robots.,Erich Fromm,Society
The society which scorns excellence in plumbing as a humble activity and tolerates shoddiness in philosophy because it is an exalted activity will have neither good plumbing nor good philosophy: neither its pipes nor its theories will hold water.,John W. Gardner,Society
"No society can surely be flourishing and happy, of which the far greater part of the members are poor and miserable.",Adam Smith,Society
"In a closed society where everybody's guilty, the only crime is getting caught. In a world of thieves, the only final sin is stupidity.",Hunter S. Thompson,Society
"There is no such thing as society: there are individual men and women, and there are families.",Margaret Thatcher,Society
"Society as a whole benefits immeasurably from a climate in which all persons, regardless of race or gender, may have the opportunity to earn respect, responsibility, advancement and remuneration based on ability.",Sandra Day O'Connor,Society
"Anyway, no drug, not even alcohol, causes the fundamental ills of society. If we're looking for the source of our troubles, we shouldn't test people for drugs, we should test them for stupidity, ignorance, greed and love of power.",P. J. O'Rourke,Society
Neither the life of an individual nor the history of a society can be understood without understanding both.,C. Wright Mills,Society
The ultimate test of a moral society is the kind of world that it leaves to its children.,Dietrich Bonhoeffer,Society
A good person can make another person good; it means that goodness will elicit goodness in the society; other persons will also be good.,Bhumibol Adulyadej,Society
The world is governed more by appearance than realities so that it is fully as necessary to seem to know something as to know it.,Daniel Webster,Society
The enemy of society is middle class and the enemy of life is middle age.,Orson Welles,Society
Princes and governments are far more dangerous than other elements within society.,Niccolo Machiavelli,Society
"I have a total irreverence for anything connected with society except that which makes the roads safer, the beer stronger, the food cheaper and the old men and old women warmer in the winter and happier in the summer.",Brendan Behan,Society
"Our society is not a community, but merely a collection of isolated family units.",Valerie Solanas,Society
A society that has more justice is a society that needs less charity.,Ralph Nader,Society
We are trying to construct a more inclusive society. We are going to make a country in which no one is left out.,Franklin D. Roosevelt,Society
"One can be instructed in society, one is inspired only in solitude.",Johann Wolfgang von Goethe,Society
"I had three chairs in my house; one for solitude, two for friendship, three for society.",Henry David Thoreau,Society
"In a society that tries to standardize thinking, individuality is not highly prized.",Alex Grey,Society
Society honors its living conformists and its dead troublemakers.,Mignon McLaughlin,Society
"If those in charge of our society - politicians, corporate executives, and owners of press and television - can dominate our ideas, they will be secure in their power. They will not need soldiers patrolling the streets. We will control ourselves.",Howard Zinn,Society
"Civilization is unbearable, but it is less unbearable at the top.",Timothy Leary,Society
The first sign of corruption in a society that is still alive is that the end justifies the means.,Georges Bernanos,Society
"When a nation goes down, or a society perishes, one condition may always be found; they forgot where they came from. They lost sight of what had brought them along.",Carl Sandburg,Society
Society is the union of men and not the men themselves.,Montesquieu,Society
Do not waste your time on Social Questions. What is the matter with the poor is Poverty; what is the matter with the rich is Uselessness.,George Bernard Shaw,Society
If God would have wanted us to live in a permissive society He would have given us Ten Suggestions and not Ten Commandments.,Zig Ziglar,Society
"Formerly, when religion was strong and science weak, men mistook magic for medicine; now, when science is strong and religion weak, men mistake medicine for magic.",Thomas Szasz,Society
"People are going to behave however the social norms permit, and beyond that.",Max Cannon,Society
"In much of society, research means to investigate something you do not know or understand.",Neil Armstrong,Society
I am as frustrated with society as a pyromaniac in a petrified forest.,A. Whitney Brown,Society
Society is always taken by surprise at any new example of common sense.,Ralph Waldo Emerson,Society
"I think this society suffers so much from too much freedom, too many rights that allow people to be irresponsible.",Boyd Rice,Society
The wise person often shuns society for fear of being bored.,Jean de la Bruyere,Society
"Well first of all, tell me, is there some society you know of that doesn't run on greed? You think Russia doesn't run on greed? You think China doesn't run on greed? What is greed?",Milton Friedman,Society
"A pure democracy is a society consisting of a small number of citizens, who assemble and administer the government in person.",James Madison,Society
Society cares for the individual only so far as he is profitable.,Simone de Beauvoir,Society
"Suburbia is where the developer bulldozes out the trees, then names the streets after them.",Bill Vaughan,Society
"If we wish to preserve a free society, it is essential that we recognize that the desirability of a particular object is not sufficient justification for the use of coercion.",Friedrich August von Hayek,Society
"No society has been able to abolish human sadness, no political system can deliver us from the pain of living, from our fear of death, our thirst for the absolute. It is the human condition that directs the social condition, not vice versa.",Eugene Ionesco,Society
"I am now quite cured of seeking pleasure in society, be it country or town. A sensible man ought to find sufficient company in himself.",Emily Bronte,Society
"Our society must make it right and possible for old people not to fear the young or be deserted by them, for the test of a civilization is the way that it cares for its helpless members.",Pearl S. Buck,Society
"What's done to children, they will do to society.",Karl A. Menninger,Society
"Economy is the basis of society. When the economy is stable, society develops. The ideal economy combines the spiritual and the material, and the best commodities to trade in are sincerity and love.",Morihei Ueshiba,Society
The first principle of a free society is an untrammeled flow of words in an open forum.,Adlai Stevenson I,Society
You can't make up anything anymore. The world itself is a satire. All you're doing is recording it.,Art Buchwald,Society
Today the world changes so quickly that in growing up we take leave not just of youth but of the world we were young in.,Peter Medawar,Society
To give aid to every poor man is far beyond the reach and power of every man. Care of the poor is incumbent on society as a whole.,Baruch Spinoza,Society
I should tie myself to no particular system of society other than of socialism.,Nelson Mandela,Society
One of the definitions of sanity is the ability to tell real from unreal. Soon we'll need a new definition.,Alvin Toffler,Society
"If one could only teach the English how to talk, and the Irish how to listen, society here would be quite civilized.",Oscar Wilde,Society
A civilized society is one which tolerates eccentricity to the point of doubtful sanity.,Robert Frost,Society
"The society based on production is only productive, not creative.",Albert Camus,Society
Cockroaches and socialites are the only things that can stay up all night and eat anything.,Herb Caen,Society
"Our individual lives cannot, generally, be works of art unless the social order is also.",Charles Horton Cooley,Society
"How can a society that exists on instant mashed potatoes, packaged cake mixes, frozen dinners, and instant cameras teach patience to its young?",Paul Sweeney,Society
Nine-tenths of the people were created so you would want to be with the other tenth.,Horace Walpole,Society
"Usually, terrible things that are done with the excuse that progress requires them are not really progress at all, but just terrible things.",Russell Baker,Society
We have to talk about liberating minds as well as liberating society.,Angela Davis,Society
"I have cherished the ideal of a democratic and free society in which all persons live together in harmony and with equal opportunities. It is an ideal which I hope to live for and to achieve. But if needs be, it is an ideal for which I am prepared to die.",Nelson Mandela,Society
Exclusiveness in a garden is a mistake as great as it is in society.,Alfred Austin,Society
