quotes,authors,categories
"The stars don't look bigger, but they do look brighter.",Sally Ride,Space
"That's one small step for a man, one giant leap for mankind.",Neil Armstrong,Space
"If you are in a spaceship that is traveling at the speed of light, and you turn on the headlights, does anything happen?",Steven Wright,Space
The Universe is under no obligation to make sense to you.,Neil deGrasse Tyson,Space
The moon is a friend for the lonesome to talk to.,Carl Sandburg,Space
I would like to die on Mars. Just not on impact.,Elon Musk,Space
There are no passengers on spaceship earth. We are all crew.,Marshall McLuhan,Space
Who are we? We find that we live on an insignificant planet of a humdrum star lost in a galaxy tucked away in some forgotten corner of a universe in which there are far more galaxies than people.,Carl Sagan,Space
"The Earth is the cradle of humanity, but mankind cannot stay in the cradle forever.",Konstantin Tsiolkovsky,Space
"Those are the same stars, and that is the same moon, that look down upon your brothers and sisters, and which they see as they look up to them, though they are ever so far away from us, and each other.",Sojourner Truth,Space
"I would rather be a superb meteor, every atom of me in magnificent glow, than a sleepy and permanent planet.",Jack London,Space
"Modern science says: 'The sun is the past, the earth is the present, the moon is the future.' From an incandescent mass we have originated, and into a frozen mass we shall turn. Merciless is the law of nature, and rapidly and irresistibly we are drawn to our doom.",Nikola Tesla,Space
Space is an inspirational concept that allows you to dream big.,Peter Diamandis,Space
"When you look at the stars and the galaxy, you feel that you are not just from any particular piece of land, but from the solar system.",Kalpana Chawla,Space
"What can we gain by sailing to the moon if we are not able to cross the abyss that separates us from ourselves? This is the most important of all voyages of discovery, and without it, all the rest are not only useless, but disastrous.",Thomas Merton,Space
For the wise man looks into space and he knows there is no limited dimensions.,Zhuangzi,Space
"Oh, don't let's ask for the moon. We've already got the stars.",Bette Davis,Space
"If the Sun and Moon should ever doubt, they'd immediately go out.",William Blake,Space
"There is a fifth dimension, beyond that which is known to man. It is a dimension as vast as space and as timeless as infinity. It is the middle ground between light and shadow, between science and superstition.",Rod Serling,Space
"Hey sky, take off your hat, I'm on my way!",Valentina Tereshkova,Space
"Space is big. You just won't believe how vastly, hugely, mind-bogglingly big it is. I mean, you may think it's a long way down the road to the drug store, but that's just peanuts to space.",Douglas Adams,Space
You cannot look up at the night sky on the Planet Earth and not wonder what it's like to be up there amongst the stars. And I always look up at the moon and see it as the single most romantic place within the cosmos.,Tom Hanks,Space
It's a very sobering feeling to be up in space and realize that one's safety factor was determined by the lowest bidder on a government contract.,Alan Shepard,Space
We are not going to be able to operate our Spaceship Earth successfully nor for much longer unless we see it as a whole spaceship and our fate as common. It has to be everybody or nobody.,R. Buckminster Fuller,Space
We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.,Stephen Hawking,Space
"We travel together, passengers on a little spaceship, dependent on its vulnerable reserves of air and soil, all committed, for our safety, to its security and peace. Preserved from annihilation only by the care, the work and the love we give our fragile craft.",Adlai Stevenson I,Space
Space is to place as eternity is to time.,Joseph Joubert,Space
It takes a planet to explore the universe.,Dylan Taylor,Space
After one look at this planet any visitor from outer space would say 'I want to see the manager.',William S. Burroughs,Space
The scientific theory I like best is that the rings of Saturn are composed entirely of lost airline luggage.,Mark Russell,Space
"The world, when you look at it, it just can't be random. I mean, it's so different than the vast emptiness that is everything else, and even all the other planets we've seen, at least in our solar system, none of them even remotely resemble the precious life-giving nature of our own planet.",Chris Hadfield,Space
Space isn't remote at all. It's only an hour's drive away if your car could go straight upwards.,Fred Hoyle,Space
"When you're getting ready to launch into space, you're sitting on a big explosion waiting to happen.",Sally Ride,Space
I think we are at the dawn of a new era in commercial space exploration.,Elon Musk,Space
"Sometimes I think we're alone in the universe, and sometimes I think we're not. In either case the idea is quite staggering.",Arthur C. Clarke,Space
"I think the universe is pure geometry - basically, a beautiful shape twisting around and dancing over space-time.",Antony Garrett Lisi,Space
"When a place gets crowded enough to require ID's, social collapse is not far away. It is time to go elsewhere. The best thing about space travel is that it made it possible to go elsewhere.",Robert A. Heinlein,Space
Great industries are never made from single companies. There is room in space for a lot of winners.,Jeff Bezos,Space
"If the Earth gets hit by an asteroid, it's game over. It's control-alt-delete for civilization.",Bill Nye,Space
What is the use of a house if you haven't got a tolerable planet to put it on?,Henry David Thoreau,Space
What we observe as material bodies and forces are nothing but shapes and variations in the structure of space.,Erwin Schrodinger,Space
"The most important thing we can do is inspire young minds and to advance the kind of science, math and technology education that will help youngsters take us to the next phase of space travel.",John Glenn,Space
"The rockets and the satellites, spaceships that we're creating now, we're pollinating the universe.",Neil Young,Space
"One in 200 stars has habitable Earth-like planets surrounding it - in the galaxy, half a billion stars have Earth-like planets going around them - that's huge, half a billion. So when we look at the night sky, it makes sense that someone is looking back at us.",Michio Kaku,Space
Ye stars! which are the poetry of heaven!,Lord Byron,Space
"You never enjoy the world aright, till the sea itself floweth in your veins, till you are clothed with the heavens and crowned with the stars.",Thomas Traherne,Space
"The earth together with its surrounding waters must in fact have such a shape as its shadow reveals, for it eclipses the moon with the arc of a perfect circle.",Nicolaus Copernicus,Space
"According to String Theory, what appears to be empty space is actually a tumultuous ocean of strings vibrating at the precise frequencies that create the 4 dimensions you and I call height, width, depth and time.",Roy H. Williams,Space
"At night, when the sky is full of stars and the sea is still you get the wonderful sensation that you are floating in space.",Natalie Wood,Space
The eternal silence of these infinite spaces frightens me.,Blaise Pascal,Space
I could have gone on flying through space forever.,Yuri Gagarin,Space
Planets move in ellipses with the Sun at one focus.,Johannes Kepler,Space
America has tossed its cap over the wall of space.,John F. Kennedy,Space
"I'll tell you, being involved in human space flight, it is an emotional endeavor. I think it brings in the highest highs and the lowest lows.",Ellen Ochoa,Space
"Houston, we've had a problem.",Jim Lovell,Space
"Whenever I gaze up at the moon, I feel like I'm on a time machine. I am back to that precious pinpoint of time, standing on the foreboding - yet beautiful - Sea of Tranquility. I could see our shining blue planet Earth poised in the darkness of space.",Buzz Aldrin,Space
"Everything has a natural explanation. The moon is not a god, but a great rock, and the sun a hot rock.",Anaxagoras,Space
"For NASA, space is still a high priority.",Dan Quayle,Space
"Rocket science is tough, and rockets have a way of failing.",Sally Ride,Space
"If we drive down the cost of transportation in space, we can do great things.",Elon Musk,Space
"I'd love to go back to space, I don't know any astronaut who doesn't want to.",Helen Sharman,Space
