quotes,authors,categories
Grief is the price we pay for love.,Queen Elizabeth II,Sympathy
"That though the radiance which was once so bright be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, glory in the flower. We will grieve not, rather find strength in what remains behind.",William Wordsworth,Sympathy
Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,Norman Cousins,Sympathy
"Unable are the loved to die, for love is immortality.",Emily Dickinson,Sympathy
"The purpose of human life is to serve, and to show compassion and the will to help others.",Albert Schweitzer,Sympathy
There is no greater sorrow than to recall happiness in times of misery.,Dante Alighieri,Sympathy
There is no pain so great as the memory of joy in present grief.,Aeschylus,Sympathy
Worry does not empty tomorrow of its sorrow. It empties today of its strength.,Corrie Ten Boom,Sympathy
What does love look like? It has the hands to help others. It has the feet to hasten to the poor and needy. It has eyes to see misery and want. It has the ears to hear the sighs and sorrows of men. That is what love looks like.,Saint Augustine,Sympathy
"We should feel sorrow, but not sink under its oppression.",Confucius,Sympathy
"Grief changes shape, but it never ends.",Keanu Reeves,Sympathy
"When sorrows come, they come not single spies, but in battalions.",William Shakespeare,Sympathy
Tears are the silent language of grief.,Voltaire,Sympathy
"When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.",Khalil Gibran,Sympathy
There is no grief like the grief that does not speak.,Henry Wadsworth Longfellow,Sympathy
"Sorrow can be alleviated by good sleep, a bath and a glass of wine.",Thomas Aquinas,Sympathy
A sorrow's crown of sorrow is remembering happier times.,Alfred Lord Tennyson,Sympathy
"When you lose a person you love so much, surviving the loss is difficult.",Cristiano Ronaldo,Sympathy
"Here bring your wounded hearts, here tell your anguish; Earth has no sorrow that Heaven cannot heal.",Thomas Moore,Sympathy
"One's life has value so long as one attributes value to the life of others, by means of love, friendship, indignation and compassion.",Simone de Beauvoir,Sympathy
"Truly, it is in darkness that one finds the light, so when we are in sorrow, then this light is nearest of all to us.",Meister Eckhart,Sympathy
Almost all of our sorrows spring out of our relations with other people.,Arthur Schopenhauer,Sympathy
"Loss and possession, death and life are one, There falls no shadow where there shines no sun.",Hilaire Belloc,Sympathy
Only by joy and sorrow does a person know anything about themselves and their destiny. They learn what to do and what to avoid.,Johann Wolfgang von Goethe,Sympathy
From the end spring new beginnings.,Pliny the Elder,Sympathy
It's sad when someone you know becomes someone you knew.,Henry Rollins,Sympathy
"Come away, O human child: To the waters and the wild with a fairy, hand in hand, For the world's more full of weeping than you can understand.",William Butler Yeats,Sympathy
Sorrow is a fruit. God does not make it grow on limbs too weak to bear it.,Victor Hugo,Sympathy
"Happiness is beneficial for the body, but it is grief that develops the powers of the mind.",Marcel Proust,Sympathy
"No matter how prepared you think you are for the death of a loved one, it still comes as a shock, and it still hurts very deeply.",Billy Graham,Sympathy
