quotes,authors,categories
One machine can do the work of fifty ordinary men. No machine can do the work of one extraordinary man.,Elbert Hubbard,Technology
The first rule of any technology used in a business is that automation applied to an efficient operation will magnify the efficiency. The second is that automation applied to an inefficient operation will magnify the inefficiency.,Bill Gates,Technology
Any sufficiently advanced technology is indistinguishable from magic.,Arthur C. Clarke,Technology
"Success in creating AI would be the biggest event in human history. Unfortunately, it might also be the last, unless we learn how to avoid the risks.",Stephen Hawking,Technology
The real problem is not whether machines think but whether men do.,B. F. Skinner,Technology
"The Internet is so big, so powerful and pointless that for some people it is a complete substitute for life.",Andrew Brown,Technology
Technological progress has merely provided us with more efficient means for going backwards.,Aldous Huxley,Technology
People who are really serious about software should make their own hardware.,Alan Kay,Technology
"Bitcoin is a swarm of cyber hornets serving the goddess of wisdom, feeding on the fire of truth, exponentially growing ever smarter, faster, and stronger behind a wall of encrypted energy.",Michael J. Saylor,Technology
"The world is very different now. For man holds in his mortal hands the power to abolish all forms of human poverty, and all forms of human life.",John F. Kennedy,Technology
"The number one benefit of information technology is that it empowers people to do what they want to do. It lets people be creative. It lets people be productive. It lets people learn things they didn't think they could learn before, and so in a sense it is all about potential.",Steve Ballmer,Technology
"For a successful technology, reality must take precedence over public relations, for Nature cannot be fooled.",Richard P. Feynman,Technology
You affect the world by what you browse.,Tim Berners-Lee,Technology
Getting information off the Internet is like taking a drink from a fire hydrant.,Mitch Kapor,Technology
Humanity is acquiring all the right technology for all the wrong reasons.,R. Buckminster Fuller,Technology
Civilization advances by extending the number of important operations which we can perform without thinking of them.,Alfred North Whitehead,Technology
It has become appallingly obvious that our technology has exceeded our humanity.,Unknown,Technology
"Our technological powers increase, but the side effects and potential hazards also escalate.",Alvin Toffler,Technology
It is only when they go wrong that machines remind you how powerful they are.,Clive James,Technology
"Technology is a gift of God. After the gift of life it is perhaps the greatest of God's gifts. It is the mother of civilizations, of arts and of sciences.",Freeman Dyson,Technology
Men have become the tools of their tools.,Henry David Thoreau,Technology
"If it keeps up, man will atrophy all his limbs but the push-button finger.",Frank Lloyd Wright,Technology
What new technology does is create new opportunities to do a job that customers want done.,Tim O'Reilly,Technology
"Globalization, as defined by rich people like us, is a very nice thing... you are talking about the Internet, you are talking about cell phones, you are talking about computers. This doesn't affect two-thirds of the people of the world.",Jimmy Carter,Technology
"The technology keeps moving forward, which makes it easier for the artists to tell their stories and paint the pictures they want.",George Lucas,Technology
"If we continue to develop our technology without wisdom or prudence, our servant may prove to be our executioner.",Omar N. Bradley,Technology
"The Linux philosophy is 'Laugh in the face of danger'. Oops. Wrong One. 'Do it yourself'. Yes, that's it.",Linus Torvalds,Technology
"Technology is supposed to make our lives easier, allowing us to do things more quickly and efficiently. But too often it seems to make things harder, leaving us with fifty-button remote controls, digital cameras with hundreds of mysterious features and book-length manuals, and cars with dashboard systems worthy of the space shuttle.",James Surowiecki,Technology
Everybody gets so much information all day long that they lose their common sense.,Gertrude Stein,Technology
The march of science and technology does not imply growing intellectual complexity in the lives of most people. It often means the opposite.,Thomas Sowell,Technology
"Technology gives us power, but it does not and cannot tell us how to use that power. Thanks to technology, we can instantly communicate across the world, but it still doesn't help us know what to say.",Jonathan Sacks,Technology
"Champagne, if you are seeking the truth, is better than a lie detector. It encourages a man to be expansive, even reckless, while lie detectors are only a challenge to tell lies successfully.",Graham Greene,Technology
Television is a medium because anything well done is rare.,Fred Allen,Technology
