quotes,authors,categories
It takes courage to grow up and become who you really are.,e. e. cummings,Teen
Good habits formed at youth make all the difference.,Aristotle,Teen
Keep true to the dreams of your youth.,Friedrich Schiller,Teen
"Adolescence is a new birth, for the higher and more completely human traits are now born.",G. Stanley Hall,Teen
The youth need to be enabled to become job generators from job seekers.,A. P. J. Abdul Kalam,Teen
"When I was in college, I wanted to be involved in things that would change the world.",Elon Musk,Teen
"We never really grow up, we only learn how to act in public.",Bryan White,Teen
Teens think listening to music helps them concentrate. It doesn't. It relieves them of the boredom that concentration on homework induces.,Marilyn vos Savant,Teen
"Youth is not a time of life; it is a state of mind; it is not a matter of rosy cheeks, red lips and supple knees; it is a matter of the will, quality of the imagination, a vigor of the emotions; it is the freshness of the deep springs of life.",Samuel Ullman,Teen
"When I was growing up, my parents told me, 'Finish your dinner. People in China and India are starving.' I tell my daughters, 'Finish your homework. People in India and China are starving for your job.'",Thomas Friedman,Teen
Adolescence is just one big walking pimple.,Carol Burnett,Teen
Adolescence is the conjugator of childhood and adulthood.,Louise J. Kaplan,Teen
As a teenager I was so insecure. I was the type of guy that never fitted in because he never dared to choose. I was convinced I had absolutely no talent at all. For nothing. And that thought took away all my ambition too.,Johnny Depp,Teen
"Adolescents are not monsters. They are just people trying to learn how to make it among the adults in the world, who are probably not so sure themselves.",Virginia Satir,Teen
Maturity is only a short break in adolescence.,Jules Feiffer,Teen
Adolescence isn't just about prom or wearing sparkly dresses.,Jena Malone,Teen
"Being a teen can be tough. Just try to surround yourself with really good friends that really have your back, and also be a really good friend to those who really care about you. If you're not sure about certain things, talk to your friends that you trust and your family.",Victoria Justice,Teen
We must tell girls their voices are important.,Malala Yousafzai,Teen
Youth comes but once in a lifetime.,Henry Wadsworth Longfellow,Teen
Being a teenager is an amazing time and a hard time. It's when you make your best friends - I have girls who will never leave my heart and I still talk to. You get the best and the worst as a teen. You have the best friendships and the worst heartbreaks.,Sophia Bush,Teen
Telling a teenager the facts of life is like giving a fish a bath.,Arnold H. Glasow,Teen
"To an adolescent, there is nothing in the world more embarrassing than a parent.",Dave Barry,Teen
All teenagers have this desire to somehow run away.,Joan Chen,Teen
Adolescence is when girls experience social pressure to put aside their authentic selves and to display only a small portion of their gifts.,Mary Pipher,Teen
Everybody is a teenage idol.,Barry Gibb,Teen
"So many people try to grow up too fast, and it's not fun! You should stay a kid as long as possible!",Vanessa Hudgens,Teen
"I was a quiet teenager, introverted, full of angst.",Nigella Lawson,Teen
Female adolescence is - universally - an emotionally and psychologically intense period.,Caitlin Flanagan,Teen
As a teenager you are at the last stage in your life when you will be happy to hear that the phone is for you.,Fran Lebowitz,Teen
"Growing up, I wanted desperately to please, to be a good girl.",Claire Danes,Teen
"Well, I could do it for a day, but I wouldn't want to be a teenager again. I really wouldn't.",Jamie Lee Curtis,Teen
"Nobody understands anyone 18, including those who are 18.",Jim Bishop,Teen
"No matter how good you are, at some point your kids are gonna have to create their own independence and think that Mom and Dad aren't cool, just to establish themselves. That's what adolescence is about. They're gonna go through that no matter what.",Eddie Vedder,Teen
Heredity is what sets the parents of a teenager wondering about each other.,Laurence J. Peter,Teen
"The area of teenage life is not necessarily rarefied; we've all gone through that period. It's not as rarefied as a western or a space adventure or a gangster film, but it has its own dynamic.",Gus Van Sant,Teen
"For the youth, the indignation of most things will just surge as each birthday passes.",Chris Evans,Teen
You've got to grow up sometime.,Winona Ryder,Teen
My teenage years were exactly what they were supposed to be. Everybody has their own path. It's laid out for you. It's just up to you to walk it.,Justin Timberlake,Teen
This generation has given up on growth. They're just hoping for survival.,Penelope Spheeris,Teen
"To all those mothers and fathers who are struggling with teen-agers, I say, just be patient: even though it looks like you can't do anything right for a number of years, parents become popular again when kids reach 20.",Marian Wright Edelman,Teen
"Trouble is, kids feel they have to shock their elders and each generation grows up into something harder to shock.",Ben Lindsey,Teen
