quotes,authors,categories
"Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.",Melody Beattie,Thankful
"If the only prayer you ever say in your entire life is thank you, it will be enough.",Meister Eckhart,Thankful
"It's been quite a roller coaster ride, but I've grown and learned a lot about myself. The greatest thing is being able to interact with fans and touch people's lives... for that I give thanks.",Christina Aguilera,Thankful
"Gratitude is not only the greatest of virtues, but the parent of all the others.",Marcus Tullius Cicero,Thankful
"I'd like to say to all my fans out there, thanks for the support. And to all my doubters, thank you very much because you guys have also pushed me.",Usain Bolt,Thankful
"When I started counting my blessings, my whole life turned around.",Willie Nelson,Thankful
"Be grateful for what you have and stop complaining - it bores everybody else, does you no good, and doesn't solve any problems.",Zig Ziglar,Thankful
"Be true to yourself, help others, make each day your masterpiece, make friendship a fine art, drink deeply from good books - especially the Bible, build a shelter against a rainy day, give thanks for your blessings and pray for guidance every day.",John Wooden,Thankful
The hardest arithmetic to master is that which enables us to count our blessings.,Eric Hoffer,Thankful
"I'm thankful to my family, friends, and fans for all of their support.",Serena Williams,Thankful
"Make it a habit to tell people thank you. To express your appreciation, sincerely and without the expectation of anything in return. Truly appreciate those around you, and you'll soon find many others around you. Truly appreciate life, and you'll find that you have more of it.",Ralph Marston,Thankful
Gratitude is the sign of noble souls.,Aesop,Thankful
Feeling gratitude and not expressing it is like wrapping a present and not giving it.,William Arthur Ward,Thankful
No one who achieves success does so without acknowledging the help of others. The wise and confident acknowledge this help with gratitude.,Alfred North Whitehead,Thankful
Gratitude is the fairest blossom which springs from the soul.,Henry Ward Beecher,Thankful
Joy is the simplest form of gratitude.,Karl Barth,Thankful
"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.",Tecumseh,Thankful
I give all the glory to God. It's kind of a win-win situation. The glory goes up to Him and the blessings fall down on me.,Gabby Douglas,Thankful
"Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts.",Alan Cohen,Thankful
No duty is more urgent than that of returning thanks.,James Allen,Thankful
"'Thank you' is the best prayer that anyone could say. I say that one a lot. Thank you expresses extreme gratitude, humility, understanding.",Alice Walker,Thankful
"Thank you for life, and all the little ups and downs that make it worth living.",Travis Barker,Thankful
Some people are always grumbling because roses have thorns; I am thankful that thorns have roses.,Alphonse Karr,Thankful
"Gratitude bestows reverence, allowing us to encounter everyday epiphanies, those transcendent moments of awe that change forever how we experience life and the world.",John Milton,Thankful
"It is just that we should be grateful, not only to those with whose views we may agree, but also to those who have expressed more superficial views; for these also contributed something, by developing before us the powers of thought.",Aristotle,Thankful
"Whatever we are waiting for - peace of mind, contentment, grace, the inner awareness of simple abundance - it will surely come to us, but only when we are ready to receive it with an open and grateful heart.",Sarah Ban Breathnach,Thankful
"When you practice gratefulness, there is a sense of respect toward others.",Dalai Lama,Thankful
"From too much love of living, From hope and fear set free, We thank with brief thanksgiving Whatever gods may be That no life lives for ever; That dead men rise up never; That even the weariest river Winds somewhere safe to sea.",Algernon Charles Swinburne,Thankful
"I know that when I pray, something wonderful happens. Not just to the person or persons for whom I'm praying, but also something wonderful happens to me. I'm grateful that I'm heard.",Maya Angelou,Thankful
"I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder.",Gilbert K. Chesterton,Thankful
"Immensely grateful, touched, proud, astonished, abashed.",Boris Pasternak,Thankful
Whatever life throws at me I'll take it and be grateful for it as well.,Tom Felton,Thankful
Let us be grateful to the mirror for revealing to us our appearance only.,Samuel Butler,Thankful
"If you suffer, thank God! It is a sure sign that you are alive.",Elbert Hubbard,Thankful
Thankfulness is the beginning of gratitude. Gratitude is the completion of thankfulness. Thankfulness may consist merely of words. Gratitude is shown in acts.,Henri Frederic Amiel,Thankful
"I'm grateful for always this moment, the now, no matter what form it takes.",Eckhart Tolle,Thankful
Gratitude changes the pangs of memory into a tranquil joy.,Dietrich Bonhoeffer,Thankful
Keep your eyes open to your mercies. The man who forgets to be thankful has fallen asleep in life.,Robert Louis Stevenson,Thankful
"I believe that if you don't derive a deep sense of purpose from what you do, if you don't come radiantly alive several times a day, if you don't feel deeply grateful at the tremendous good fortune that has been bestowed on you, then you are wasting your life. And life is too short to waste.",Srikumar Rao,Thankful
"Thanks to television, for the first time the young are seeing history made before it is censored by their elders.",Margaret Mead,Thankful
"Gratitude is a duty which ought to be paid, but which none have a right to expect.",Jean-Jacques Rousseau,Thankful
"Be thankful for problems. If they were less difficult, someone with less ability might have your job.",Jim Lovell,Thankful
Gratitude is the most exquisite form of courtesy.,Jacques Maritain,Thankful
"Thank you, dear God, for this good life and forgive us if we do not love it enough. Thank you for the rain. And for the chance to wake up in three hours and go fishing: I thank you for that now, because I won't feel so thankful then.",Garrison Keillor,Thankful
"I'm thankful to be breathing, on this side of the grass. Whatever comes, comes.",Ron Perlman,Thankful
The trick is to be grateful when your mood is high and graceful when it is low.,Richard Carlson,Thankful
Never take anything for granted.,Benjamin Disraeli,Thankful
"I am what I am, I'm doing very well in my life, and I'm thankful to God for that.",LL Cool J,Thankful
"The first thing I do when I start my day is, I get down on my hands and knees and give thanks to God. Whenever I go outside of my house, the first thing I do is stop at the church.",Mark Wahlberg,Thankful
"There's no happier person than a truly thankful, content person.",Joyce Meyer,Thankful
"I do not so much rejoice that God hath made me to be a Queen, as to be a Queen over so thankful a people.",Elizabeth I,Thankful
"Well, there's not a day goes by when I don't get up and say thank you to somebody.",Rod Stewart,Thankful
"God has two dwellings; one in heaven, and the other in a meek and thankful heart.",Izaak Walton,Thankful
"I don't think you should spend your life praying for things, but I do believe you should thank God for what He's given you... but I think the scripture teaches us that we can pray for our dreams, pray for the big things... he's not a small God; this God is incredible.",Joel Osteen,Thankful
When you are grateful - when you can see what you have - you unlock blessings to flow in your life.,Suze Orman,Thankful
"I am what I am thanks to my mother, my father, my brother, my sister... because they have given me everything. The education I have is thanks to them.",Ronaldinho,Thankful
"When a person doesn't have gratitude, something is missing in his or her humanity.",Elie Wiesel,Thankful
"Thanks to the Interstate Highway System, it is now possible to travel across the country from coast to coast without seeing anything.",Charles Kuralt,Thankful
"Of all the characteristics needed for both a happy and morally decent life, none surpasses gratitude. Grateful people are happier, and grateful people are more morally decent.",Dennis Prager,Thankful
"Those who give themselves to prayer should in a special manner have always a devotion to St. Joseph; for I know not how any man can think of the Queen of the angels, during the time that she suffered so much with the Infant Jesus, without giving thanks to St. Joseph for the services he rendered them then.",Saint Teresa of Avila,Thankful
"Thankfully, while our self-righteousness reaches far, God's grace reaches farther.",Tullian Tchividjian,Thankful
"I am thankful for laughter, except when milk comes out of my nose.",Woody Allen,Thankful
Does not the gratitude of the dog put to shame any man who is ungrateful to his benefactors?,Saint Basil,Thankful
"I have nothing to ask for, thanks to God. Everything I have, God has given me.",Mariano Rivera,Thankful
I'm one of the most fortunate people in the world.,Rose Kennedy,Thankful
"I wouldn't change anything. I've made mistakes, but thanks to those mistakes, I've learned.",Enrique Iglesias,Thankful
Sometimes we need to remind ourselves that thankfulness is indeed a virtue.,William Bennett,Thankful
"The act is unjustifiable that either begs for a blessing, or, having succeeded gives no thanksgiving.",Merle Shain,Thankful
"I'm thankful for serendipitous moments in my life, where things could've gone the other way.",Rick Springfield,Thankful
I'm so thankful for the active obedience of Christ. No hope without it.,John Gresham Machen,Thankful
I feel grateful because I have a lot of love in my life. I found the person I'm sharing my life with. I have a good man.,Gisele Bundchen,Thankful
"Look folks, we know who built this country and we know who is going to rebuild it. It's you. Instead of vilifying you, we should be thanking you. We owe you.",Joe Biden,Thankful
All our discontents about what we want appeared to spring from the want of thankfulness for what we have.,Daniel Defoe,Thankful
"Many of our prayers were not answered, and for this we are now grateful.",William Feather,Thankful
At times our own light goes out and is rekindled by a spark from another person. Each of us has cause to think with deep gratitude of those who have lighted the flame within us.,Albert Schweitzer,Thankful
Most people repent their sins by thanking God they ain't so wicked as their neighbors.,Josh Billings,Thankful
"Take heed, then, often to come together to give thanks to God, and show forth His praise. For when you assemble frequently in the same place, the powers of Satan are destroyed, and the destruction at which he aims is prevented by the unity of your faith.",Ignatius of Antioch,Thankful
I'm thankful for the incredible advances in medicine that have taken place during my lifetime. I almost certainly wouldn't still be here if it weren't for them.,Billy Graham,Thankful
A single grateful thought toward heaven is the most perfect prayer.,Gotthold Ephraim Lessing,Thankful
"The brave who focus on all things good and all things beautiful and all things true, even in the small, who give thanks for it and discover joy even in the here and now, they are the change agents who bring fullest Light to all the world.",Ann Voskamp,Thankful
I'm very thankful to be doing what I'm doing. I feel very blessed.,Justin Timberlake,Thankful
"I've been giving back since I was a teen, handing out turkeys at Thanksgiving and handing out toys at toys drives for Christmas. It's very important to give back as a youth. It's as simple as helping an old lady across the street or giving up your seat on the bus for someone who is pregnant.",Queen Latifah,Thankful
"Feeling gratitude isn't born in us - it's something we are taught, and in turn, we teach our children.",Joyce Brothers,Thankful
"A proud man is seldom a grateful man, for he never thinks he gets as much as he deserves.",Henry Ward Beecher,Thankful
Unseasonable kindness gets no thanks.,Thomas Fuller,Thankful
