quotes,authors,categories
"Yesterday's the past, tomorrow's the future, but today is a gift. That's why it's called the present.",Bil Keane,Time
"You can fool all the people some of the time, and some of the people all the time, but you cannot fool all the people all the time.",Abraham Lincoln,Time
"All the world's a stage, and all the men and women merely players: they have their exits and their entrances; and one man in his time plays many parts, his acts being seven ages.",William Shakespeare,Time
"Time flies over us, but leaves its shadow behind.",Nathaniel Hawthorne,Time
The time you enjoy wasting is not wasted time.,Bertrand Russell,Time
"If you don't have time to do it right, when will you have time to do it over?",John Wooden,Time
The only reason for time is so that everything doesn't happen at once.,Albert Einstein,Time
Time and tide wait for no man.,Geoffrey Chaucer,Time
"Tough times never last, but tough people do.",Robert H. Schuller,Time
"If you spend too much time thinking about a thing, you'll never get it done.",Bruce Lee,Time
Lost time is never found again.,Benjamin Franklin,Time
How did it get so late so soon? Its night before its afternoon. December is here before its June. My goodness how the time has flewn. How did it get so late so soon?,Dr. Seuss,Time
"Time is the coin of your life. It is the only coin you have, and only you can determine how it will be spent. Be careful lest you let other people spend it for you.",Carl Sandburg,Time
Don't let the fear of the time it will take to accomplish something stand in the way of your doing it. The time will pass anyway; we might just as well put that passing time to the best possible use.,Earl Nightingale,Time
Don't worry about the world coming to an end today. It is already tomorrow in Australia.,Charles M. Schulz,Time
Time changes everything except something within us which is always surprised by change.,Thomas Hardy,Time
"Time you enjoy wasting, was not wasted.",John Lennon,Time
"Don't spend time beating on a wall, hoping to transform it into a door.",Coco Chanel,Time
"Put two ships in the open sea, without wind or tide, and, at last, they will come together. Throw two planets into space, and they will fall one on the other. Place two enemies in the midst of a crowd, and they will inevitably meet; it is a fatality, a question of time; that is all.",Jules Verne,Time
"Time is what we want most, but what we use worst.",William Penn,Time
"No matter how busy you are, you must take time to make the other person feel important.",Mary Kay Ash,Time
"Until you value yourself, you won't value your time. Until you value your time, you will not do anything with it.",M. Scott Peck,Time
"Know the true value of time; snatch, seize, and enjoy every moment of it. No idleness, no laziness, no procrastination: never put off till tomorrow what you can do today.","Philip Stanhope, 4th Earl of Chesterfield",Time
"What then is time? If no one asks me, I know what it is. If I wish to explain it to him who asks, I do not know.",Saint Augustine,Time
Don't wait. The time will never be just right.,Napoleon Hill,Time
"Time moves in one direction, memory in another.",William Gibson,Time
Time stays long enough for anyone who will use it.,Leonardo da Vinci,Time
"At the end of your life, you will never regret not having passed one more test, not winning one more verdict or not closing one more deal. You will regret time not spent with a husband, a friend, a child, or a parent.",Barbara Bush,Time
"Time is the school in which we learn, time is the fire in which we burn.",Delmore Schwartz,Time
"Lost - yesterday, somewhere between sunrise and sunset, two golden hours, each set with sixty diamond minutes. No reward is offered, for they are gone forever.",Horace Mann,Time
There are no secrets that time does not reveal.,Jean Racine,Time
People who cannot find time for recreation are obliged sooner or later to find time for illness.,John Wanamaker,Time
Time is the most valuable thing a man can spend.,Theophrastus,Time
Procrastination is the thief of time.,Edward Young,Time
"Waste your money and you're only out of money, but waste your time and you've lost a part of your life.",Michael LeBoeuf,Time
Time is the wisest counselor of all.,Pericles,Time
"Nobody sees a flower really; it is so small. We haven't time, and to see takes time - like to have a friend takes time.",Georgia O'Keeffe,Time
Punctuality is the virtue of the bored.,Evelyn Waugh,Time
"The future is something which everyone reaches at the rate of 60 minutes an hour, whatever he does, whoever he is.",C. S. Lewis,Time
"The clock talked loud. I threw it away, it scared me what it talked.",Tillie Olsen,Time
"It is strange that the years teach us patience; that the shorter our time, the greater our capacity for waiting.",Elizabeth Taylor,Time
"Time = Life, Therefore, waste your time and waste of your life, or master your time and master your life.",Alan Lakein,Time
"Lost wealth may be replaced by industry, lost knowledge by study, lost health by temperance or medicine, but lost time is gone forever.",Samuel Smiles,Time
"Men talk of killing time, while time quietly kills them.",Dion Boucicault,Time
"Time has been transformed, and we have changed; it has advanced and set us in motion; it has unveiled its face, inspiring us with bewilderment and exhilaration.",Khalil Gibran,Time
