quotes,authors,categories
"We shall not cease from exploration, and the end of all our exploring will be to arrive where we started and know the place for the first time.",T. S. Eliot,Travel
"Wherever you go, go with all your heart.",Confucius,Travel
"The world is a book, and those who do not travel read only a page.",Saint Augustine,Travel
Travel becomes a strategy for accumulating photographs.,Susan Sontag,Travel
"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.",Marcel Proust,Travel
"The traveler sees what he sees, the tourist sees what he has come to see.",Gilbert K. Chesterton,Travel
"A good traveler has no fixed plans, and is not intent on arriving.",Lao Tzu,Travel
It is better to travel well than to arrive.,Buddha,Travel
"Though we travel the world over to find the beautiful, we must carry it with us or we find it not.",Ralph Waldo Emerson,Travel
A man travels the world over in search of what he needs and returns home to find it.,George A. Moore,Travel
All journeys have secret destinations of which the traveler is unaware.,Martin Buber,Travel
"Every day is a journey, and the journey itself is home.",Matsuo Basho,Travel
"If you wish to travel far and fast, travel light. Take off all your envies, jealousies, unforgiveness, selfishness and fears.",Cesare Pavese,Travel
"Perhaps travel cannot prevent bigotry, but by demonstrating that all peoples cry, laugh, eat, worry, and die, it can introduce the idea that if we try and understand each other, we may even become friends.",Maya Angelou,Travel
"If all difficulties were known at the outset of a long journey, most of us would never start out at all.",Dan Rather,Travel
To travel is to discover that everyone is wrong about other countries.,Aldous Huxley,Travel
Never go on trips with anyone you do not love.,Ernest Hemingway,Travel
"I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move.",Robert Louis Stevenson,Travel
"We travel, some of us forever, to seek other states, other lives, other souls.",Anais Nin,Travel
"Like all great travellers, I have seen more than I remember, and remember more than I have seen.",Benjamin Disraeli,Travel
"A journey is a person in itself; no two are alike. And all plans, safeguards, policing, and coercion are fruitless. We find that after years of struggle that we do not take a trip; a trip takes us.",John Steinbeck,Travel
Reminds me of my safari in Africa. Somebody forgot the corkscrew and for several days we had to live on nothing but food and water.,W. C. Fields,Travel
"We all become great explorers during our first few days in a new city, or a new love affair.",Mignon McLaughlin,Travel
Travelling expands the mind rarely.,Hans Christian Andersen,Travel
To travel is to take a journey into yourself.,Danny Kaye,Travel
I never travel without my diary. One should always have something sensational to read in the train.,Oscar Wilde,Travel
"Certainly, travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living.",Mary Ritter Beard,Travel
Exploration is really the essence of the human spirit.,Frank Borman,Travel
Just got back from a pleasure trip: I took my mother-in-law to the airport.,Henny Youngman,Travel
Airplane travel is nature's way of making you look like your passport photo.,Al Gore,Travel
He travels the fastest who travels alone.,Rudyard Kipling,Travel
How often I found where I should be going only by setting out for somewhere else.,R. Buckminster Fuller,Travel
"No one realizes how beautiful it is to travel until he comes home and rests his head on his old, familiar pillow.",Lin Yutang,Travel
"The use of travelling is to regulate imagination by reality, and instead of thinking how things may be, to see them as they are.",Samuel Johnson,Travel
"If one had but a single glance to give the world, one should gaze on Istanbul.",Alphonse de Lamartine,Travel
What does it mean to pre-board? Do you get on before you get on?,George Carlin,Travel
"I've always enjoyed traveling and having experience with different cultures and different people. But it's also a wonderful thing to be able to benefit and enable research, not only in our country but around the world.",Laurel Clark,Travel
"Travel, in the younger sort, is a part of education; in the elder, a part of experience.",Francis Bacon,Travel
"Our deeds still travel with us from afar, and what we have been makes us what we are.",George Eliot,Travel
The desire to fly is an idea handed down to us by our ancestors who... looked enviously on the birds soaring freely through space... on the infinite highway of the air.,Wilbur Wright,Travel
Every perfect traveler always creates the country where he travels.,Nikos Kazantzakis,Travel
Travel can be one of the most rewarding forms of introspection.,Lawrence Durrell,Travel
