quotes,authors,categories
"I put my heart and my soul into my work, and have lost my mind in the process.",Vincent Van Gogh,Work
Far and away the best prize that life has to offer is the chance to work hard at work worth doing.,Theodore Roosevelt,Work
Nothing will work unless you do.,Maya Angelou,Work
The best preparation for good work tomorrow is to do good work today.,Elbert Hubbard,Work
"All life demands struggle. Those who have everything given to them become lazy, selfish, and insensitive to the real values of life. The very striving and hard work that we so constantly try to avoid is the major building block in the person we are today.",Pope Paul VI,Work
"Don't stay in bed, unless you can make money in bed.",George Burns,Work
Let the beauty of what you love be what you do.,Rumi,Work
The reward for work well done is the opportunity to do more.,Jonas Salk,Work
"Laziness may appear attractive, but work gives satisfaction.",Anne Frank,Work
"The harder I work, the luckier I get.",Samuel Goldwyn,Work
"Be regular and orderly in your life, so that you may be violent and original in your work.",Gustave Flaubert,Work
The beginning is the most important part of the work.,Plato,Work
"Opportunities are usually disguised as hard work, so most people don't recognize them.",Ann Landers,Work
By working faithfully eight hours a day you may eventually get to be boss and work twelve hours a day.,Robert Frost,Work
All things are difficult before they are easy.,Thomas Fuller,Work
"Whatever your life's work is, do it well. A man should do his job so well that the living, the dead, and the unborn could do it no better.","Martin Luther King, Jr.",Work
"When your work speaks for itself, don't interrupt.",Henry J. Kaiser,Work
Quality is everyone's responsibility.,W. Edwards Deming,Work
"Nothing ever comes to one, that is worth having, except as a result of hard work.",Booker T. Washington,Work
"A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.",Albert Camus,Work
"Hard work spotlights the character of people: some turn up their sleeves, some turn up their noses, and some don't turn up at all.",Sam Ewing,Work
"The power of one, if fearless and focused, is formidable, but the power of many working together is better.",Gloria Macapagal Arroyo,Work
It is the working man who is the happy man. It is the idle man who is the miserable man.,Benjamin Franklin,Work
"Let us realize that: the privilege to work is a gift, the power to work is a blessing, the love of work is success!",David O. McKay,Work
Honor lies in honest toil.,Grover Cleveland,Work
Working hard and working smart sometimes can be two different things.,Byron Dorgan,Work
Life grants nothing to us mortals without hard work.,Horace,Work
"Organizing is what you do before you do something, so that when you do it, it is not all mixed up.",A. A. Milne,Work
Work gives you meaning and purpose and life is empty without it.,Stephen Hawking,Work
Without labor nothing prospers.,Sophocles,Work
"I know you've heard it a thousand times before. But it's true - hard work pays off. If you want to be good, you have to practice, practice, practice. If you don't love something, then don't do it.",Ray Bradbury,Work
"I guess we all like to be recognized not for one piece of fireworks, but for the ledger of our daily work.",Neil Armstrong,Work
Good things happen to those who hustle.,Chuck Noll,Work
"If you must have motivation, think of your paycheck on Friday.",Noel Coward,Work
"Work is love made visible. And if you cannot work with love but only with distaste, it is better that you should leave your work and sit at the gate of the temple and take alms of those who work with joy.",Khalil Gibran,Work
"Luck is a dividend of sweat. The more you sweat, the luckier you get.",Ray Kroc,Work
I have been up against tough competition all my life. I wouldn't know how to get along without it.,Walt Disney,Work
"I've learned from experience that if you work harder at it, and apply more energy and time to it, and more consistency, you get a better result. It comes from the work.",Louis C. K.,Work
Working hard is very important. You're not going to get anywhere without working extremely hard.,George Lucas,Work
"Careers, like rockets, don't always take off on time. The trick is to always keep the engine running.",Gary Sinise,Work
He who seeks rest finds boredom. He who seeks work finds rest.,Dylan Thomas,Work
"Before you start some work, always ask yourself three questions - Why am I doing it, What the results might be and Will I be successful. Only when you think deeply and find satisfactory answers to these questions, go ahead.",Chanakya,Work
Luck? I don't know anything about luck. I've never banked on it and I'm afraid of people who do. Luck to me is something else: Hard work - and realizing what is opportunity and what isn't.,Lucille Ball,Work
Plans are only good intentions unless they immediately degenerate into hard work.,Peter Drucker,Work
To find joy in work is to discover the fountain of youth.,Pearl S. Buck,Work
If you don't want to work you have to work to earn enough money so that you won't have to work.,Ogden Nash,Work
