quotes,authors,categories
"The aim of art is to represent not the outward appearance of things, but their inward significance.",Aristotle,Art
This world is but a canvas to our imagination.,Henry David Thoreau,Art
Vision is the art of seeing what is invisible to others.,Jonathan Swift,Art
Life beats down and crushes the soul and art reminds you that you have one.,Stella Adler,Art
"If you hear a voice within you say 'you cannot paint,' then by all means paint, and that voice will be silenced.",Vincent Van Gogh,Art
The true work of art is but a shadow of the divine perfection.,Michelangelo,Art
The purpose of art is washing the dust of daily life off our souls.,Pablo Picasso,Art
I found I could say things with color and shapes that I couldn't say any other way - things I had no words for.,Georgia O'Keeffe,Art
"When one paints an ideal, one does not need to limit one's imagination.",Ellen Key,Art
I don't believe in art. I believe in artists.,Marcel Duchamp,Art
Painting is the passage from the chaos of the emotions to the order of the possible.,Balthus,Art
"Art is not a handicraft, it is the transmission of feeling the artist has experienced.",Leo Tolstoy,Art
What I didn't know was I was deeply attracted to the big space.,David Hockney,Art
Art is not a thing; it is a way.,Elbert Hubbard,Art
There is nothing new in art except talent.,Anton Chekhov,Art
Photography is a major force in explaining man to man.,Edward Steichen,Art
"You don't take a photograph, you make it.",Ansel Adams,Art
The artist vocation is to send light into the human heart.,George Sand,Art
"The essence of all beautiful art, all great art, is gratitude.",Friedrich Nietzsche,Art
Culture is the arts elevated to a set of beliefs.,Thomas Wolfe,Art
Art must take reality by surprise.,Francoise Sagan,Art
No heirloom of humankind captures the past as do art and language.,Theodore Bikel,Art
Art is the final cunning of the human soul which would rather do anything than face the gods.,Iris Murdoch,Art
"I hope to live all my life for my art, without abandoning my principles one iota.",Gustave Courbet,Art
"Art, in itself, is an attempt to bring order out of chaos.",Stephen Sondheim,Art
"Without tradition, art is a flock of sheep without a shepherd. Without innovation, it is a corpse.",Winston Churchill,Art
An artist is not paid for his labor but for his vision.,James Whistler,Art
Art enables us to find ourselves and lose ourselves at the same time.,Thomas Merton,Art
"If art is to nourish the roots of our culture, society must set the artist free to follow his vision wherever it takes him.",John F. Kennedy,Art
"The art of art, the glory of expression and the sunshine of the light of letters, is simplicity.",Walt Whitman,Art
A line is a dot that went for a walk.,Paul Klee,Art
To paint is a possessing rather than a picturing.,Philip Guston,Art
An intellectual says a simple thing in a hard way. An artist says a hard thing in a simple way.,Charles Bukowski,Art
To curb the machine and limit art to handicraft is a denial of opportunity.,Lewis Mumford,Art
Every picture shows a spot with which the artist has fallen in love.,Alfred Sisley,Art
The job of the artist is always to deepen the mystery.,Francis Bacon,Art
A picture is a poem without words.,Horace,Art
A picture is worth a thousand words.,Unknown,Art
A great artist can paint a great picture on a small canvas.,Charles Dudley Warner,Art
Treat a work of art like a prince. Let it speak to you first.,Arthur Schopenhauer,Art
The artist who aims at perfection in everything achieves it in nothing.,Eugene Delacroix,Art
"In a decaying society, art, if it is truthful, must also reflect decay. And unless it wants to break faith with its social function, art must show the world as changeable. And help to change it.",Ernst Fischer,Art
"Photography takes an instant out of time, altering life by holding it still.",Dorothea Lange,Art
Photograph: a picture painted by the sun without instruction in art.,Ambrose Bierce,Art
An empty canvas is full.,Robert Rauschenberg,Art
Only through art can we emerge from ourselves and know what another person sees.,Marcel Proust,Art
Art is a harmony parallel with nature.,Paul Cezanne,Art
"A good painting to me has always been like a friend. It keeps me company, comforts and inspires.",Hedy Lamarr,Art
Drawing is the honesty of the art. There is no possibility of cheating. It is either good or bad.,Salvador Dali,Art
Every human is an artist. The dream of your life is to make beautiful art.,Don Miguel Ruiz,Art
Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.,Scott Adams,Art
The beauty one can find in art is one of the pitifully few real and lasting products of human endeavor.,J. Paul Getty,Art
Art is the only way to run away without leaving home.,Twyla Tharp,Art
"I have no fear of making changes, destroying the image, etc., because the painting has a life of its own.",Jackson Pollock,Art
"I prefer drawing to talking. Drawing is faster, and leaves less room for lies.",Le Corbusier,Art
"Painting is easy when you don't know how, but very difficult when you do.",Edgar Degas,Art
"An artist must be free to choose what he does, certainly, but he must also never be afraid to do what he might choose.",Langston Hughes,Art
Every painting is a voyage into a sacred harbour.,Giotto di Bondone,Art
"Art is a collaboration between God and the artist, and the less the artist does the better.",Andre Gide,Art
Art is either plagiarism or revolution.,Paul Gauguin,Art
"Fine art is that in which the hand, the head, and the heart of man go together.",John Ruskin,Art
"An artist never really finishes his work, he merely abandons it.",Paul Valery,Art
Art is the concrete representation of our most subtle feelings.,Agnes Martin,Art
"Art is the desire of a man to express himself, to record the reactions of his personality to the world he lives in.",Amy Lowell,Art
Art consists of limitation. The most beautiful part of every picture is the frame.,Gilbert K. Chesterton,Art
"So vast is art, so narrow human wit.",Alexander Pope,Art
"Very few people possess true artistic ability. It is therefore both unseemly and unproductive to irritate the situation by making an effort. If you have a burning, restless urge to write or paint, simply eat something sweet and the feeling will pass.",Fran Lebowitz,Art
All art is but imitation of nature.,Lucius Annaeus Seneca,Art
Art is making something out of nothing and selling it.,Frank Zappa,Art
Art cannot be modern. Art is primordially eternal.,Egon Schiele,Art
An artist cannot fail; it is a success to be one.,Charles Horton Cooley,Art
Art is magic delivered from the lie of being truth.,Theodor W. Adorno,Art
"It's clever, but is it Art?",Rudyard Kipling,Art
All art is autobiographical. The pearl is the oyster's autobiography.,Federico Fellini,Art
I really believe there are things nobody would see if I didn't photograph them.,Diane Arbus,Art
A work of art is above all an adventure of the mind.,Eugene Ionesco,Art
Through a painting we can see the whole world.,Hans Hofmann,Art
"To an engineer, good enough means perfect. With an artist, there's no such thing as perfect.",Alexander Calder,Art
It is more important to click with people than to click the shutter.,Alfred Eisenstaedt,Art
Advertising is the greatest art form of the 20th century.,Marshall McLuhan,Art
The works must be conceived with fire in the soul but executed with clinical coolness.,Joan Miro,Art
To send light into the darkness of men's hearts - such is the duty of the artist.,Robert Schumann,Art
Art is a marriage of the conscious and the unconscious.,Jean Cocteau,Art
The perfection of art is to conceal art.,Quintilian,Art
What makes photography a strange invention is that its primary raw materials are light and time.,John Berger,Art
The philistine provides the best definition of art. Anything that makes him rage is first class.,Louis Dudek,Art
