quotes,authors,categories
Attitude is a little thing that makes a big difference.,Winston Churchill,Attitude
Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,Lou Holtz,Attitude
Weakness of attitude becomes weakness of character.,Albert Einstein,Attitude
"Your attitude, not your aptitude, will determine your altitude.",Zig Ziglar,Attitude
"People may hear your words, but they feel your attitude.",John C. Maxwell,Attitude
"Excellence is not a skill, it's an attitude.",Ralph Marston,Attitude
"You cannot control what happens to you, but you can control your attitude toward what happens to you, and in that, you will be mastering change rather than allowing it to master you.",Brian Tracy,Attitude
"For success, attitude is equally as important as ability.",Walter Scott,Attitude
Reject your sense of injury and the injury itself disappears.,Marcus Aurelius,Attitude
Your living is determined not so much by what life brings to you as by the attitude you bring to life; not so much by what happens to you as by the way your mind looks at what happens.,Khalil Gibran,Attitude
"If you are going to achieve excellence in big things, you develop the habit in little matters. Excellence is not an exception, it is a prevailing attitude.",Colin Powell,Attitude
Adopting the right attitude can convert a negative stress into a positive one.,Hans Selye,Attitude
"We cannot change our past. We can not change the fact that people act in a certain way. We can not change the inevitable. The only thing we can do is play on the one string we have, and that is our attitude.",Charles R. Swindoll,Attitude
A positive attitude can really make dreams come true - it did for me.,David Bailey,Attitude
Attitude determines the altitude of life.,Edwin Louis Cole,Attitude
"Everything can be taken from a man but one thing: the last of human freedoms - to choose one's attitude in any given set of circumstances, to choose one's own way.",Viktor E. Frankl,Attitude
"The secret of genius is to carry the spirit of the child into old age, which means never losing your enthusiasm.",Aldous Huxley,Attitude
It is in the character of very few men to honor without envy a friend who has prospered.,Aeschylus,Attitude
Nothing can stop the man with the right mental attitude from achieving his goal; nothing on earth can help the man with the wrong mental attitude.,Thomas Jefferson,Attitude
"A positive attitude causes a chain reaction of positive thoughts, events and outcomes. It is a catalyst and it sparks extraordinary results.",Wade Boggs,Attitude
The greatest discovery of my generation is that a human being can alter his life by altering his attitudes.,William James,Attitude
Some people say I have attitude - maybe I do... but I think you have to. You have to believe in yourself when no one else does - that makes you a winner right there.,Venus Williams,Attitude
Character is the result of two things: mental attitude and the way we spend our time.,Elbert Hubbard,Attitude
"My attitude is that if you push me towards something that you think is a weakness, then I will turn that perceived weakness into a strength.",Michael Jordan,Attitude
Our attitude toward life determines life's attitude towards us.,John N. Mitchell,Attitude
"Watch your manner of speech if you wish to develop a peaceful state of mind. Start each day by affirming peaceful, contented and happy attitudes and your days will tend to be pleasant and successful.",Norman Vincent Peale,Attitude
"My attitude is, if someone's going to criticize me, tell me to my face.",Simon Cowell,Attitude
