quotes,authors,categories
Today you are you! That is truer than true! There is no one alive who is you-er than you!,Dr. Seuss,Birthday
"The more you praise and celebrate your life, the more there is in life to celebrate.",Oprah Winfrey,Birthday
God gave us the gift of life; it is up to us to give ourselves the gift of living well.,Voltaire,Birthday
It takes a long time to become young.,Pablo Picasso,Birthday
How old would you be if you didn't know how old you are?,Satchel Paige,Birthday
There are two great days in a person's life - the day we are born and the day we discover why.,William Barclay,Birthday
I kept a diary right after I was born. Day 1: Tired from the move. Day 2: Everyone thinks I'm an idiot.,Steven Wright,Birthday
"Don't just count your years, make your years count.",George Meredith,Birthday
The greatest gifts you can give your children are the roots of responsibility and the wings of independence.,Denis Waitley,Birthday
"I wanted to buy a candle holder, but the store didn't have one. So I got a cake.",Mitch Hedberg,Birthday
The greatest gift that you can give to others is the gift of unconditional love and acceptance.,Brian Tracy,Birthday
The great thing about getting older is that you don't lose all the other ages you've been.,Madeleine L'Engle,Birthday
"All the world is birthday cake, so take a piece, but not too much.",George Harrison,Birthday
"I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift should be curiosity.",Eleanor Roosevelt,Birthday
Cherish all your happy moments; they make a fine cushion for old age.,Booth Tarkington,Birthday
Love the giver more than the gift.,Brigham Young,Birthday
My policy on cake is pro having it and pro eating it.,Boris Johnson,Birthday
Let them eat cake.,Marie Antoinette,Birthday
Our birthdays are feathers in the broad wing of time.,Jean Paul,Birthday
"Let us never know what old age is. Let us know the happiness time brings, not count the years.",Ausonius,Birthday
"The way I see it, you should live everyday like its your birthday.",Paris Hilton,Birthday
"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy.",Abhishek Bachchan,Birthday
You know you're getting old when the candles cost more than the cake.,Bob Hope,Birthday
The only thing better than singing is more singing.,Ella Fitzgerald,Birthday
We have to be able to grow up. Our wrinkles are our medals of the passage of life. They are what we have been through and who we want to be.,Lauren Hutton,Birthday
"You don't get older, you get better.",Shirley Bassey,Birthday
Let us celebrate the occasion with wine and sweet words.,Plautus,Birthday
"Cakes are special. Every birthday, every celebration ends with something sweet, a cake, and people remember. It's all about the memories.",Buddy Valastro,Birthday
"Every year on your birthday, you get a chance to start new.",Sammy Hagar,Birthday
The best way to remember your wife's birthday is to forget it once.,E. Joseph Cossman,Birthday
"It was on my fifth birthday that Papa put his hand on my shoulder and said, 'Remember, my son, if you ever need a helping hand, you'll find one at the end of your arm.'",Sam Levenson,Birthday
"You know you're getting old when you get that one candle on the cake. It's like, 'See if you can blow this out.'",Jerry Seinfeld,Birthday
"There are three hundred and sixty-four days when you might get un-birthday presents, and only one for birthday presents, you know.",Lewis Carroll,Birthday
"You take away all the other luxuries in life, and if you can make someone smile and laugh, you have given the most special gift: happiness.",Brad Garrett,Birthday
Your children need your presence more than your presents.,Jesse Jackson,Birthday
To me - old age is always ten years older than I am.,Bernard Baruch,Birthday
My life is better with every year of living it.,Rachel Maddow,Birthday
At my age flowers scare me.,George Burns,Birthday
