quotes,authors,categories
"The biggest risk is not taking any risk... In a world that is changing really quickly, the only strategy that is guaranteed to fail is not taking risks.",Mark Zuckerberg,Chance
"Take chances, make mistakes. That's how you grow. Pain nourishes your courage. You have to fail in order to practice being brave.",Mary Tyler Moore,Chance
I believe in luck: how else can you explain the success of those you dislike?,Jean Cocteau,Chance
There are risks and costs to action. But they are far less than the long range risks of comfortable inaction.,John F. Kennedy,Chance
"If you are not willing to risk the unusual, you will have to settle for the ordinary.",Jim Rohn,Chance
"It's true hard work never killed anybody, but I figure, why take the chance?",Ronald Reagan,Chance
"If you take no risks, you will suffer no defeats. But if you take no risks, you win no victories.",Richard M. Nixon,Chance
You have to take risks. We will only understand the miracle of life fully when we allow the unexpected to happen.,Paulo Coelho,Chance
Our lives improve only when we take chances - and the first and most difficult risk we can take is to be honest with ourselves.,Walter Anderson,Chance
"Buy the ticket, take the ride.",Hunter S. Thompson,Chance
I think we consider too much the good luck of the early bird and not enough the bad luck of the early worm.,Franklin D. Roosevelt,Chance
The risk of a wrong decision is preferable to the terror of indecision.,Maimonides,Chance
"When it comes to luck, you make your own.",Bruce Springsteen,Chance
Great deeds are usually wrought at great risks.,Herodotus,Chance
A pound of pluck is worth a ton of luck.,James A. Garfield,Chance
Nothing is as obnoxious as other people's luck.,F. Scott Fitzgerald,Chance
"The chances of each of us coming into existence are infinitesimally small, and even though we shall all die some day, we should count ourselves fantastically lucky to get our decades in the sun.",Richard Dawkins,Chance
Just keep taking chances and having fun.,Garth Brooks,Chance
Take a chance! All life is a chance. The man who goes farthest is generally the one who is willing to do and dare.,Dale Carnegie,Chance
"I postpone death by living, by suffering, by error, by risking, by giving, by losing.",Anais Nin,Chance
"If you're so afraid of failure, you will never succeed. You have to take chances.",Mario Andretti,Chance
Beware of missing chances; otherwise it may be altogether too late some day.,Franz Liszt,Chance
Take calculated risks. That is quite different from being rash.,George S. Patton,Chance
Your chances of success in any undertaking can always be measured by your belief in yourself.,Robert Collier,Chance
"Take risks. Ask big questions. Don't be afraid to make mistakes; if you don't make mistakes, you're not reaching far enough.",David Packard,Chance
Care and diligence bring luck.,Thomas Fuller,Chance
"I am a great believer in luck, and I find the harder I work the more I have of it.",Stephen Leacock,Chance
"It seems to be a law of nature, inflexible and inexorable, that those who will not risk cannot win.",John Paul Jones,Chance
Necessity is the mother of taking chances.,Mark Twain,Chance
Living at risk is jumping off the cliff and building your wings on the way down.,Ray Bradbury,Chance
Don't ever try and be like anybody else and don't be afraid to take risks.,Waylon Jennings,Chance
"I prefer to be alive, so I'm cautious about taking risks.",Werner Herzog,Chance
You don't concentrate on risks. You concentrate on results. No risk is too great to prevent the necessary job from getting done.,Chuck Yeager,Chance
"One hour of life, crowded to the full with glorious action, and filled with noble risks, is worth whole years of those mean observances of paltry decorum, in which men steal through existence, like sluggish waters through a marsh, without either honor or observation.",Walter Scott,Chance
I fear the boredom that comes with not learning and not taking chances.,Robert Fulghum,Chance
I believe in taking chances and living your life. Sometimes doors open and others close and you have to figure out which one you're going to take. I'm always for the one that's challenging.,Gisele Bundchen,Chance
Good luck is a residue of preparation.,Jack Youngblood,Chance
"I think the harder you work, the more luck you have.",Dave Thomas,Chance
Luck always favours the brave. And you must remember that brave are the people who follow their heart; brave are the people who take chances in life. Which also means you have to say no sometimes. I believe the power of no is greater than yes.,Preity Zinta,Chance
"If no one ever took risks, Michaelangelo would have painted the Sistine floor.",Neil Simon,Chance
We are not trying to entertain the critics. I'll take my chances with the public.,Walt Disney,Chance
"Most of us regard good luck as our right, and bad luck as a betrayal of that right.",William Feather,Chance
"Determination, energy, and courage appear spontaneously when we care deeply about something. We take risks that are unimaginable in any other context.",Margaret J. Wheatley,Chance
"A life lesson for me is, how do you muster the courage to take on a new risk? Whether it's starting up a business or taking on a new project or expedition. I think the risks that we take are all relative to the risk-taker.",Ann Bancroft,Chance
"I must learn to love the fool in me - the one who feels too much, talks too much, takes too many chances, wins sometimes and loses often, lacks self-control, loves and hates, hurts and gets hurt, promises and breaks promises, laughs and cries.",Theodore Isaac Rubin,Chance
"Even when you have doubts, take that step. Take chances. Mistakes are never a failure - they can be turned into wisdom.",Cat Cora,Chance
"I've always taken risks, and never worried what the world might really think of me.",Cher,Chance
Luck marches with those who give their very best.,"H. Jackson Brown, Jr.",Chance
"If you knew that your life was merely a phase or short, short segment of your entire existence, how would you live? Knowing nothing 'real' was at risk, what would you do? You'd live a gigantic, bold, fun, dazzling life. You know you would. That's what the ghosts want us to do - all the exciting things they no longer can.",Chuck Palahniuk,Chance
"I just do whatever it is that I believe I should do, regardless of the risks to my life.",Corazon Aquino,Chance
"I haven't lived a perfect life. I have regrets. But that's from a lifetime of taking chances, making decisions, and trying not to be frozen. The only thing that I can do with my regrets is understand them.",Kevin Costner,Chance
"But we also believe in taking risks, because that's how you move things along.",Melinda Gates,Chance
"If someone is always to blame, if every time something goes wrong someone has to be punished, people quickly stop taking risks. Without risks, there can't be breakthroughs.",Peter Diamandis,Chance
"You gotta learn that if you don't get it by midnight, chances are you ain't gonna get it, and if you do, it ain't worth it.",Casey Stengel,Chance
"Keep on going and the chances are you will stumble on something, perhaps when you are least expecting it. I have never heard of anyone stumbling on something sitting down.",Charles Kettering,Chance
I don't believe in pitfalls. I believe in taking risks and not doing the same thing twice.,Guy Laliberte,Chance
Some campaigns are not worth waging if you can't win; others have to be fought on grounds of principle regardless of the chances for success.,Patricia Ireland,Chance
The only safe thing is to take a chance.,Mike Nichols,Chance
Some folk want their luck buttered.,Thomas Hardy,Chance
I think luck is the sense to recognize an opportunity and the ability to take advantage of it... The man who can smile at his breaks and grab his chances gets on.,Samuel Goldwyn,Chance
Good luck has its storms.,George Lucas,Chance
"Each of us has about 40 chances to accomplish our goals in life. I learned this first through agriculture, because all farmers can expect to have about 40 growing seasons, giving them just 40 chances to improve on every harvest.",Howard Graham Buffett,Chance
"Anytime we step out boldly to make changes, we take a chance that we might fail. But the only way to get better is to try.",Joyce Meyer,Chance
"People are lucky and unlucky not according to what they get absolutely, but according to the ratio between what they get and what they have been led to expect.",Samuel Butler,Chance
The right time is any time that one is still so lucky as to have.,Henry James,Chance
Taking risks gives me energy.,Jay Chiat,Chance
"Often the difference between a successful man and a failure is not one's better abilities or ideas, but the courage that one has to bet on his ideas, to take a calculated risk, and to act.",Maxwell Maltz,Chance
"I'm the one who will take chances, not worry about the backlash.",Magic Johnson,Chance
"You know, from my point of view, I'm the luckiest cat on the planet.",Hugh Hefner,Chance
"The flower has opened, has been in the sun and is unafraid. I'm taking more chances; I'm bold and proud.",Paula Cole,Chance
"Creative risk taking is essential to success in any goal where the stakes are high. Thoughtless risks are destructive, of course, but perhaps even more wasteful is thoughtless caution which prompts inaction and promotes failure to seize opportunity.",Gary Ryan Blair,Chance
"Fortune, seeing that she could not make fools wise, has made them lucky.",Michel de Montaigne,Chance
Thinking of Plan B muddies up your chances of succeeding at Plan A.,Charlie Day,Chance
"In battle, you forgive a man anything except an unwillingness to take risks. Sometimes you have to put it on the line.",Tom Clancy,Chance
"If you are living a life that feels right to you, if you're willing to take creative chances or a creative path that feels like it's mostly in keeping with your sensibilities, you know, aesthetic and artistic, then that's what matters.",Tracy Chapman,Chance
It comes from the likes of you! Take what you can get! Grab the chances as they come along! Act in hallways! Sing in doorways! Dance in cellars!,Alexander Woollcott,Chance
"When a man has no reason to trust himself, he trusts in luck.",E. W. Howe,Chance
"If your parents never had children, chances are you won't either.",Dick Cavett,Chance
It's not about failure; it's about trying something and risking something for attaining your goal.,Carol Alt,Chance
The true statesman is the one who is willing to take risks.,Charles de Gaulle,Chance
