quotes,authors,categories
"And know that I am with you always; yes, to the end of time.",Jesus Christ,Christmas
God is in the details.,Ludwig Mies van der Rohe,Christmas
For it is in giving that we receive.,Francis of Assisi,Christmas
"Maybe Christmas, the Grinch thought, doesn't come from a store.",Dr. Seuss,Christmas
"I once wanted to become an atheist, but I gave up - they have no holidays.",Henny Youngman,Christmas
"I will honor Christmas in my heart, and try to keep it all the year.",Charles Dickens,Christmas
"God never gives someone a gift they are not capable of receiving. If he gives us the gift of Christmas, it is because we all have the ability to understand and receive it.",Pope Francis,Christmas
The main reason Santa is so jolly is because he knows where all the bad girls live.,George Carlin,Christmas
"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.",Joel Osteen,Christmas
"T'was the night before Christmas, when all through the house, not a creature was stirring, not even a mouse.",Clement Clarke Moore,Christmas
Christmas is a season not only of rejoicing but of reflection.,Winston Churchill,Christmas
"Every gift which is given, even though it be small, is in reality great, if it is given with affection.",Pindar,Christmas
"If you haven't got any charity in your heart, you have the worst kind of heart trouble.",Bob Hope,Christmas
"There is no better time than now, this very Christmas season, for all of us to rededicate ourselves to the principles taught by Jesus the Christ. It is the time to love the Lord, our God, with all our heart - and our neighbors as ourselves.",Thomas S. Monson,Christmas
I stopped believing in Santa Claus when I was six. Mother took me to see him in a department store and he asked for my autograph.,Shirley Temple,Christmas
A good conscience is a continual Christmas.,Benjamin Franklin,Christmas
Christmas isn't a season. It's a feeling.,Edna Ferber,Christmas
"Moving between the legs of tables and of chairs, rising or falling, grasping at kisses and toys, advancing boldly, sudden to take alarm, retreating to the corner of arm and knee, eager to be reassured, taking pleasure in the fragrant brilliance of the Christmas tree.",T. S. Eliot,Christmas
"I once bought my kids a set of batteries for Christmas with a note on it saying, toys not included.",Bernard Manning,Christmas
What I don't like about office Christmas parties is looking for a job the next day.,Phyllis Diller,Christmas
To perceive Christmas through its wrappings becomes more difficult with every year.,E. B. White,Christmas
Don't let the past steal your present. This is the message of Christmas: We are never alone.,Taylor Caldwell,Christmas
"Christmas is not a time nor a season, but a state of mind. To cherish peace and goodwill, to be plenteous in mercy, is to have the real spirit of Christmas.",Calvin Coolidge,Christmas
"The supernatural birth of Christ, his miracles, his resurrection and ascension, remain eternal truths, whatever doubts may be cast on their reality as historical facts.",David Friedrich Strauss,Christmas
Christmas is a tonic for our souls. It moves us to think of others rather than of ourselves. It directs our thoughts to giving.,B. C. Forbes,Christmas
Santa Claus has the right idea - visit people only once a year.,Victor Borge,Christmas
Mail your packages early so the post office can lose them in time for Christmas.,Johnny Carson,Christmas
He who has not Christmas in his heart will never find it under a tree.,Roy L. Smith,Christmas
"Christmas is a season for kindling the fire for hospitality in the hall, the genial flame of charity in the heart.",Washington Irving,Christmas
One of the most glorious messes in the world is the mess created in the living room on Christmas day. Don't clean it up too quickly.,Andy Rooney,Christmas
It is a fine seasoning for joy to think of those we love.,Moliere,Christmas
"Once again, we come to the Holiday Season, a deeply religious time that each of us observes, in his own way, by going to the mall of his choice.",Dave Barry,Christmas
"I love the excitement, the childlike spirit of innocence and just about everything that goes along with Christmas.",Hillary Scott,Christmas
"During the first 13 centuries after the birth of Jesus in Bethlehem, no one thought of setting up a creche to celebrate Christmas. The pre-eminent Christian holiday was Easter, not Christmas.",Nancy Pearcey,Christmas
