quotes,authors,categories
We have two ears and one mouth so that we can listen twice as much as we speak.,Epictetus,Communication
"Words are, of course, the most powerful drug used by mankind.",Rudyard Kipling,Communication
The single biggest problem in communication is the illusion that it has taken place.,George Bernard Shaw,Communication
To hold a pen is to be at war.,Voltaire,Communication
"Blessed is the man, who having nothing to say, abstains from giving wordy evidence of the fact.",George Eliot,Communication
"Half the world is composed of people who have something to say and can't, and the other half who have nothing to say and keep on saying it.",Robert Frost,Communication
Communication - the human connection - is the key to personal and career success.,Paul J. Meyer,Communication
Wise men speak because they have something to say; Fools because they have to say something.,Unknown,Communication
"Words are singularly the most powerful force available to humanity. We can choose to use this force constructively with words of encouragement, or destructively using words of despair. Words have energy and power with the ability to help, to heal, to hinder, to hurt, to harm, to humiliate and to humble.",Yehuda Berg,Communication
A man's character may be learned from the adjectives which he habitually uses in conversation.,Mark Twain,Communication
"Take advantage of every opportunity to practice your communication skills so that when important occasions arise, you will have the gift, the style, the sharpness, the clarity, and the emotions to affect other people.",Jim Rohn,Communication
"I do not agree with what you have to say, but I'll defend to the death your right to say it.",Evelyn Beatrice Hall,Communication
"Oaths are but words, and words are but wind.",Samuel Butler,Communication
"If you can't convince them, confuse them.",Harry S Truman,Communication
"I think it's very important to have a feedback loop, where you're constantly thinking about what you've done and how you could be doing it better. I think that's the single best piece of advice: constantly think about how you could be doing things better and questioning yourself.",Elon Musk,Communication
Whatever words we utter should be chosen with care for people will hear them and be influenced by them for good or ill.,Buddha,Communication
Truthful words are not beautiful; beautiful words are not truthful. Good words are not persuasive; persuasive words are not good.,Lao Tzu,Communication
The ability to simplify means to eliminate the unnecessary so that the necessary may speak.,Hans Hofmann,Communication
The most important thing in communication is hearing what isn't said.,Peter Drucker,Communication
"Communication leads to community, that is, to understanding, intimacy and mutual valuing.",Rollo May,Communication
"If you have an important point to make, don't try to be subtle or clever. Use a pile driver. Hit the point once. Then come back and hit it again. Then hit it a third time - a tremendous whack.",Winston Churchill,Communication
"To effectively communicate, we must realize that we are all different in the way we perceive the world and use this understanding as a guide to our communication with others.",Tony Robbins,Communication
The art of writing is the art of discovering what you believe.,Gustave Flaubert,Communication
The speed of communications is wondrous to behold. It is also true that speed can multiply the distribution of information that we know to be untrue.,Edward R. Murrow,Communication
"The two words 'information' and 'communication' are often used interchangeably, but they signify quite different things. Information is giving out; communication is getting through.",Sydney J. Harris,Communication
"Communication is a skill that you can learn. It's like riding a bicycle or typing. If you're willing to work at it, you can rapidly improve the quality of evry part of your life.",Brian Tracy,Communication
My belief is that communication is the best way to create strong relationships.,Jada Pinkett Smith,Communication
A different language is a different vision of life.,Federico Fellini,Communication
"Talk low, talk slow and don't say too much.",John Wayne,Communication
"Words - so innocent and powerless as they are, as standing in a dictionary, how potent for good and evil they become in the hands of one who knows how to combine them.",Nathaniel Hawthorne,Communication
Everything becomes a little different as soon as it is spoken out loud.,Hermann Hesse,Communication
The pen is the tongue of the mind.,Horace,Communication
"The basic tool for the manipulation of reality is the manipulation of words. If you can control the meaning of words, you can control the people who must use the words.",Philip K. Dick,Communication
Genius is the ability to put into effect what is on your mind.,F. Scott Fitzgerald,Communication
"Good communication is just as stimulating as black coffee, and just as hard to sleep after.",Anne Morrow Lindbergh,Communication
"Writing, to me, is simply thinking through my fingers.",Isaac Asimov,Communication
Don't tell me the moon is shining; show me the glint of light on broken glass.,Anton Chekhov,Communication
"Good words are worth much, and cost little.",George Herbert,Communication
Words are all we have.,Samuel Beckett,Communication
"Speak clearly, if you speak at all; carve every word before you let it fall.","Oliver Wendell Holmes, Sr.",Communication
"Number one, cash is king... number two, communicate... number three, buy or bury the competition.",Jack Welch,Communication
There is only one rule for being a good talker - learn to listen.,Christopher Morley,Communication
"One's eyes are what one is, one's mouth is what one becomes.",John Galsworthy,Communication
"By and large, language is a tool for concealing the truth.",George Carlin,Communication
Electric communication will never be a substitute for the face of someone who with their soul encourages another person to be brave and true.,Charles Dickens,Communication
