quotes,authors,categories
"A computer once beat me at chess, but it was no match for me at kick boxing.",Emo Philips,Computers
Never trust a computer you can't throw out a window.,Steve Wozniak,Computers
"Computers themselves, and software yet to be developed, will revolutionize the way we learn.",Steve Jobs,Computers
Man is still the most extraordinary computer of all.,John F. Kennedy,Computers
Access to computers and the Internet has become a basic need for education in our society.,Kent Conrad,Computers
"The internet could be a very positive step towards education, organisation and participation in a meaningful society.",Noam Chomsky,Computers
The digital revolution is far more significant than the invention of writing or even of printing.,Douglas Engelbart,Computers
Computers are like Old Testament gods; lots of rules and no mercy.,Joseph Campbell,Computers
"To err is human, but to really foul things up you need a computer.",Paul R. Ehrlich,Computers
"I think it's fair to say that personal computers have become the most empowering tool we've ever created. They're tools of communication, they're tools of creativity, and they can be shaped by their user.",Bill Gates,Computers
I do not fear computers. I fear the lack of them.,Isaac Asimov,Computers
The good news about computers is that they do what you tell them to do. The bad news is that they do what you tell them to do.,Ted Nelson,Computers
Computers are useless. They can only give you answers.,Pablo Picasso,Computers
Computer science is no more about computers than astronomy is about telescopes.,Edsger Dijkstra,Computers
"Treat your password like your toothbrush. Don't let anybody else use it, and get a new one every six months.",Clifford Stoll,Computers
The new information technology... Internet and e-mail... have practically eliminated the physical costs of communications.,Peter Drucker,Computers
"Computers are magnificent tools for the realization of our dreams, but no machine can replace the human spark of spirit, compassion, love, and understanding.","Louis V. Gerstner, Jr.",Computers
"The Internet is not just one thing, it's a collection of things - of numerous communications networks that all speak the same digital language.",James H. Clark,Computers
"Computers make it easier to do a lot of things, but most of the things they make it easier to do don't need to be done.",Andy Rooney,Computers
Software comes from heaven when you have good hardware.,Ken Olsen,Computers
"The real danger is not that computers will begin to think like men, but that men will begin to think like computers.",Sydney J. Harris,Computers
People think computers will keep them from making mistakes. They're wrong. With computers you make mistakes faster.,Adam Osborne,Computers
To err is human - and to blame it on a computer is even more so.,Robert Orben,Computers
"Personally, I rather look forward to a computer program winning the world chess championship. Humanity needs a lesson in humility.",Richard Dawkins,Computers
It's hardware that makes a machine fast. It's software that makes a fast machine slow.,Craig Bruce,Computers
Computing is not about computers any more. It is about living.,Nicholas Negroponte,Computers
"No one ever said on their deathbed, 'Gee, I wish I had spent more time alone with my computer'.",Danielle Berry,Computers
The power of the computer is starting to spread.,Bill Budge,Computers
Computers are to design as microwaves are to cooking.,Milton Glaser,Computers
I was afraid of the internet... because I couldn't type.,Jack Welch,Computers
We're entering a new world in which data may be more important than software.,Tim O'Reilly,Computers
The internet is not for sissies.,Paul Vixie,Computers
The Internet: transforming society and shaping the future through chat.,Dave Barry,Computers
One of the most feared expressions in modern times is 'The computer is down.',Norman Ralph Augustine,Computers
Nanotechnology will let us build computers that are incredibly powerful. We'll have more power in the volume of a sugar cube than exists in the entire world today.,Ralph Merkle,Computers
You can't trust the internet.,Nicollette Sheridan,Computers
"Even when I work with computers, with high technology, I always try to put in the touch of the hand.",Issey Miyake,Computers
"If your computer speaks English, it was probably made in Japan.",Alan Perlis,Computers
"I am thankful the most important key in history was invented. It's not the key to your house, your car, your boat, your safety deposit box, your bike lock or your private community. It's the key to order, sanity, and peace of mind. The key is 'Delete.'",Elayne Boosler,Computers
Design is the fundamental soul of a man-made creation that ends up expressing itself in successive outer layers of the product or service. The iMac is not just the color or translucence or the shape of the shell. The essence of the iMac is to be the finest possible consumer computer in which each element plays together.,Steve Jobs,Computers
You couldn't have fed the '50s into a computer and come out with the '60s.,Paul Kantner,Computers
Reading computer manuals without the hardware is as frustrating as reading sex manuals without the software.,Arthur C. Clarke,Computers
Think? Why think! We have computers to do that for us.,Jean Rostand,Computers
"Imagine if every Thursday your shoes exploded if you tied them the usual way. This happens to us all the time with computers, and nobody thinks of complaining.",Jef Raskin,Computers
"Because I believe that humans are computers, I conjectured that computers, like people, can have left- and right-handed versions.",Philip Emeagwali,Computers
"As a rule, software systems do not work well until they have been used, and have failed repeatedly, in real applications.",Dave Parnas,Computers
"Home computers are being called upon to perform many new functions, including the consumption of homework formerly eaten by the dog.",Doug Larson,Computers
"If you like overheads, you'll love PowerPoint.",Edward Tufte,Computers
Your computer needn't be the first thing your see in the morning and the last thing you see at night.,Simon Mainwaring,Computers
Computers are famous for being able to do complicated things starting from simple programs.,Seth Lloyd,Computers
I think computer viruses should count as life. I think it says something about human nature that the only form of life we have created so far is purely destructive. We've created life in our own image.,Stephen Hawking,Computers
"A wonderful thing about a book, in contrast to a computer screen, is that you can take it to bed with you.",Daniel J. Boorstin,Computers
"It's been my policy to view the Internet not as an 'information highway', but as an electronic asylum filled with babbling loonies.",Mike Royko,Computers
I am regularly asked what the average Internet user can do to ensure his security. My first answer is usually 'Nothing; you're screwed'.,Bruce Schneier,Computers
The only legitimate use of a computer is to play games.,Eugene Jarvis,Computers
"Modern people are only willing to believe in their computers, while I believe in myself.",Alain Robert,Computers
I just bought a Mac to help me design the next Cray.,Seymour Cray,Computers
"I'm a '70s mom, and my daughter is a '90s mom. I know a lot of women my age who are real computer freaks.",Florence Henderson,Computers
Shareware tends to combine the worst of commercial software with the worst of free software.,Linus Torvalds,Computers
I wouldn't know how to find eBay on the computer if my life depended on it.,Marc Jacobs,Computers
The computer is a moron.,Peter Drucker,Computers
The future lies in designing and selling computers that people don't realize are computers at all.,Adam Osborne,Computers
I do two things. I design mobile computers and I study brains.,Jeff Hawkins,Computers
"Even in the developing parts of the world, kids take to computers like fish to water.",Nicholas Negroponte,Computers
"Security is, I would say, our top priority because for all the exciting things you will be able to do with computers - organizing your lives, staying in touch with people, being creative - if we don't solve these security problems, then people will hold back.",Bill Gates,Computers
The question of whether a computer can think is no more interesting than the question of whether a submarine can swim.,Edsger Dijkstra,Computers
I happen to think that computers are the most important thing to happen to musicians since the invention of cat-gut which was a long time ago.,Robert Moog,Computers
"I started on an Apple II, which I had bought at the very end of 1978 for half of my annual income. I made $4,500 a year, and I spent half of it on the computer.",Bill Budge,Computers
"What we did not imagine was a Web of people, but a Web of documents.",Dale Dougherty,Computers
"Part of the inhumanity of the computer is that, once it is competently programmed and working smoothly, it is completely honest.",Isaac Asimov,Computers
Computers have virtually replaced tape recorders.,Tony Visconti,Computers
"We demand privacy, yet we glorify those that break into computers.",Bill McCollum,Computers
"Supercomputers will achieve one human brain capacity by 2010, and personal computers will do so by about 2020.",Ray Kurzweil,Computers
There is no reason for any individual to have a computer in his home.,Ken Olsen,Computers
I am not the only person who uses his computer mainly for the purpose of diddling with his computer.,Dave Barry,Computers
"We can do things that we never could before. Stop-motion lets you build tiny little worlds, and computers make that world even more believable.",Nick Park,Computers
"In the practical world of computing, it is rather uncommon that a program, once it performs correctly and satisfactorily, remains unchanged forever.",Niklaus Wirth,Computers
"In computing, turning the obvious into the useful is a living definition of the word 'frustration'.",Alan Perlis,Computers
Bill Gates is the pope of the personal computer industry. He decides who's going to build.,Larry Ellison,Computers
Computers may save time but they sure waste a lot of paper. About 98 percent of everything printed out by a computer is garbage that no one ever reads.,Andy Rooney,Computers
What I was proud of was that I used very few parts to build a computer that could actually speak words on a screen and type words on a keyboard and run a programming language that could play games. And I did all this myself.,Steve Wozniak,Computers
"Many of our own people here in this country do not ask about computers, telephones and television sets. They ask - when will we get a road to our village.",Thabo Mbeki,Computers
"If you could utilize the resources of the end users' computers, you could do things much more efficiently.",Niklas Zennstrom,Computers
The most compelling reason for most people to buy a computer for the home will be to link it to a nationwide communications network. We're just in the beginning stages of what will be a truly remarkable breakthrough for most people - as remarkable as the telephone.,Steve Jobs,Computers
"Man, I don't want to have nothing to do with computers. I don't want the government in my business.",Erykah Badu,Computers
"When people think about computer science, they imagine people with pocket protectors and thick glasses who code all night.",Marissa Mayer,Computers
"In short, software is eating the world.",Marc Andreessen,Computers
"What I try to do is factor in how people use computers, what people's problems are, and how these technologies can get applied to those problems. Then I try to direct the various product groups to act on this information.",John Warnock,Computers
"Right now, computers, which are supposed to be our servant, are oppressing us.",Jef Raskin,Computers
I'm too old-fashioned to use a computer. I'm too old-fashioned to use a quill.,Christopher Plummer,Computers
What do we want our kids to do? Sweep up around Japanese computers?,Walter F. Mondale,Computers
"When I write software, I know that it will fail, either due to my own mistake, or due to some other cause.",Wietse Venema,Computers
I just became one with my browser software.,Bill Griffith,Computers
Every piece of software written today is likely going to infringe on someone else's patent.,Miguel de Icaza,Computers
The Internet is a powerful way to make lots of money... But we are not going to buy Yahoo!,Sumner Redstone,Computers
Computers in classrooms are the filmstrips of the 1990s.,Clifford Stoll,Computers
"Gee, I am a complete Luddite when it comes to computers, I can barely log on!",Jonathan Shapiro,Computers
"Steve Wozniak and Steve Jobs founded Apple Inc, which set the computing world on its ear with the Macintosh in 1984.",Kevin Mitnick,Computers
The basis of computer work is predicated on the idea that only the brain makes decisions and only the index finger does the work.,Brian Eno,Computers
"Yet in this global economy, no jobs are safe. High-speed Internet connections and low-cost, skilled labor overseas are an explosive combination.",Bob Taft,Computers
