quotes,authors,categories
Let your soul stand cool and composed before a million universes.,Walt Whitman,Cool
"Is a hippopotamus a hippopotamus, or just a really cool Opotamus?",Mitch Hedberg,Cool
"I'm a mirror. If you're cool with me, I'm cool with you, and the exchange starts. What you see is what you reflect. If you don't like what you see, then you've done something. If I'm standoffish, that's because you are.",Jay-Z,Cool
Rather be dead than cool.,Kurt Cobain,Cool
"I can take it. The tougher it gets, the cooler I get.",Richard M. Nixon,Cool
Keep a cool head and maintain a low profile. Never take the lead - but aim to do something big.,Deng Xiaoping,Cool
"I'm not the kind of person who tries to be cool or trendy, I'm definitely an individual.",Leonardo DiCaprio,Cool
"Nothing is cooler and more attractive than a big comeback, and that'll be me.",Steven Adler,Cool
Be still and cool in thine own mind and spirit.,George Fox,Cool
"It's so important to realize that every time you get upset, it drains your emotional energy. Losing your cool makes you tired. Getting angry a lot messes with your health.",Joyce Meyer,Cool
Nothing gives one person so much advantage over another as to remain always cool and unruffled under all circumstances.,Thomas Jefferson,Cool
I'm cool with failing so long as I know that there are people around me that love me unconditionally.,Dave Chappelle,Cool
"To create well I have to be in a good mood, happy and cool.",Marc Newson,Cool
He who keeps his cool best wins.,Norman Cousins,Cool
"Whatever hysteria exists is inflamed by mystery, suspicion and secrecy. Hard and exact facts will cool it.",Elia Kazan,Cool
I've never been cool - and I don't care.,Celine Dion,Cool
One cool judgment is worth a thousand hasty counsels. The thing to do is to supply light and not heat.,Woodrow Wilson,Cool
Good words cool more than cold water.,John Ray,Cool
"All women do have a different sense of sexuality, or sense of fun, or sense of like what's sexy or cool or tough.",Angelina Jolie,Cool
"Being cool is being your own self, not doing something that someone else is telling you to do.",Vanessa Hudgens,Cool
You don't have to carry a designer bag that costs more than a car to look cool.,Kesha,Cool
"The secret was to just be cool, stay in God's graces, and work it out.",Solomon Burke,Cool
I think you create your own hipness.,Peabo Bryson,Cool
"I suppose being fierce is a very good thing, and a very cool thing. But more than fierce, I think I'm a strong person and a strong individual. And that's what I take with me every day.",Johnny Weir,Cool
"I think it would be cool if you were writing a ransom note on your computer, if the paper clip popped up and said, 'Looks like you're writing a ransom note. Need help? You should use more forceful language, you'll get more money.'",Demetri Martin,Cool
"I want kids of this generation to see that everything is cool, that there's some kind of unity in hip-hop. We all found something that's really important to us, and music is all we've really got.",Missy Elliott,Cool
"I never cut class. I loved getting A's, I liked being smart. I liked being on time. I thought being smart is cooler than anything in the world.",Michelle Obama,Cool
"And in a world without heroes, as the movie trailer voice-over guy might say, the slightly awkward can be slightly cool.",Adam Brody,Cool
"I'm a flamboyant type of guy, a cooler version of Liberace.",Usher,Cool
I've never been cool and I don't really care about being cool. It's just an awful lot of time and hair gel wasted.,Chris Martin,Cool
It looks good when you see someone kicking at the age of 51 with no double. It's kinda cool for people to know that past 50 we can keep flexible.,Jean-Claude Van Damme,Cool
"Sometimes just when I say hello the right way, I'm like, 'Whoa, I'm so cool.'",Robert Pattinson,Cool
"When I was younger, the pressure was just being cool. I never thought of myself as a cool guy. I always thought of myself as more of the goofy guy.",Paul Walker,Cool
Heroes don't wear diapers. It's just not cool.,Felix Baumgartner,Cool
"Being cool, having a 'cool' energy is just not attractive to me.",Selena Gomez,Cool
I never saw music in terms of men and women or black and white. There was just cool and uncool.,Bonnie Raitt,Cool
"It was a very cool thing to be a smart girl, as opposed to some other, different kind. And I think that made a great deal of difference to me growing up and in my life afterward.",Elena Kagan,Cool
I've never done anything because I thought it would look cool.,John Mayer,Cool
Morgan Freeman is so class. He's so cool. He's so scary.,Jim Carrey,Cool
"Competition is great. And as long as it's friendly and not a malicious thing, then I think it's cool.",Janet Jackson,Cool
So there's nothing more provocative than taking a genre that everybody who's cool hates - and then making it cool.,Lady Gaga,Cool
I just tried to keep my cool and continue with my race plan: to win.,Mark Spitz,Cool
You get a timeless cool card in New York.,Vin Diesel,Cool
I don't need to hang out in a posse and try to act cool.,Jeremy London,Cool
Sometimes life's so much cooler when you just don't know any better and all the painful lessons have not hammered your head open yet.,Anthony Kiedis,Cool
"My parents are the coolest of the cool on every single level, and it's because they have a deep appreciation for every moment of their lives.",Rashida Jones,Cool
There aren't many poster children for cool angst. Everybody thinks it's cool if you're the bad girl.,Fiona Apple,Cool
"I think you have to be cool to be a good flirt, and I don't think I'm very cool.",Harry Styles,Cool
"Saturday morning, you knew what was cool by what was on 'Soul Train.'",Nick Cannon,Cool
