quotes,authors,categories
"When one has not had a good father, one must create one.",Friedrich Nietzsche,Dad
"When I was 18, I thought my father was pretty dumb. After a while when I got to be 21, I was amazed to find out how much he'd learned in three years.",Frank Butler,Dad
"When I come home, my daughter will run to the door and give me a big hug, and everything that's happened that day just melts away.",Hugh Jackman,Dad
It was my father who taught me to value myself. He told me that I was uncommonly beautiful and that I was the most precious thing in his life.,Dawn French,Dad
The child is father of the man.,William Wordsworth,Dad
My Father had a profound influence on me. He was a lunatic.,Spike Milligan,Dad
"Fathers are biological necessities, but social accidents.",Margaret Mead,Dad
A father is a man who expects his son to be as good a man as he meant to be.,Frank A. Clark,Dad
An angry father is most cruel towards himself.,Publilius Syrus,Dad
It is impossible to please all the world and one's father.,Jean de La Fontaine,Dad
"My father was not a failure. After all, he was the father of a president of the United States.",Harry S Truman,Dad
It is much easier to become a father than to be one.,Kent Nerburn,Dad
I just wish I could understand my father.,Michael Jackson,Dad
Undeservedly you will atone for the sins of your fathers.,Horace,Dad
I stopped loving my father a long time ago. What remained was the slavery to a pattern.,Anais Nin,Dad
It is easier for a father to have children than for children to have a real father.,Pope John XXIII,Dad
"Father told me that if I ever met a lady in a dress like yours, I must look her straight in the eyes.",Prince Charles,Dad
"The place of the father in the modern suburban family is a very small one, particularly if he plays golf.",Bertrand Russell,Dad
The time not to become a father is eighteen years before a war.,E. B. White,Dad
My father? I never knew him. Never even seen a picture of him.,Eminem,Dad
"That is the thankless position of the father in the family - the provider for all, and the enemy of all.",August Strindberg,Dad
"As Daddy said, life is 95 percent anticipation.",Gloria Swanson,Dad
A father is always making his baby into a little woman. And when she is a woman he turns her back again.,Enid Bagnold,Dad
I never had a speech from my father 'this is what you must do or shouldn't do' but I just learned to be led by example. My father wasn't perfect.,Adam Sandler,Dad
My father was the most rational and the most dispassionate of men.,Simon Newcomb,Dad
"So my father was a person who never lied to me. If I had a question, he answered it. I knew a lot of things at a young age because I was intrigued.",Nick Cannon,Dad
