quotes,authors,categories
"Never doubt that a small group of thoughtful, committed citizens can change the world; indeed, it's the only thing that ever has.",Margaret Mead,Environmental
"Water and air, the two essential fluids on which all life depends, have become global garbage cans.",Jacques Yves Cousteau,Environmental
"The only way forward, if we are going to improve the quality of the environment, is to get everybody involved.",Richard Rogers,Environmental
We could have saved the Earth but we were too damned cheap.,Kurt Vonnegut,Environmental
"Sooner or later, we will have to recognise that the Earth has rights, too, to live without pollution. What mankind must know is that human beings cannot live without Mother Earth, but the planet can live without humans.",Evo Morales,Environmental
The time is right for electric cars - in fact the time is critical.,Carlos Ghosn,Environmental
The environment is everything that isn't me.,Albert Einstein,Environmental
"We're running the most dangerous experiment in history right now, which is to see how much carbon dioxide the atmosphere... can handle before there is an environmental catastrophe.",Elon Musk,Environmental
Try to leave the Earth a better place than when you arrived.,Sidney Sheldon,Environmental
We must return to nature and nature's god.,Luther Burbank,Environmental
The Earth does not belong to us: we belong to the Earth.,Chief Seattle,Environmental
"Thank God men cannot fly, and lay waste the sky as well as the earth.",Henry David Thoreau,Environmental
"Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean.",John Muir,Environmental
"Plans to protect air and water, wilderness and wildlife are in fact plans to protect man.",Stewart Udall,Environmental
"We have enslaved the rest of the animal creation, and have treated our distant cousins in fur and feathers so badly that beyond doubt, if they were able to formulate a religion, they would depict the Devil in human form.",William Inge,Environmental
We don't have to sacrifice a strong economy for a healthy environment.,Dennis Weaver,Environmental
"The most important thing about global warming is this. Whether humans are responsible for the bulk of climate change is going to be left to the scientists, but it's all of our responsibility to leave this planet in better shape for the future generations than we found it.",Mike Huckabee,Environmental
"We may achieve climate, but weather is thrust upon us.",O. Henry,Environmental
"Climate change is happening, humans are causing it, and I think this is perhaps the most serious environmental issue facing us.",Bill Nye,Environmental
The future will either be green or not at all.,Bob Brown,Environmental
"If you can't be in awe of Mother Nature, there's something wrong with you.",Alex Trebek,Environmental
Raising awareness on the most pressing environmental issues of our time is more important than ever.,Leonardo DiCaprio,Environmental
It is horrifying that we have to fight our own government to save the environment.,Ansel Adams,Environmental
Environmental pollution is an incurable disease. It can only be prevented.,Barry Commoner,Environmental
"They claim this mother of ours, the Earth, for their own use, and fence their neighbors away from her, and deface her with their buildings and their refuse.",Sitting Bull,Environmental
"If all mankind were to disappear, the world would regenerate back to the rich state of equilibrium that existed ten thousand years ago. If insects were to vanish, the environment would collapse into chaos.",E. O. Wilson,Environmental
"You will die but the carbon will not; its career does not end with you. It will return to the soil, and there a plant may take it up again in time, sending it once more on a cycle of plant and animal life.",Jacob Bronowski,Environmental
There is a muscular energy in sunlight corresponding to the spiritual energy of wind.,Annie Dillard,Environmental
By polluting clear water with slime you will never find good drinking water.,Aeschylus,Environmental
We learned that economic growth and environmental protection can and should go hand in hand.,Christopher Dodd,Environmental
"Climate change is a terrible problem, and it absolutely needs to be solved. It deserves to be a huge priority.",Bill Gates,Environmental
"A true conservationist is a man who knows that the world is not given by his fathers, but borrowed from his children.",Unknown,Environmental
People need to be cautious because anything built by man can be destroyed by Mother Nature.,Russel Honore,Environmental
You cannot achieve environmental security and human development without addressing the basic issues of health and nutrition.,Gro Harlem Brundtland,Environmental
"Mother Nature comes up against reality, and the reality is that the system doesn't work.",John Garamendi,Environmental
I think the cost of energy will come down when we make this transition to renewable energy.,Al Gore,Environmental
Every drop in the ocean counts.,Yoko Ono,Environmental
"I did not become a vegetarian for my health, I did it for the health of the chickens.",Isaac Bashevis Singer,Environmental
Mother Nature is not sweet.,John Shelby Spong,Environmental
Green-tech could be the largest economic opportunity of the 21st Century.,John Doerr,Environmental
"You may be able to fool the voters, but not the atmosphere.",Donella Meadows,Environmental
"In a few decades, the relationship between the environment, resources and conflict may seem almost as obvious as the connection we see today between human rights, democracy and peace.",Wangari Maathai,Environmental
People blame their environment. There is only one person to blame - and only one - themselves.,Robert Collier,Environmental
"When all the world appears to be in a tumult, and nature itself is feeling the assault of climate change, the seasons retain their essential rhythm. Yes, fall gives us a premonition of winter, but then, winter, will be forced to relent, once again, to the new beginnings of soft greens, longer light, and the sweet air of spring.",Madeleine M. Kunin,Environmental
"Population, when unchecked, goes on doubling itself every 25 years or increases in a geometrical ratio.",Thomas Malthus,Environmental
I think the government has to reposition environment on top of their national and international priorities.,Brian Mulroney,Environmental
"Sadly, it's much easier to create a desert than a forest.",James Lovelock,Environmental
"If you cut down a forest, it doesn't matter how many sawmills you have if there are no more trees.",Susan George,Environmental
"Nature is the mother and the habitat of man, even if sometimes a stepmother and an unfriendly home.",John Dewey,Environmental
"We live in a world bathed in 5,000 times more energy than we consume as a species in the year, in the form of solar energy. It's just not in usable form yet.",Peter Diamandis,Environmental
"It seems to me like Mother Nature's mercy and forgiveness have run dry, as we ceaselessly abuse her and take her for granted in order for us to continue our addiction to using fossil fuels. I've gotta say, I don't blame her. Not one bit.",Gloria Reuben,Environmental
I think the environment should be put in the category of our national security. Defense of our resources is just as important as defense abroad. Otherwise what is there to defend?,Robert Redford,Environmental
Nuclear power will help provide the electricity that our growing economy needs without increasing emissions. This is truly an environmentally responsible source of energy.,Michael C. Burgess,Environmental
"I think so long as fossil fuels are cheap, people will use them and it will postpone a movement towards new technologies.",Paul Krugman,Environmental
"The sooner we get started with alternative energy sources and recognize that fossil fuels makes us less secure as a nation, and more dangerous as a planet, the better off we'll be.",Lindsey Graham,Environmental
All is connected... no one thing can change by itself.,Paul Hawken,Environmental
"I can find God in nature, in animals, in birds and the environment.",Pat Buckley,Environmental
"Birds are indicators of the environment. If they are in trouble, we know we'll soon be in trouble.",Roger Tory Peterson,Environmental
"No one is an environmentalist by birth. It is only your path, your life, your travels that awaken you.",Yann Arthus-Bertrand,Environmental
"Public discourse has been polluted now for decades by corporate-funded disinformation - not just with climate change but with a host of health, environmental and societal threats. The implications for the planet are grim.",Michael E. Mann,Environmental
Conservation is a state of harmony between men and land.,Aldo Leopold,Environmental
"Just as modern mass production requires the standardization of commodities, so the social process requires standardization of man, and this standardization is called equality.",Erich Fromm,Environmental
Energy conservation is the foundation of energy independence.,Tom Allen,Environmental
"Ten percent of the big fish still remain. There are still some blue whales. There are still some krill in Antarctica. There are a few oysters in Chesapeake Bay. Half the coral reefs are still in pretty good shape, a jeweled belt around the middle of the planet. There's still time, but not a lot, to turn things around.",Sylvia Earle,Environmental
"If we do not permit the earth to produce beauty and joy, it will in the end not produce food, either.",Joseph Wood Krutch,Environmental
I think the future for solar energy is bright.,Ken Salazar,Environmental
"Unless we keep this planet healthy, everything else is for naught.",Victoria Principal,Environmental
"Nature is regulating our climate for free. Mother Nature, she's been doing that for free, for a long, long time. Now do you really want to get in there and do geo-engineering and all this kind of stuff?",Thomas Friedman,Environmental
"We can have technology, prosperity, nice homes and cars, but at the same time we must be conscious of what we are dumping into the water, the air and our food.",Kevin Richardson,Environmental
There is no place where we can safely store worn-out reactors or their garbage. No place!,David R. Brower,Environmental
Without the oceans there would be no life on Earth.,Peter Benchley,Environmental
Within 10 years it will be impossible to travel to the North Pole by dog team. There will be too much open water.,Will Steger,Environmental
"Biofuels such as ethanol require enormous amounts of cropland and end up displacing either food crops or natural wilderness, neither of which is good.",Elon Musk,Environmental
"We are aware only of the empty space in the forest, which only yesterday was filled with trees.",Anna Freud,Environmental
Local innovation and initiative can help us better understand how to protect our environment.,Gale Norton,Environmental
"For me, going vegan was an ethical and environmental decision. I'm doing the right thing by the animals.",Alexandra Paul,Environmental
I'm very concerned for the future of the earth and its amazing creatures. We've got to be careful and make sure we don't foul our own nest.,John Lithgow,Environmental
"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.",Ban Ki-moon,Environmental
It appears to be a law that you cannot have a deep sympathy with both man and nature.,Henry David Thoreau,Environmental
I don't think we're going to save anything if we go around talking about saving plants and animals only; we've got to translate that into what's in it for us.,Jim Fowler,Environmental
Journey with me to a true commitment to our environment. Journey with me to the serenity of leaving to our children a planet in equilibrium.,Paul Tsongas,Environmental
"It's not unexpected that shooting massive amounts of water, sand, and chemicals at high pressure into the earth to shatter shale and release natural gas might shake things up. But earthquakes aren't the worst problem with fracking.",David Suzuki,Environmental
The Endangered Species Act is the strongest and most effective tool we have to repair the environmental harm that is causing a species to decline.,Norm Dicks,Environmental
Moral codes adjust themselves to environmental conditions.,Will Durant,Environmental
"When we try to pick out anything by itself, we find it hitched to everything else in the universe.",John Muir,Environmental
"Much of the debate over global warming is predicated on fear, rather than science.",Jim Inhofe,Environmental
