quotes,authors,categories
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,Failure
Nothing in this world can take the place of persistence. Talent will not: nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not: the world is full of educated derelicts. Persistence and determination alone are omnipotent.,Calvin Coolidge,Failure
But man is not made for defeat. A man can be destroyed but not defeated.,Ernest Hemingway,Failure
"Far better is it to dare mighty things, to win glorious triumphs, even though checkered by failure... than to rank with those poor spirits who neither enjoy nor suffer much, because they live in a gray twilight that knows not victory nor defeat.",Theodore Roosevelt,Failure
"A failure is not always a mistake, it may simply be the best one can do under the circumstances. The real mistake is to stop trying.",B. F. Skinner,Failure
"I can accept failure, everyone fails at something. But I can't accept not trying.",Michael Jordan,Failure
"Every adversity, every failure, every heartache carries with it the seed of an equal or greater benefit.",Napoleon Hill,Failure
It's fine to celebrate success but it is more important to heed the lessons of failure.,Bill Gates,Failure
Mistakes are the portals of discovery.,James Joyce,Failure
"Failures, repeated failures, are finger posts on the road to achievement. One fails forward toward success.",C. S. Lewis,Failure
"Winning is great, sure, but if you are really going to do something in life, the secret is learning how to lose. Nobody goes undefeated all the time. If you can pick up after a crushing defeat, and go on to win again, you are going to be a champion someday.",Wilma Rudolph,Failure
"My great concern is not whether you have failed, but whether you are content with your failure.",Abraham Lincoln,Failure
Ambition is the last refuge of the failure.,Oscar Wilde,Failure
"Do not be embarrassed by your failures, learn from them and start again.",Richard Branson,Failure
"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all, in which case you have failed by default.",J. K. Rowling,Failure
"The greatest glory in living lies not in never falling, but in rising every time we fall.",Ralph Waldo Emerson,Failure
There is no such thing as failure. There are only results.,Tony Robbins,Failure
Every failure is a step to success.,William Whewell,Failure
"A man can fail many times, but he isn't a failure until he begins to blame somebody else.",John Burroughs,Failure
Success is often achieved by those who don't know that failure is inevitable.,Coco Chanel,Failure
"Remembering that I'll be dead soon is the most important tool I've ever encountered to help me make the big choices in life. Because almost everything - all external expectations, all pride, all fear of embarrassment or failure - these things just fall away in the face of death, leaving only what is truly important.",Steve Jobs,Failure
Failure is the condiment that gives success its flavor.,Truman Capote,Failure
"Failure should be our teacher, not our undertaker. Failure is delay, not defeat. It is a temporary detour, not a dead end. Failure is something we can avoid only by saying nothing, doing nothing, and being nothing.",Denis Waitley,Failure
"Remember that failure is an event, not a person.",Zig Ziglar,Failure
"Do not brood over your past mistakes and failures as this will only fill your mind with grief, regret and depression. Do not repeat them in the future.",Swami Sivananda,Failure
Age wrinkles the body. Quitting wrinkles the soul.,Douglas MacArthur,Failure
Success breeds complacency. Complacency breeds failure. Only the paranoid survive.,Andy Grove,Failure
Our best successes often come after our greatest disappointments.,Henry Ward Beecher,Failure
"If you're not failing every now and again, it's a sign you're not doing anything very innovative.",Woody Allen,Failure
Do not fear mistakes. You will know failure. Continue to reach out.,Benjamin Franklin,Failure
Failure happens all the time. It happens every day in practice. What makes you better is how you react to it.,Mia Hamm,Failure
Success is not built on success. It's built on failure. It's built on frustration. Sometimes its built on catastrophe.,Sumner Redstone,Failure
"I think and think for months and years. Ninety-nine times, the conclusion is false. The hundredth time I am right.",Albert Einstein,Failure
There are some defeats more triumphant than victories.,Michel de Montaigne,Failure
