quotes,authors,categories
"You don't choose your family. They are God's gift to you, as you are to them.",Desmond Tutu,Family
Family is not an important thing. It's everything.,Michael J. Fox,Family
"The bond that links your true family is not one of blood, but of respect and joy in each other's life.",Richard Bach,Family
"Give a little love to a child, and you get a great deal back.",John Ruskin,Family
"If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.",A. P. J. Abdul Kalam,Family
"Feelings of worth can flourish only in an atmosphere where individual differences are appreciated, mistakes are tolerated, communication is open, and rules are flexible - the kind of atmosphere that is found in a nurturing family.",Virginia Satir,Family
"In every conceivable manner, the family is link to our past, bridge to our future.",Alex Haley,Family
Family means no one gets left behind or forgotten.,David Ogden Stiers,Family
The other night I ate at a real nice family restaurant. Every table had an argument going.,George Carlin,Family
The love of family and the admiration of friends is much more important than wealth and privilege.,Charles Kuralt,Family
"To us, family means putting your arms around each other and being there.",Barbara Bush,Family
You are the bows from which your children as living arrows are sent forth.,Khalil Gibran,Family
"Family quarrels are bitter things. They don't go according to any rules. They're not like aches or wounds, they're more like splits in the skin that won't heal because there's not enough material.",F. Scott Fitzgerald,Family
Family is the most important thing in the world.,Princess Diana,Family
A happy family is but an earlier heaven.,George Bernard Shaw,Family
The family is one of nature's masterpieces.,George Santayana,Family
"I have frequently been questioned, especially by women, of how I could reconcile family life with a scientific career. Well, it has not been easy.",Marie Curie,Family
"For there is no friend like a sister in calm or stormy weather; To cheer one on the tedious way, to fetch one if one goes astray, to lift one if one totters down, to strengthen whilst one stands.",Christina Rossetti,Family
The family you come from isn't as important as the family you're going to have.,Ring Lardner,Family
"Without a family, man, alone in the world, trembles with the cold.",Andre Maurois,Family
My family is my strength and my weakness.,Aishwarya Rai Bachchan,Family
Women's natural role is to be a pillar of the family.,Grace Kelly,Family
A man should never neglect his family for business.,Walt Disney,Family
"When trouble comes, it's your family that supports you.",Guy Lafleur,Family
"A family is a risky venture, because the greater the love, the greater the loss... That's the trade-off. But I'll take it all.",Brad Pitt,Family
Children are the keys of paradise.,Eric Hoffer,Family
The family is the first essential cell of human society.,Pope John XXIII,Family
"There's nothing I value more than the closeness of friends and family, a smile as I pass someone on the street.",Willie Stargell,Family
A family is a place where principles are hammered and honed on the anvil of everyday living.,Charles R. Swindoll,Family
My family comes first. Maybe that's what makes me different from other guys.,Bobby Darin,Family
I've always put my family first and that's just the way it is.,Jamie Lee Curtis,Family
"I believe the world is one big family, and we need to help each other.",Jet Li,Family
Having family responsibilities and concerns just has to make you a more understanding person.,Sandra Day O'Connor,Family
"He who is overly attached to his family members experiences fear and sorrow, for the root of all grief is attachment. Thus one should discard attachment to be happy.",Chanakya,Family
Spend some time this weekend on home improvement; improve your attitude toward your family.,Bo Bennett,Family
There is no such thing as fun for the whole family.,Jerry Seinfeld,Family
"The only rock I know that stays steady, the only institution I know that works, is the family.",Lee Iacocca,Family
The greatest thing in family life is to take a hint when a hint is intended-and not to take a hint when a hint isn't intended.,Robert Frost,Family
"My father used to play with my brother and me in the yard. Mother would come out and say, 'You're tearing up the grass'; 'We're not raising grass,' Dad would reply. 'We're raising boys.'",Harmon Killebrew,Family
"Sister is probably the most competitive relationship within the family, but once the sisters are grown, it becomes the strongest relationship.",Margaret Mead,Family
Insanity runs in my family. It practically gallops.,Cary Grant,Family
One's family is the most important thing in life. I look at it this way: One of these days I'll be over in a hospital somewhere with four walls around me. And the only people who'll be with me will be my family.,Robert Byrd,Family
"Family, nature and health all go together.",Olivia Newton-John,Family
A family can develop only with a loving woman as its center.,Karl Wilhelm Friedrich Schlegel,Family
"You leave home to seek your fortune and, when you get it, you go home and share it with your family.",Anita Baker,Family
"Like all my family and class, I considered it a sign of weakness to show affection; to have been caught kissing my mother would have been a disgrace, and to have shown affection for my father would have been a disaster.",Agnes Smedley,Family
"I don't know if I believe in marriage. I believe in family, love and children.",Penelope Cruz,Family
Dignity is not negotiable. Dignity is the honor of the family.,Vartan Gregorian,Family
The family is the test of freedom; because the family is the only thing that the free man makes for himself and by himself.,Gilbert K. Chesterton,Family
Some of the most important conversations I've ever had occurred at my family's dinner table.,Bob Ehrlich,Family
Whatever else is unsure in this stinking dunghill of a world a mother's love is not.,James Joyce,Family
"Happy or unhappy, families are all mysterious. We have only to imagine how differently we would be described - and will be, after our deaths - by each of the family members who believe they know us.",Gloria Steinem,Family
One of the things that binds us as a family is a shared sense of humor.,Ralph Fiennes,Family
"I am the family face; flesh perishes, I live on.",Thomas Hardy,Family
"I've given it my all. I've done my best. Now, I'm ready with my family to begin the next phase of our lives.",Richard M. Daley,Family
I stay in tune with my family and God.,Regina King,Family
Maybe there is no actual place called hell. Maybe hell is just having to listen to our grandparents breathe through their noses when they're eating sandwiches.,Jim Carrey,Family
I find the family the most mysterious and fascinating institution in the world.,Amos Oz,Family
"A woman should be home with the children, building that home and making sure there's a secure family atmosphere.",Mel Gibson,Family
The family is the nucleus of civilization.,Will Durant,Family
The foundation of family - that's where it all begins for me.,Faith Hill,Family
I stay in tune with my family and God.,Regina King,Family
"I've given it my all. I've done my best. Now, I'm ready with my family to begin the next phase of our lives.",Richard M. Daley,Family
One of the things that binds us as a family is a shared sense of humor.,Ralph Fiennes,Family
I love my family.,Manute Bol,Family
A home with a loving and loyal husband and wife is the supreme setting in which children can be reared in love and righteousness and in which the spiritual and physical needs of children can be met.,David A. Bednar,Family
"I'm not much of a family man. I'm just not that into it. I love kids, I adore them, but I don't want to live my life for them.",Sting,Family
"The children have been a wonderful gift to me, and I'm thankful to have once again seen our world through their eyes. They restore my faith in the family's future.",Jackie Kennedy,Family
"I woke up one morning thinking about wolves and realized that wolf packs function as families. Everyone has a role, and if you act within the parameters of your role, the whole pack succeeds, and when that falls apart, so does the pack.",Jodi Picoult,Family
"I have a great family, I live an amazing life.",John Oates,Family
