quotes,authors,categories
"It is well enough that people of the nation do not understand our banking and monetary system, for if they did, I believe there would be a revolution before tomorrow morning.",Henry Ford,Finance
Beware of little expenses. A small leak will sink a great ship.,Benjamin Franklin,Finance
"Under capitalism, man exploits man. Under communism, it's just the opposite.",John Kenneth Galbraith,Finance
The way to make money is to buy when blood is running in the streets.,John D. Rockefeller,Finance
"Wealth consists not in having great possessions, but in having few wants.",Epictetus,Finance
"Our incomes are like our shoes; if too small, they gall and pinch us; but if too large, they cause us to stumble and to trip.",John Locke,Finance
Inflation is taxation without legislation.,Milton Friedman,Finance
The way to become rich is to put all your eggs in one basket and then watch that basket.,Andrew Carnegie,Finance
"A budget tells us what we can't afford, but it doesn't keep us from buying it.",William Feather,Finance
"In the absence of the gold standard, there is no way to protect savings from confiscation through inflation. There is no safe store of value.",Alan Greenspan,Finance
The curious task of economics is to demonstrate to men how little they really know about what they imagine they can design.,Friedrich August von Hayek,Finance
"You and I come by road or rail, but economists travel on infrastructure.",Margaret Thatcher,Finance
Derivatives are financial weapons of mass destruction.,Warren Buffett,Finance
All money is a matter of belief.,Adam Smith,Finance
"As sure as the spring will follow the winter, prosperity and economic growth will follow recession.",Bo Bennett,Finance
"Don't gamble; take all your savings and buy some good stock and hold it till it goes up, then sell it. If it don't go up, don't buy it.",Will Rogers,Finance
"I believe that through knowledge and discipline, financial peace is possible for all of us.",Dave Ramsey,Finance
"If all the economists were laid end to end, they'd never reach a conclusion.",George Bernard Shaw,Finance
Watch your finances like a hawk.,"H. Jackson Brown, Jr.",Finance
I made my money by selling too soon.,Bernard Baruch,Finance
The job of the Central Bank is to worry.,Alice Rivlin,Finance
It is a kind of spiritual snobbery that makes people think they can be happy without money.,Albert Camus,Finance
The avoidance of taxes is the only intellectual pursuit that still carries any reward.,John Maynard Keynes,Finance
Money is the best rule of commerce.,William Petty,Finance
The poor don't know that their function in life is to exercise our generosity.,Jean-Paul Sartre,Finance
A big part of financial freedom is having your heart and mind free from worry about the what-ifs of life.,Suze Orman,Finance
There's more honor in investment management than in investment banking.,Charlie Munger,Finance
Money is like manure. You have to spread it around or it smells.,J. Paul Getty,Finance
Infinite growth of material consumption in a finite world is an impossibility.,E. F. Schumacher,Finance
Divorce is one of the most financially traumatic things you can go through. Money spent on getting mad or getting even is money wasted.,Richard Wagner,Finance
"Being rich is a good thing. Not just in the obvious sense of benefitting you and your family, but in the broader sense. Profits are not a zero sum game. The more you make, the more of a financial impact you can have.",Mark Cuban,Finance
"These heroes of finance are like beads on a string; when one slips off, all the rest follow.",Henrik Ibsen,Finance
The financial markets generally are unpredictable. So that one has to have different scenarios... The idea that you can actually predict what's going to happen contradicts my way of looking at the market.,George Soros,Finance
There can be no rise in the value of labour without a fall of profits.,David Ricardo,Finance
"The only way to permanently change the temperature in the room is to reset the thermostat. In the same way, the only way to change your level of financial success 'permanently' is to reset your financial thermostat. But it is your choice whether you choose to change.",T. Harv Eker,Finance
Capital is that part of wealth which is devoted to obtaining further wealth.,Alfred Marshall,Finance
People who think about art as an investment are pathetic.,Walter Annenberg,Finance
"Financial support is one thing, but I always think what becomes really sacrificial is your time.",Cliff Richard,Finance
"About the time we can make the ends meet, somebody moves the ends.",Herbert Hoover,Finance
We cannot both preach and administer financial matters.,Saint Stephen,Finance
"Security depends not so much upon how much you have, as upon how much you can do without.",Joseph Wood Krutch,Finance
"Economically considered, war and revolution are always bad business.",Ludwig von Mises,Finance
"Well, I think that there's a very thin dividing line between success and failure. And I think if you start a business without financial backing, you're likely to go the wrong side of that dividing line.",Richard Branson,Finance
"Financial literacy is an issue that should command our attention because many Americans are not adequately organizing finances for their education, healthcare and retirement.",Ron Lewis,Finance
"Starting out to make money is the greatest mistake in life. Do what you feel you have a flair for doing, and if you are good enough at it, the money will come.",Greer Garson,Finance
Poverty is unnecessary.,Muhammad Yunus,Finance
"We are in a position of financial and social power, and we could be agents of change in our society. Without pretension, I believe we could be a nice little gardener who takes care of the garden, and hopefully our neighbor will do the same. Then, maybe we'll achieve a better world.",Guy Laliberte,Finance
The economy is a very sensitive organism.,Hjalmar Schacht,Finance
A moderate addiction to money may not always be hurtful; but when taken in excess it is nearly always bad for the health.,Clarence Day,Finance
I do not regard a broker as a member of the human race.,Honore de Balzac,Finance
"Automating some of your finances can be incredibly convenient and is a great way to save time, but automating everything makes it too easy to go on autopilot and forget to pay attention to your personal finances.",Alexa Von Tobel,Finance
Financial crises are like fireworks: they illuminate the sky even as they go pop.,James Buchan,Finance
The rate of interest acts as a link between income-value and capital-value.,Irving Fisher,Finance
"My mother inspired me to treat others as I would want to be treated regardless of age, race or financial status.",Tommy Hilfiger,Finance
"As a novelist, I tell stories and people give me money. Then financial planners tell me stories and I give them money.",Martin Cruz Smith,Finance
Rounding to the nearest cent is sufficiently accurate for practical purposes.,Alexander John Ellis,Finance
The only way you will ever permanently take control of your financial life is to dig deep and fix the root problem.,Suze Orman,Finance
"We teach about how to drive in school, but not how to manage finances.",Andy Williams,Finance
"I've never preached one sermon on money, on just finances. I want to stay away from it.",Joel Osteen,Finance
"In this world nothing can be said to be certain, except death and taxes.",Benjamin Franklin,Finance
I finally know what distinguishes man from the other beasts: financial worries.,Jules Renard,Finance
We at Chrysler borrow money the old-fashioned way. We pay it back.,Lee Iacocca,Finance
The lesson of history is that you do not get a sustained economic recovery as long as the financial system is in crisis.,Ben Bernanke,Finance
"A person's credit report is one of the most important tools consumers can use to maintain their financial security and credit rating, but for so long many did not know how to obtain one, or what to do with the information it provided.",Ruben Hinojosa,Finance
"I'm involved in the stock market, which is fun and, sometimes, very painful.",Regis Philbin,Finance
Stay on top of your finances. Don't leave that up to others.,Leif Garrett,Finance
"Wealth, in even the most improbable cases, manages to convey the aspect of intelligence.",John Kenneth Galbraith,Finance
My adversary is the world of finance.,Francois Hollande,Finance
The thing I have discovered about working with personal finance is that the good news is that it is not rocket science. Personal finance is about 80 percent behavior. It is only about 20 percent head knowledge.,Dave Ramsey,Finance
We need real campaign finance reform to loosen the grip of special interests on politics.,Tom Daschle,Finance
