quotes,authors,categories
Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.,"Martin Luther King, Jr.",Forgiveness
"Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.","H. Jackson Brown, Jr.",Forgiveness
Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.,Mark Twain,Forgiveness
To forgive is to set a prisoner free and discover that the prisoner was you.,Lewis B. Smedes,Forgiveness
"Children begin by loving their parents; after a time they judge them; rarely, if ever, do they forgive them.",Oscar Wilde,Forgiveness
"Mistakes are always forgivable, if one has the courage to admit them.",Bruce Lee,Forgiveness
The weak can never forgive. Forgiveness is the attribute of the strong.,Mahatma Gandhi,Forgiveness
"To err is human; to forgive, divine.",Alexander Pope,Forgiveness
"Forgive your enemies, but never forget their names.",John F. Kennedy,Forgiveness
"It's one of the greatest gifts you can give yourself, to forgive. Forgive everybody.",Maya Angelou,Forgiveness
"Forgiveness is not always easy. At times, it feels more painful than the wound we suffered, to forgive the one that inflicted it. And yet, there is no peace without forgiveness.",Marianne Williamson,Forgiveness
There is no revenge so complete as forgiveness.,Josh Billings,Forgiveness
The stupid neither forgive nor forget; the naive forgive and forget; the wise forgive but do not forget.,Thomas Szasz,Forgiveness
"It's not an easy journey, to get to a place where you forgive people. But it is such a powerful place, because it frees you.",Tyler Perry,Forgiveness
When I was a kid I used to pray every night for a new bicycle. Then I realised that the Lord doesn't work that way so I stole one and asked Him to forgive me.,Emo Philips,Forgiveness
"Forgiveness is not a feeling - it's a decision we make because we want to do what's right before God. It's a quality decision that won't be easy and it may take time to get through the process, depending on the severity of the offense.",Joyce Meyer,Forgiveness
We cannot embrace God's forgiveness if we are so busy clinging to past wounds and nursing old grudges.,T. D. Jakes,Forgiveness
"When you forgive, you in no way change the past - but you sure do change the future.",Bernard Meltzer,Forgiveness
"God forgive you, but I never can.",Elizabeth I,Forgiveness
One forgives to the degree that one loves.,Francois de La Rochefoucauld,Forgiveness
The lesson is that you can still make mistakes and be forgiven.,"Robert Downey, Jr.",Forgiveness
It is often easier to ask for forgiveness than to ask for permission.,Grace Hopper,Forgiveness
"Holding on to anger, resentment and hurt only gives you tense muscles, a headache and a sore jaw from clenching your teeth. Forgiveness gives you back the laughter and the lightness in your life.",Joan Lunden,Forgiveness
"For me, forgiveness and compassion are always linked: how do we hold people accountable for wrongdoing and yet at the same time remain in touch with their humanity enough to believe in their capacity to be transformed?",bell hooks,Forgiveness
The bitterest tears shed over graves are for words left unsaid and deeds left undone.,Harriet Beecher Stowe,Forgiveness
He that cannot forgive others breaks the bridge over which he must pass himself; for every man has need to be forgiven.,Thomas Fuller,Forgiveness
Forgiveness says you are given another chance to make a new beginning.,Desmond Tutu,Forgiveness
Forgiveness is the final form of love.,Reinhold Niebuhr,Forgiveness
Man has two great spiritual needs. One is for forgiveness. The other is for goodness.,Billy Graham,Forgiveness
Forgiveness is a virtue of the brave.,Indira Gandhi,Forgiveness
Forgive yourself for your faults and your mistakes and move on.,Les Brown,Forgiveness
"Forgiveness is an act of the will, and the will can function regardless of the temperature of the heart.",Corrie Ten Boom,Forgiveness
It is easier to forgive an enemy than to forgive a friend.,William Blake,Forgiveness
"Forgive, O Lord, my little jokes on Thee, and I'll forgive Thy great big joke on me.",Robert Frost,Forgiveness
Forgiveness is a gift you give yourself.,Suzanne Somers,Forgiveness
"I can forgive, but I cannot forget, is only another way of saying, I will not forgive. Forgiveness ought to be like a cancelled note - torn in two, and burned up, so that it never can be shown against one.",Henry Ward Beecher,Forgiveness
"Acceptance and tolerance and forgiveness, those are life-altering lessons.",Jessica Lange,Forgiveness
"Forgiveness is the remission of sins. For it is by this that what has been lost, and was found, is saved from being lost again.",Saint Augustine,Forgiveness
Sweet mercy is nobility's true badge.,William Shakespeare,Forgiveness
"Selfishness must always be forgiven you know, because there is no hope of a cure.",Jane Austen,Forgiveness
Nothing inspires forgiveness quite like revenge.,Scott Adams,Forgiveness
"He that cannot forgive others, breaks the bridge over which he himself must pass if he would ever reach heaven; for everyone has need to be forgiven.",George Herbert,Forgiveness
"God may forgive your sins, but your nervous system won't.",Alfred Korzybski,Forgiveness
"All major religious traditions carry basically the same message, that is love, compassion and forgiveness the important thing is they should be part of our daily lives.",Dalai Lama,Forgiveness
"Anger begets more anger, and forgiveness and love lead to more forgiveness and love.",Mahavira,Forgiveness
I shall be an autocrat: that's my trade. And the good Lord will forgive me: that's his.,Catherine the Great,Forgiveness
"Inner peace can be reached only when we practice forgiveness. Forgiveness is letting go of the past, and is therefore the means for correcting our misperceptions.",Gerald Jampolsky,Forgiveness
"When a deep injury is done us, we never recover until we forgive.",Alan Paton,Forgiveness
Forgiveness is the key to action and freedom.,Hannah Arendt,Forgiveness
"Forgiveness is the economy of the heart... forgiveness saves the expense of anger, the cost of hatred, the waste of spirits.",Hannah More,Forgiveness
Forgotten is forgiven.,F. Scott Fitzgerald,Forgiveness
"Let us not listen to those who think we ought to be angry with our enemies, and who believe this to be great and manly. Nothing is so praiseworthy, nothing so clearly shows a great and noble soul, as clemency and readiness to forgive.",Marcus Tullius Cicero,Forgiveness
Never does the human soul appear so strong as when it foregoes revenge and dares to forgive an injury.,Edwin Hubbel Chapin,Forgiveness
It is in pardoning that we are pardoned.,Francis of Assisi,Forgiveness
Forgiveness is a funny thing. It warms the heart and cools the sting.,William Arthur Ward,Forgiveness
