quotes,authors,categories
Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.,Viktor E. Frankl,Freedom
The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.,Albert Camus,Freedom
"If the freedom of speech is taken away then dumb and silent we may be led, like sheep to the slaughter.",George Washington,Freedom
It is difficult to free fools from the chains they revere.,Voltaire,Freedom
"Freedom is never more than one generation away from extinction. We didn't pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same.",Ronald Reagan,Freedom
Freedom is never voluntarily given by the oppressor; it must be demanded by the oppressed.,"Martin Luther King, Jr.",Freedom
Man will never be free until the last king is strangled with the entrails of the last priest.,Denis Diderot,Freedom
"It does not take a majority to prevail... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men.",Samuel Adams,Freedom
None are more hopelessly enslaved than those who falsely believe they are free.,Johann Wolfgang von Goethe,Freedom
Freedom is what you do with what's been done to you.,Jean-Paul Sartre,Freedom
"Freedom makes a huge requirement of every human being. With freedom comes responsibility. For the person who is unwilling to grow up, the person who does not want to carry his own weight, this is a frightening prospect.",Eleanor Roosevelt,Freedom
Conformity is the jailer of freedom and the enemy of growth.,John F. Kennedy,Freedom
"Freedom consists not in doing what we like, but in having the right to do what we ought.",Pope John Paul II,Freedom
Freedom is the right to tell people what they do not want to hear.,George Orwell,Freedom
"Emancipate yourselves from mental slavery, none but ourselves can free our minds!",Marcus Garvey,Freedom
I hope for nothing. I fear nothing. I am free.,Nikos Kazantzakis,Freedom
"If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking... is freedom.",Dwight D. Eisenhower,Freedom
People demand freedom of speech as a compensation for the freedom of thought which they seldom use.,Soren Kierkegaard,Freedom
A hero is someone who understands the responsibility that comes with his freedom.,Bob Dylan,Freedom
Humanity has won its battle. Liberty now has a country.,Marquis de Lafayette,Freedom
Necessity is blind until it becomes conscious. Freedom is the consciousness of necessity.,Karl Marx,Freedom
Freedom lies in being bold.,Robert Frost,Freedom
Liberty cannot be preserved without general knowledge among the people.,John Adams,Freedom
Freedom is the oxygen of the soul.,Moshe Dayan,Freedom
I would like to be remembered as a person who wanted to be free... so other people would be also free.,Rosa Parks,Freedom
"Freedom itself was attacked this morning by a faceless coward, and freedom will be defended.",George W. Bush,Freedom
Freedom is never given; it is won.,A. Philip Randolph,Freedom
"We hold these truths to be self-evident: that all men are created equal; that they are endowed by their Creator with certain unalienable rights; that among these are life, liberty, and the pursuit of happiness.",Thomas Jefferson,Freedom
True individual freedom cannot exist without economic security and independence. People who are hungry and out of a job are the stuff of which dictatorships are made.,Franklin D. Roosevelt,Freedom
"I am free because I know that I alone am morally responsible for everything I do. I am free, no matter what rules surround me. If I find them tolerable, I tolerate them; if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.",Robert A. Heinlein,Freedom
Freedom is something that dies unless it's used.,Hunter S. Thompson,Freedom
"May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right.",Peter Marshall,Freedom
"Those who deny freedom to others deserve it not for themselves; and under the rule of a just God, cannot long retain it.",Abraham Lincoln,Freedom
"Those who expect to reap the blessings of freedom must, like men, undergo the fatigue of supporting it.",Thomas Paine,Freedom
Enslave the liberty of but one human being and the liberties of the world are put in peril.,William Lloyd Garrison,Freedom
No man is good enough to be another's master.,William Morris,Freedom
"But what is liberty without wisdom, and without virtue? It is the greatest of all possible evils; for it is folly, vice, and madness, without tuition or restraint.",Edmund Burke,Freedom
The desire of gold is not for gold. It is for the means of freedom and benefit.,Ralph Waldo Emerson,Freedom
"It is by the goodness of God that in our country we have those three unspeakably precious things: freedom of speech, freedom of conscience, and the prudence never to practice either of them.",Mark Twain,Freedom
"Guard with jealous attention the public liberty. Suspect everyone who approaches that jewel. Unfortunately, nothing will preserve it but downright force. Whenever you give up that force, you are inevitably ruined.",Patrick Henry,Freedom
Freedom is the sure possession of those alone who have the courage to defend it.,Pericles,Freedom
Is freedom anything else than the right to live as we wish? Nothing else.,Epictetus,Freedom
"When we lose the right to be different, we lose the privilege to be free.",Charles Evans Hughes,Freedom
Seek freedom and become captive of your desires. Seek discipline and find your liberty.,Frank Herbert,Freedom
"Civilization is the progress toward a society of privacy. The savage's whole existence is public, ruled by the laws of his tribe. Civilization is the process of setting man free from men.",Ayn Rand,Freedom
Liberty means responsibility. That is why most men dread it.,George Bernard Shaw,Freedom
'Freedom from fear' could be said to sum up the whole philosophy of human rights.,Dag Hammarskjold,Freedom
Responsibility is the price of freedom.,Elbert Hubbard,Freedom
"We are driven by five genetic needs: survival, love and belonging, power, freedom, and fun.",William Glasser,Freedom
Order without liberty and liberty without order are equally destructive.,Theodore Roosevelt,Freedom
Real freedom is having nothing. I was freer when I didn't have a cent.,Mike Tyson,Freedom
"I am not an Athenian or a Greek, but a citizen of the world.",Diogenes,Freedom
"Liberty has never come from Government. Liberty has always come from the subjects of it. The history of liberty is a history of limitations of governmental power, not the increase of it.",Woodrow Wilson,Freedom
I believe we are on an irreversible trend toward more freedom and democracy - but that could change.,Dan Quayle,Freedom
Freedom is from within.,Frank Lloyd Wright,Freedom
"Liberty is not the power of doing what we like, but the right to do what we ought.",John Dalberg-Acton,Freedom
