quotes,authors,categories
Of all possessions a friend is the most precious.,Herodotus,Friendship
"Let us be grateful to people who make us happy, they are the charming gardeners who make our souls blossom.",Marcel Proust,Friendship
Walking with a friend in the dark is better than walking alone in the light.,Helen Keller,Friendship
"In the sweetness of friendship let there be laughter, and sharing of pleasures. For in the dew of little things the heart finds its morning and is refreshed.",Khalil Gibran,Friendship
There is nothing on this earth more to be prized than true friendship.,Thomas Aquinas,Friendship
There are no strangers here; Only friends you haven't yet met.,William Butler Yeats,Friendship
"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.",Albert Schweitzer,Friendship
One of the most beautiful qualities of true friendship is to understand and to be understood.,Lucius Annaeus Seneca,Friendship
"True friendship multiplies the good in life and divides its evils. Strive to have friends, for life without friends is like life on a desert island... to find one real friend in a lifetime is good fortune; to keep him is a blessing.",Baltasar Gracian,Friendship
A real friend is one who walks in when the rest of the world walks out.,Walter Winchell,Friendship
Remember that the most valuable antiques are dear old friends.,"H. Jackson Brown, Jr.",Friendship
It is one of the blessings of old friends that you can afford to be stupid with them.,Ralph Waldo Emerson,Friendship
"Lots of people want to ride with you in the limo, but what you want is someone who will take the bus with you when the limo breaks down.",Oprah Winfrey,Friendship
"Be courteous to all, but intimate with few, and let those few be well tried before you give them your confidence.",George Washington,Friendship
A friend to all is a friend to none.,Aristotle,Friendship
My friends are my estate.,Emily Dickinson,Friendship
"Each friend represents a world in us, a world not born until they arrive, and it is only by this meeting that a new world is born.",Anais Nin,Friendship
A man's friendships are one of the best measures of his worth.,Charles Darwin,Friendship
My best friend is the one who brings out the best in me.,Henry Ford,Friendship
Love is the only force capable of transforming an enemy into a friend.,"Martin Luther King, Jr.",Friendship
One loyal friend is worth ten thousand relatives.,Euripides,Friendship
Friends are the siblings God never gave us.,Mencius,Friendship
"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.",Charles R. Swindoll,Friendship
"Friendship is unnecessary, like philosophy, like art... It has no survival value; rather it is one of those things that give value to survival.",C. S. Lewis,Friendship
